Sample	raw_reads	dedup_reads	dedup_frac	trimmed_reads	trimmed_frac	host_removed_reads	host_removed_frac	orphan_reads	orphan_frac
D05-OF-R1	93368076	78679470	0.843	76725628	0.822	63546445	0.681	2762487	0.03
D07-NF-R3	33266256	30262169	0.91	29486727	0.886	25781810	0.775	1158536	0.035
D02-OH-R1	89239023	76167320	0.854	74160389	0.831	67783845	0.76	2915701	0.033
D03-OH-R2	28540688	25177857	0.882	24467851	0.857	17684511	0.62	1061516	0.037
D04-OF-R1	54819668	48061628	0.877	46797821	0.854	40929847	0.747	1831501	0.033
D06-ZR-R1	49289420	43487418	0.882	42456045	0.861	31927830	0.648	1515600	0.031
D04-ZF-R3	11294045	10582871	0.937	10153023	0.899	7443608	0.659	647073	0.057
D07-OH-R3	18591062	17284741	0.93	16566175	0.891	15059111	0.81	1081117	0.058
D10-ZF-R3	24510657	22405259	0.914	21742011	0.887	16664568	0.68	961255	0.039
D02-OF-R2	44788638	39899803	0.891	38876895	0.868	35419883	0.791	1522751	0.034
D05-OF-R3	34041382	30794183	0.905	30047074	0.883	26460045	0.777	1052278	0.031
D09-ZF-R1	131975635	107101303	0.812	104566792	0.792	84089499	0.637	3652379	0.028
D01-ZF-R2	33350493	30137581	0.904	29206757	0.876	27095482	0.812	1321969	0.04
D05-ZH-R1	91304975	76984935	0.843	75013592	0.822	63824028	0.699	2965797	0.032
D09-OH-R3	22674935	20840342	0.919	19887440	0.877	16093638	0.71	1435492	0.063
D10-ZR-R1	44349935	38505618	0.868	37566447	0.847	27420539	0.618	1306551	0.029
D05-OF-R2	42093124	36780525	0.874	35790672	0.85	29407811	0.699	1443450	0.034
D01-OR-R1	74533380	63790168	0.856	62267111	0.835	49335629	0.662	2221790	0.03
NCO-B4-R2	588	401	0.682	344	0.585	214	0.364	75	0.128
D02-ZF-R1	109345868	94364935	0.863	92081133	0.842	85216396	0.779	3295070	0.03
D09-OF-R3	30319883	27512908	0.907	26753569	0.882	22105860	0.729	1030372	0.034
D09-OH-R1	178030845	141789902	0.796	137979578	0.775	124261953	0.698	5470076	0.031
D05-OR-R1	48990184	42686443	0.871	41583513	0.849	33692229	0.688	1620343	0.033
D07-NF-R1	166353919	139848784	0.841	135355805	0.814	107274161	0.645	6754722	0.041
D04-ZR-R2	31893965	28776901	0.902	28113436	0.881	22951494	0.72	943302	0.03
D03-ZF-R3	72195932	62793312	0.87	60570187	0.839	48415993	0.671	3366019	0.047
D03-OF-R2	32849354	28682030	0.873	27947904	0.851	21273285	0.648	1078510	0.033
PCO-B2-R2	44624161	35982666	0.806	34848739	0.781	32702544	0.733	1697727	0.038
D08-ZR-R1	35855488	31363712	0.875	30595951	0.853	28118758	0.784	1105718	0.031
D08-OF-R3	75324716	68212161	0.906	61518419	0.817	50356040	0.669	8667977	0.115
D05-OR-R2	31019576	27223845	0.878	26411061	0.851	22182797	0.715	1250671	0.04
D10-ZF-R1	53541718	45851306	0.856	44754718	0.836	31697831	0.592	1565757	0.029
D06-NF-R3	48632310	43485293	0.894	42369889	0.871	36085632	0.742	1585409	0.033
D10-OH-R2	21457250	19158410	0.893	18628125	0.868	13633122	0.635	787369	0.037
D04-OR-R2	33949251	30113337	0.887	29322515	0.864	22497130	0.663	1189960	0.035
D04-ZR-R3	34924289	31972248	0.915	31146779	0.892	26553328	0.76	1186449	0.034
D01-OF-R3	103527589	92160040	0.89	89423722	0.864	82330048	0.795	3957549	0.038
D02-ZH-R3	37341680	34045878	0.912	33149017	0.888	31198375	0.835	1265948	0.034
D02-OR-R2	44895911	39374718	0.877	38372769	0.855	34445851	0.767	1450794	0.032
D05-ZR-R1	76769824	65895566	0.858	64293016	0.837	51585876	0.672	2288423	0.03
D10-ZR-R3	37227744	33459707	0.899	32632443	0.877	26676054	0.717	1202786	0.032
D01-OH-R1	100406255	86182763	0.858	84086564	0.837	75492649	0.752	3007351	0.03
D02-OH-R3	20862373	18951201	0.908	18409708	0.882	16596532	0.796	853338	0.041
D09-ZF-R3	40303864	34749318	0.862	33904146	0.841	28161135	0.699	1200538	0.03
D08-OR-R2	42882250	37071032	0.864	36055865	0.841	26998126	0.63	1447694	0.034
D02-NF-R1	63248009	55861758	0.883	53383929	0.844	47115796	0.745	3824962	0.06
D09-OR-R1	44135014	37452852	0.849	36642740	0.83	26948734	0.611	1219819	0.028
D08-NF-R1	43932668	38699148	0.881	37765540	0.86	34324108	0.781	1328489	0.03
D03-ZR-R3	32034888	28202114	0.88	27266064	0.851	18618764	0.581	1477636	0.046
D06-OR-R3	31084918	28371463	0.913	27629938	0.889	23235495	0.747	1054942	0.034
D10-NF-R1	55051510	47596941	0.865	46213532	0.839	32799082	0.596	1999585	0.036
D03-OR-R1	85229882	68313615	0.802	66500541	0.78	48776281	0.572	2549175	0.03
D05-ZR-R3	101220443	87563586	0.865	84505397	0.835	70752734	0.699	4359943	0.043
D07-ZR-R2	37688754	33573273	0.891	32692790	0.867	28428243	0.754	1268839	0.034
D05-ZH-R3	41406131	36889847	0.891	35948430	0.868	31521967	0.761	1314115	0.032
D10-ZF-R2	28558044	25495746	0.893	24681363	0.864	15310973	0.536	1196355	0.042
D10-NF-R2	39429422	34750896	0.881	33700412	0.855	20172038	0.512	1471065	0.037
D04-ZR-R1	81658065	71704995	0.878	69861073	0.856	50376764	0.617	2622776	0.032
D07-ZH-R1	84905292	73433776	0.865	71393363	0.841	63571660	0.749	2958590	0.035
D03-NF-R1	80308010	67083284	0.835	64801677	0.807	53591089	0.667	3321938	0.041
D01-OH-R2	33243160	29317581	0.882	28558092	0.859	25996618	0.782	1168694	0.035
D09-OF-R1	92965846	77723320	0.836	75503876	0.812	61537120	0.662	3168008	0.034
NCO-B2-R3	19371	17311	0.894	16382	0.846	10066	0.52	1430	0.074
D01-ZR-R3	28055340	25517198	0.91	24920032	0.888	23091034	0.823	857894	0.031
D02-ZH-R1	63084192	54722222	0.867	53358270	0.846	49745064	0.789	1898128	0.03
NCO-B3-R3	7032	6416	0.912	6263	0.891	5162	0.734	181	0.026
NCO-B1-R2	2559	2258	0.882	2047	0.8	860	0.336	311	0.122
D10-NF-R3	38528931	34655923	0.899	33661989	0.874	26529741	0.689	1422808	0.037
PCO-B3-R2	48035310	38880785	0.809	37867375	0.788	35642364	0.742	1466131	0.031
PCO-B2-R3	28735283	24989216	0.87	24368618	0.848	23511857	0.818	913548	0.032
D06-NF-R1	62028949	54133611	0.873	52697982	0.85	48283770	0.778	2071694	0.033
NCO-B4-R1	2853	1359	0.476	1114	0.39	351	0.123	265	0.093
PCO-B3-R3	23071598	20929488	0.907	20092453	0.871	18175492	0.788	1296541	0.056
D02-OF-R1	72532927	61608932	0.849	60135736	0.829	54360693	0.749	2107739	0.029
D06-ZH-R2	26340785	23246398	0.883	22634607	0.859	16696965	0.634	896838	0.034
D10-OF-R1	32267096	28486082	0.883	27775965	0.861	20080135	0.622	1013717	0.031
D07-ZH-R2	42632678	37255680	0.874	36200127	0.849	31618576	0.742	1545266	0.036
D08-NF-R2	34535021	31054736	0.899	28897248	0.837	25595777	0.741	2626568	0.076
D07-OR-R3	39252126	35552901	0.906	34625370	0.882	31172772	0.794	1369358	0.035
D07-NF-R2	34363954	30799182	0.896	29938134	0.871	26022883	0.757	1296403	0.038
D05-OH-R2	32795126	28724364	0.876	27987209	0.853	23564265	0.719	1076994	0.033
D08-OH-R2	40846844	36356641	0.89	35413039	0.867	32170586	0.788	1395886	0.034
D02-OR-R1	51818540	44274800	0.854	43095675	0.832	39600194	0.764	1673488	0.032
D09-OH-R2	31382372	27169709	0.866	26490346	0.844	21829534	0.696	1014987	0.032
D02-OF-R3	49118973	44938252	0.915	43380287	0.883	40211559	0.819	2295304	0.047
D06-ZF-R2	37781496	33534695	0.888	32687616	0.865	23563694	0.624	1232625	0.033
NCO-B1-R1	8932	6896	0.772	6075	0.68	2318	0.26	842	0.094
D09-NF-R3	58485645	49712107	0.85	48453081	0.828	45249342	0.774	1723767	0.029
D10-ZH-R1	29852915	26285639	0.881	25616338	0.858	17907518	0.6	967722	0.032
D08-ZH-R2	38935162	32688190	0.84	31676105	0.814	25649380	0.659	1560687	0.04
D09-ZR-R3	37970077	33211031	0.875	32349969	0.852	25577356	0.674	1234115	0.033
D04-OH-R3	53950220	48660665	0.902	47570102	0.882	38393312	0.712	1580090	0.029
D07-ZR-R3	36252519	32550662	0.898	31741082	0.876	28579723	0.788	1152266	0.032
D03-OR-R2	23988480	21432482	0.893	20882909	0.871	16938851	0.706	806663	0.034
D03-ZH-R3	72986891	62588628	0.858	60248172	0.825	50770524	0.696	3548099	0.049
D08-ZR-R3	23436922	21468136	0.916	20728525	0.884	16166422	0.69	1086628	0.046
D07-ZF-R1	231485554	190458422	0.823	184686905	0.798	167224453	0.722	8040130	0.035
D08-OF-R1	130382603	110222827	0.845	107345981	0.823	96156975	0.737	4310056	0.033
D08-ZH-R3	19090074	16556178	0.867	16095313	0.843	12078662	0.633	685209	0.036
NCO-B2-R1	10947	8300	0.758	7019	0.641	2386	0.218	518	0.047
D03-OF-R3	29948878	26648179	0.89	25952097	0.867	20258172	0.676	994871	0.033
D01-ZR-R2	62757805	54217673	0.864	52762298	0.841	48702583	0.776	2153439	0.034
D02-NF-R3	24716528	22582114	0.914	21944780	0.888	20512865	0.83	951808	0.039
D01-ZH-R1	32081735	28750678	0.896	28069012	0.875	25201058	0.786	977616	0.03
D05-ZR-R2	30616831	27070787	0.884	26337319	0.86	20324670	0.664	1079895	0.035
D08-OH-R1	44289450	38360468	0.866	37473196	0.846	33449033	0.755	1299328	0.029
D06-OR-R2	32433270	29076311	0.896	28336148	0.874	22393992	0.69	1080930	0.033
D09-ZR-R1	82589573	69699290	0.844	67623987	0.819	43242083	0.524	3135483	0.038
D04-OR-R3	31352297	28030705	0.894	27264101	0.87	23810428	0.759	1112397	0.035
D01-OF-R1	127742187	110124115	0.862	107377859	0.841	96992316	0.759	4008210	0.031
PCO-B1-R3	42071297	37653873	0.895	36668865	0.872	30858145	0.733	1399884	0.033
NCO-B3-R1	3776	1606	0.425	1444	0.382	673	0.178	187	0.05
PCO-B2-R1	70128042	54156267	0.772	52710148	0.752	49927591	0.712	2078415	0.03
D05-NF-R1	57272909	49842459	0.87	48522548	0.847	40527011	0.708	1916441	0.033
D04-NF-R2	219840481	184422665	0.839	178105276	0.81	156393331	0.711	9518189	0.043
D02-ZR-R1	128486117	108438410	0.844	105678905	0.822	97737075	0.761	3924156	0.031
D10-ZH-R3	54838624	47943336	0.874	46749312	0.852	33980663	0.62	1712260	0.031
D09-OR-R2	25791646	22695780	0.88	22116560	0.858	17355222	0.673	851988	0.033
D09-ZH-R2	40944987	34001974	0.83	32999299	0.806	25392350	0.62	1476752	0.036
D08-ZF-R1	37051479	32474639	0.876	31549990	0.852	29274442	0.79	1326872	0.036
