sample	tax.level	method	value
D04-ZR-R1	kingdom	shannon	0.026
D10-NF-R1	kingdom	shannon	0.008
NCO-B2-R1	kingdom	shannon	0.125
D02-OF-R1	kingdom	shannon	0.034
D02-OF-R3	kingdom	shannon	0.023
D06-ZR-R2	kingdom	shannon	0.017
D06-ZF-R2	kingdom	shannon	0.011
D09-ZH-R2	kingdom	shannon	0.02
D01-ZR-R3	kingdom	shannon	0.013
D10-OH-R1	kingdom	shannon	0.008
PCO-B1-R3	kingdom	shannon	0.03
NCO-B3-R2	kingdom	shannon	0
D04-OH-R1	kingdom	shannon	0.034
D01-OR-R3	kingdom	shannon	0.012
D09-OF-R2	kingdom	shannon	0.015
D10-NF-R3	kingdom	shannon	0.007
D07-NF-R1	kingdom	shannon	0.014
D09-ZF-R2	kingdom	shannon	0.014
D08-OH-R3	kingdom	shannon	0.022
D08-ZR-R1	kingdom	shannon	0.035
D08-ZF-R2	kingdom	shannon	0.023
D08-ZF-R3	kingdom	shannon	0.022
NCO-B4-R2	kingdom	shannon	0.123
D02-NF-R3	kingdom	shannon	0.034
D08-ZR-R2	kingdom	shannon	0.026
D02-OH-R2	kingdom	shannon	0.035
D09-ZR-R1	kingdom	shannon	0.018
D07-ZH-R3	kingdom	shannon	0.012
D05-ZF-R2	kingdom	shannon	0.019
D06-ZH-R3	kingdom	shannon	0.014
D09-ZF-R1	kingdom	shannon	0.015
NCO-B3-R3	kingdom	shannon	0.023
D03-NF-R3	kingdom	shannon	0.02
D08-OH-R1	kingdom	shannon	0.024
D01-ZR-R1	kingdom	shannon	0.011
D05-OH-R1	kingdom	shannon	0.023
D05-OF-R3	kingdom	shannon	0.018
D06-ZR-R3	kingdom	shannon	0.013
D08-NF-R1	kingdom	shannon	0.016
D08-ZH-R3	kingdom	shannon	0.039
D09-OF-R3	kingdom	shannon	0.012
D02-OR-R2	kingdom	shannon	0.037
D03-ZH-R1	kingdom	shannon	0.025
NCO-B2-R2	kingdom	shannon	0.02
PCO-B1-R2	kingdom	shannon	0.029
D09-NF-R3	kingdom	shannon	0.012
D01-ZF-R1	kingdom	shannon	0.011
D04-NF-R3	kingdom	shannon	0.02
D04-ZH-R3	kingdom	shannon	0.028
D09-OR-R3	kingdom	shannon	0.013
D02-OF-R2	kingdom	shannon	0.027
D07-ZH-R1	kingdom	shannon	0.013
D05-ZR-R1	kingdom	shannon	0.025
D10-OH-R2	kingdom	shannon	0.007
D08-ZR-R3	kingdom	shannon	0.022
D03-OR-R2	kingdom	shannon	0.019
D10-OF-R1	kingdom	shannon	0.006
D01-ZR-R2	kingdom	shannon	0.011
D10-ZF-R2	kingdom	shannon	0.008
D03-OH-R3	kingdom	shannon	0.023
D07-OR-R1	kingdom	shannon	0.012
D01-OR-R2	kingdom	shannon	0.012
PCO-B4-R1	kingdom	shannon	0.03
PCO-B2-R3	kingdom	shannon	0.02
D05-NF-R1	kingdom	shannon	0.027
D07-OR-R3	kingdom	shannon	0.011
D04-ZF-R3	kingdom	shannon	0.021
D04-OF-R1	kingdom	shannon	0.022
D04-ZH-R1	kingdom	shannon	0.027
D03-ZH-R2	kingdom	shannon	0
D05-NF-R2	kingdom	shannon	0.024
D02-ZR-R2	kingdom	shannon	0.045
D02-NF-R1	kingdom	shannon	0.045
D02-ZF-R2	kingdom	shannon	0.03
D04-ZR-R3	kingdom	shannon	0.027
NCO-B4-R3	kingdom	shannon	0.011
D09-OH-R3	kingdom	shannon	0.014
D03-NF-R2	kingdom	shannon	0.018
D03-OF-R2	kingdom	shannon	0.017
D02-OR-R1	kingdom	shannon	0.036
D06-OR-R1	kingdom	shannon	0.01
D05-ZH-R2	kingdom	shannon	0.029
D06-OH-R1	kingdom	shannon	0.011
D07-NF-R2	kingdom	shannon	0.014
D03-ZR-R3	kingdom	shannon	0.021
D04-OR-R2	kingdom	shannon	0.033
D07-OF-R2	kingdom	shannon	0.01
D09-ZR-R2	kingdom	shannon	0.016
D03-OF-R1	kingdom	shannon	0.018
D08-OF-R2	kingdom	shannon	0.014
PCO-B3-R2	kingdom	shannon	0.037
NCO-B4-R1	kingdom	shannon	0.17
D08-OH-R2	kingdom	shannon	0.021
D08-ZH-R2	kingdom	shannon	0.028
D10-OF-R2	kingdom	shannon	0.007
D07-ZR-R2	kingdom	shannon	0.012
D05-OH-R3	kingdom	shannon	0.026
D03-OH-R2	kingdom	shannon	0.022
PCO-B2-R2	kingdom	shannon	0.018
D02-ZH-R3	kingdom	shannon	0.045
D06-OH-R3	kingdom	shannon	0.01
D07-ZF-R2	kingdom	shannon	0.012
D03-NF-R1	kingdom	shannon	0.032
D02-NF-R2	kingdom	shannon	0.033
D05-OF-R2	kingdom	shannon	0.019
D02-ZR-R1	kingdom	shannon	0.039
D03-ZF-R2	kingdom	shannon	0.019
D01-ZH-R3	kingdom	shannon	0.01
D02-ZH-R1	kingdom	shannon	0.054
D05-ZR-R3	kingdom	shannon	0.029
D05-OR-R2	kingdom	shannon	0.021
D06-OH-R2	kingdom	shannon	0.011
D06-ZF-R3	kingdom	shannon	0.01
D03-OR-R3	kingdom	shannon	0.02
D08-OR-R2	kingdom	shannon	0.016
D09-NF-R1	kingdom	shannon	0.012
D09-OH-R1	kingdom	shannon	0.015
D07-OR-R2	kingdom	shannon	0.012
NCO-B2-R3	kingdom	shannon	0.062
D06-ZH-R1	kingdom	shannon	0.016
D05-ZF-R3	kingdom	shannon	0.02
D09-ZH-R1	kingdom	shannon	0.017
D01-OR-R1	kingdom	shannon	0.01
D06-OF-R2	kingdom	shannon	0.008
D10-OH-R3	kingdom	shannon	0.007
D08-NF-R3	kingdom	shannon	0.017
D03-ZR-R2	kingdom	shannon	0.02
D04-OH-R3	kingdom	shannon	0.031
D04-NF-R2	kingdom	shannon	0.021
D01-NF-R3	kingdom	shannon	0.011
D07-ZR-R1	kingdom	shannon	0.012
D09-OR-R1	kingdom	shannon	0.013
D07-ZR-R3	kingdom	shannon	0.012
D08-OR-R1	kingdom	shannon	0.023
D02-ZR-R3	kingdom	shannon	0.049
D01-OF-R3	kingdom	shannon	0.012
D01-NF-R1	kingdom	shannon	0.011
D01-NF-R2	kingdom	shannon	0.011
D07-NF-R3	kingdom	shannon	0.014
D10-ZF-R1	kingdom	shannon	0.007
D08-OR-R3	kingdom	shannon	0.022
D09-OR-R2	kingdom	shannon	0.012
D10-ZH-R2	kingdom	shannon	0.009
D09-ZH-R3	kingdom	shannon	0.02
D10-OR-R2	kingdom	shannon	0.006
D07-ZH-R2	kingdom	shannon	0.013
D10-OR-R3	kingdom	shannon	0.007
D06-OR-R2	kingdom	shannon	0.009
D08-NF-R2	kingdom	shannon	0.02
D02-OH-R1	kingdom	shannon	0.032
D01-OH-R3	kingdom	shannon	0.011
NCO-B1-R1	kingdom	shannon	0.226
D04-ZF-R2	kingdom	shannon	0.022
D07-OH-R1	kingdom	shannon	0.011
D02-ZF-R1	kingdom	shannon	0.035
D05-OF-R1	kingdom	shannon	0.019
D08-OF-R1	kingdom	shannon	0.014
D05-NF-R3	kingdom	shannon	0.024
D08-ZH-R1	kingdom	shannon	0.039
D10-ZF-R3	kingdom	shannon	0.008
D10-OR-R1	kingdom	shannon	0.007
PCO-B4-R3	kingdom	shannon	0.172
D10-NF-R2	kingdom	shannon	0.009
D02-ZH-R2	kingdom	shannon	0.057
PCO-B4-R2	kingdom	shannon	0.047
D06-NF-R2	kingdom	shannon	0.012
D10-ZR-R2	kingdom	shannon	0.007
D01-OF-R2	kingdom	shannon	0.01
D04-OF-R2	kingdom	shannon	0.03
D10-ZR-R1	kingdom	shannon	0.008
PCO-B1-R1	kingdom	shannon	0.021
D04-ZH-R2	kingdom	shannon	0.029
D02-ZF-R3	kingdom	shannon	0.031
D06-NF-R3	kingdom	shannon	0.011
D01-OH-R2	kingdom	shannon	0.011
D07-OF-R1	kingdom	shannon	0.011
D04-ZF-R1	kingdom	shannon	0.024
D07-ZF-R3	kingdom	shannon	0.011
D07-OH-R3	kingdom	shannon	0.01
D10-ZH-R1	kingdom	shannon	0.008
D07-OF-R3	kingdom	shannon	0.01
D05-OH-R2	kingdom	shannon	0.024
D05-ZH-R3	kingdom	shannon	0.034
D06-ZR-R1	kingdom	shannon	0.012
D09-ZF-R3	kingdom	shannon	0.016
D06-OR-R3	kingdom	shannon	0.009
NCO-B1-R3	kingdom	shannon	0
D06-NF-R1	kingdom	shannon	0.009
D02-OH-R3	kingdom	shannon	0.035
D01-ZH-R1	kingdom	shannon	0.011
PCO-B3-R3	kingdom	shannon	0.195
D01-OH-R1	kingdom	shannon	0.01
D07-ZF-R1	kingdom	shannon	0.012
D05-ZR-R2	kingdom	shannon	0.023
D03-ZF-R3	kingdom	shannon	0.02
D03-ZF-R1	kingdom	shannon	0.023
D04-OF-R3	kingdom	shannon	0.024
D04-OR-R1	kingdom	shannon	0.025
D05-OR-R1	kingdom	shannon	0.022
D02-OR-R3	kingdom	shannon	0.028
PCO-B3-R1	kingdom	shannon	0.029
D06-ZH-R2	kingdom	shannon	0.015
D04-ZR-R2	kingdom	shannon	0.027
D03-OF-R3	kingdom	shannon	0.018
D01-ZH-R2	kingdom	shannon	0.013
D10-ZR-R3	kingdom	shannon	0.008
D05-OR-R3	kingdom	shannon	0.021
D05-ZH-R1	kingdom	shannon	0.03
D03-OR-R1	kingdom	shannon	0.02
D04-OH-R2	kingdom	shannon	0.033
NCO-B3-R1	kingdom	shannon	0.228
D09-OF-R1	kingdom	shannon	0.015
D08-ZF-R1	kingdom	shannon	0.023
D01-OF-R1	kingdom	shannon	0.011
D03-OH-R1	kingdom	shannon	0.017
NCO-B1-R2	kingdom	shannon	0.025
D10-ZH-R3	kingdom	shannon	0.008
D01-ZF-R2	kingdom	shannon	0.012
PCO-B2-R1	kingdom	shannon	0.023
D04-NF-R1	kingdom	shannon	0.021
D06-OF-R3	kingdom	shannon	0.009
D09-OH-R2	kingdom	shannon	0.013
D08-OF-R3	kingdom	shannon	0.013
D04-OR-R3	kingdom	shannon	0.025
D10-OF-R3	kingdom	shannon	0.006
D06-ZF-R1	kingdom	shannon	0.012
D05-ZF-R1	kingdom	shannon	0.02
D06-OF-R1	kingdom	shannon	0.009
D03-ZR-R1	kingdom	shannon	0.028
D09-ZR-R3	kingdom	shannon	0.017
D01-ZF-R3	kingdom	shannon	0.01
D03-ZH-R3	kingdom	shannon	0.02
D07-OH-R2	kingdom	shannon	0.011
D09-NF-R2	kingdom	shannon	0.014
D04-ZR-R1	kingdom	simpson	0.007
D10-NF-R1	kingdom	simpson	0.002
NCO-B2-R1	kingdom	simpson	0.048
D02-OF-R1	kingdom	simpson	0.01
D02-OF-R3	kingdom	simpson	0.006
D06-ZR-R2	kingdom	simpson	0.004
D06-ZF-R2	kingdom	simpson	0.003
D09-ZH-R2	kingdom	simpson	0.005
D01-ZR-R3	kingdom	simpson	0.003
D10-OH-R1	kingdom	simpson	0.002
PCO-B1-R3	kingdom	simpson	0.009
NCO-B3-R2	kingdom	simpson	0
D04-OH-R1	kingdom	simpson	0.01
D01-OR-R3	kingdom	simpson	0.003
D09-OF-R2	kingdom	simpson	0.004
D10-NF-R3	kingdom	simpson	0.002
D07-NF-R1	kingdom	simpson	0.003
D09-ZF-R2	kingdom	simpson	0.003
D08-OH-R3	kingdom	simpson	0.006
D08-ZR-R1	kingdom	simpson	0.011
D08-ZF-R2	kingdom	simpson	0.006
D08-ZF-R3	kingdom	simpson	0.006
NCO-B4-R2	kingdom	simpson	0.052
D02-NF-R3	kingdom	simpson	0.01
D08-ZR-R2	kingdom	simpson	0.007
D02-OH-R2	kingdom	simpson	0.01
D09-ZR-R1	kingdom	simpson	0.004
D07-ZH-R3	kingdom	simpson	0.003
D05-ZF-R2	kingdom	simpson	0.005
D06-ZH-R3	kingdom	simpson	0.003
D09-ZF-R1	kingdom	simpson	0.004
NCO-B3-R3	kingdom	simpson	0.006
D03-NF-R3	kingdom	simpson	0.005
D08-OH-R1	kingdom	simpson	0.007
D01-ZR-R1	kingdom	simpson	0.003
D05-OH-R1	kingdom	simpson	0.006
D05-OF-R3	kingdom	simpson	0.005
D06-ZR-R3	kingdom	simpson	0.003
D08-NF-R1	kingdom	simpson	0.004
D08-ZH-R3	kingdom	simpson	0.012
D09-OF-R3	kingdom	simpson	0.003
D02-OR-R2	kingdom	simpson	0.011
D03-ZH-R1	kingdom	simpson	0.007
NCO-B2-R2	kingdom	simpson	0.006
PCO-B1-R2	kingdom	simpson	0.009
D09-NF-R3	kingdom	simpson	0.003
D01-ZF-R1	kingdom	simpson	0.003
D04-NF-R3	kingdom	simpson	0.005
D04-ZH-R3	kingdom	simpson	0.008
D09-OR-R3	kingdom	simpson	0.003
D02-OF-R2	kingdom	simpson	0.008
D07-ZH-R1	kingdom	simpson	0.003
D05-ZR-R1	kingdom	simpson	0.007
D10-OH-R2	kingdom	simpson	0.002
D08-ZR-R3	kingdom	simpson	0.006
D03-OR-R2	kingdom	simpson	0.005
D10-OF-R1	kingdom	simpson	0.001
D01-ZR-R2	kingdom	simpson	0.003
D10-ZF-R2	kingdom	simpson	0.002
D03-OH-R3	kingdom	simpson	0.006
D07-OR-R1	kingdom	simpson	0.003
D01-OR-R2	kingdom	simpson	0.003
