Saccharomycetes	Tremellomycetes	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Verrucomicrobiae	Lentisphaeria	Bacilli	Clostridia	Erysipelotrichia	Negativicutes	Actinobacteria (1760)	Coriobacteriia	Bacteroidia
D04-ZR-R1	-4.6704	-5.6928	-0.6403	-2.1515	-1.8868	-1.055	-5.6487	0.85	-0.1186	6.9271	1.3509	2.6839	3.2643	1.1957	5.5922
D10-NF-R1	-4.6753	-8.0992	0.7157	-2.7833	-3.1165	-3.9596	-2.943	-9.8875	1.9984	8.7574	3.1754	4.732	1.6872	6.0267	8.3716
D02-OF-R1	-3.8937	-6.6615	1.077	-2.7846	0.0966	-0.814	-3.1045	-9.0119	3.273	7.7719	0.8238	1.7237	2.3307	0.511	8.6623
D02-OF-R3	-4.1004	-6.8253	0.1713	-2.6808	-0.3263	-0.8604	-3.4589	-8.6369	3.4339	8.0469	1.4741	2.0723	2.5634	1.1805	7.9467
D06-ZR-R2	-4.8129	-7.111	0.1143	-2.0097	-1.2968	-3.2843	-5.6159	-7.9405	0.9561	8.1783	1.4833	4.3452	4.9037	3.2667	8.8234
D06-ZF-R2	-4.5568	-7.355	-0.2316	-1.9517	-1.8609	-3.2635	-5.753	-8.2992	1.3873	8.7223	1.6962	3.358	5.9203	4.0073	8.1804
D09-ZH-R2	-4.9124	-8.8856	3.8834	-3.7518	2.3231	0.1825	-5.7811	-1.8152	-0.9721	6.7158	0.3319	2.4011	2.6347	0.8303	6.8155
D01-ZR-R3	-4.6424	-7.8675	-0.6386	-2.66	-0.2692	0.1408	0.246	-8.7332	1.7073	8.4835	1.6415	1.6233	2.4762	1.4571	7.0351
D10-OH-R1	-4.4991	-8.074	0.9933	-2.8666	-3.2067	-3.6854	-2.4546	-9.771	2.1029	8.4253	2.6746	4.9695	1.234	5.4527	8.7052
PCO-B1-R3	0.7563	-2.771	7.1008	-3.7836	-3.9032	-5.4116	-4.7851	-12.3488	6.462	6.1262	0.6172	2.6627	-0.5947	3.09	6.7826
