Saccharomycetaceae	Cryptococcaceae	Moraxellaceae	Pseudomonadaceae	Enterobacteriaceae	Bradyrhizobiaceae	Rhodospirillaceae	Sutterellaceae	Desulfovibrionaceae	Akkermansiaceae	Staphylococcaceae	Bacillaceae	Listeriaceae	Streptococcaceae	Lactobacillaceae	Enterococcaceae	Clostridiaceae	Lachnospiraceae	Eubacteriaceae	Oscillospiraceae	Ruminococcaceae	Erysipelotrichaceae	Selenomonadaceae	Acidaminococcaceae	Veillonellaceae	Bifidobacteriaceae	Coriobacteriaceae	Bacteroidaceae	Rikenellaceae	Prevotellaceae	Odoribacteraceae	Barnesiellaceae	Tannerellaceae
D04-ZR-R1	-5.4189	-8.6927	-1.0971	-3.5738	-0.8105	-5.3107	-4.6944	-1.694	-0.0544	-4.8179	-1.6938	-2.514	-7.7742	-2.3913	-2.9902	-1.8998	4.904	6.616	3.8714	4.6709	6.2004	2.4836	3.28	-1.1578	1.9634	4.3613	1.5527	4.1764	2.5036	6.1898	1.4638	0.1542	2.1941
D10-NF-R1	-6.294	-10.0941	-2.6247	-4.6311	0.6243	-6.9413	-5.4843	-6.467	-5.3525	-2.7696	-0.2481	-2.4501	-6.6816	0.968	-0.8699	-1.3002	5.7228	7.9315	4.8518	1.8912	7.0622	3.3819	4.5303	2.9035	-4.1645	1.5511	6.1906	8.4744	2.9604	0.9652	1.0654	1.9579	3.3403
D02-OF-R1	-4.8384	-7.0825	-0.4433	-4.4067	-2.3874	-7.0173	-5.0838	0.185	-0.5819	-2.8256	-1.2309	-2.6322	-7.4633	3.1408	0.5277	-1.7859	5.171	6.4253	3.8122	4.5351	6.5082	1.15	-4.845	1.6752	-0.1385	2.5949	-0.5612	8.8133	4.0289	-0.0604	3.3962	-3.4611	4.8818
D02-OF-R3	-4.7493	-7.1163	-1.1431	-4.3597	-2.8261	-7.0302	-4.0961	-0.2102	-0.5891	-3.1477	-0.3326	-2.596	-7.7842	3.1787	1.106	-1.1615	5.4918	6.9619	4.3004	4.0096	6.8395	1.8426	-4.7519	2.2062	-0.3779	2.8759	-0.0477	8.1386	3.4021	-0.7178	2.512	-4.0895	4.2615
D06-ZR-R2	-6.4153	-9.5362	-3.8509	-2.6784	0.1218	-5.2896	-4.0338	-1.2758	-4.2308	-4.9961	0.9347	-2.4126	-7.49	0.1262	-3.4682	-2.0626	5.6801	7.4367	5.311	4.978	7.876	2.4895	-3.4674	-3.5554	5.3392	5.895	3.8348	9.55	7.1742	0.5955	-0.7383	-5.5092	3.6679
D06-ZF-R2	-5.2811	-9.5247	-4.1931	-2.6112	-0.4592	-5.3795	-3.4059	-1.9998	-4.0172	-5.1554	1.0195	-2.2731	-7.0462	1.143	-3.5164	-1.723	5.6219	8.2404	5.6163	4.3185	8.645	2.727	-3.4459	-3.6498	4.3709	6.9436	4.673	8.9694	6.3755	-0.7045	-1.5231	-5.5635	2.8087
D09-ZH-R2	-5.7464	-11.1234	2.2056	3.8447	2.4562	-7.1144	-5.9008	3.0162	0.8967	-5.1999	-3.2951	-4.1086	-8.4515	-1.5827	-5.446	-2.6199	4.5306	5.3997	3.3282	2.3596	6.4053	1.0703	1.9725	0.0915	1.933	3.343	1.3458	7.2635	3.8525	0.0579	2.4643	-0.7498	3.5011
D01-ZR-R3	-4.9947	-8.9487	-3.4107	-3.9706	-1.2276	-5.8737	-3.734	0.36	0.9489	1.1056	0.9626	-2.752	-6.7619	1.4323	-4.1358	-0.9897	5.8404	8.0512	4.6676	2.4728	8.0603	2.5059	-4.2928	-5.2828	2.4599	3.2385	-2.4107	7.2161	5.8093	-2.1538	2.0525	-1.0863	4.8419
D10-OH-R1	-6.4232	-10.1875	-2.5412	-4.6241	0.8255	-6.9955	-5.7735	-6.5917	-4.961	-2.3788	-0.6574	-2.6783	-7.1079	1.2094	-1.229	-1.9635	5.3867	7.4763	3.8601	2.9707	6.5771	2.777	4.4413	3.5651	-3.8821	0.929	5.498	8.6612	3.6242	1.8715	1.5181	2.7153	4.0881
PCO-B1-R3	0.3287	-3.1999	-4.5285	5.2086	6.0294	-8.0009	-7.413	-9.3887	-7.6167	-5.2508	4.0643	3.8755	3.3882	-0.9518	2.6804	4.0792	2.6667	4.5585	1.2844	0.0483	3.864	0.1955	1.7555	0.4184	-6.4067	-1.5039	2.6208	6.2201	0.4768	-1.2645	-0.6682	0.6397	1.7904
D04-OH-R1	-4.5248	-9.1815	-1.7462	-3.5122	-0.7958	-5.254	-4.7104	-1.7907	-0.2368	-4.2796	-1.8029	-1.9802	-7.0709	-2.3729	-2.7495	-1.7571	5.5762	6.2671	4.3344	4.6397	6.7925	2.3911	1.0759	-1.718	2.0885	3.9614	0.7732	4.4568	2.5946	5.5874	1.7118	0.8527	2.3803
D01-OR-R3	-5.0254	-9.4967	-3.0654	-4.1704	-1.2173	-6.0244	-3.5899	0.4291	1.5971	1.2887	1.0221	-2.6037	-7.4472	1.9439	-4.2196	-1.5179	5.8664	7.6304	4.5621	2.7163	7.5315	2.3083	-4.474	-5.4674	2.5365	3.0366	-2.2633	7.5276	6.1998	-1.9859	2.3311	-1.1501	5.1911
D09-OF-R2	-5.7191	-10.6853	1.4883	2.8732	1.931	-7.5598	-5.6435	3.7566	0.7966	-4.6516	-2.1953	-4.2067	-8.5487	-1.6836	-5.5378	-2.671	4.344	5.3643	3.1071	1.9619	5.4827	1.5766	1.2595	-0.7443	1.813	3.2202	1.0811	7.7611	4.6317	0.369	3.1244	-0.2508	4.1551
D10-NF-R3	-6.4943	-10.1035	-2.5541	-4.6769	2.4749	-7.0697	-5.7503	-7.3948	-5.3111	-2.7574	-0.3819	-2.7603	-6.9698	1.5369	-1.033	-1.9118	5.6162	7.7527	4.2718	2.4286	6.9098	3.0305	4.504	3.037	-4.1031	1.2429	6.0195	8.5849	3.0015	1.1431	1.3172	2.598	3.8024
D07-NF-R1	-6.8805	-10.3799	-3.8323	-4.0146	-1.5922	-5.9991	0.758	0.7055	1.9337	-4.3428	-0.7947	-2.7275	-7.3026	2.1936	-0.4399	-1.42	4.7351	7.736	4.5416	3.1927	8.0595	4.7283	-3.6796	-2.256	-3.9629	4.7985	-2.5214	7.0637	5.0593	-2.2984	2.1569	2.8094	3.9727
D09-ZF-R2	-6.2405	-11.3378	1.1807	2.6306	1.8692	-7.4064	-5.9091	2.9746	1.0659	-5.4653	-2.0537	-4.176	-8.1071	-0.7934	-5.3816	-2.2622	4.3289	6.0951	3.5124	2.374	6.6738	1.7256	2.2833	-0.0822	1.7745	4.4834	2.2384	6.8489	3.4964	-0.5195	2.031	-1.0906	3.2386
D08-OH-R3	-6.9306	-11.2115	-4.2833	-3.6126	-0.4391	-5.7079	-5.2911	2.6512	1.9803	-0.176	-0.5856	-2.3768	-7.8507	0.8515	-3.8816	0.6119	5.4683	6.4672	3.5071	3.5388	7.8398	1.9971	-3.9147	3.1007	-3.9364	0.72	1.7801	9.028	6.7325	-0.8239	3.7594	-4.2693	5.2573
D08-ZR-R1	-6.9074	-10.608	-4.7601	-3.9502	-1.1342	-5.9259	-5.2367	2.5696	1.4986	-0.0484	-0.6766	-2.9808	-7.796	0.251	-3.452	0.1344	5.4034	6.715	3.9556	3.5808	7.2584	2.1991	-4.0809	4.0096	-3.712	0.6019	2.6408	9.0813	6.6344	-0.7234	3.9035	-3.6986	5.2539
D08-ZF-R2	-6.6596	-11.3558	-4.6285	-3.7532	-1.1013	-5.6442	-4.9596	1.6176	1.0114	-0.9	-0.4815	-2.5828	-7.7627	1.6233	-3.3295	0.59	5.5913	7.9067	4.6609	2.6933	7.984	2.8192	-3.7672	2.9426	-3.6052	2.4068	3.845	8.1774	5.5213	-1.371	2.8087	-4.6233	4.3259
D08-ZF-R3	-5.8035	-10.3494	-4.6883	-3.9585	-1.0877	-5.5154	-5.3169	1.5203	0.9898	-0.9636	-1.1278	-2.373	-7.0989	1.5364	-3.4746	0.2871	5.4861	7.7788	4.4837	2.7884	7.9124	2.7217	-4.0252	2.7663	-3.7966	2.3322	3.7752	8.1697	5.7054	-1.4788	2.9332	-4.503	4.3748
D02-NF-R3	-5.95	-10.0755	-1.3225	-3.6048	-2.3592	-6.7812	-4.2881	0.2102	0.1441	-3.044	-0.8377	-2.2742	-7.155	3.0046	1.3346	-1.3326	5.5967	7.2392	4.4649	4.0533	7.0856	2.1861	-4.2103	2.3342	0.158	3.3718	0.8565	7.8541	2.8561	-1.1133	2.265	-4.6296	3.9631
D08-ZR-R2	-5.9963	-10.9353	-4.6589	-4.1583	-1.1403	-5.6634	-5.3192	2.1499	1.3006	-0.7193	-0.7192	-2.522	-7.2828	1.6725	-3.4579	0.1123	5.257	7.6475	4.4508	2.6189	7.6632	2.7622	-4.0242	3.3542	-3.8991	2.323	3.7241	8.2501	5.5936	-1.3836	2.9823	-4.3278	4.3452
D02-OH-R2	-5.6894	-6.7884	-0.6661	-4.2592	-2.3749	-6.7015	-4.4632	-0.0693	-0.4691	-3.0406	-1.3524	-2.6596	-7.52	2.9549	0.9393	-1.5328	5.4106	7.0938	3.9891	4.4333	6.9798	1.5853	-4.2202	2.0329	-0.2381	2.6756	0.1145	8.1771	3.4233	-0.6604	2.5555	-3.9512	4.2912
D09-ZR-R1	-5.5964	-11.4519	1.3657	2.7745	2.0674	-6.7135	-5.9137	3.3806	1.3725	-4.8778	-1.9614	-4.3099	-8.3216	-2.2372	-5.5865	-2.5218	4.5044	5.1464	3.0923	2.4658	5.9872	0.8583	2.0816	0.5195	2.1143	3.1903	1.0394	7.4316	4.1089	0.0867	2.5293	-0.4766	3.8514
D07-ZH-R3	-6.4084	-10.2045	-3.6525	-3.9783	-1.6842	-5.7945	4.944	1.95	1.1963	-3.9719	-0.7456	-2.7565	-6.993	0.4223	-2.8823	-1.5851	5.1952	7.3006	4.6578	3.8091	7.9012	3.2543	-3.733	-2.1892	-3.7595	3.5692	-3.3334	7.3261	5.4966	-2.0701	2.3292	2.2344	4.1557
D05-ZF-R2	-5.1782	-8.5026	-5.6299	-2.4473	0.8788	-5.9942	-4.5606	2.6714	0.4941	2.5672	-2.2596	-3.6759	-7.7444	1.604	-4.3784	-2.3532	5.1103	6.4596	3.2984	2.3727	5.9945	0.9718	-4.2472	-4.6676	4.126	4.9701	2.6491	7.4092	3.7102	-1.3164	0.6853	1.1185	5.8641
D06-ZH-R3	-7.0793	-9.4835	-3.6841	-2.6137	-0.417	-4.6095	-3.795	-1.5574	-4.2055	-4.119	-0.3283	-2.2784	-6.8766	0.9533	-3.5617	-1.821	5.626	7.572	5.2773	4.9861	8.3842	2.6372	-3.5688	-3.6859	5.0078	6.3576	4.5708	9.2828	7.0209	-0.4465	-1.2392	-5.6607	3.3553
D09-ZF-R1	-6.4619	-11.2599	0.9934	2.5022	1.6206	-7.2661	-6.0513	2.7226	0.8856	-5.5286	-1.8649	-3.918	-8.1594	-0.1623	-5.218	-2.4851	4.449	6.2654	3.7546	1.8414	6.5789	2.0928	2.3264	0.0023	1.9888	4.664	2.3537	6.7713	3.1719	-0.4676	2.0349	-1.2374	3.0604
D03-NF-R3	-6.5972	-11.0186	-1.2787	-4.2142	-1.0708	-6.4311	-5.8699	-0.8561	-2.4534	-1.5687	-1.6165	-3.5154	-8.3439	2.3996	-3.9263	0.9138	4.7126	6.8525	3.7318	2.2836	6.5581	2.5611	5.3506	0.5269	2.1855	2.9046	4.3886	5.4149	2.9202	6.6041	-4.0493	0.898	1.6035
D08-OH-R1	-6.1784	-10.7141	-4.049	-3.5002	-0.5482	-5.6331	-5.3017	2.6258	1.7657	-0.1871	-1.6156	-2.6235	-7.4277	0.5323	-3.9365	0.7651	5.3676	6.3501	3.4533	3.3417	7.8396	2.1365	-3.8371	2.9018	-3.9441	0.809	1.6076	9.0316	6.6946	-0.7779	3.9583	-4.0717	5.1651
D01-ZR-R1	-5.924	-8.7881	-3.9447	-3.779	-1.1765	-5.622	-4.1647	0.5201	1.3646	2.3872	0.5165	-2.9932	-7.5132	0.9173	-4.301	-1.3052	5.5543	7.6034	4.4485	2.9361	8.0374	2.2037	-4.0704	-5.1837	2.9069	3.2278	-2.204	7.2744	6.3626	-1.8929	2.4063	-0.7652	4.9609
