Saccharomyces	Cryptococcus	Acinetobacter	Pseudomonas	Escherichia	Salmonella	Shigella	Bradyrhizobium	Azospirillum	Sutterella	Akkermansia	unclassified Lentisphaeria	Firmicutes: environmental samples	Staphylococcus	Bacillus	Listeria	Streptococcus	Lactobacillus	Enterococcus	Clostridium	unclassified Clostridiaceae	Butyricicoccus	Clostridiales: environmental samples	Butyrivibrio	Roseburia	Coprococcus	unclassified Lachnospiraceae	Dorea	Anaerostipes	Blautia	Fusicatenibacter	Lachnoclostridium	Eubacterium	Oscillibacter	unclassified Oscillospiraceae	Ruminococcus	Gemmiger	Faecalibacterium	Subdoligranulum	unclassified Ruminococcaceae	unclassified Clostridiales (miscellaneous)	Coprobacillus	unclassified Erysipelotrichaceae	Mitsuokella	Megamonas	Phascolarctobacterium	Megasphaera	Dialister	unclassified Firmicutes sensu stricto (miscellaneous)	Bifidobacterium	Collinsella	Bacteroides	unclassified Bacteroidaceae	Alistipes	Prevotella	Odoribacter	Barnesiella	Parabacteroides
D04-ZR-R1	-6.1423	-9.422	-1.0152	-3.5321	-3.0031	-4.5509	-12.2383	-6.0864	-6.2791	-2.2577	-4.7707	2.0421	2.3673	-1.6248	-2.741	-7.7278	-2.4836	-3.3669	-1.8334	4.6024	2.2894	1.267	2.7516	2.979	4.1706	5.4223	3.9801	1.2365	-0.026	3.3384	-1.2615	-0.1415	3.9474	4.246	2.9307	3.4608	-0.003	5.5516	0.5931	3.9995	4.0941	-1.6597	2.1126	3.3312	-6.8167	-1.7827	-3.5881	1.6068	2.7268	4.4491	1.418	4.2575	-3.4435	2.5546	6.2162	1.3382	0.2359	2.2811
D10-NF-R1	-6.3555	-10.4825	-2.3097	-4.3561	-2.073	-5.2665	-12.2283	-7.9885	-6.3583	-9.5331	-2.4528	-9.5876	3.4459	0.0725	-2.4775	-6.3838	1.2485	-0.5682	-0.9872	5.1513	3.6601	4.0558	-1.1524	-1.663	6.1075	5.1007	4.2779	4.1288	3.9119	6.8236	-0.4227	4.0999	5.0807	1.9156	-1.4774	6.8924	-0.4363	0.4827	2.4055	4.9523	4.9301	1.4825	1.1867	-9.0816	4.852	3.2226	-7.1453	-6.7978	3.1797	1.8689	6.3366	8.797	-1.5665	3.2705	-1.1039	1.376	2.2817	3.6581
D02-OF-R1	-4.8655	-6.4889	0.1762	-3.8205	-3.8039	-6.1119	-12.6166	-7.3203	-5.0824	-6.5833	-2.2029	-8.71	1.7207	-0.6127	-2.219	-6.8721	3.76	1.1291	-1.1729	5.4549	2.7148	2.0535	2.5164	-1.8047	4.8373	1.9625	5.0919	1.575	1.4107	5.4487	2.327	1.7153	4.4103	3.7354	4.4074	6.0793	2.8374	5.5022	2.5031	3.4195	4.8047	0.9711	-1.1391	-7.8914	-8.884	2.2911	-6.9322	-7.1214	4.4393	3.2085	-0.1228	9.4308	0.6106	4.5721	-0.3043	2.9214	-2.8558	5.5005
D02-OF-R3	-4.6185	-6.636	-0.6502	-3.8864	-4.1549	-6.1556	-13.0552	-7.4889	-3.8923	-6.7198	-2.6513	-8.2486	1.779	0.1656	-2.3155	-7.321	3.676	1.5855	-0.6652	5.7074	2.815	1.6787	2.0034	-1.568	5.0635	2.5375	5.4802	2.0107	2.4252	5.9631	2.5698	1.7935	4.7747	3.2526	3.6165	6.2889	3.3004	5.746	2.9103	3.2687	4.5589	1.7566	-0.8946	-8.6293	-8.9881	2.7016	-6.9137	-6.5068	4.5434	3.3664	0.2669	8.6333	-0.1138	3.8229	-1.0594	1.9291	-3.6161	4.7578
D06-ZR-R2	-9.1045	-10.1071	-3.9318	-2.5869	-1.0216	-4.259	-10.9312	-5.7846	-5.1451	-1.9502	-5.0684	-7.7017	3.1457	1.0572	-2.79	-7.3696	0.0484	-3.4098	-1.9448	5.3341	2.8443	2.8572	0.6865	-1.9988	3.2742	2.2256	5.9914	3.4263	2.6395	5.9692	2.9367	3.3141	5.4173	4.7659	2.6492	6.814	1.5299	6.7422	2.8114	3.8699	4.8991	0.7742	0.0036	-6.2712	-7.9334	-5.4804	-5.0453	5.4241	3.3892	6.0229	3.8122	9.6782	-3.4201	7.2954	0.1846	-2.2334	-10.1407	3.7961
D06-ZF-R2	-5.9935	-10.0961	-4.286	-2.5745	-2.0766	-4.673	-12.668	-6.052	-4.0273	-2.7194	-5.3175	-8.1101	3.0554	1.0833	-2.6805	-6.9848	1.0692	-3.5029	-1.6648	5.1174	2.4957	3.3671	0.5958	-1.7972	2.9064	2.8033	6.5044	4.1743	4.0753	6.989	4.0911	2.8863	5.6661	4.0347	1.9868	7.143	2.002	7.9119	2.6534	4.1625	4.6094	1.8171	-0.0435	-6.8458	-8.3072	-4.9357	-5.8585	4.397	3.2496	7.0124	4.5935	9.0386	-4.0142	6.4362	-2.0899	-2.6112	-10.8759	2.8776
D09-ZH-R2	-5.6527	-11.8061	2.6951	4.3352	2.9347	-6.7494	-11.5698	-7.3025	-6.24	3.3787	-4.7559	-4.4027	1.9836	-2.8171	-3.8988	-7.9851	-1.1455	-5.1414	-2.1392	4.5325	2.5216	1.7258	-1.589	-3.8005	3.0685	1.368	3.6414	2.3622	1.8475	4.3583	-0.2128	0.9553	3.8011	2.5756	-2.5414	3.9746	1.5739	6.4358	1.5955	2.9043	3.5397	1.0469	-2.7796	2.4371	-5.6004	0.496	-5.9192	2.283	2.1493	3.8332	1.7023	7.6059	4.3843	4.3174	-0.492	2.4609	-0.273	3.9893
D01-ZR-R3	-5.3346	-9.0793	-3.2013	-3.7768	-2.1602	-6.4294	-13.3219	-6.3223	-3.9015	-6.145	1.3389	-8.4826	2.7972	1.1949	-2.8515	-6.9608	1.6155	-4.1093	-0.76	5.5342	3.8668	2.4888	1.0645	-1.9994	6.5379	3.6376	5.4544	3.7577	3.2428	6.6119	4.1109	2.0274	4.8562	2.3458	-0.3196	6.9404	2.7033	7.0307	3.0142	5.3476	4.4841	-0.7836	0.3182	-7.3419	-7.6409	-6.7798	-6.7395	2.6438	1.9222	3.4725	-3.0439	7.4422	-0.0412	5.9763	-2.7014	2.2619	-0.8889	5.0758
D10-OH-R1	-6.3851	-10.4626	-2.0875	-4.2107	-1.9006	-5.1094	-12.9082	-7.8377	-6.5836	-8.7164	-1.9176	-9.5651	3.0484	-0.1979	-2.6069	-6.65	1.6127	-0.8012	-1.515	5.1002	3.6572	3.2267	-1.0978	-1.7646	5.6982	5.0921	4.2316	3.6757	3.4693	6.4961	-0.8224	3.7969	4.182	3.1798	-1.1447	6.4425	-0.2017	0.4493	2.5576	4.6885	4.8254	0.7772	0.9239	-9.093	4.9021	4.0254	-6.8542	-6.395	2.6667	1.387	5.7886	9.1229	-0.8267	4.0649	-1.1294	1.9707	3.1781	4.5474
PCO-B1-R3	1.4515	-2.1039	-3.4237	6.332	5.3314	6.6072	1.6388	-7.7362	-8.0319	-10.935	-4.1311	-12.0617	0.7286	5.1876	4.9978	4.5116	0.125	3.8034	5.202	2.9987	1.4424	1.4841	-3.3164	-3.9855	3.2689	2.4271	1.9407	1.659	0.8199	4.398	-2.7576	1.7047	2.2894	0.9437	-3.3818	4.476	-2.6687	-1.7569	0.398	2.4161	2.5567	-1.0115	-1.1875	-11.0156	2.8764	1.5389	-9.0748	-9.0079	0.3277	-0.386	3.5696	7.3419	-2.4971	1.5747	-3.0179	0.4466	1.7627	2.9098
