Saccharomycetales	Tremellales	Pseudomonadales	Enterobacterales	Rhizobiales	Rhodospirillales	Burkholderiales	Desulfovibrionales	Verrucomicrobiales	Bacillales	Lactobacillales	Clostridiales	Erysipelotrichales	Selenomonadales	Acidaminococcales	Veillonellales	Bifidobacteriales	Coriobacteriales	Eggerthellales	Bacteroidales
D04-ZR-R1	-3.5723	-7.5616	-0.8918	-0.7567	-1.861	-3.9935	-0.9948	-0.0836	-4.5548	-0.007	-0.6865	8.0244	2.4494	3.2499	-1.1931	1.9297	4.3271	2.1796	-2.6935	6.6901
D10-NF-R1	-4.4573	-8.8388	-2.2871	0.6738	-3.7383	-4.9628	-3.6619	-5.0751	-2.7235	0.2013	1.8139	8.9578	3.3992	4.5491	2.9207	-4.1521	1.5683	6.2106	1.007	8.5953
D02-OF-R1	-3.3825	-6.4908	-0.1695	-2.0157	-3.4905	-4.4103	0.5464	-0.3958	-2.5956	-0.3509	3.6985	8.2816	1.3345	-4.3869	1.8584	0.0456	2.7787	-0.2959	0.2685	9.1723
D02-OF-R3	-3.6373	-6.6914	-0.9034	-2.5065	-3.6682	-3.7451	0.0745	-0.494	-3.0021	0.1877	3.7793	8.507	1.9349	-4.3477	2.2979	-0.286	2.9678	0.1169	1.0088	8.407
D06-ZR-R2	-4.1466	-8.1035	-2.4633	-0.0896	-2.5099	-3.8048	-0.8885	-4.444	-4.9511	0.8752	0.3572	8.8608	2.1656	-2.3443	-3.8823	5.0163	5.5724	3.6193	1.6555	9.5058
D06-ZF-R2	-3.9175	-8.3005	-2.5761	-0.695	-2.7602	-3.4214	-1.528	-4.3098	-5.1228	0.901	1.1563	9.3672	2.3407	-2.8335	-4.0394	3.9844	6.5577	4.4084	1.9635	8.8251
D09-ZH-R2	-4.289	-9.9639	4.1306	2.3457	-4.5075	-5.3549	2.9318	0.7827	-5.1793	-2.3384	-0.7681	7.3377	0.9542	1.8586	-0.0239	1.8169	3.2272	1.2424	-1.6402	7.4375
D01-ZR-R3	-3.7868	-8.0957	-2.658	-1.1321	-3.2544	-3.4384	0.5223	0.9467	1.1041	1.1441	1.8925	9.3405	2.5009	-3.6009	-5.2872	2.4548	3.2334	-1.844	2.0641	7.8942
D10-OH-R1	-4.2898	-9.1564	-2.1259	0.9612	-3.7932	-5.1512	-3.7971	-4.6981	-2.2444	-0.0503	2.0003	8.604	2.8845	4.5494	3.672	-3.7754	1.0353	5.6081	0.8523	8.9147
PCO-B1-R3	0.5633	-2.9697	5.4395	6.2594	-5.1082	-6.5245	-4.6269	-7.2334	-4.9758	5.6178	4.8088	5.9055	0.4243	1.9852	0.6475	-6.191	-1.2761	2.8525	-2.1877	6.5896
