Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D04-ZR-R1	-3.1201	-5.2003	-0.9245	-1.3155	-0.7849	5.4552	1.9349	3.9552
D10-NF-R1	-2.4312	-4.6558	0.1965	-3.7005	-10.4034	8.1259	5.2963	7.5722
D02-OF-R1	-2.103	-4.2957	1.6162	-3.7199	-8.6829	7.2395	1.9875	7.9583
D02-OF-R3	-2.2722	-4.483	1.2302	-3.9064	-8.0968	7.6585	2.4778	7.392
D06-ZR-R2	-2.5657	-4.634	0.086	-4.2506	-8.4909	7.4671	4.4355	7.9527
D06-ZF-R2	-2.6753	-4.7594	-0.2971	-3.9673	-8.843	7.9027	5.3595	7.28
D09-ZH-R2	-3.2252	-5.7813	3.5043	-6.3063	-2.2034	5.9678	2.1122	5.9318
D01-ZR-R3	-2.7969	-4.8883	1.2084	-0.5796	-9.0766	7.7074	2.223	6.2026
D10-OH-R1	-2.4978	-4.7093	0.3886	-3.2559	-10.2698	7.7888	4.6891	7.8662
PCO-B1-R3	-0.0546	-3.5072	6.2457	-5.5609	-11.9238	6.5326	2.3421	5.9262
D04-OH-R1	-2.5196	-4.7708	-0.9603	-2.2317	-0.7018	5.7534	1.6409	3.7898
D01-OR-R3	-2.774	-5.1202	1.412	-0.4396	-8.9859	7.3091	2.1047	6.494
D09-OF-R2	-3.2776	-5.7688	3.1531	-6.0485	-1.6421	5.3812	1.8532	6.3495
D10-NF-R3	-2.8044	-4.8536	1.5568	-3.7782	-10.6449	7.875	5.0358	7.6134
D07-NF-R1	-2.9255	-5.2983	1.484	-5.4751	-4.8318	7.6502	3.3873	6.0091
D09-ZF-R2	-3.4252	-5.9764	2.9663	-6.4338	-2.4053	6.3773	3.2701	5.6269
D08-OH-R3	-3.0777	-4.807	1.9502	-1.758	-8.4945	7.1649	1.2606	7.7614
D08-ZR-R1	-3.0733	-4.974	1.7565	-1.5665	-8.6483	7.0195	1.638	7.848
D08-ZF-R2	-2.6918	-4.3191	1.0788	-2.3375	-9.079	7.6424	2.854	6.8522
D08-ZF-R3	-2.7543	-4.6995	1.1441	-2.2755	-8.9777	7.672	2.8928	6.9983
D02-NF-R3	-2.3653	-4.5719	1.4524	-3.9333	-8.1412	7.7368	2.8955	6.9269
D08-ZR-R2	-2.8449	-4.624	1.4648	-2.1657	-9.1316	7.4719	2.8212	7.0083
D02-OH-R2	-2.2598	-4.2791	1.3163	-3.9128	-7.9899	7.6355	2.2132	7.2766
D09-ZR-R1	-3.3471	-5.8475	3.199	-6.0372	-1.8929	5.7741	1.9783	6.1733
D07-ZH-R3	-3.4968	-5.886	2.9771	-5.8381	-1.5709	6.7188	1.5208	5.5752
D05-ZF-R2	-2.9763	-5.2541	1.3875	0.522	-8.7799	5.9393	3.2682	5.8933
D06-ZH-R3	-2.7316	-4.6899	0.0721	-4.3871	-8.6487	7.731	4.9628	7.6915
D09-ZF-R1	-3.2635	-5.6885	2.7756	-6.4665	-2.7518	6.4166	3.4448	5.5334
D03-NF-R3	-2.7163	-4.6495	0.434	-2.2444	-8.8848	7.555	4.0624	6.4436
D08-OH-R1	-2.9112	-4.8311	1.9237	-1.7068	-8.6777	7.1775	1.2123	7.8134
D01-ZR-R1	-3.1204	-5.2213	1.208	0.5062	-9.0656	7.3173	2.1593	6.2164
D05-OH-R1	-2.7068	-4.9072	1.1671	0.0705	-8.6757	5.9459	3.3638	5.7423
D05-OF-R3	-2.8212	-4.9902	1.1397	-0.2145	-8.8425	6.1765	3.6749	5.8774
D06-ZR-R3	-2.6711	-4.7563	-0.3442	-3.9261	-8.8607	7.7253	5.7281	7.1051
D08-NF-R1	-2.8639	-4.9756	1.7294	-2.2313	-8.8946	7.3547	2.9452	6.936
D08-ZH-R3	-3.4689	-4.7844	1.2926	-2.4183	-5.7779	6.4633	1.6945	6.999
D09-OF-R3	-3.4063	-5.8873	2.8444	-6.4145	-2.2477	6.3859	3.0843	5.641
D02-OR-R2	-2.0355	-4.1893	1.7675	-3.6382	-8.5861	7.4149	1.3952	7.8714
D03-ZH-R1	-3.0912	-4.8757	0.6752	-1.7438	-8.5254	6.7919	3.7602	7.0088
PCO-B1-R2	2.4417	-0.5766	9.9357	-6.4502	-9.5894	8.5926	-0.8853	-3.4685
D09-NF-R3	-3.6953	-6.2948	3.3001	-6.6432	-2.0627	6.4731	3.6736	5.2493
D01-ZF-R1	-3.107	-5.3261	1.2124	0.9439	-8.9765	7.2029	1.5971	6.4533
D04-NF-R3	-2.8865	-5.0139	-0.8977	-3.0231	-1.4256	6.3834	3.7954	3.068
D04-ZH-R3	-2.9598	-5.1613	-1.1241	-1.6077	-0.8798	5.4162	2.5914	3.7251
D09-OR-R3	-3.3783	-5.8315	3.1778	-6.4656	-2.2919	6.1961	2.8502	5.7432
D02-OF-R2	-2.4615	-4.5833	1.2591	-3.8749	-8.2121	7.7315	2.7978	7.3434
D07-ZH-R1	-3.4697	-5.8491	3.2851	-5.6104	-1.2965	6.5297	0.363	6.0479
D05-ZR-R1	-2.9261	-5.2538	1.3941	0.6464	-8.6873	5.7587	3.3179	5.7499
D10-OH-R2	-2.6365	-4.969	0.7663	-3.0932	-10.2635	7.6272	4.3561	8.2126
