Saccharomyces cerevisiae	Cryptococcus neoformans	Acinetobacter baumannii	Pseudomonas aeruginosa	Escherichia coli	Salmonella enterica	Azospirillum sp. 51_20	Sutterella wadsworthensis	Akkermansia muciniphila	Lentisphaeria bacterium	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:103	Staphylococcus aureus	Bacillus subtilis	Listeria monocytogenes	Streptococcus thermophilus	Lactobacillus fermentum	Enterococcus faecalis	uncultured Clostridium sp.	Clostridium sp. CAG:138	Clostridium sp. CAG:217	Clostridium sp. CAG:354	Clostridium sp. CAG:356	Clostridium sp. 28_12	Clostridiaceae bacterium	uncultured Clostridiales bacterium	Butyrivibrio crossotus	Roseburia intestinalis	Roseburia faecis	Roseburia inulinivorans	Roseburia sp. CAG:50	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	Coprococcus sp. CAG:131	Coprococcus sp.	Coprococcus sp. AF16-22	Coprococcus sp. AF16-5	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	Anaerostipes hadrus	[Ruminococcus] gnavus	[Ruminococcus] torques	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Blautia sp. AF19-1	Blautia sp. BIOML-A1	Fusicatenibacter saccharivorans	[Eubacterium] eligens	Eubacterium ramulus	Eubacterium sp. CAG:202	Eubacterium sp. CAG:251	Eubacterium sp. CAG:86	Eubacterium sp.	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Oscillospiraceae bacterium UBA6409	Ruminococcus callidus	Ruminococcus lactaris	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp. AM28-13	Gemmiger formicilis	Faecalibacterium prausnitzii	Faecalibacterium sp. CAG:82-related_59_9	Faecalibacterium sp.	Faecalibacterium sp. AF27-11BH	Faecalibacterium sp. BIOML-A1	Subdoligranulum sp. 60_17	Ruminococcaceae bacterium	Clostridiales bacterium	Clostridiales bacterium UBA7739	Clostridiales bacterium CCNA10	Coprobacillus sp. AF21-8LB	Erysipelotrichaceae bacterium	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Phascolarctobacterium faecium	Megasphaera massiliensis	Dialister invisus CAG:218	Dialister sp. Marseille-P5638	Firmicutes bacterium CAG:65_45_313	Firmicutes bacterium AF22-6AC	Bifidobacterium adolescentis	Bifidobacterium animalis	Bifidobacterium pseudocatenulatum	Bifidobacterium longum	Collinsella aerofaciens	Collinsella stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides massiliensis	Bacteroides cellulosilyticus	Bacteroides plebeius	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides dorei	Bacteroides xylanisolvens	Bacteroides faecis	Bacteroides mediterraneensis	Bacteroides cellulosilyticus CAG:158	Bacteroides coprocola CAG:162	Bacteroides sp.	Bacteroides sp. UNK.MGS-14	Bacteroides sp. NMBE5	Bacteroides sp. AF39-10AT	Bacteroides sp. AM16-15	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes finegoldii	Alistipes onderdonkii	Alistipes shahii	Alistipes senegalensis	Alistipes finegoldii CAG:68	Alistipes putredinis CAG:67	Alistipes sp.	Alistipes sp. 3BBH6	Prevotella copri	Prevotella sp.	Prevotella sp. AM23-5	Odoribacter splanchnicus	Barnesiella intestinihominis	Parabacteroides distasonis	Parabacteroides merdae	Parabacteroides massiliensis
D04-ZR-R1	-4.8337	-7.9328	0.9539	-3.5484	-1.0306	-3.295	-5.7289	-1.1361	-4.0565	4.0211	-4.5693	0.0161	0.2637	-5.4915	-6.0703	-3.0919	-5.3571	-2.0241	4.0324	5.1728	0.6067	-6.6597	-4.5608	-5.9483	4.0959	4.7318	4.7355	2.3391	3.5005	3.818	-3.8547	4.8384	3.2782	1.926	4.3274	5.0233	4.3963	4.3441	4.6596	4.7722	4.4438	2.4305	1.9438	-0.372	2.8104	1.4686	1.6319	3.1963	0.2213	-1.5601	0.6837	3.7469	0.0089	-7.863	3.2477	2.0697	4.3024	5.9841	2.7273	2.6821	2.9929	-1.2761	-5.2363	3.5945	-5.9901	1.977	7.0196	3.5518	4.0067	2.532	2.2385	0.0345	5.5802	4.9393	2.3557	1.4313	-3.4583	3.9245	-5.4511	-12.7919	-14.3907	-2.3314	-7.748	-10.4537	-2.96	1.1231	1.293	5.9482	-0.7902	1.9498	3.3531	1.3555	-5.8791	2.3462	3.136	2.1803	-1.1489	2.7668	-0.97	2.5157	-3.4641	-2.4475	-0.8356	-12.1363	-0.874	-0.6876	4.1695	1.5133	-4.8703	-4.7923	-6.4025	2.3453	-4.4379	-3.481	-6.4763	-4.6891	-1.4585	-3.0509	1.521	0.9819	0.5099	3.3707	0.9256	-4.3279	-2.4494	0.1459	7.2306	5.5322	5.9849	3.2389	0.9333	1.0664	-0.1625	3.8357
D10-NF-R1	-4.2279	-9.9429	-0.1294	-4.4902	0.1542	-3.1073	-10.0451	-7.9354	-1.2086	-7.6561	-1.4663	-5.4878	2.2038	-4.7141	-4.6151	3.0563	-1.4208	-0.6467	4.1535	-6.3118	-8.3827	-10.762	-12.1988	-10.3154	5.7928	1.0864	-1.6116	7.3978	0.096	0.5568	6.4955	-1.5616	6.0123	6.243	-3.7774	-2.9633	-2.6574	-1.6154	-4.5136	2.6181	5.5045	2.3335	6.1426	6.0575	5.6068	5.421	7.2764	7.0149	-0.734	0.7847	1.7658	0.8013	6.2943	-9.7996	-5.2469	-3.3457	-0.7122	1.3239	-4.7616	-5.6607	-5.3016	0.8509	-12.2009	5.6568	-5.0596	1.8017	2.454	-3.4462	-5.2684	-4.7348	-4.4766	-0.9729	7.165	5.2737	-5.3985	5.8187	-6.8507	-2.1004	5.2152	4.0476	6.3505	4.9968	-7.9375	-11.2849	-8.8032	-2.9748	-6.7658	-3.124	-10.6423	-4.3873	4.0718	7.5119	6.2401	2.0449	8.1474	9.4554	-0.5633	7.2909	0.963	6.1467	6.0805	7.22	3.6389	2.6551	6.232	7.3434	4.1305	5.0917	-0.9941	5.6399	5.1051	4.282	-1.8299	2.8474	2.7315	4.623	0.6753	4.4194	0.3518	3.7473	1.1322	-2.8443	0.5756	0.8225	0.7009	-4.188	-5.016	-1.4972	-8.3872	3.4679	4.1943	5.237	3.6465	0.7871
D02-OF-R1	-4.0377	-10.9556	1.5039	-3.2851	-2.4745	-5.0713	-12.3224	-9.9029	-1.9838	-7.6666	-5.4767	1.1117	0.6931	-6.5229	-6.8989	4.6629	-4.3334	-2.8249	4.1585	-4.2292	-9.9274	-3.0683	-3.705	-3.9884	3.7624	3.8525	-2.1658	4.7804	3.6683	1.1655	-1.182	-1.318	2.0157	1.5576	-5.8442	-1.9041	-5.4562	-2.3362	-4.8986	2.291	6.0646	1.9212	2.7367	2.767	3.2406	3.6263	2.8829	4.1132	2.1727	3.8508	3.5355	0.4558	-0.6433	-11.5888	-7.1761	1.9208	0.6864	4.3005	4.5175	4.5252	6.0177	-0.7916	-3.8505	6.1178	-4.9726	4.1732	6.6887	1.747	0.5574	-0.2891	0.2755	2.4058	4.3002	5.6208	3.4189	-1.4112	0.4738	-3.3126	-8.8288	-9.4989	-12.2848	2.3235	-10.1538	-12.9134	-9.7244	4.3544	4.7466	-5.4291	4.5349	-5.9912	-4.314	0.1378	-6.0632	5.5014	5.368	7.7911	-0.151	7.6535	8.4169	6.293	1.3252	5.947	3.4165	5.2295	5.1636	7.2032	4.2521	1.0529	0.8476	4.807	7.5024	6.0705	1.25	-0.25	2.8085	0.21	1.9472	-2.6984	2.564	2.5131	4.0107	-1.2933	3.2962	-1.5105	1.0908	-2.1149	-3.209	-0.8779	-5.0373	4.146	-2.6229	6.4873	4.2178	-2.0358
D02-OF-R3	-3.2608	-10.5809	0.7177	-3.1412	-2.7732	-5.0016	-3.83	-10.3187	-2.066	-7.0888	-5.6004	0.6438	1.5301	-5.7204	-6.908	4.521	-4.8828	-0.4605	4.3025	-4.8247	-9.8486	-3.79	-4.6564	-4.8252	3.91	3.3864	-1.887	4.8923	4.1154	1.1705	-0.5365	-1.0127	2.5894	2.1939	-5.12	-0.9313	-4.9537	-1.4316	-4.5352	2.6403	6.4989	2.4511	3.8008	2.9206	3.8956	4.1192	3.8952	4.6279	2.3761	4.7568	3.8425	0.771	-0.0511	-9.537	-8.0003	1.7925	0.7941	3.8145	3.7389	3.7286	6.0172	-0.5261	-4.2772	6.3994	-2.8697	4.6828	6.997	1.7584	0.6852	-0.1346	0.468	2.875	4.1708	5.3311	3.015	-1.6793	1.3274	-3.1877	-8.445	-10.7753	-12.2489	2.7925	-9.3795	-11.1379	-10.0137	4.4968	4.9186	-5.1117	4.7401	-5.5789	-3.9075	0.5399	-5.5332	4.6472	4.7013	7.0886	-0.7089	6.7745	7.803	5.54	0.5209	5.1371	2.6846	4.4717	4.3356	6.3944	3.4051	0.2812	0.0597	3.991	6.6838	5.2799	0.5715	-1.113	2.0075	-0.163	1.2701	-2.8185	1.8406	1.722	3.3321	-1.9918	2.5874	-2.3723	0.4426	-2.6461	-4.0786	-1.5491	-5.9237	3.192	-3.2683	5.7877	3.5356	-2.7274
D06-ZR-R2	-8.4299	-9.9939	-2.8063	-2.6499	0.6233	-2.648	-8.013	-2.0352	-3.5634	-6.9157	1.3133	4.3993	2.6925	-4.9414	-6.1047	-0.6552	-5.519	-2.2391	4.6891	-5.5582	-7.0544	-8.916	-10.5517	-11.4032	3.538	2.3311	-1.6734	1.3368	0.3165	3.3013	-4.4422	-1.5663	3.2344	0.2432	-10.5518	-2.5075	-5.0433	-4.7828	-4.4405	6.5452	6.2736	4.3472	4.2756	2.839	5.0207	4.6105	3.945	3.7853	4.4028	0.1558	4.5452	3.6607	-1.3506	-11.5467	-6.9578	5.6882	2.1693	5.3891	-3.3168	-3.7871	4.895	3.6636	5.1163	5.7993	5.1199	3.1738	8.0686	-0.9832	2.4618	3.8936	3.729	1.1608	4.2916	6.1252	2.0689	0.3915	-4.546	-3.4818	-9.5863	-9.9048	-11.5622	-9.5074	-7.4397	5.7949	-4.6682	1.4307	0.5524	6.3903	2.851	3.9899	6.452	4.3949	-5.1751	5.663	8.7155	9.7213	9.1033	8.4309	1.0073	6.6875	-2.6271	3.4188	1.4872	-6.028	1.2905	6.2193	2.1466	2.8869	-5.4686	-3.6982	-4.8678	1.4307	2.097	1.9963	-2.9841	-0.8889	-1.7768	8.0355	0.6285	5.5805	2.1718	-0.2956	-2.4682	4.8895	4.4752	6.8825	-2.9868	-3.0827	-8.7722	-1.7415	-11.2642	5.1397	2.751	-2.5727
D06-ZF-R2	-4.4064	-9.9249	-3.0811	-2.0786	-0.4303	-3.3274	-8.7727	-3.0471	-3.8039	-7.1898	1.408	4.0405	2.7223	-4.9389	-5.8605	1.1136	-6.4121	-1.5054	4.3919	-5.9698	-6.7956	-7.3948	-11.7628	-10.4081	2.9337	2.2415	-1.8676	0.994	0.2192	3.2492	-4.2569	-1.1458	3.8676	0.9249	-9.1739	-2.198	-4.207	-4.3219	-3.9296	7.4496	6.2028	5.1972	5.7191	3.5567	6.0726	5.347	5.2827	3.9154	5.5308	1.3805	5.7306	3.1452	-0.5681	-12.0808	-7.1143	4.9702	2.332	4.6974	-3.5089	-4.0609	5.1657	3.9557	4.8997	6.1089	4.9011	3.6483	9.2133	0.0164	3.5658	5.3314	5.168	1.8778	5.0281	5.6916	1.7187	-0.0524	-3.7937	-3.2196	-9.6491	-12.2443	-11.9772	-4.5536	-8.6248	4.7628	-5.4874	0.2116	-0.6443	7.4294	3.3212	4.9731	7.4333	5.1964	-4.3185	4.8521	8.0949	9.1445	8.4089	7.8266	0.9644	5.7158	-3.3348	2.4356	0.5824	-7.3001	0.5647	5.6622	1.5537	2.1587	-6.137	-4.4463	-7.1542	0.8998	1.5462	1.4326	0.4119	-1.7455	-2.3587	7.0848	-0.0888	4.923	1.1275	-1.2413	-2.0424	3.9146	3.5532	6.1835	-3.9338	-3.5114	-11.8041	-1.5851	-9.5299	4.2107	1.9089	-3.0933
D09-ZH-R2	-3.914	-12.4702	4.4843	6.1229	4.7238	-5.0148	-10.6656	5.168	-3.4382	-2.6903	-4.4973	1.919	-1.0571	-5.4773	-6.5976	-4.4374	-6.8077	-3.8508	3.6185	-5.136	-4.9585	4.1896	-13.1904	-12.3589	3.9264	0.1987	-3.2659	0.0553	3.5415	-0.8026	-0.7577	-2.946	1.2168	2.1663	-8.039	-4.6461	-4.213	-4.7935	-3.9032	4.6467	3.4413	3.4052	3.6348	0.1213	3.4597	2.7313	2.5348	3.7471	0.473	1.5975	1.2316	0.9176	-0.1048	-10.5326	2.3823	3.4609	2.5608	3.022	-5.6614	-5.7975	-4.2701	3.0751	0.1559	3.3365	0.5605	3.3636	7.8908	3.6932	3.7939	2.4001	3.033	1.6191	4.5516	4.7669	-0.4749	0.4901	1.9235	-4.4557	-3.8966	-9.4911	-13.1792	1.5525	-9.1149	-13.2613	4.0706	-3.611	-3.9391	5.1642	1.5029	-1.8012	3.1557	2.404	-6.4245	3.6922	6.836	5.0372	-0.0879	6.1286	0.2353	1.2829	-0.5023	4.4273	4.6763	-2.1589	3.2228	6.4105	3.1814	5.6268	5.6055	1.8362	-2.0601	2.6886	5.0502	-2.3389	1.0866	-0.4011	6.1737	4.0449	3.3752	3.4567	0.4709	2.9392	3.302	1.2559	1.6757	1.7001	-2.5868	-2.2334	-4.8862	4.0347	0.5193	5.495	2.7658	-2.2355
D01-ZR-R3	-3.4515	-12.0883	-1.4263	-3.6009	-0.2467	-4.5737	-9.4939	-7.0015	3.236	-6.8522	-0.2503	1.5245	1.5858	-5.1293	-5.4541	-1.6703	-5.6511	-0.2374	5.6859	-4.9833	2.3387	-7.6217	-6.6296	-7.1786	5.4162	2.9788	-1.6887	6.6123	6.3257	4.475	2.4475	-0.3512	3.0211	3.5167	-12.2679	-1.1726	0.1721	-1.429	-2.382	5.6783	6.1263	5.0262	5.15	2.0143	5.2135	5.0824	6.2763	5.9573	4.1563	-0.6806	6.0105	4.3586	2.5251	-6.615	-4.6826	1.2067	4.002	1.4288	-4.1077	-5.2439	-3.862	3.6495	6.239	6.2644	3.5745	4.6174	8.7262	-0.7029	2.2703	3.9643	3.826	2.4187	7.0586	5.1777	3.9709	0.6212	-3.577	-2.6538	-6.4716	-9.9728	-12.4293	-7.3125	-8.8821	3.244	-8.2344	0.8386	0.0132	-2.6039	-2.3212	-4.9688	5.3559	-3.4134	-4.3111	4.9124	3.8039	1.7055	-0.979	6.0467	-1.5141	6.482	-3.2433	6.2795	0.196	-5.4873	4.7311	3.2717	7.9075	0.0893	-3.2979	2.4308	-6.1489	-1.4819	-2.7714	-4.2658	-4.5849	-5.6968	1.873	6.2025	0.1694	6.6334	0.6689	-0.9296	-1.8611	1.794	3.9693	4.821	-4.3955	-4.7316	-8.268	4.0371	1.0174	6.6797	2.5357	-4.1015
D10-OH-R1	-5.4468	-8.8843	-0.1318	-4.5169	0.0918	-3.1911	-10.715	-8.2039	-0.6768	-8.0506	-1.8435	-6.0626	1.684	-4.517	-5.0917	3.272	-2.0327	-1.4499	3.9545	-6.7939	-8.6367	-10.1234	-12.6617	-8.2545	5.5321	0.9008	-2.1204	6.9955	-0.2674	0.0812	5.0395	-1.9244	5.6751	6.054	-4.7627	-3.0818	-2.9836	-2.0878	-4.578	2.3558	5.1361	1.8076	5.4591	6.1672	4.9503	4.6487	6.4709	6.4944	-1.2208	0.1737	1.1282	0.3613	4.8452	-11.6096	-5.7759	-3.8982	-1.1148	1.3743	-3.9698	-5.3638	-5.6902	0.2098	-9.1197	4.9973	-5.7327	1.7977	2.1676	-3.4346	-5.1147	-4.86	-4.6759	-0.9	6.6536	5.042	-5.4456	5.598	-7.6807	-2.5465	5.0041	3.866	6.1697	5.5656	-7.7907	-10.002	-8.3013	-3.2257	-6.3526	-3.4237	-3.642	-5.3458	3.3338	6.9036	4.4857	2.5566	7.9912	9.4177	-0.3653	7.7006	1.0696	6.726	6.3393	7.2266	4.3877	2.9188	6.2531	7.3503	4.1246	5.9965	-0.7112	5.659	5.4916	4.6046	-2.1362	2.771	2.776	4.8949	1.1736	4.8579	1.5187	3.8648	2.4983	-1.6025	1.7309	1.3105	1.2132	-2.8763	-4.4846	-1.0915	-7.803	3.8086	4.8599	5.9615	4.3076	0.5897
PCO-B1-R3	4.6149	1.1755	-0.2019	9.6005	8.6037	9.8788	-9.5834	-9.9641	-1.7247	-9.1661	-3.3883	-6.9476	8.4603	8.2452	7.7912	3.1302	7.0595	8.4645	3.2845	-7.8139	-10.1256	-10.4888	-12.0182	-9.4872	4.5749	-0.0373	-3.1041	5.6283	-1.393	-0.904	4.6814	-2.9959	4.3492	4.6178	-6.0538	-3.8614	-4.2429	-3.0969	-5.56	1.4957	3.9852	0.8198	4.0839	4.3637	4.7335	3.8943	5.8437	5.6977	-1.8198	-0.5805	0.4741	-0.7394	4.4716	-12.1723	-6.822	-4.6401	-2.0672	0.5119	-4.5468	-6.1517	-6.5423	-0.6017	-10.1725	4.25	-6.6763	0.6142	1.2426	-4.4118	-6.3238	-5.5923	-5.3146	-2.0855	5.6618	4.0833	-6.8433	4.4556	-8.4266	-3.3816	4.2869	3.1276	5.4101	4.3614	-10.6158	-12.0037	-9.84	-4.5779	-7.5371	-2.6146	-9.7866	-6.2451	2.8387	5.8644	4.1923	2.1609	7.2956	9.0104	-0.9841	7.1325	0.5381	6.4839	5.967	6.2562	3.7796	2.4667	5.2891	7.1292	3.5254	5.6085	-1.2629	4.6662	4.9613	4.0965	-2.567	2.3621	2.5067	4.5268	0.7834	3.4226	0.555	2.979	1.2176	-2.6589	0.8617	-0.1776	-0.1509	-3.8706	-5.1705	-1.6743	-8.7796	3.5741	4.733	5.7212	3.5143	0.5393
