Saccharomycetes	Tremellomycetes	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Verrucomicrobiae	Lentisphaeria	Bacilli	Clostridia	Erysipelotrichia	Negativicutes	Actinobacteria (1760)	Coriobacteriia	Bacteroidia
D04-ZR-R1	-4.6056	-6.8875	-1.0344	-1.9195	-1.7259	-0.7921	-5.7835	1.1135	-0.3594	7.1675	1.1866	2.9171	3.451	1.447	5.825
D10-NF-R1	-4.7125	-7.8697	0.4772	-2.5335	-2.9477	-3.693	-3.5813	-9.8095	1.6271	8.9739	2.7977	4.8455	1.6639	6.2687	8.4932
D02-OF-R1	-3.8347	-7.4372	0.9347	-2.4516	0.0111	-0.4652	-3.7003	-8.884	3.3265	8.0809	0.6752	1.3467	2.6787	0.8188	8.9005
D02-OF-R3	-4.2522	-7.654	-0.0361	-2.3265	-0.3887	-0.4922	-3.8955	-8.4397	3.4504	8.3745	1.3665	1.6602	2.9314	1.503	8.1989
D06-ZR-R2	-4.6398	-7.1195	-0.163	-1.8443	-1.2772	-3.1104	-5.0432	-7.9204	-0.0555	8.3142	1.1485	4.5072	4.9267	3.4052	8.8717
D06-ZF-R2	-4.5732	-7.2811	-0.5147	-1.8059	-1.8104	-3.0821	-5.2102	-8.3684	0.6644	8.8708	1.1954	3.5354	5.9672	4.1677	8.245
D09-ZH-R2	-5.2059	-8.691	3.3227	-3.5494	2.5198	0.3834	-5.75	-2.1842	-1.2449	6.8777	0.2189	2.5327	2.7553	1.0171	6.9978
D01-ZR-R3	-4.8307	-7.6624	-0.7433	-2.4272	-0.5476	0.3742	0.3323	-8.5632	1.3095	8.6763	1.0517	1.8479	2.4142	1.5962	7.1722
D10-OH-R1	-4.5361	-7.863	0.8106	-2.6302	-3.0383	-3.4302	-2.9371	-9.7414	1.8015	8.6401	2.1402	5.0201	1.2366	5.6881	8.8392
PCO-B1-R3	0.8893	-2.6248	6.9619	-3.6301	-3.7558	-5.254	-5.2924	-12.1313	6.2713	6.2495	0.2122	2.68	-0.6415	3.2303	6.8354
D04-OH-R1	-4.0282	-6.7668	-1.0398	-2.0048	-1.7561	-0.846	-5.2758	1.1804	0.2274	7.4984	1.0896	1.9319	3.1306	1.0304	5.6288
D01-OR-R3	-5.0215	-8.0401	-0.7546	-2.4393	-0.5324	0.9489	0.4598	-8.5194	1.6332	8.2564	0.8435	1.8719	2.1979	1.648	7.4478
D09-OF-R2	-5.0734	-8.6706	2.0334	-3.683	3.2468	0.2919	-5.4504	-1.5151	-1.4117	6.3983	0.7396	2.1149	2.6368	0.8219	7.5206
D10-NF-R3	-4.7604	-7.8201	0.5207	-2.6042	-3.0798	-3.5781	-3.4175	-10.0029	2.0566	8.9016	2.4077	4.9469	1.5107	6.1915	8.7272
D07-NF-R1	-4.658	-7.9064	-1.9922	0.1136	0.1186	1.1444	-5.5421	-4.0729	1.6564	8.2864	3.5856	-2.163	3.8901	0.8443	6.6952
D09-ZF-R2	-5.5954	-8.9535	1.9265	-3.5898	2.4268	0.5129	-6.0992	-2.5299	-0.8101	7.1484	0.8203	2.5714	3.8335	1.7944	6.5438
D08-OH-R3	-5.0814	-7.8151	-0.6887	-2.1343	2.0806	1.4114	-1.76	-7.8956	0.727	8.0354	0.4661	1.7388	0.4302	1.7691	8.7165
D08-ZR-R1	-4.9326	-7.7904	-1.0756	-2.4079	2.0368	0.9798	-1.5423	-7.9527	0.3371	7.824	0.6268	2.5508	0.2386	2.3099	8.7976
D08-ZF-R2	-4.5475	-7.7355	-1.1541	-2.4035	1.0256	0.4168	-2.4804	-8.4927	1.2789	8.5095	1.1697	1.5473	1.7039	3.4023	7.7598
D08-ZF-R3	-4.8187	-7.7341	-1.0471	-2.3278	1.0135	0.474	-2.4435	-8.5218	1.258	8.4978	1.1958	1.4667	1.7175	3.3976	7.8719
D02-NF-R3	-4.4791	-7.7346	-0.0431	-2.2634	-0.1984	0.0104	-4.109	-8.9518	3.1656	8.415	1.5209	1.6892	3.21	2.0873	7.6811
D08-ZR-R2	-4.7566	-8.0411	-1.3703	-2.6554	1.5595	0.7161	-2.3123	-8.6146	1.3054	8.2595	1.2047	1.9108	1.6205	3.3148	7.859
D02-OH-R2	-4.1209	-7.2088	0.2013	-2.1767	-0.3274	-0.4441	-3.945	-8.2197	3.1647	8.4037	1.0026	1.4263	2.6575	1.4528	8.1336
D09-ZR-R1	-5.1475	-8.6607	2.1289	-3.5151	2.9595	0.9393	-5.5054	-1.8646	-1.6023	6.6887	0.0921	2.7873	2.6761	0.7737	7.2499
D07-ZH-R3	-5.0028	-7.9368	-2.2404	3.8814	1.0399	0.1662	-5.3922	-0.3609	-0.1678	7.8319	1.7828	-2.3584	2.4306	-0.3513	6.6779
D05-ZF-R2	-5.1348	-7.8998	-0.4638	-2.5522	1.6509	-0.4459	1.3364	-8.7278	0.6808	6.6042	-0.5044	3.066	3.7502	1.8874	6.7527
D06-ZH-R3	-4.932	-6.952	-0.034	-1.862	-1.6293	-3.2371	-5.0161	-8.359	0.3614	8.5154	1.1689	4.0836	5.2969	4.0752	8.52
D09-ZF-R1	-5.3401	-8.821	1.6663	-3.6427	2.145	0.3	-6.1991	-2.9179	-0.3785	7.1286	1.1468	2.6449	3.9739	1.8858	6.4078
D03-NF-R3	-5.4839	-7.9771	-0.8347	-2.6408	-0.6771	-2.336	-1.9618	-9.0307	2.5238	7.7686	1.5011	5.3002	2.6806	4.1894	6.9785
D08-OH-R1	-4.8139	-7.9136	-0.6352	-2.0234	2.1418	1.291	-1.7391	-8.2339	0.5981	8.0776	0.6138	1.5958	0.5576	1.6864	8.797
D01-ZR-R1	-5.1275	-7.6474	-1.0437	-2.3708	-0.5127	0.6428	1.4829	-8.5128	0.7559	8.3333	0.5281	2.1547	2.3109	1.7737	7.2325
D05-OH-R1	-4.8817	-7.2484	-1.4713	-2.0867	1.6167	-0.4595	0.9905	-8.547	0.2758	6.7928	-0.2158	2.084	3.805	2.6225	6.7231
D05-OF-R3	-5.0466	-7.3931	-1.6526	-2.1504	1.5328	-0.6083	0.6101	-9.0985	0.8893	6.9248	-0.1205	2.653	4.0954	2.6045	6.7602
D06-ZR-R3	-4.7413	-6.9037	-0.7693	-1.6955	-1.6943	-3.0248	-5.4032	-8.2196	-0.0345	8.6451	1.008	3.8147	6.2504	4.7221	8.0459
D08-NF-R1	-4.9632	-7.537	-1.1201	-2.1955	1.7192	1.1747	-2.7184	-8.4832	1.4589	8.1748	0.8462	0.4522	2.065	3.328	7.7983
D08-ZH-R3	-5.1217	-8.3236	-1.6598	-0.2069	1.4359	0.2759	-2.4023	-4.7284	0.2021	7.3656	0.9625	1.3588	0.4143	2.4269	8.0008
D09-OF-R3	-5.4945	-9.1496	1.8779	-3.7361	2.0811	-0.027	-6.1084	-2.356	-0.6755	7.1447	1.7865	2.609	3.5603	1.9345	6.5532
D02-OR-R2	-3.8191	-7.2026	0.6567	-2.1599	0.2618	0.165	-3.6013	-8.5288	2.4783	8.2172	0.6538	1.5799	1.9665	0.5363	8.7961
D03-ZH-R1	-5.6199	-7.5072	-0.5894	-2.2582	0.121	-1.8711	-1.1701	-8.6384	1.1052	7.2984	0.4519	3.9896	3.0336	3.9095	7.7452
PCO-B1-R2	4.8794	1.8707	12.1076	0.6275	0.6825	-1.645	-5.3137	-7.8063	10.6612	-0.5945	-4.8036	-5.303	1.4906	-4.9033	-1.95
D09-NF-R3	-6.0971	-9.3977	2.7381	-3.4889	2.1894	0.6041	-6.4502	-2.297	-1.2349	7.1577	0.9686	2.6764	4.0363	2.5138	6.0817
D01-ZF-R1	-5.1498	-7.7601	-0.861	-2.4096	-0.5837	0.8384	1.9635	-8.203	1.0913	8.2542	0.4278	1.9087	1.8823	1.0939	7.5073
D04-NF-R3	-4.5029	-7.2151	-1.5666	-1.5523	-2.4081	-1.1375	-6.0455	0.0646	-0.3039	7.7221	2.6968	2.1997	4.9863	2.5488	4.5135
D04-ZH-R3	-4.5288	-7.0428	-1.4084	-1.7399	-1.9148	-1.207	-5.9575	0.9468	-0.2281	7.0474	1.9325	2.3508	3.9875	2.2434	5.5186
D09-OR-R3	-5.4443	-8.9612	2.4423	-3.7849	2.3837	0.3692	-6.0725	-2.3697	-0.7752	6.9911	1.5218	2.0013	3.3862	1.6254	6.6868
D02-OF-R2	-4.3496	-7.645	-0.0241	-2.3631	-0.4228	-0.3849	-3.9416	-8.8133	3.6858	8.4436	1.0572	1.5779	3.2726	1.7623	8.145
D07-ZH-R1	-5.0901	-7.7845	-1.9305	4.3118	1.3977	0.4164	-5.1047	0.0151	-0.4477	7.7454	1.2132	-2.0587	1.3453	-1.275	7.2462
D05-ZR-R1	-5.1348	-7.5737	-1.4243	-2.3339	1.874	-0.0622	1.5832	-8.5472	-0.4517	6.5007	-0.4737	3.1859	3.8733	2.2438	6.7404
D10-OH-R2	-4.555	-8.2628	1.2974	-2.6104	-3.0409	-3.3818	-2.7868	-9.5012	1.5588	8.5466	1.7624	5.2607	1.0179	5.4399	9.2552
D08-ZR-R3	-5.4219	-7.5474	-1.155	-2.1451	1.6923	0.7528	-2.1371	-7.9608	0.6288	7.9176	0.7229	1.6685	1.1889	3.5078	8.2878
D03-OR-R2	-5.6297	-7.8745	-0.4295	-2.4459	-0.3239	-2.3575	-1.6436	-9.0327	2.444	7.346	1.3315	3.9614	2.9013	3.9574	7.7956
D10-OF-R1	-4.5261	-8.1918	1.1253	-2.5645	-2.9432	-3.3518	-2.6106	-11.3263	2.0505	8.4918	1.7358	5.62	1.0594	5.566	9.8655
D01-ZR-R2	-5.16	-7.5194	-0.9416	-2.3179	-0.5204	0.6011	1.114	-8.1493	0.5743	8.3387	0.572	2.33	2.0795	1.6654	7.3337
D10-ZF-R2	-4.4389	-7.9184	1.2453	-2.8531	-3.2033	-3.4937	-2.8676	-9.6334	2.021	8.7221	1.952	5.2348	0.9142	5.3126	9.0065
D03-OH-R3	-5.4033	-7.5905	-0.0331	-2.1305	0.129	-2.3704	-1.9511	-7.9755	1.8719	7.5021	0.8612	3.6987	2.3829	3.1014	7.9071
D07-OR-R1	-4.8997	-8.1737	-2.4675	3.4746	0.9912	0.0429	-5.6054	-1.2453	0.5092	8.0072	2.5899	-2.8028	2.843	0.2686	6.4677
D01-OR-R2	-5.096	-7.7359	-0.8638	-2.4898	-0.6027	1.1124	1.9134	-8.4024	1.5193	7.9593	0.4358	1.6727	1.721	1.3809	7.4757
PCO-B4-R1	5.0496	1.6099	12.0385	0.5554	0.6004	-1.7083	-5.476	-8.1625	11.1282	-0.6843	-4.1485	-4.6204	1.4121	-4.9767	-2.6175
PCO-B2-R3	4.1114	1.184	12.135	1.0196	1.1169	-1.2584	-4.8933	-7.9525	10.2395	-1.0229	-4.6893	-4.7367	1.9221	-4.7527	-2.4226
D05-NF-R1	-5.0743	-7.3078	-1.4146	-2.0838	1.931	0.3673	0.1371	-8.5824	0.7753	6.7376	-0.0387	2.4504	3.6211	2.2014	6.2803
D07-OR-R3	-5.1771	-8.489	-2.472	4.0746	1.2065	0.2415	-5.5092	-0.2311	-0.1088	7.8174	2.2963	-2.9865	2.3854	0.1391	6.8129
