Podoviridae	Saccharomycetaceae	Cryptococcaceae	Pseudomonadaceae	Enterobacteriaceae	Bradyrhizobiaceae	Rhodospirillaceae	Sutterellaceae	Desulfovibrionaceae	Akkermansiaceae	Staphylococcaceae	Bacillaceae	Listeriaceae	Streptococcaceae	Lactobacillaceae	Enterococcaceae	Clostridiaceae	Lachnospiraceae	Eubacteriaceae	Oscillospiraceae	Ruminococcaceae	Erysipelotrichaceae	Selenomonadaceae	Acidaminococcaceae	Veillonellaceae	Bifidobacteriaceae	Coriobacteriaceae	Bacteroidaceae	Rikenellaceae	Prevotellaceae	Odoribacteraceae	Tannerellaceae
D04-ZR-R1	-8.9118	-5.6549	-8.4731	-3.1949	-0.6767	-4.694	-4.4532	-1.4886	0.5777	-4.6898	-4.7905	-2.4183	-7.4489	-1.8987	-2.5883	-2.3645	5.3638	7.0924	4.3758	5.2299	6.6639	2.6906	3.8921	-0.7834	2.5047	4.9159	2.1698	4.5966	3.033	6.8	2.0363	2.587
D10-NF-R1	-2.9531	-7.1002	-9.438	-4.1221	0.7875	-6.2693	-5.246	-7.2531	-4.7015	-3.0102	-4.6027	-2.1337	-6.5037	1.3934	-0.2252	-1.7084	6.0901	7.9526	5.1504	2.3537	6.7349	3.4185	5.2015	2.8674	-3.6629	1.8537	6.8475	8.948	3.3867	1.6049	1.6515	2.6877
D02-OF-R1	2.2218	-5.1254	-9.8004	-4.5294	-3.4876	-6.5083	-4.7413	-0.5875	-0.0796	-3.312	-5.2727	-3.171	-7.28	3.3638	1.0038	-2.798	5.2712	6.5695	4.1288	4.9722	6.7901	1.1564	-4.5415	1.149	0.3485	3.1005	-0.0767	9.1412	4.3776	0.3407	3.8309	3.5456
D02-OF-R3	1.1014	-5.5938	-9.3797	-4.5913	-3.6987	-6.4855	-3.6549	-0.9044	-0.04	-3.4356	-5.3369	-3.107	-7.5682	3.4857	1.6261	-2.8081	5.5937	7.137	4.6706	4.4805	7.1411	1.9191	-4.4217	1.7893	0.1543	3.4283	0.4816	8.508	3.798	-0.2639	2.9927	2.9821
D06-ZR-R2	1.2541	-6.265	-9.366	-2.8141	-0.8676	-5.16	-4.2227	-1.563	-4.1371	-4.3014	-4.339	-2.4784	-8.0125	0.1315	-3.3653	-3.1229	5.4557	7.1312	5.2617	4.9314	7.8486	2.1278	-3.3634	-3.5092	5.4744	5.8887	3.966	9.5039	7.2197	0.7127	-0.6755	0.6558
D06-ZF-R2	-0.376	-6.0593	-9.2655	-2.7871	-1.7348	-5.134	-3.3319	-2.1997	-3.8393	-4.4197	-4.0192	-2.2339	-7.4737	1.2629	-3.3163	-2.9702	5.4798	7.9784	5.5432	4.3815	8.7031	2.2936	-3.2281	-3.6117	4.6142	7.0553	4.9133	9.0302	6.5217	-0.4998	-1.3645	0.0871
D09-ZH-R2	-0.4542	-6.8409	-10.625	2.8478	0.9684	-6.6001	-5.5391	3.4583	1.4124	-4.8645	-6.5196	-3.7006	-7.9506	-1.1041	-5.0022	-2.7402	4.7925	5.4972	3.7305	2.6979	6.779	1.2733	2.4734	0.0532	2.3944	3.7748	1.8476	7.5922	4.288	0.5286	2.9183	2.6133
D01-ZR-R3	-2.8134	-6.0245	-8.6126	-3.9388	-1.73	-5.5345	-3.5488	-0.138	1.2906	1.2994	-0.5059	-2.8187	-7.0185	1.7343	-3.932	-1.8059	5.7653	7.9852	4.4764	2.6944	8.1498	2.0247	-4.2475	-5.0558	2.7934	3.2617	-2.11	7.339	5.8508	-1.9079	2.2512	4.8265
D10-OH-R1	-3.1267	-7.1908	-9.5308	-4.1642	1.0646	-6.3477	-5.5404	-7.1301	-4.314	-2.4594	-4.8897	-2.2747	-6.6539	1.6225	-0.5976	-2.3539	5.7345	7.5234	4.1013	3.413	6.3252	2.6609	5.111	3.5649	-3.3535	1.2585	6.1531	9.1501	4.1226	2.511	2.1124	3.4986
PCO-B1-R3	-6.6643	0.8112	-2.7011	3.9928	6.4006	-7.5063	-7.2966	-10.5788	-7.1375	-5.4284	3.2599	4.35	3.8827	-0.6645	3.1759	3.862	2.86	4.3641	1.3725	0.3491	3.372	0.1424	2.2595	0.3709	-6.0301	-1.2915	3.1127	6.5598	0.7895	-0.7887	-0.2376	1.0378
