Saccharomycetales	Tremellales	Pseudomonadales	Enterobacterales	Rhizobiales	Rhodospirillales	Burkholderiales	Desulfovibrionales	Verrucomicrobiales	Bacillales	Lactobacillales	Clostridiales	Erysipelotrichales	Selenomonadales	Acidaminococcales	Veillonellales	Bifidobacteriales	Coriobacteriales	Bacteroidales
D04-ZR-R1	-3.6278	-7.6874	-2.3706	-1.0442	-1.7937	-4.08	-0.9681	0.0574	-4.8146	-0.433	-1.088	8.1442	2.1644	3.3691	-1.3095	1.9789	4.3895	2.3111	6.8022
D10-NF-R1	-4.2715	-8.4138	-3.2468	0.6729	-3.3016	-4.7799	-3.3108	-4.6152	-3.1406	-1.2973	1.9166	9.3902	3.2399	5.0236	2.688	-3.8369	1.675	6.673	8.9352
D02-OF-R1	-3.0826	-7.569	-1.829	-2.6743	-2.9506	-3.9524	0.6773	0.1931	-2.9518	-1.5265	4.044	8.8293	1.426	-3.9574	1.4184	0.6168	3.3691	0.2693	9.6503
D02-OF-R3	-3.5123	-7.7987	-2.3898	-2.9204	-3.0698	-3.207	0.273	0.1528	-3.1557	-1.5154	4.1619	9.1146	2.1086	-3.8612	1.9779	0.3448	3.6173	0.7389	8.9404
D06-ZR-R2	-3.7615	-8.0764	-2.4733	-0.6714	-2.145	-3.6336	-0.7053	-4.1116	-4.1659	-1.1836	0.3989	9.195	2.0298	-1.9899	-3.6044	5.3762	5.7908	3.9784	9.7529
D06-ZF-R2	-3.6959	-7.9923	-2.6683	-1.4818	-2.3535	-3.1307	-1.2809	-3.9338	-4.3566	-1.1171	1.2851	9.7463	2.0713	-2.4261	-3.8293	4.393	6.834	4.8154	9.1212
D09-ZH-R2	-4.5718	-9.8056	3.774	0.5758	-4.3014	-5.2371	3.1407	0.9951	-5.1408	-2.9624	-0.9343	7.5111	0.8557	2.057	-0.3653	1.9765	3.3566	1.444	7.6324
D01-ZR-R3	-3.7669	-7.7301	-3.1503	-1.4014	-2.8229	-3.1237	0.4299	1.3919	1.4043	0.1065	2.0406	9.7461	2.1235	-3.3221	-4.9518	2.892	3.3612	-1.4715	8.2447
D10-OH-R1	-4.1275	-8.729	-3.1324	1.0053	-3.399	-5.006	-3.4639	-4.2698	-2.5364	-1.3501	2.0691	9.0087	2.5426	4.9942	3.4467	-3.4735	1.14	6.0395	9.2416
PCO-B1-R3	0.6891	-2.8315	4.1983	6.2978	-4.9881	-6.5955	-4.4887	-7.0669	-5.4918	5.3555	4.4768	6.0187	0.0114	2.1309	0.2429	-6.161	-1.4203	2.9875	6.6351
D04-OH-R1	-2.9631	-7.6637	-2.5519	-0.9611	-2.0126	-3.919	-0.9197	0.0588	-4.2193	0.4074	-0.7891	8.559	2.1513	1.3481	-1.6206	2.3253	4.1368	1.9433	6.6902
D01-OR-R3	-3.9403	-8.1759	-3.2885	-1.4523	-2.8383	-3.034	0.4577	2	1.5427	0.249	2.4233	9.3363	1.9279	-3.3061	-5.1639	2.9292	3.1196	-1.3182	8.5317
D09-OF-R2	-4.284	-9.2044	2.6082	-0.4775	-4.3845	-5.0226	4.0297	1.0563	-4.6694	-2.9349	-0.9579	7.1854	1.5292	1.5073	-1.0502	2.0198	3.3945	1.3453	8.3095
D10-NF-R3	-4.3319	-8.7826	-3.0649	0.6885	-3.3578	-4.8981	-3.4131	-4.543	-2.9901	-1.2991	2.3685	9.2929	2.8334	5.075	2.9319	-3.7014	1.4605	6.5784	9.1529
D07-NF-R1	-3.3518	-8.7665	-3.2875	-1.7962	-2.9539	1.2597	1.3773	2.4234	-4.244	-1.3531	2.8829	9.5907	4.8908	-2.6348	-1.8373	-3.6891	5.1579	-1.6683	8
D09-ZF-R2	-4.9449	-9.7945	2.2632	-0.0288	-4.3762	-5.2548	3.0688	1.1421	-5.471	-3.0208	-0.3816	7.7971	1.4711	2.345	-0.5799	1.7902	4.4672	2.3137	7.194
D08-OH-R3	-4.2034	-9.1848	-3.1855	-0.6616	-2.5614	-4.1583	2.9315	2.2355	-0.8936	-1.3879	1.3842	8.9027	1.3351	-1.7706	2.5165	-3.7466	0.8173	2.0448	9.5859
D08-ZR-R1	-4.0297	-8.9835	-3.4453	-1.3767	-2.7611	-4.4105	2.9246	1.8339	-0.6405	-1.684	1.0164	8.7232	1.5276	-2.0542	3.4068	-3.445	0.727	2.9716	9.6995
D08-ZF-R2	-3.6898	-8.6222	-3.4759	-1.6966	-2.7863	-4.3889	1.8502	1.201	-1.624	-1.4241	1.9811	9.364	2.0248	-2.6131	2.33	-3.482	2.406	4.0303	8.6155
D08-ZF-R3	-3.9582	-8.6216	-3.528	-1.4967	-2.7351	-4.3047	1.8391	1.2629	-1.5877	-1.4508	1.9756	9.3522	2.0519	-2.65	2.2479	-3.587	2.4192	4.0435	8.7274
D02-NF-R3	-3.7635	-8.2428	-2.6223	-2.847	-2.9764	-3.4972	0.4274	0.6407	-3.3908	-1.4866	3.8391	9.1254	2.2329	-3.5909	1.8651	0.6305	3.8671	1.3966	8.3929
D08-ZR-R2	-3.8671	-8.9496	-3.704	-1.5194	-3.0074	-4.6804	2.4344	1.5603	-1.4195	-1.638	2.0744	9.151	2.0987	-2.7006	2.7529	-3.7077	2.3914	3.9788	8.7519
