Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D04-ZR-R1	-3.1026	-5.4001	-1.0522	-1.2357	-0.7026	5.5328	1.9541	4.0062
D10-NF-R1	-2.3121	-4.5838	0.03	-4.3596	-10.1856	8.3098	5.468	7.6333
D02-OF-R1	-1.9843	-4.2942	1.571	-4.4108	-8.4975	7.4163	2.168	8.0314
D02-OF-R3	-2.199	-4.4939	1.1923	-4.4666	-7.9409	7.8189	2.643	7.4462
D06-ZR-R2	-2.5452	-4.6826	-0.0625	-4.0956	-8.412	7.5214	4.3832	7.8933
D06-ZF-R2	-2.653	-4.8089	-0.4453	-3.8418	-8.7583	7.9626	5.3168	7.228
D09-ZH-R2	-3.1852	-5.746	3.1209	-6.3374	-2.0966	6.0695	2.1543	6.0207
D01-ZR-R3	-2.7724	-4.8964	1.223	-0.6422	-8.9819	7.7823	2.0967	6.191
D10-OH-R1	-2.4002	-4.6527	0.2239	-3.7989	-10.0645	7.9449	4.8313	7.9162
PCO-B1-R3	0.0718	-3.37	6.115	-6.0378	-11.7532	6.5448	2.4608	5.9686
D04-OH-R1	-2.5146	-4.9116	-1.0674	-2.1665	-0.6217	5.828	1.6293	3.8243
D01-OR-R3	-2.799	-5.1097	1.4384	-0.4978	-8.9039	7.3904	1.9996	6.482
D09-OF-R2	-3.2422	-5.6937	2.8169	-6.2306	-1.5116	5.5035	1.9168	6.4409
D10-NF-R3	-2.4953	-4.623	0.0511	-4.198	-10.2404	8.2432	5.3914	7.8709
D07-NF-R1	-2.919	-5.2241	1.5406	-5.7762	-4.7368	7.7413	3.3694	6.0049
D09-ZF-R2	-3.3803	-5.9194	2.5885	-6.5137	-2.2878	6.4876	3.313	5.712
D08-OH-R3	-2.9459	-4.8394	2.0871	-2.5207	-8.3149	7.3159	1.3807	7.8372
D08-ZR-R1	-2.9477	-4.9842	1.8867	-2.2964	-8.485	7.1603	1.747	7.9192
D08-ZF-R2	-2.58	-4.3371	1.1884	-2.9921	-8.9458	7.7863	2.9575	6.9228
D08-ZF-R3	-2.6788	-4.7318	1.2521	-2.8934	-8.8183	7.8106	2.9911	7.0686
D02-NF-R3	-2.2701	-4.5385	1.4379	-4.5465	-7.9844	7.8886	3.0493	6.9636
D08-ZR-R2	-2.7387	-4.5973	1.5922	-2.903	-8.9728	7.6179	2.9255	7.0762
D02-OH-R2	-2.141	-4.3028	1.2504	-4.5024	-7.8127	7.7999	2.3806	7.328
D09-ZR-R1	-3.2859	-5.7884	2.8375	-6.1779	-1.7676	5.8922	2.0284	6.2616
D07-ZH-R3	-3.5187	-5.8162	3.0603	-6.1138	-1.4758	6.8055	1.5069	5.5517
D05-ZF-R2	-2.9137	-5.352	1.3868	0.4501	-8.675	6.0289	3.2131	5.8618
D06-ZH-R3	-2.6877	-4.728	-0.043	-4.3808	-8.5492	7.8072	4.9384	7.6432
D09-ZF-R1	-3.2223	-5.6236	2.3722	-6.5401	-2.6307	6.5311	3.4905	5.6229
D03-NF-R3	-2.6722	-4.7533	0.2207	-2.3062	-8.7891	7.6533	4.1463	6.5005
D08-OH-R1	-2.7892	-4.804	2.0604	-2.5265	-8.4921	7.3313	1.3314	7.8888
D01-ZR-R1	-3.1255	-5.1995	1.2287	0.4473	-8.9765	7.3852	2.047	6.1932
D05-OH-R1	-2.6265	-4.9795	1.1427	-0.0178	-8.58	6.0356	3.3191	5.7064
D05-OF-R3	-2.739	-5.1012	1.1423	-0.2955	-8.7423	6.2691	3.6224	5.8443
D06-ZR-R3	-2.6573	-4.7824	-0.468	-3.8295	-8.7853	7.7832	5.6879	7.0514
D08-NF-R1	-2.7444	-4.9468	1.8715	-3.0455	-8.7179	7.514	3.0531	7.0159
D08-ZH-R3	-3.3282	-4.7879	1.4307	-3.2029	-5.6179	6.6184	1.8197	7.0682
D09-OF-R3	-3.3418	-5.8217	2.3625	-6.5284	-2.1026	6.5236	3.1589	5.7496
D02-OR-R2	-1.9074	-4.2433	1.7414	-4.2845	-8.406	7.5888	1.5733	7.9377
D03-ZH-R1	-3.0293	-4.9978	0.5134	-1.8124	-8.4174	6.873	3.8315	7.039
PCO-B1-R2	2.5036	-0.5046	9.7427	-6.3933	-9.4883	8.3604	-0.8147	-3.4059
D09-NF-R3	-3.6509	-6.2776	2.9341	-6.6638	-1.96	6.5703	3.7158	5.3321
D01-ZF-R1	-3.1258	-5.2757	1.234	0.8901	-8.9069	7.2703	1.4822	6.4317
D04-NF-R3	-2.8916	-5.092	-0.975	-2.9775	-1.3682	6.4331	3.7923	3.0788
D04-ZH-R3	-2.965	-5.2957	-1.2391	-1.5404	-0.8079	5.4825	2.6054	3.7602
D09-OR-R3	-3.349	-5.7656	2.7448	-6.546	-2.1617	6.3197	2.9139	5.844
D02-OF-R2	-2.3411	-4.6296	1.1961	-4.4593	-8.0272	7.8967	2.9668	7.3977
D07-ZH-R1	-3.4647	-5.7653	3.3772	-5.9605	-1.1929	6.6241	0.355	6.0272
D05-ZR-R1	-2.862	-5.3428	1.3842	0.5751	-8.5945	5.8444	3.2679	5.7277
D10-OH-R2	-2.5043	-4.8564	0.5721	-3.717	-10.0909	7.8064	4.5211	8.2689
D08-ZR-R3	-3.0804	-5.2888	1.7216	-2.6549	-8.5048	7.2989	2.9988	7.5095
D03-OR-R2	-2.8603	-4.8249	0.4371	-2.1233	-8.9002	7.0777	3.9616	7.2323
D10-OF-R1	-2.3211	-4.7691	0.4629	-3.5257	-11.2362	7.8201	4.6665	8.9026
D01-ZR-R2	-3.0815	-5.1367	1.2448	0.1075	-8.7731	7.423	1.895	6.3211
D10-ZF-R2	-2.3667	-4.7291	0.5397	-3.7556	-10.224	8.0219	4.444	8.0699
D03-OH-R3	-2.8955	-4.7425	0.7416	-2.4876	-8.1449	7.1006	3.1546	7.2737
D07-OR-R1	-3.3988	-5.696	2.8577	-6.2362	-2.2223	7.1314	2.0851	5.4792
D01-OR-R2	-3.0985	-5.2562	1.3893	0.876	-8.908	7.0229	1.5388	6.4357
PCO-B4-R1	2.6686	-0.7645	9.6655	-6.4419	-9.57	8.8194	-0.9019	-3.4752
PCO-B2-R3	1.8208	-1.1028	9.8528	-5.894	-8.8609	8.019	-0.3068	-3.5281
D05-NF-R1	-2.6077	-5.0084	1.7231	-0.6583	-8.404	6.212	3.2734	5.4699
D07-OR-R3	-3.6474	-5.9372	3.2297	-6.2928	-1.3548	6.7884	1.5354	5.6787
D04-ZF-R3	-3.2527	-5.475	-1.2537	-1.8766	-0.9503	5.8426	2.9877	3.9779
D04-OF-R1	-2.9199	-5.0783	-1.1657	-2.9228	-1.1439	6.2144	3.69	3.3263
D04-ZH-R1	-3.0157	-5.3508	-1.2049	-1.4398	-0.8171	5.534	2.3392	3.9552
D05-NF-R2	-2.3089	-4.6423	0.7302	-0.6919	-8.0502	6.4765	3.7367	4.7499
D02-ZR-R2	-2.2992	-4.3738	1.5306	-4.5116	-8.2878	7.7717	2.5895	7.5806
D02-NF-R1	-1.8611	-4.0577	1.3688	-4.608	-7.816	7.7231	1.7019	7.5489
D02-ZF-R2	-2.3302	-4.4913	1.1373	-4.5976	-7.9113	8.0036	3.0447	7.1448
D04-ZR-R3	-2.9602	-5.2906	-1.2641	-1.674	-0.7373	5.6925	2.4762	3.7576
NCO-B4-R3	-3.2455	-6.7557	2.9908	-5.2816	-1.4848	6.8125	1.3002	5.664
D09-OH-R3	-3.1918	-5.5226	2.8953	-6.4943	-2.4307	6.445	2.5665	5.7326
D03-NF-R2	-2.7967	-4.8423	0.2022	-2.137	-8.7182	7.5523	4.2314	6.5083
D03-OF-R2	-2.6904	-4.6165	0.7055	-2.6768	-9.0487	7.1221	3.6848	7.5199
D02-OR-R1	-1.9796	-4.2704	1.5859	-4.289	-8.4374	7.6004	1.9233	7.8667
D06-OR-R1	-2.5373	-4.6509	0.1757	-3.9579	-8.9148	7.7042	3.928	8.253
D05-ZH-R2	-2.7457	-5.3413	1.6158	0.4359	-8.7392	5.7872	2.9185	6.0688
D06-OH-R1	-2.5075	-4.6827	-0.1841	-4.3602	-8.6053	7.9974	4.9111	7.4313
D07-NF-R2	-3.7234	-6.029	2.7889	-6.191	-1.0373	6.6383	2.148	5.4056
D03-ZR-R3	-3.2836	-5.2647	0.7967	-2.1926	-8.0027	6.7176	3.7551	7.4742
D04-OR-R2	-2.5723	-4.9235	-0.9122	-2.3528	-0.639	5.7652	1.8643	3.7704
D07-OF-R2	-3.8439	-6.0926	3.4754	-6.1641	-1.0295	6.4811	1.2216	5.952
D09-ZR-R2	-3.2916	-5.8525	2.8277	-6.4288	-2.3755	6.4065	2.8086	5.9058
D03-OF-R1	-2.6253	-4.6628	0.6253	-2.7326	-8.9574	7.1888	4.0315	7.1326
D08-OF-R2	-2.8156	-4.9623	1.6084	-2.8372	-8.6196	7.5212	2.6683	7.4368
PCO-B3-R2	2.982	-0.8556	9.538	-6.399	-9.5042	8.7874	-0.8673	-3.6813
D08-OH-R2	-2.7896	-4.8603	1.8379	-2.8337	-8.4015	7.3621	2.3118	7.3734
D08-ZH-R2	-2.5688	-4.5838	1.9465	-2.6209	-8.5918	7.1882	1.5261	7.7047
D10-OF-R2	-2.5428	-4.7512	0.3219	-4.0069	-10.2732	7.9894	5.1484	8.1143
D07-ZR-R2	-3.6719	-5.9281	3.2343	-5.9716	-1.5034	6.7302	1.1558	5.9547
D05-OH-R3	-2.536	-4.991	1.6821	0.4147	-8.5242	5.7192	1.8006	6.4346
D03-OH-R2	-2.8101	-4.7207	0.948	-2.6279	-8.5895	7.1525	3.2859	7.3618
PCO-B2-R2	1.739	-1.2492	9.8331	-6.2258	-8.9309	8.3186	-0.5684	-2.9165
D02-ZH-R3	-2.282	-4.5612	1.4827	-4.5636	-8.3102	7.8911	3.0965	7.2466
D06-OH-R3	-2.5763	-4.7186	-0.2455	-4.3003	-8.568	8.0485	5.0772	7.283
D07-ZF-R2	-3.8039	-5.9345	3.2093	-6.038	-1.14	6.6425	1.0782	5.9864
D03-NF-R1	-2.3839	-4.472	0.0141	-1.8782	-8.8126	7.8501	4.2102	5.4724
D02-NF-R2	-2.2453	-4.5672	1.3379	-4.6074	-7.8167	7.9255	3.0701	6.9031
D05-OF-R2	-2.7718	-5.0949	1.2285	-0.2074	-8.6346	6.1325	3.5736	5.774
D02-ZR-R1	-2.3158	-4.5159	1.3719	-4.4688	-8.1819	7.9332	2.9526	7.2248
D03-ZF-R2	-2.8812	-4.8559	0.2817	-2.2509	-8.7171	7.4783	4.2055	6.7396
D01-ZH-R3	-3.0662	-5.1897	1.4505	0.6812	-8.7806	7.2676	0.8399	6.7974
D02-ZH-R1	-2.144	-4.4283	1.8477	-4.2923	-8.4655	7.7475	2.1976	7.5374
D05-ZR-R3	-2.799	-5.3332	1.3871	0.5772	-8.8589	5.9741	2.9048	6.1479
D05-OR-R2	-2.7142	-5.0218	1.1633	-0.0151	-8.6576	6.1434	3.3652	5.7368
D06-OH-R2	-2.5549	-4.6284	-0.0015	-4.4282	-8.7031	8.0382	4.745	7.5329
D06-ZF-R3	-2.4676	-4.6012	-0.2824	-4.2685	-9.2271	8.5342	5.6846	6.6279
D03-OR-R3	-2.8482	-4.932	0.3505	-2.1176	-8.7171	7.1577	4.0303	7.0765
D08-OR-R2	-2.9406	-4.9906	1.92	-2.7725	-8.716	7.3277	2.7532	7.4188
D09-NF-R1	-3.1464	-5.6265	2.7351	-6.5805	-3.5565	6.9728	3.7685	5.4336
D09-OH-R1	-3.2378	-5.578	2.5905	-6.3297	-2.1904	6.3502	2.6231	5.7721
D07-OR-R2	-3.7679	-6.0496	3.6416	-5.8939	-0.7093	6.1203	0.5479	6.1109
NCO-B2-R3	-1.6498	-3.4411	2.8541	-5.7721	-5.6165	6.4111	1.2978	5.9166
D06-ZH-R1	-2.4234	-4.6039	0.3616	-4.5356	-8.0692	7.8168	3.3051	8.1485
D05-ZF-R3	-2.8056	-5.1942	1.2272	0.3006	-8.7467	6.2201	3.4049	5.5937
D09-ZH-R1	-3.261	-5.7869	2.8025	-6.2851	-2.0314	6.204	2.3159	6.0419
