metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Temperature	Anaerobutyricum	Hot	-0.237175304261683	0.0233384986076049	210	209	8.93728025844335e-20	1.24943178013038e-16
Temperature	Holdemania	Hot	0.016681401589102	0.00174604054592445	210	209	5.16516632951494e-18	3.61045126433094e-15
Temperature	Anaerostipes	Hot	-0.427932772540159	0.045781833986674	210	209	2.00874396146376e-17	9.36074686042111e-15
Temperature	Blautia	Hot	-2.30150049130994	0.28532674648175	210	209	6.95344203626979e-14	2.20976749157743e-11
Temperature	Fusicatenibacter	Hot	-0.274343156638206	0.0340995062758826	210	209	7.9033172087891e-14	2.20976749157743e-11
Kit	Flavonifractor	Zymo	0.0658972011814753	0.00839639919563946	210	209	2.63485482751626e-13	6.13921174811288e-11
Kit	Dialister	Zymo	0.336845658523137	0.0433798724007876	210	209	4.36223615327328e-13	8.71200877468006e-11
Temperature	Dysosmobacter	Hot	0.0253021112608228	0.00329017727243126	210	209	6.8471457623783e-13	1.19653872197561e-10
Kit	Lachnoclostridium	Zymo	0.101302611461399	0.0133510980096184	210	209	1.26604109746309e-12	1.96658383805933e-10
Temperature	Oscillibacter	Hot	0.38123513635352	0.050408956964009	210	209	1.46735680613033e-12	2.0513648149702e-10
Temperature	Faecalicatena	Hot	-0.00831190494349243	0.00111116326170502	210	209	2.39553345341258e-12	3.0445052435189e-10
Temperature	Dorea	Hot	-0.37945002242775	0.0508300124134915	210	209	2.62249813319448e-12	3.05521032517157e-10
Kit	Hungatella	Zymo	0.00765316937194219	0.00108021449079105	210	209	2.41341675987276e-11	2.59535125407855e-09
Temperature	Streptococcus	Hot	-0.206308576784532	0.0297709548686593	210	209	5.8553277604393e-11	5.73009640541455e-09
Temperature	Clostridioides	Hot	-0.0427535693878671	0.00617712848852303	210	209	6.14817210881389e-11	5.73009640541455e-09
Temperature	Anaerobutyricum	Room Temp	-0.157579350118247	0.0233384986076049	210	209	1.59752433972843e-10	1.39583689183772e-08
Temperature	Dysosmobacter	Room Temp	0.02193552039773	0.00329017727243126	210	209	2.56539887603053e-10	2.10966331099452e-08
Temperature	unclassified.Eggerthellaceae	Hot	-0.000575948099823755	8.68949887135786e-05	210	182	3.18276493272583e-10	2.47194743108373e-08
Temperature	Agathobaculum	Hot	-0.00421036692358717	0.00064404102363875	210	209	5.24738225394323e-10	3.86096862684875e-08
Kit	Selenomonas	Zymo	0.00191817910134621	0.000294869840237685	210	209	6.2623187261916e-10	4.37736078960793e-08
Temperature	unclassified.Lachnospiraceae	Hot	-0.988178853479581	0.153611439030502	210	209	9.28579027566957e-10	6.18168324066003e-08
Temperature	Oscillibacter	Room Temp	0.321863152837692	0.050408956964009	210	209	1.204413919963e-09	7.65350300049215e-08
Temperature	crAss.like.viruses	Hot	0.0672601936533271	0.0106005796561705	210	189	1.49564738464448e-09	9.09093497275213e-08
Temperature	Lachnospira	Hot	-0.116509942949197	0.0184758090109439	210	209	1.84370721251032e-09	1.03100107323577e-07
Temperature	Frisingicoccus	Hot	-0.000564093521131904	8.94059527824446e-05	210	209	1.81159773839957e-09	1.03100107323577e-07
Temperature	Bifidobacterium	Hot	-1.20338144163234	0.19230485388858	210	209	2.38972840019732e-09	1.28493857825994e-07
