feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroidetes	Kit	Omnigene	14.4590572839907	1.86051212068468	90	90	2.60350156724033e-11	7.810504701721e-10
Firmicutes	Kit	Omnigene	-12.8774230251424	1.70754025506047	90	90	7.23270751375122e-11	1.08490612706268e-09
Actinobacteria..201174.	Kit	Omnigene	-1.58233238450638	0.285879560524226	90	90	4.02930622754535e-07	4.02930622754535e-06
Acidobacteria	Kit	Omnigene	-0.00166689503078068	0.000332806104616894	90	90	3.33228498832898e-06	2.49921374124674e-05
Chloroflexi	Kit	Omnigene	-0.00283374605881482	0.000603371313560723	90	90	1.11522717069071e-05	6.69136302414424e-05
Actinobacteria..201174.	Kit	Zymo	-1.27760549380524	0.285879560524226	90	90	2.62649390494992e-05	0.000131324695247496
Chloroflexi	Kit	Zymo	-0.0023670914029911	0.000603371313560723	90	90	0.000186926650264304	0.000659059276344043
Acidobacteria	Kit	Zymo	-0.00130023637180275	0.000332806104616894	90	90	0.000197717782903213	0.000659059276344043
Spirochaetes	Kit	Omnigene	-0.000800096009687325	0.000204546384687863	90	90	0.000194548468376707	0.000659059276344043
Bacteroidetes	Kit	Zymo	7.18724020080139	1.86051212068468	90	90	0.000229953932857631	0.000689861798572893
Firmicutes	Kit	Zymo	-5.83628795646206	1.70754025506047	90	90	0.00100552419796826	0.00274233872173163
Tenericutes	Kit	Omnigene	0.0140347945750962	0.00464616927705328	90	90	0.0034086573608264	0.00852164340206601
Spirochaetes	Kit	Zymo	-0.000533443019046486	0.000204546384687863	90	90	0.010912002334227	0.0251815438482162
Euryarchaeota	Kit	Omnigene	-0.00420023934862758	0.00179842958391773	90	90	0.0220883758397111	0.0473322339422381
Verrucomicrobia	Kit	Omnigene	-0.160622640158822	0.0724196004178777	90	90	0.0294680971464501	0.0589361942929003
Basidiomycota	Kit	Zymo	-0.00150034772846026	0.000734871466220181	90	90	0.0445676666942638	0.0806832423233346
Tenericutes	Kit	Zymo	0.00943376068778729	0.00464616927705328	90	90	0.0457205039832229	0.0806832423233346
Lentisphaerae	Kit	Omnigene	0.0455753125981769	0.0229655427903308	90	75	0.0507160123679674	0.0840416079361726
Mucoromycota	Kit	Omnigene	0.001133438685791	0.000577438931184139	90	90	0.0532263516929093	0.0840416079361726
Ascomycota	Kit	Zymo	-0.00536797757943592	0.0030097838841304	90	90	0.0783932610587378	0.117589891588107
Verrucomicrobia	Kit	Zymo	-0.0990859293524629	0.0724196004178777	90	90	0.175171795591652	0.241630396387672
Candidatus.Melainabacteria	Kit	Zymo	-0.00563410976570417	0.00413738995687035	90	90	0.177195624017626	0.241630396387672
Euryarchaeota	Kit	Zymo	-0.00240022102416002	0.00179842958391773	90	90	0.18588346151427	0.242456688931656
Lentisphaerae	Kit	Zymo	0.0259029255957649	0.0229655427903308	90	75	0.262818015327869	0.328522519159837
Ascomycota	Kit	Omnigene	-0.0030338317046599	0.0030097838841304	90	90	0.316576098595818	0.379891318314981
Basidiomycota	Kit	Omnigene	-0.000633428336721349	0.000734871466220181	90	90	0.391352899451389	0.434836554945988
Mucoromycota	Kit	Zymo	0.000499951648332775	0.000577438931184139	90	90	0.389250406394641	0.434836554945988
Proteobacteria	Kit	Omnigene	0.116913331229867	0.150767683655978	90	90	0.44041646067742	0.471874779297236
Candidatus.Melainabacteria	Kit	Omnigene	0.00133276296693662	0.00413738995687035	90	90	0.748218628130173	0.774019270479489
Proteobacteria	Kit	Zymo	0.0102065008894676	0.150767683655978	90	90	0.946200172467369	0.946200172467369
