feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Holdemania	Temperature	Hot	0.0170339705146871	0.00160183217258048	90	90	7.74040035739064e-17	2.18279290078416e-14
Phocea	Temperature	Room Temp	0.005875721624729	0.000694446599079856	90	90	1.20068605899376e-12	1.6929673431812e-10
unclassified.Ruminococcaceae	Temperature	Hot	1.1935338755605	0.147300049446537	90	90	5.95045186734437e-12	5.59342475530371e-10
unclassified.Clostridiales..miscellaneous.	Temperature	Hot	0.676967763228269	0.0987134666619947	90	90	1.46636837208636e-09	1.03378970232088e-07
Ruthenibacterium	Temperature	Hot	0.0287816856095563	0.00457585106598147	90	90	1.70610579155541e-08	9.62243666437253e-07
Flavonifractor	Temperature	Hot	0.0523470607033784	0.00866094985192645	90	90	4.84734271740497e-08	2.27825107718034e-06
unclassified.Clostridiales..miscellaneous.	Temperature	Room Temp	0.58952204242478	0.0987134666619947	90	90	6.56454910813973e-08	2.64457549785058e-06
Faecalibacterium	Temperature	Hot	3.20217876433761	0.545475647480846	90	90	1.00521626595242e-07	3.54338733748229e-06
Dysosmobacter	Temperature	Hot	0.0168138491873927	0.00289157440391486	90	90	1.26814379617017e-07	3.97351722799985e-06
Pseudoflavonifractor	Temperature	Hot	0.0103599417638033	0.00184563416870226	90	90	2.92235888402557e-07	8.24105205295212e-06
unclassified.Firmicutes.sensu.stricto..miscellaneous.	Temperature	Hot	0.221242812164647	0.040481774034856	90	90	5.3564763213007e-07	1.25877193550567e-05
Ruthenibacterium	Temperature	Room Temp	0.0250682981402224	0.00457585106598147	90	90	5.07704501324666e-07	1.25877193550567e-05
Oscillibacter	Temperature	Hot	0.378750984801074	0.0717223640453894	90	90	1.12983771435371e-06	2.45087873421342e-05
Flavonifractor	Temperature	Room Temp	0.0444110501068666	0.00866094985192645	90	90	2.08198147082096e-06	3.91412516514341e-05
Dysosmobacter	Temperature	Room Temp	0.0148615379641405	0.00289157440391486	90	90	1.98616449703544e-06	3.91412516514341e-05
Holdemania	Temperature	Room Temp	0.00817978608219518	0.00160183217258048	90	90	2.26468902305518e-06	3.99151440313476e-05
Bittarella	Temperature	Hot	0.00581214749663766	0.00118451249777538	90	90	4.9616502027734e-06	8.23050210107117e-05
Fusicatenibacter	Temperature	Hot	-0.240887029113413	0.0496132016946838	90	90	6.0592439011725e-06	8.99319357963498e-05
Gordonibacter	Temperature	Hot	0.0350293499530338	0.00721278679147315	90	90	6.02971607974956e-06	8.99319357963498e-05
Catabacter	Temperature	Hot	0.00264239063197427	0.000550397134901097	90	90	7.47648543471459e-06	0.000105418444629476
Paenibacillus	Temperature	Hot	0.00167230845804343	0.000350732384435099	90	90	8.48266799127073e-06	0.000113910113025635
unclassified.Firmicutes.sensu.stricto..miscellaneous.	Temperature	Room Temp	0.187818644817612	0.040481774034856	90	90	1.38461807861858e-05	0.000177482862804745
Phocea	Temperature	Hot	0.00297305252673279	0.000694446599079856	90	90	5.24065188922932e-05	0.000642549492505508
Pseudoflavonifractor	Temperature	Room Temp	0.00784708474149193	0.00184563416870226	90	90	5.83241926897269e-05	0.000685309264104291
