feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Holdemania	Temperature	Hot	0.0173168509673169	0.00189505163752524	210	209	8.09101277350437e-17	4.6280593064445e-14
Anaerotruncus	Kit	Omnigene	-0.0150067107360479	0.00178753554606176	210	209	9.20937317777868e-15	2.6338807288447e-12
Actinomyces	Kit	Zymo	-0.00690789228674623	0.000843837218862279	210	209	3.38007521296751e-14	6.44467673939139e-12
Anaerobutyricum	Temperature	Hot	-0.186013124987642	0.023559349877035	210	209	2.01274298947185e-13	2.87822247494474e-11
Fusicatenibacter	Temperature	Hot	-0.280106268355439	0.0370651034410274	210	209	1.54184760020049e-12	1.76387365462936e-10
Anaerotruncus	Kit	Zymo	-0.0133580824056611	0.00178753554606176	210	209	2.54152325971891e-12	2.42291884093203e-10
Blautia	Temperature	Hot	-2.27523525343201	0.310231373847089	210	209	5.75726738957631e-12	4.70450992405379e-10
Anaerostipes	Temperature	Hot	-0.336633912831612	0.0468499263208758	210	209	1.36838246581804e-11	9.783934630599e-10
Phocea	Temperature	Room Temp	0.00397326284633561	0.000572025947181346	210	209	5.40643059257526e-11	3.14330426125023e-09
Harryflintia	Kit	Omnigene	-0.00264148086700463	0.000380447977827182	210	209	5.49528717001788e-11	3.14330426125023e-09
Lachnoclostridium	Kit	Omnigene	-0.149942858098374	0.0218817180189968	210	209	9.18095794254621e-11	4.77409813012403e-09
unclassified.Clostridiales..miscellaneous.	Temperature	Hot	0.580607620510173	0.0879944522719379	210	209	3.79129728155927e-10	1.80718503754325e-08
Enterorhabdus	Kit	Zymo	-0.0164675482250968	0.00255086129559402	210	188	8.28137407752321e-10	3.64380459411021e-08
Hungatella	Kit	Omnigene	-0.0113737637172289	0.00177411107744879	210	209	1.05589139745184e-09	4.31407056673182e-08
Actinomyces	Kit	Omnigene	-0.00531668878467607	0.000843837218862279	210	209	1.9146820783539e-09	7.30132099212288e-08
Bilophila	Kit	Zymo	-0.0857856748567336	0.0137148430699368	210	170	2.44471005270045e-09	8.73983843840412e-08
unclassified.Ruminococcaceae	Kit	Zymo	-1.02732970125699	0.166994888658341	210	209	4.22743688200305e-09	1.39521149848615e-07
Christensenella	Kit	Omnigene	-0.00239645578451836	0.000390003805569462	210	209	4.39052569453682e-09	1.39521149848615e-07
Catabacter	Kit	Omnigene	-0.00333713294387487	0.000557697242593293	210	209	1.01983595996953e-08	3.07024299527669e-07
Lachnospira	Temperature	Hot	-0.11988768645686	0.0200812254143216	210	209	1.09459496555129e-08	3.13054160147669e-07
Oscillibacter	Temperature	Hot	0.316454348031463	0.0534976492504843	210	209	1.45340081922784e-08	3.77884212999238e-07
Pseudoflavonifractor	Kit	Omnigene	-0.0145455082609068	0.00245537756225285	210	209	1.39003129157538e-08	3.77884212999238e-07
Bacteroides	Kit	Omnigene	7.45974079599054	1.26763608749741	210	209	1.70062831567518e-08	4.05316415235918e-07
Flavonifractor	Kit	Omnigene	-0.0821446354325212	0.013954470262235	210	209	1.68452089359899e-08	4.05316415235918e-07
unclassified.Ruminococcaceae	Kit	Omnigene	-0.978798953671407	0.166994888658341	210	209	1.91867192109771e-08	4.38992135547155e-07
