feature,Comparison,Percent,p
Firmicutes: Faecalibacterium,OF_NF,"-35.9% [-44.1%, -26.4%] ***",< 0.001
Firmicutes: Ruminococcus,OF_NF,"-11.5% [-22.6%, 1.3%]",0.08
Firmicutes: Clostridium,OF_NF,"1.4% [-14.6%, 20.3%]",0.88
Firmicutes: Blautia,OF_NF,"-20.0% [-27.3%, -11.9%] ***",< 0.001
Firmicutes: unclassified Lachnospiraceae,OF_NF,"-22.5% [-28.7%, -15.8%] ***",< 0.001
Firmicutes: unclassified Ruminococcaceae,OF_NF,"-36.6% [-44.0%, -28.2%] ***",< 0.001
Firmicutes: Eubacterium,OF_NF,"-13.8% [-25.9%, 0.3%]",0.06
Firmicutes: Roseburia,OF_NF,"-6.9% [-23.2%, 12.9%]",0.47
Firmicutes: unclassified Clostridiales (miscel...,OF_NF,"-33.5% [-40.5%, -25.7%] ***",< 0.001
Firmicutes: Coprococcus,OF_NF,"-20.1% [-29.5%, -9.5%] ***",< 0.001
Firmicutes: Firmicutes: environmental samples,OF_NF,"-37.8% [-45.4%, -29.2%] ***",< 0.001
Firmicutes: Oscillibacter,OF_NF,"-10.8% [-20.3%, -0.1%] *",0.048
Firmicutes: Dorea,OF_NF,"-24.2% [-32.0%, -15.6%] ***",< 0.001
Firmicutes: Megamonas,OF_NF,"-19.8% [-28.7%, -9.8%] ***",< 0.001
Firmicutes: unclassified Firmicutes sensu stri...,OF_NF,"-23.5% [-29.9%, -16.4%] ***",< 0.001
Firmicutes: Dialister,OF_NF,"-18.4% [-35.0%, 2.4%]",0.08
Firmicutes: Subdoligranulum,OF_NF,"-29.4% [-36.3%, -21.7%] ***",< 0.001
Firmicutes: Gemmiger,OF_NF,"-30.3% [-36.9%, -22.9%] ***",< 0.001
Firmicutes: Butyricicoccus,OF_NF,"-13.4% [-22.1%, -3.8%] **",0.007
Firmicutes: unclassified Oscillospiraceae,OF_NF,"-10.7% [-23.6%, 4.5%]",0.16
Firmicutes: unclassified Clostridiaceae,OF_NF,"-5.2% [-15.8%, 6.7%]",0.38
Firmicutes: Streptococcus,OF_NF,"-5.4% [-25.3%, 19.8%]",0.64
Firmicutes: Anaerostipes,OF_NF,"-26.8% [-35.6%, -16.8%] ***",< 0.001
Firmicutes: Flavonifractor,OF_NF,"-21.1% [-32.0%, -8.5%] **",0.002
Firmicutes: Lachnoclostridium,OF_NF,"-22.5% [-28.1%, -16.5%] ***",< 0.001
Firmicutes: Clostridiales: environmental samples,OF_NF,"-7.6% [-27.9%, 18.4%]",0.53
Firmicutes: Coprobacillus,OF_NF,"-24.7% [-31.6%, -17.0%] ***",< 0.001
Firmicutes: Lachnospira,OF_NF,"-26.2% [-36.1%, -14.9%] ***",< 0.001
Firmicutes: Phascolarctobacterium,OF_NF,"-15.7% [-24.3%, -6.2%] **",0.002
Firmicutes: Mitsuokella,OF_NF,"-31.2% [-36.2%, -25.8%] ***",< 0.001
Firmicutes: Anaerobutyricum,OF_NF,"-20.6% [-26.9%, -13.7%] ***",< 0.001
Firmicutes: Butyrivibrio,OF_NF,"-21.2% [-25.7%, -16.4%] ***",< 0.001
Firmicutes: unclassified Erysipelotrichaceae,OF_NF,"-19.9% [-26.2%, -13.2%] ***",< 0.001
Firmicutes: Fusicatenibacter,OF_NF,"-19.9% [-25.9%, -13.3%] ***",< 0.001
Firmicutes: Megasphaera,OF_NF,"-23.5% [-31.8%, -14.1%] ***",< 0.001
Firmicutes: unclassified Clostridia,OF_NF,"-23.2% [-35.8%, -8.2%] **",0.004
Firmicutes: Intestinimonas,OF_NF,"-25.2% [-34.9%, -14.1%] ***",< 0.001
Bacteroidetes: Bacteroides,OF_NF,"53.8% [37.2%, 72.4%] ***",< 0.001
Bacteroidetes: Alistipes,OF_NF,"72.2% [41.2%, 109.9%] ***",< 0.001
Bacteroidetes: Prevotella,OF_NF,"43.2% [25.5%, 63.4%] ***",< 0.001
Bacteroidetes: Parabacteroides,OF_NF,"55.8% [28.1%, 89.6%] ***",< 0.001
Bacteroidetes: Odoribacter,OF_NF,"39.7% [16.5%, 67.5%] ***",< 0.001
Bacteroidetes: unclassified Bacteroidaceae,OF_NF,"56.2% [29.0%, 89.3%] ***",< 0.001
Bacteroidetes: Butyricimonas,OF_NF,"49.4% [29.3%, 72.6%] ***",< 0.001
Bacteroidetes: Barnesiella,OF_NF,"50.5% [23.4%, 83.4%] ***",< 0.001
Actinobacteria: Bifidobacterium,OF_NF,"-25.9% [-37.5%, -12.2%] ***",0.001
Actinobacteria: Collinsella,OF_NF,"-32.3% [-39.7%, -23.9%] ***",< 0.001
Actinobacteria: Eggerthella,OF_NF,"-33.6% [-42.9%, -22.7%] ***",< 0.001
Proteobacteria: Sutterella,OF_NF,"23.2% [-4.2%, 58.5%]",0.1
Proteobacteria: Azospirillum,OF_NF,"-0.1% [-26.8%, 36.5%]",0.99
Proteobacteria: Bilophila,OF_NF,"-28.9% [-40.3%, -15.3%] ***",< 0.001
Verrucomicrobia: Akkermansia,OF_NF,"-4.5% [-32.5%, 35.2%]",0.8
Lentisphaerae: unclassified Lentisphaeria,OF_NF,"-4.8% [-30.5%, 30.4%]",0.76
null: crAss-like viruses,OF_NF,"-34.4% [-51.9%, -10.6%] **",0.008
Firmicutes: Faecalibacterium,ZF_NF,"-18.6% [-27.7%, -8.4%] ***",0.001
Firmicutes: Ruminococcus,ZF_NF,"0.1% [-8.8%, 9.9%]",0.98
Firmicutes: Clostridium,ZF_NF,"1.1% [-12.9%, 17.4%]",0.89
Firmicutes: Blautia,ZF_NF,"4.3% [-8.9%, 19.4%]",0.54
Firmicutes: unclassified Lachnospiraceae,ZF_NF,"-21.4% [-29.3%, -12.6%] ***",< 0.001
Firmicutes: unclassified Ruminococcaceae,ZF_NF,"-21.0% [-29.3%, -11.7%] ***",< 0.001
Firmicutes: Eubacterium,ZF_NF,"-9.9% [-22.1%, 4.2%]",0.16
Firmicutes: Roseburia,ZF_NF,"-20.8% [-36.2%, -1.6%] *",0.035
Firmicutes: unclassified Clostridiales (miscel...,ZF_NF,"-13.6% [-20.0%, -6.7%] ***",< 0.001
Firmicutes: Coprococcus,ZF_NF,"-3.9% [-11.9%, 4.7%]",0.36
Firmicutes: Firmicutes: environmental samples,ZF_NF,"-15.8% [-24.2%, -6.4%] ***",0.001
Firmicutes: Oscillibacter,ZF_NF,"27.9% [14.9%, 42.3%] ***",< 0.001
Firmicutes: Dorea,ZF_NF,"-19.8% [-29.8%, -8.4%] ***",0.001
Firmicutes: Megamonas,ZF_NF,"-10.2% [-22.2%, 3.7%]",0.14
Firmicutes: unclassified Firmicutes sensu stri...,ZF_NF,"3.9% [-3.7%, 12.1%]",0.33
Firmicutes: Dialister,ZF_NF,"8.3% [-6.7%, 25.8%]",0.29
Firmicutes: Subdoligranulum,ZF_NF,"-13.2% [-20.8%, -4.9%] **",0.002
Firmicutes: Gemmiger,ZF_NF,"-16.8% [-25.0%, -7.7%] ***",0.001
Firmicutes: Butyricicoccus,ZF_NF,"-3.5% [-16.3%, 11.3%]",0.62
Firmicutes: unclassified Oscillospiraceae,ZF_NF,"27.3% [12.3%, 44.3%] ***",< 0.001
Firmicutes: unclassified Clostridiaceae,ZF_NF,"-1.3% [-14.4%, 13.9%]",0.86
Firmicutes: Streptococcus,ZF_NF,"-19.5% [-39.1%, 6.4%]",0.13
Firmicutes: Anaerostipes,ZF_NF,"-24.8% [-31.7%, -17.2%] ***",< 0.001
Firmicutes: Flavonifractor,ZF_NF,"-1.5% [-9.9%, 7.6%]",0.73
Firmicutes: Lachnoclostridium,ZF_NF,"-15.6% [-22.3%, -8.3%] ***",< 0.001
Firmicutes: Clostridiales: environmental samples,ZF_NF,"-3.2% [-14.0%, 8.9%]",0.59
Firmicutes: Coprobacillus,ZF_NF,"-35.2% [-44.0%, -25.1%] ***",< 0.001
Firmicutes: Lachnospira,ZF_NF,"4.1% [-4.6%, 13.5%]",0.37
Firmicutes: Phascolarctobacterium,ZF_NF,"18.6% [-1.0%, 42.0%]",0.06
Firmicutes: Mitsuokella,ZF_NF,"-0.4% [-17.9%, 20.7%]",0.96
Firmicutes: Anaerobutyricum,ZF_NF,"-20.8% [-34.9%, -3.6%] *",0.02
Firmicutes: Butyrivibrio,ZF_NF,"-10.7% [-16.1%, -4.9%] ***",< 0.001
Firmicutes: unclassified Erysipelotrichaceae,ZF_NF,"-17.0% [-29.2%, -2.8%] *",0.02
Firmicutes: Fusicatenibacter,ZF_NF,"2.3% [-9.8%, 16.0%]",0.72
Firmicutes: Megasphaera,ZF_NF,"1.5% [-13.4%, 19.0%]",0.85
Firmicutes: unclassified Clostridia,ZF_NF,"-3.9% [-15.6%, 9.4%]",0.55
Firmicutes: Intestinimonas,ZF_NF,"-2.6% [-10.8%, 6.4%]",0.56
Bacteroidetes: Bacteroides,ZF_NF,"27.2% [13.4%, 42.7%] ***",< 0.001
Bacteroidetes: Alistipes,ZF_NF,"41.9% [23.5%, 62.9%] ***",< 0.001
Bacteroidetes: Prevotella,ZF_NF,"39.4% [17.9%, 64.9%] ***",< 0.001
Bacteroidetes: Parabacteroides,ZF_NF,"30.5% [6.7%, 59.6%] **",0.01
Bacteroidetes: Odoribacter,ZF_NF,"19.3% [2.2%, 39.3%] *",0.03
Bacteroidetes: unclassified Bacteroidaceae,ZF_NF,"17.6% [-3.4%, 43.3%]",0.11
Bacteroidetes: Butyricimonas,ZF_NF,"36.5% [18.3%, 57.4%] ***",< 0.001
Bacteroidetes: Barnesiella,ZF_NF,"18.0% [-2.7%, 43.0%]",0.09
Actinobacteria: Bifidobacterium,ZF_NF,"-17.9% [-35.7%, 4.8%]",0.11
Actinobacteria: Collinsella,ZF_NF,"-31.9% [-39.5%, -23.3%] ***",< 0.001
Actinobacteria: Eggerthella,ZF_NF,"-38.3% [-52.0%, -20.7%] ***",< 0.001
Proteobacteria: Sutterella,ZF_NF,"9.2% [-12.2%, 35.8%]",0.43
Proteobacteria: Azospirillum,ZF_NF,"2.3% [-23.1%, 36.1%]",0.88
Proteobacteria: Bilophila,ZF_NF,"-24.9% [-42.7%, -1.5%] *",0.04
Verrucomicrobia: Akkermansia,ZF_NF,"3.4% [-23.4%, 39.5%]",0.83
Lentisphaerae: unclassified Lentisphaeria,ZF_NF,"3.2% [-18.3%, 30.4%]",0.79
null: crAss-like viruses,ZF_NF,"7.5% [-15.2%, 36.3%]",0.55
Firmicutes: Faecalibacterium,OR_OF,"-3.5% [-20.8%, 17.6%]",0.73
Firmicutes: Ruminococcus,OR_OF,"-8.2% [-17.7%, 2.5%]",0.13
Firmicutes: Clostridium,OR_OF,"10.6% [5.0%, 16.5%] ***",< 0.001
Firmicutes: Blautia,OR_OF,"-13.0% [-20.2%, -5.2%] ***",0.001
Firmicutes: unclassified Lachnospiraceae,OR_OF,"-7.2% [-12.8%, -1.3%] *",0.018
Firmicutes: unclassified Ruminococcaceae,OR_OF,"21.0% [10.6%, 32.4%] ***",< 0.001
Firmicutes: Eubacterium,OR_OF,"6.3% [-4.8%, 18.8%]",0.28
Firmicutes: Roseburia,OR_OF,"-11.5% [-18.6%, -3.8%] **",0.004
Firmicutes: unclassified Clostridiales (miscel...,OR_OF,"40.3% [24.2%, 58.5%] ***",< 0.001
Firmicutes: Coprococcus,OR_OF,"-10.6% [-16.7%, -4.1%] **",0.002
