Donor,Patient,Sample_Type,Replication,MicrobesPerGram,mean_16s_count,DNAConcentration,Relative Abundance: Firmicutes,Relative Abundance: Bacteroidetes,Relative Abundance: Actinobacteria,Relative Abundance: Other Bacteria,Relative Abundance: Viruses,Relative Abundance: Fungi,Relative Abundance: Unclassified,Richness 0.01%,Richness 0.001%,Richness 0.0001%,Richness 0.00001%,Richness Any%,Shannon Entropy,Inv Simpson
D04-ZR-R1,D04,ZR,R1,60896045870,4.514360373,9.08,0.578632442,0.20084473,0.048434208,0.021434983,5.82E-05,0.002057394,0.135332599,107,362,1511,2794,3080,3.322845497,15.34874476
D10-NF-R1,D10,NF,R1,2.08213E+12,4.595630928,83.8,0.512432335,0.320658359,0.071474118,0.002062375,0.000103642,0.000476659,0.051199255,79,216,807,1969,2575,2.572145597,5.043725253
D02-OF-R1,D02,OF,R1,1.55562E+12,4.539933311,42.6,0.345358998,0.528991906,0.009085414,0.006898757,0.007410587,0.000747655,0.055746959,80,208,767,2055,2822,2.117674044,2.876174707
D02-OF-R3,D02,OF,R3,1.29621E+12,4.641039764,110,0.495371438,0.382600644,0.013704811,0.005859213,0.003834116,0.00069606,0.059632252,81,218,814,2269,2765,2.557831543,4.752923121
D06-ZR-R2,D06,ZR,R2,37358644534,4.361541411,3.42,0.367902471,0.476091457,0.04178709,0.002496098,0.002481221,0.000489718,0.059929416,79,226,832,2270,2643,2.262504773,3.854080294
D06-ZF-R2,D06,ZF,R2,83354026543,4.527011194,10.4,0.513082075,0.308333902,0.081977292,0.002071985,0.000784408,0.00046853,0.054676869,77,222,852,2305,2665,2.533076386,6.198559846
D09-ZH-R2,D09,ZH,R2,7087033955,4.629414498,4.7,0.399195841,0.385914432,0.026460611,0.053747232,0.002177058,0.000928415,0.103316137,103,281,1011,2363,2713,2.785345346,6.22956863
D01-ZR-R3,D01,ZR,R3,6790923966,4.708748544,5,0.669442884,0.222172911,0.013009924,0.010266548,0.000281718,0.000657694,0.058344685,98,244,918,2368,2720,3.007482863,11.29351103
D10-OH-R1,D10,OH,R1,1.5462E+12,4.575283288,44,0.428745183,0.420271125,0.049531136,0.002505923,9.78E-05,0.000488152,0.053669508,78,208,786,2062,2911,2.326668909,3.554169684
D04-OH-R1,D04,OH,R1,1.94658E+13,4.842331837,83.2,0.629996676,0.157090797,0.034307093,0.017697033,8.37E-05,0.002773893,0.143505552,114,394,1563,2822,2986,3.269194161,14.4868319
D01-OR-R3,D01,OR,R3,1.37257E+12,4.614335646,102,0.57533236,0.306543178,0.013713013,0.013100065,0.000188463,0.000710003,0.057891647,99,254,928,2238,2632,3.016082337,10.32755859
D09-OF-R2,D09,OF,R2,69371310241,4.452688821,35.4,0.274461687,0.525605805,0.022843992,0.045315688,0.00116172,0.000922883,0.096407284,94,260,959,2248,3031,2.522860904,4.196317637
D10-NF-R3,D10,NF,R3,55175675.9,4.588624514,6.98,0.471272621,0.364116373,0.065286472,0.002013443,8.63E-05,0.000403232,0.051571546,75,208,774,2092,2444,2.456512494,4.27113525
D07-NF-R1,D07,NF,R1,1.79093E+12,4.502333663,61.4,0.675113591,0.202615478,0.032606935,0.010014269,0.000840792,0.000585038,0.053588388,87,252,919,2371,3059,3.058489673,12.36933073
D09-ZF-R2,D09,ZF,R2,13679825863,4.64895251,6.22,0.504086531,0.294469674,0.055836065,0.036023894,0.001019253,0.000752645,0.081377984,96,254,982,2276,2643,2.966939241,8.477419813
