feature,Condition,Mean,CI_low,CI_high,,,,,,,
MicrobesPerGram,NF,1.33E+12,5.65E+11,3.13E+12,,,,,,,
MicrobesPerGram,OF,1.41E+12,7.12E+11,2.78E+12,,,,,,,
MicrobesPerGram,OR,1.45E+12,8.83E+11,2.40E+12,,,,,,,
MicrobesPerGram,OH,2.04E+12,1.15E+12,3.63E+12,,,,,,,
MicrobesPerGram,ZF,4.70E+10,2.29E+10,9.65E+10,,,,,,,
MicrobesPerGram,ZR,2.47E+10,1.37E+10,4.46E+10,,,,,,,
MicrobesPerGram,ZH,1.14E+10,5.77E+09,2.27E+10,,,,,,,
mean_16s_count,NF,4.627857,4.58688,4.6692,,,,,,,
mean_16s_count,OF,4.566823,4.518977,4.615176,,,,,,,
mean_16s_count,OR,4.562806,4.49622,4.630378,,,,,,,
mean_16s_count,OH,4.62757,4.567615,4.688312,,,,,,,
mean_16s_count,ZF,4.589575,4.55174,4.627724,,,,,,,
mean_16s_count,ZR,4.526586,4.454901,4.599425,,,,,,,
mean_16s_count,ZH,4.536607,4.467888,4.606383,,,,,,,
DNAConcentration,NF,59.372503,39.242136,89.829314,,,,,,,
DNAConcentration,OF,38.285919,27.601875,53.105508,,,,,,,
DNAConcentration,OR,53.902574,44.066048,65.934832,,,,,,,
DNAConcentration,OH,46.641841,34.80957,62.496071,,,,,,,
DNAConcentration,ZF,9.229848,7.349305,11.591586,,,,,,,
DNAConcentration,ZR,5.381136,4.212303,6.874298,,,,,,,
DNAConcentration,ZH,4.786299,3.716756,6.163617,,,,,,,
Relative Abundance: Firmicutes,NF,0.568912,0.529099,0.611721,,,,,,,
Relative Abundance: Firmicutes,OF,0.449451,0.401384,0.503274,,,,,,,
Relative Abundance: Firmicutes,OR,0.443321,0.398995,0.492571,,,,,,,
Relative Abundance: Firmicutes,OH,0.470031,0.417319,0.529402,,,,,,,
Relative Abundance: Firmicutes,ZF,0.519303,0.485959,0.554935,,,,,,,
Relative Abundance: Firmicutes,ZR,0.455766,0.404781,0.513173,,,,,,,
Relative Abundance: Firmicutes,ZH,0.430493,0.378844,0.489184,,,,,,,
Relative Abundance: Bacteroidetes,NF,0.224767,0.173528,0.291136,,,,,,,
Relative Abundance: Bacteroidetes,OF,0.350342,0.280541,0.43751,,,,,,,
Relative Abundance: Bacteroidetes,OR,0.355035,0.275721,0.457165,,,,,,,
Relative Abundance: Bacteroidetes,OH,0.339399,0.271902,0.423651,,,,,,,
Relative Abundance: Bacteroidetes,ZF,0.298841,0.257253,0.347153,,,,,,,
Relative Abundance: Bacteroidetes,ZR,0.346904,0.287013,0.419292,,,,,,,
Relative Abundance: Bacteroidetes,ZH,0.376996,0.315229,0.450866,,,,,,,
Relative Abundance: Actinobacteria,NF,0.044721,0.030331,0.065938,,,,,,,
Relative Abundance: Actinobacteria,OF,0.031536,0.020748,0.047934,,,,,,,
Relative Abundance: Actinobacteria,OR,0.026639,0.017175,0.041319,,,,,,,
Relative Abundance: Actinobacteria,OH,0.022889,0.014325,0.036573,,,,,,,
Relative Abundance: Actinobacteria,ZF,0.03268,0.02031,0.052584,,,,,,,
Relative Abundance: Actinobacteria,ZR,0.028687,0.018595,0.044256,,,,,,,
Relative Abundance: Actinobacteria,ZH,0.020795,0.0131,0.03301,,,,,,,
Relative Abundance: Other Bacteria,NF,0.010172,0.005441,0.019018,,,,,,,
Relative Abundance: Other Bacteria,OF,0.010485,0.005688,0.019326,,,,,,,
Relative Abundance: Other Bacteria,OR,0.011241,0.00591,0.02138,,,,,,,
Relative Abundance: Other Bacteria,OH,0.011034,0.005999,0.020296,,,,,,,
Relative Abundance: Other Bacteria,ZF,0.010257,0.005543,0.01898,,,,,,,
Relative Abundance: Other Bacteria,ZR,0.011327,0.006069,0.021139,,,,,,,
Relative Abundance: Other Bacteria,ZH,0.012849,0.00704,0.023453,,,,,,,
Relative Abundance: Viruses,NF,0.000744,0.000305,0.001818,,,,,,,
Relative Abundance: Viruses,OF,0.000501,0.0002,0.001252,,,,,,,
Relative Abundance: Viruses,OR,0.000637,0.000242,0.001678,,,,,,,
Relative Abundance: Viruses,OH,0.000779,0.00031,0.001956,,,,,,,
Relative Abundance: Viruses,ZF,0.00077,0.000306,0.001937,,,,,,,
Relative Abundance: Viruses,ZR,0.001098,0.00041,0.002937,,,,,,,
Relative Abundance: Viruses,ZH,0.001316,0.000477,0.003628,,,,,,,
Relative Abundance: Fungi,NF,0.000742,0.000578,0.000952,,,,,,,
Relative Abundance: Fungi,OF,0.000694,0.000518,0.00093,,,,,,,
Relative Abundance: Fungi,OR,0.000712,0.000525,0.000966,,,,,,,
Relative Abundance: Fungi,OH,0.000722,0.000517,0.001008,,,,,,,
Relative Abundance: Fungi,ZF,0.000688,0.000535,0.000885,,,,,,,
Relative Abundance: Fungi,ZR,0.000688,0.000513,0.000922,,,,,,,
Relative Abundance: Fungi,ZH,0.000751,0.000557,0.001013,,,,,,,
Relative Abundance: Unclassified,NF,0.073985,0.060263,0.090832,,,,,,,
Relative Abundance: Unclassified,OF,0.06486,0.052116,0.08072,,,,,,,
Relative Abundance: Unclassified,OR,0.066809,0.054789,0.081466,,,,,,,
Relative Abundance: Unclassified,OH,0.070988,0.057351,0.087868,,,,,,,
Relative Abundance: Unclassified,ZF,0.069162,0.057569,0.08309,,,,,,,
Relative Abundance: Unclassified,ZR,0.071629,0.059055,0.08688,,,,,,,
Relative Abundance: Unclassified,ZH,0.075604,0.062537,0.091402,,,,,,,
Richness 0.01%,NF,91.668193,84.365424,99.603098,,,,,,,
Richness 0.01%,OF,85.912798,79.423567,92.932226,,,,,,,
Richness 0.01%,OR,87.732974,81.454916,94.494908,,,,,,,
Richness 0.01%,OH,87.335258,81.066413,94.088871,,,,,,,
Richness 0.01%,ZF,87.5512,82.012386,93.464086,,,,,,,
Richness 0.01%,ZR,88.529543,82.339099,95.185399,,,,,,,
Richness 0.01%,ZH,88.777476,81.782246,96.371042,,,,,,,
Richness 0.001%,NF,271.476594,238.379587,309.168842,,,,,,,
