Feature,group1,group2,p,p.adj,p.format,p.signif,method
MicrobesPerGram,NF,OF,0.917,0.917,0.917,,NA
mean_16s_count,NF,OF,0.075,0.075,0.075,,NA
DNAConcentration,NF,OF,0.066,0.066,0.066,,NA
Relative Abundance: Firmicutes,NF,OF,<0.001,0.001,0.001,***,NA
Relative Abundance: Bacteroidetes,NF,OF,<0.001,0.001,0.001,***,NA
Relative Abundance: Actinobacteria,NF,OF,<0.001,0.001,0.001,***,NA
Relative Abundance: Other Bacteria,NF,OF,0.804,0.804,0.804,,NA
Relative Abundance: Viruses,NF,OF,<0.001,0.001,0.001,***,NA
Relative Abundance: Fungi,NF,OF,0.167,0.167,0.167,,NA
Relative Abundance: Unclassified,NF,OF,0.007,0.007,0.007,**,NA
Richness 0.01%,NF,OF,<0.001,0.001,0.001,***,NA
Richness 0.001%,NF,OF,<0.001,0.001,0.001,***,NA
Richness 0.0001%,NF,OF,<0.001,0.001,0.001,***,NA
Richness 0.00001%,NF,OF,<0.001,0.001,0.001,***,NA
Richness Any%,NF,OF,0.645,0.645,0.645,,NA
Shannon Entropy,NF,OF,<0.001,0.001,0.001,***,NA
Inv Simpson,NF,OF,<0.001,0.001,0.001,***,NA
MicrobesPerGram,NF,ZF,<0.001,0.001,0.001,***,NA
mean_16s_count,NF,ZF,0.168,0.168,0.168,,NA
DNAConcentration,NF,ZF,<0.001,0.001,0.001,***,NA
Relative Abundance: Firmicutes,NF,ZF,<0.001,0.001,0.001,***,NA
Relative Abundance: Bacteroidetes,NF,ZF,<0.001,0.001,0.001,***,NA
Relative Abundance: Actinobacteria,NF,ZF,0.004,0.004,0.004,**,NA
Relative Abundance: Other Bacteria,NF,ZF,0.945,0.945,0.945,,NA
Relative Abundance: Viruses,NF,ZF,0.736,0.736,0.736,,NA
Relative Abundance: Fungi,NF,ZF,0.033,0.033,0.033,*,NA
Relative Abundance: Unclassified,NF,ZF,0.053,0.053,0.053,,NA
Richness 0.01%,NF,ZF,0.015,0.015,0.015,*,NA
Richness 0.001%,NF,ZF,0.002,0.002,0.002,**,NA
Richness 0.0001%,NF,ZF,<0.001,0.001,0.001,***,NA
Richness 0.00001%,NF,ZF,<0.001,0.001,0.001,***,NA
Richness Any%,NF,ZF,0.925,0.925,0.925,,NA
Shannon Entropy,NF,ZF,0.002,0.002,0.002,**,NA
Inv Simpson,NF,ZF,0.001,0.001,0.001,***,NA
MicrobesPerGram,OF,OR,0.902,0.902,0.902,,NA
mean_16s_count,OF,OR,0.814,0.814,0.814,,NA
DNAConcentration,OF,OR,0.055,0.055,0.055,,NA
Relative Abundance: Firmicutes,OF,OR,0.599,0.599,0.599,,NA
Relative Abundance: Bacteroidetes,OF,OR,0.648,0.648,0.648,,NA
Relative Abundance: Actinobacteria,OF,OR,0.001,0.001,0.001,***,NA
Relative Abundance: Other Bacteria,OF,OR,0.073,0.073,0.073,,NA
Relative Abundance: Viruses,OF,OR,0.007,0.007,0.007,**,NA
Relative Abundance: Fungi,OF,OR,0.238,0.238,0.238,,NA
Relative Abundance: Unclassified,OF,OR,0.105,0.105,0.105,,NA
Richness 0.01%,OF,OR,0.007,0.007,0.007,**,NA
Richness 0.001%,OF,OR,0.47,0.47,0.47,,NA
Richness 0.0001%,OF,OR,0.062,0.062,0.062,,NA
Richness 0.00001%,OF,OR,0.168,0.168,0.168,,NA
Richness Any%,OF,OR,0.358,0.358,0.358,,NA
Shannon Entropy,OF,OR,0.879,0.879,0.879,,NA
Inv Simpson,OF,OR,0.423,0.423,0.423,,NA
