Sample,Patient,Sample_Type,Replication,MicrobesPerGram,mean_16s_count,DNAConcentration,Absolute Abundance: Firmicutes,Absolute Abundance: Bacteroidetes,Absolute Abundance: Actinobacteria,Absolute Abundance: Other Bacteria,Absolute Abundance: Viruses,Absolute Abundance: Fungi,Absolute Abundance: Unclassified + Root,Absolute Abundance: Unclassified,Richness 100M,Richness 10M,Richness 1M,ratio of B/F
D01-NF-R1,D01,NF,R1,2.19E+12,4.559263825,98.4,1.43E+12,4.06E+11,52151623878,74758266752,860284410.3,1490360749,2.25E+11,1.55E+11,123,358,1307,0.283283144
D01-NF-R2,D01,NF,R2,1.65E+12,4.490261832,5.9,9.63E+11,4.20E+11,34765817298,57896432980,730702225.1,955789918,1.74E+11,1.15E+11,112,309,1122,0.436626446
D01-NF-R3,D01,NF,R3,3.41E+12,4.509996104,160.8,2.11E+12,7.49E+11,79888103700,1.14E+11,1214594437,2282374748,3.54E+11,2.42E+11,144,447,1592,0.354363186
D01-OF-R1,D01,OF,R1,1.31E+13,4.523915222,93.8,7.43E+12,4.08E+12,1.84E+11,1.85E+11,2753697458,8400626662,1.25E+12,8.06E+11,248,928,2420,0.549419249
D01-OF-R2,D01,OF,R2,5.52E+12,4.466311003,88.2,2.90E+12,1.89E+12,73455247543,1.05E+11,1384892734,3524876416,5.48E+11,3.41E+11,168,555,1839,0.650699835
D01-OF-R3,D01,OF,R3,1.28E+13,4.611613129,102,7.68E+12,3.67E+12,1.86E+11,1.51E+11,2307496197,9240457538,1.14E+12,7.64E+11,241,856,2343,0.477585471
D01-OH-R1,D01,OH,R1,1.03E+13,4.624399073,60,5.05E+12,4.18E+12,51583926530,1.42E+11,3760478178,5314256038,8.89E+11,5.25E+11,194,670,2022,0.826313372
D01-OH-R2,D01,OH,R2,1.63E+13,4.58728675,39.6,8.45E+12,5.98E+12,1.07E+11,2.45E+11,5670968958,9384497844,1.51E+12,9.20E+11,252,977,2412,0.707882353
D01-OH-R3,D01,OH,R3,4.94E+12,4.597646345,4.64,2.83E+12,1.53E+12,49772495582,69717237516,1561935624,2840596339,4.56E+11,2.93E+11,152,492,1680,0.540047462
D01-OR-R1,D01,OR,R1,1.48E+12,4.352061337,48.4,6.41E+11,6.36E+11,13227844206,30574474284,353418125.6,893594252.7,1.53E+11,89326659641,93,258,948,0.991782754
D01-OR-R2,D01,OR,R2,3.06E+12,4.485716776,58,1.60E+12,1.06E+12,35647925084,59877376815,720623895.2,2078183412,3.09E+11,1.91E+11,131,392,1462,0.665618119
D01-OR-R3,D01,OR,R3,3.91E+12,4.614335646,102,2.25E+12,1.20E+12,53570577516,51176064325,736242078.1,2773661154,3.53E+11,2.26E+11,143,432,1563,0.532810597
D01-ZF-R1,D01,ZF,R1,1.03E+13,4.60863841,35,5.82E+12,3.26E+12,1.05E+11,1.72E+11,3519191193,6240964546,9.59E+11,6.38E+11,214,764,2278,0.559164025
D01-ZF-R2,D01,ZF,R2,1.34E+12,4.68778945,9.92,9.15E+11,2.75E+11,18709705093,14843744340,418811154.3,901356633.2,1.19E+11,85125358819,96,247,919,0.300383903
D01-ZF-R3,D01,ZF,R3,6.02E+11,4.537551392,10.3,2.86E+11,2.45E+11,3263779206,10930987650,370622474,310552918.1,56167128619,34302091777,70,161,520,0.857691978
D01-ZH-R1,D01,ZH,R1,8273042954,4.575243355,5,4610487258,2629741690,96878830.68,138242315.5,3065223.519,5185631.465,789031883.8,515428456.1,13,40,83,0.570382596
D01-ZH-R2,D01,ZH,R2,2.33E+11,4.569371389,4.88,1.35E+11,68632624368,2062116213,3436739790,136577710.9,160231086.6,23407490604,16063543196,58,116,344,0.506925102
D01-ZH-R3,D01,ZH,R3,2.21E+11,4.567729639,3.48,1.13E+11,81481296051,1311326973,3567502457,98352314.69,125673953.1,21597196786,13800516880,54,111,312,0.721875438
D01-ZR-R1,D01,ZR,R1,8.43E+11,4.549462411,9.32,5.12E+11,2.24E+11,12657865409,12396789452,341955227.2,507237782.2,80671400827,56430966281,82,204,695,0.437675816
D01-ZR-R2,D01,ZR,R2,52212092184,4.588679689,11,31225657793,14547751271,676659416.1,697778318.7,21443036.39,31065555.32,5008966922,3471556435,32,70,160,0.465890947
D01-ZR-R3,D01,ZR,R3,90545652883,4.708748544,5,60615143021,20116791294,1177992074,929591294,25508353.1,59551351.11,7616957520,5282857586,41,84,198,0.331877321
D02-NF-R1,D02,NF,R1,1.43E+12,4.543064107,153.2,6.53E+11,5.79E+11,10063472376,9585560394,14850110819,1249112044,1.61E+11,1.04E+11,85,232,908,0.886296773
D02-NF-R2,D02,NF,R2,1.70E+12,4.640558393,104,9.89E+11,4.87E+11,34159414756,11663423737,11585250956,1230008019,1.70E+11,1.17E+11,92,264,1018,0.492251713
D02-NF-R3,D02,NF,R3,2.88E+12,4.629363285,143.2,1.63E+12,8.59E+11,56980900116,20991327388,20389054367,2030540931,2.90E+11,1.97E+11,118,361,1384,0.526681213
D02-OF-R1,D02,OF,R1,4.43E+12,4.539933311,42.6,1.53E+12,2.34E+12,40226004680,30544497036,32810646755,3310270503,4.49E+11,2.47E+11,124,403,1418,1.531716007
D02-OF-R2,D02,OF,R2,3.76E+13,4.615519712,4.92,1.92E+13,1.36E+13,6.31E+11,2.19E+11,2.07E+11,22702655078,3.67E+12,2.30E+12,393,1403,2763,0.707630966
D02-OF-R3,D02,OF,R3,3.69E+12,4.641039764,110,1.83E+12,1.41E+12,50559823390,21615822482,14144832107,2567904680,3.61E+11,2.20E+11,122,392,1413,0.772351037
D02-OH-R1,D02,OH,R1,9.28E+12,4.626937316,80.2,4.92E+12,3.16E+12,1.35E+11,55832527574,61506744905,7029677474,9.40E+11,6.43E+11,196,700,2027,0.6432025
D02-OH-R2,D02,OH,R2,27438245277,4.620559328,62,13834567344,9974824930,323288245,176160069.5,201971990.3,20653843.58,2905240838,1911793569,23,53,111,0.721007364
D02-OH-R3,D02,OH,R3,5.01E+12,4.629270717,89.6,2.18E+12,2.18E+12,39274567355,32450644820,42103577366,2494352809,5.36E+11,3.32E+11,131,458,1529,1.001858966
D02-OR-R1,D02,OR,R1,1.49E+13,4.569566185,79.6,5.91E+12,7.11E+12,1.16E+11,1.05E+11,1.19E+11,11241736338,1.54E+12,9.10E+11,240,886,2263,1.202673792
D02-OR-R2,D02,OR,R2,3.93E+13,4.56444081,98.2,1.51E+13,1.92E+13,2.33E+11,2.99E+11,3.29E+11,30343909625,4.09E+12,2.39E+12,411,1437,2730,1.273735875
D02-OR-R3,D02,OR,R3,5.78E+12,4.620859581,112,2.98E+12,2.07E+12,88687930872,35113401391,30892494776,4225324563,5.73E+11,3.67E+11,154,514,1732,0.694605569
D02-ZF-R1,D02,ZF,R1,4.28E+12,4.562874176,19,2.17E+12,1.61E+12,54350795211,25168780563,34741923534,2485910682,3.89E+11,2.68E+11,120,408,1492,0.741143971
D02-ZF-R2,D02,ZF,R2,2.13E+12,4.58016007,8.8,1.20E+12,6.63E+11,38672035012,11916450894,13443693647,1364056648,1.96E+11,1.40E+11,100,282,1077,0.5514305
