Sample,Relative.Abundance..Firmicutes,Relative.Abundance..Bacteroidetes,Relative.Abundance..Actinobacteria,Relative.Abundance..Other.Bacteria,Relative.Abundance..Viruses,Relative.Abundance..Fungi,Relative.Abundance..Unclassified...Root,Relative.Abundance..Unclassified,Richness.0.01.,Richness.0.001.,Richness.0.0001.,Richness.0.00001.,Richness.Any.,Shannon.Entropy,Inv.Simpson,Firmicutes..Faecalibacterium,Firmicutes..Ruminococcus,Firmicutes..Clostridium,Firmicutes..Blautia,Firmicutes..unclassified.Lachnospiraceae,Firmicutes..unclassified.Ruminococcaceae,Firmicutes..Eubacterium,Firmicutes..Roseburia,Firmicutes..unclassified.Clostridiales..miscellaneous.,Firmicutes..Coprococcus,Firmicutes..Firmicutes..environmental.samples,Firmicutes..Oscillibacter,Firmicutes..Dorea,Firmicutes..Megamonas,Firmicutes..unclassified.Firmicutes.sensu.stricto..miscellaneous.,Firmicutes..Dialister,Firmicutes..Subdoligranulum,Firmicutes..Gemmiger,Firmicutes..Butyricicoccus,Firmicutes..unclassified.Oscillospiraceae,Firmicutes..unclassified.Clostridiaceae,Firmicutes..Streptococcus,Firmicutes..Anaerostipes,Firmicutes..Flavonifractor,Firmicutes..Lachnoclostridium,Firmicutes..Clostridiales..environmental.samples,Firmicutes..Coprobacillus,Firmicutes..Lachnospira,Firmicutes..Phascolarctobacterium,Firmicutes..Mitsuokella,Firmicutes..Anaerobutyricum,Firmicutes..Butyrivibrio,Firmicutes..unclassified.Erysipelotrichaceae,Firmicutes..Fusicatenibacter,Firmicutes..Megasphaera,Firmicutes..unclassified.Clostridia,Firmicutes..Intestinimonas,Bacteroidetes..Bacteroides,Bacteroidetes..Alistipes,Bacteroidetes..Prevotella,Bacteroidetes..Parabacteroides,Bacteroidetes..Odoribacter,Bacteroidetes..unclassified.Bacteroidaceae,Bacteroidetes..Butyricimonas,Bacteroidetes..Barnesiella,Actinobacteria..Bifidobacterium,Actinobacteria..Collinsella,Actinobacteria..Eggerthella,Proteobacteria..Sutterella,Proteobacteria..Azospirillum,Proteobacteria..Bilophila,Verrucomicrobia..Akkermansia,Lentisphaerae..unclassified.Lentisphaeria,null..crAss.like.viruses,Patient,Sample_Type,Replication,MicrobesPerGram,mean_16s_count,DNAConcentration,Absolute.Abundance..Firmicutes,Absolute.Abundance..Bacteroidetes,Absolute.Abundance..Actinobacteria,Absolute.Abundance..Other.Bacteria,Absolute.Abundance..Viruses,Absolute.Abundance..Fungi,Absolute.Abundance..Unclassified...Root,Absolute.Abundance..Unclassified,Richness.100M,Richness.10M,Richness.1M
D01-NF-R1,0.65332332,0.185075484,0.023796644,0.034111994,0.000392545,0.000680048,0.102561129,0.070736521,110,283,1053,2432,2897,3.19834308,13.54565916,0.174289783,0.114178077,0.027048395,0.052590434,0.029955846,0.058599675,0.016980625,0.032788221,0.031675461,0.012430574,0.011271785,0.006720173,0.01822433,8.99e-06,0.002148124,0.009522318,0.010144786,0.00914897,0.00373386,0.001024768,0.005066882,0.011020631,0.00423683,0.005694932,0.003104155,0.002674842,0.000367577,0.004420051,1.18e-05,1.09e-05,0.005348454,0.000267475,0.000545499,0.004446495,1.37e-05,0.001023065,0.00073908,0.107809397,0.06601479,0.000161838,0.039719809,0.005296984,0.000341227,8.59e-05,3.18e-05,0.017881921,0.00024543,0.007594693,1.85e-05,7.47e-05,0.009433475,0.029561351,5.16e-06,0.000246423,D01,NF,R1,2.19155e+12,4.559263825,98.4,1.43179e+12,4.05603e+11,52151623878,74758266752,860284410.3,1490360749,2.24768e+11,1.55023e+11,123,358,1307
D01-NF-R2,0.58308544,0.254590523,0.021052392,0.035059104,0.000442476,0.000578777,0.105130269,0.069410765,103,275,1052,2616,2616,3.058443342,11.29308443,0.204989025,0.087058049,0.025468659,0.02972011,0.024548175,0.063603728,0.014895272,0.022255318,0.034124103,0.006533039,0.012178699,0.009787433,0.00976258,7.45e-06,0.001825773,0.005408193,0.010930592,0.008080091,0.005208158,0.001542524,0.004649811,0.005003796,0.002114657,0.00765879,0.002965008,0.003744823,0.000253063,0.003926142,9.36e-06,9.86e-06,0.002404547,0.000201846,0.00044213,0.003091388,1.37e-05,0.001300128,0.000916258,0.126396649,0.103538609,0.000181521,0.04718193,0.006448517,0.000490227,8.95e-05,3.82e-05,0.015051034,0.000209091,0.006299195,2.11e-05,4.56e-05,0.010692723,0.026399406,5.13e-06,0.000269866,D01,NF,R2,1.6514e+12,4.490261832,5.9,9.62904e+11,4.2043e+11,34765817298,57896432980,730702225.1,955789918,1.73612e+11,1.14625e+11,112,309,1122
D01-NF-R3,0.61896021,0.219336712,0.023395114,0.033486054,0.000355692,0.00066839,0.103741503,0.070771673,109,283,1065,2500,2914,3.181337465,13.43129356,0.152439486,0.120633798,0.02599919,0.045526386,0.029246447,0.058349398,0.018469047,0.029769718,0.030300663,0.009565497,0.009460449,0.007164134,0.015819913,7.1e-06,0.002007395,0.010955217,0.011424614,0.008220433,0.003642111,0.001225786,0.004349755,0.008503182,0.003949811,0.005090872,0.002854254,0.003127015,0.000382398,0.004838164,1.12e-05,1.12e-05,0.004176411,0.000261655,0.000531292,0.004233485,1.45e-05,0.001048084,0.000732865,0.132785492,0.075788292,0.000178396,0.042733062,0.008092864,0.000427016,9.42e-05,3.57e-05,0.017220084,0.000249392,0.006836613,2.34e-05,7.94e-05,0.007695388,0.027418218,5.86e-06,0.00021588,D01,NF,R3,3.41473e+12,4.509996104,160.8,2.11358e+12,7.48977e+11,79888103700,1.14346e+11,1214594437,2282374748,3.5425e+11,2.41666e+11,144,447,1592
D01-OF-R1,0.565428272,0.310657176,0.01400571,0.0140854,0.000209621,0.000639486,0.094922412,0.06135856,96,254,970,2484,3076,2.958075787,10.11770983,0.123952387,0.113680345,0.03143644,0.033896958,0.029334843,0.03315153,0.024363949,0.053965574,0.023729214,0.009916852,0.006121356,0.006471515,0.011135054,5.98e-06,0.002034651,0.005548462,0.008700042,0.00542995,0.004190525,0.001286272,0.006630405,0.004874204,0.003231901,0.003855118,0.002123883,0.003373462,0.000194774,0.003903928,8.84e-06,7.26e-06,0.003239704,0.00024261,0.000438957,0.002979286,1.01e-05,0.001091154,0.000550819,0.225629814,0.093122615,0.00021974,0.043859954,0.008542156,0.001076327,0.000100959,5.47e-05,0.008974927,0.000189907,0.003796124,1.69e-05,6.49e-05,0.004228896,0.00590253,4.03e-06,0.000111443,D01,OF,R1,1.31365e+13,4.523915222,93.8,7.42777e+12,4.08096e+12,1.83987e+11,1.85033e+11,2753697458,8400626662,1.24695e+12,8.06039e+11,248,928,2420
D01-OF-R2,0.525559331,0.34198137,0.013306141,0.018962831,0.000250868,0.000638518,0.099252374,0.061761982,99,251,940,2132,2571,2.958827121,9.756211046,0.100655463,0.117776967,0.026619591,0.036854631,0.026050973,0.034076608,0.020092224,0.037438139,0.023871929,0.009186948,0.006238272,0.006700051,0.011301985,4.74e-06,0.001781949,0.005626047,0.009439882,0.004940823,0.003994157,0.001334576,0.005120662,0.006165079,0.003343837,0.003793434,0.002103145,0.003572116,0.000230019,0.003984682,7.73e-06,7.54e-06,0.003395662,0.000223928,0.000484211,0.003316378,1.17e-05,0.001200858,0.000548121,0.240704762,0.10153996,0.000228569,0.054403106,0.009447424,0.001169047,0.000121343,4.95e-05,0.009395019,0.000159921,0.003397209,1.9e-05,6.08e-05,0.005268207,0.010434215,2.32e-06,0.000144934,D01,OF,R2,5.5204e+12,4.466311003,88.2,2.9013e+12,1.88787e+12,73455247543,1.04682e+11,1384892734,3524876416,5.47913e+11,3.40951e+11,168,555,1839
D01-OF-R3,0.598004666,0.28559834,0.0145245,0.011735613,0.000179789,0.00071997,0.089191921,0.059508962,94,248,908,2428,3037,2.976888919,10.56515881,0.128159733,0.118270739,0.035172655,0.037007185,0.032355401,0.03651297,0.026652442,0.0635633,0.020972346,0.009820873,0.005597004,0.005439788,0.012080022,6.47e-06,0.0021185,0.006583336,0.007902539,0.005643477,0.004132311,0.00114098,0.006790442,0.005345993,0.004016243,0.003478105,0.002197568,0.00304103,0.000253179,0.004339209,7.37e-06,7.2e-06,0.003530701,0.000256024,0.000551044,0.003215888,9.04e-06,0.00072814,0.000497893,0.21327992,0.076997965,0.000186948,0.042082097,0.00777575,0.001092253,9.98e-05,4.58e-05,0.009478478,0.000186948,0.003839321,1.65e-05,6.94e-05,0.003661948,0.003352877,2.91e-06,8.91e-05,D01,OF,R3,1.28345e+13,4.611613129,102,7.67509e+12,3.66551e+12,1.86415e+11,1.50621e+11,2307496197,9240457538,1.14473e+12,7.63768e+11,241,856,2343
D01-OH-R1,0.489634969,0.404591922,0.004996787,0.013734781,0.000364267,0.000514777,0.086124558,0.050870878,88,222,760,2225,2976,2.614651353,7.041320931,0.154629728,0.084904059,0.036515607,0.010539031,0.015486266,0.049255926,0.019793547,0.054446429,0.017708452,0.003880732,0.003436625,0.007648487,0.003693883,3.92e-06,0.001630899,0.003369679,0.005058086,0.002923076,0.003562223,0.001114485,0.008001094,0.002071878,0.001140304,0.00332523,0.00163735,0.002638119,0.000133823,0.001522649,4.46e-06,3.85e-06,0.000864662,0.000151961,0.000417321,0.000810001,7.26e-06,0.000599741,0.000530264,0.30320415,0.090116285,0.000260843,0.051668933,0.008420348,0.001519046,0.000123189,6.14e-05,0.003183516,7.3e-05,0.000931275,2.08e-05,3.15e-05,0.003829305,0.002500324,2.83e-06,0.00018474,D01,OH,R1,1.03234e+13,4.624399073,60,5.05471e+12,4.17677e+12,51583926530,1.4179e+11,3760478178,5314256038,8.891e+11,5.25161e+11,194,670,2022
D01-OH-R2,0.518063057,0.366727695,0.006533236,0.01502065,0.000347858,0.000575646,0.092684682,0.056455345,90,233,849,2410,2779,2.731460043,8.019411193,0.154211209,0.096814728,0.03621856,0.01496749,0.018585092,0.053525786,0.017782488,0.049221793,0.022300749,0.004840684,0.004356474,0.007349323,0.005783203,4.87e-06,0.001747006,0.004198089,0.007014657,0.003460524,0.003454978,0.001208013,0.00730851,0.00267456,0.001617765,0.003373038,0.001655962,0.002925665,0.000176961,0.001657636,5.55e-06,3.66e-06,0.001273523,0.000163932,0.000522145,0.001205867,8.53e-06,0.001114928,0.000607224,0.268734805,0.092952248,0.000225832,0.047064041,0.008294668,0.001306225,0.000114538,6.02e-05,0.003945362,9.17e-05,0.00161091,1.91e-05,4.03e-05,0.003984657,0.005270581,4.24e-06,0.000185228,D01,OH,R2,1.63026e+13,4.58728675,39.6,8.44575e+12,5.9786e+12,1.06508e+11,2.44875e+11,5670968958,9384497844,1.511e+12,9.20366e+11,252,977,2412
D01-OH-R3,0.573065357,0.309482491,0.010074181,0.014111088,0.000316143,0.00057495,0.092331093,0.059207919,95,247,873,2345,2925,2.88400119,9.553245005,0.158119802,0.10798194,0.034747087,0.026870238,0.02407608,0.056114016,0.019876378,0.044293444,0.024481613,0.007263939,0.005687458,0.006687897,0.009614131,5.5e-06,0.002019988,0.00422984,0.0092521,0.00504269,0.004221668,0.00126164,0.006723136,0.004288827,0.002368717,0.003624243,0.001984473,0.003183287,0.000243873,0.003168755,8.17e-06,5.62e-06,0.00227698,0.000214718,0.00067887,0.001984381,1.02e-05,0.001369936,0.000657241,0.222315246,0.086194116,0.000199172,0.043158994,0.007487475,0.001065571,1e-04,4.98e-05,0.006191118,0.000128849,0.002824358,1.73e-05,4.84e-05,0.003829498,0.005643863,3.78e-06,0.000172936,D01,OH,R3,4.9406e+12,4.597646345,4.64,2.83129e+12,1.52903e+12,49772495582,69717237516,1561935624,2840596339,4.56171e+11,2.92523e+11,152,492,1680
D01-OR-R1,0.434735496,0.431163168,0.00896763,0.020727532,0.000239595,0.0006058,0.10351493,0.060557744,91,247,895,2362,2939,2.816547318,7.922830859,0.074432117,0.092081862,0.029890906,0.018133405,0.021903269,0.03585263,0.019579386,0.031473824,0.030938658,0.006294237,0.006860183,0.008284062,0.006345349,5.28e-06,0.002146336,0.005511877,0.010087944,0.00402436,0.004752209,0.001812054,0.006299882,0.003177716,0.001637597,0.004665654,0.001729544,0.004750524,0.00015081,0.001532985,7.13e-06,5.93e-06,0.001689637,0.000172968,0.000462373,0.00179658,9.52e-06,0.001843143,0.000721867,0.289960335,0.137071152,0.000252361,0.055990183,0.011612897,0.001534558,0.000129635,6.54e-05,0.005429114,0.00013,0.002327786,2.03e-05,4.25e-05,0.004990837,0.01131841,3.99e-06,0.000130702,D01,OR,R1,1.47507e+12,4.352061337,48.4,6.41263e+11,6.35994e+11,13227844206,30574474284,353418125.6,893594252.7,1.52691e+11,89326659641,93,258,948
D01-OR-R2,0.520551473,0.346488492,0.011631515,0.019537311,0.000235131,0.000678088,0.100825296,0.062272117,100,254,948,2526,2831,2.975355186,9.577231137,0.082353991,0.104506512,0.034533083,0.030054588,0.026038133,0.035099461,0.023670635,0.048171745,0.027752093,0.01010876,0.007465432,0.007273775,0.010358767,6.23e-06,0.002525632,0.008265842,0.009392367,0.004905596,0.005234592,0.001376532,0.007180697,0.005260048,0.00302596,0.004147561,0.00187686,0.003523565,0.000240264,0.002459948,9.64e-06,8.17e-06,0.003138314,0.000214546,0.000529451,0.002773177,1.09e-05,0.001480662,0.000620592,0.25638965,0.09921027,0.000229684,0.049450851,0.009062952,0.001263916,0.000119163,6.12e-05,0.00794947,0.000159495,0.002773125,1.99e-05,6.31e-05,0.004765272,0.010391085,4.03e-06,0.000129587,D01,OR,R2,3.06477e+12,4.485716776,58,1.59537e+12,1.06191e+12,35647925084,59877376815,720623895.2,2078183412,3.09006e+11,1.9085e+11,131,392,1462
D01-OR-R3,0.57533236,0.306543178,0.013713013,0.013100065,0.000188463,0.000710003,0.090367127,0.057891647,99,254,928,2238,2632,3.016082337,10.32755859,0.077700506,0.096291558,0.04444551,0.036948825,0.030569289,0.036565535,0.026920576,0.075424171,0.024070196,0.012730076,0.00717625,0.006692034,0.013180677,5.51e-06,0.003060169,0.008607191,0.00766403,0.005593111,0.006531735,0.001014602,0.0094538,0.005506441,0.004296386,0.003502103,0.001825328,0.002559429,0.000312092,0.0030886,8.1e-06,7.86e-06,0.003541955,0.000259847,0.000615112,0.003206211,1.04e-05,0.000801411,0.00050236,0.24459489,0.077761013,0.000193184,0.043940315,0.006972131,0.001202198,0.000112347,5.26e-05,0.010214873,0.000156005,0.003266313,2.15e-05,0.000101817,0.00384538,0.003418269,3.48e-06,9.84e-05,D01,OR,R3,3.90655e+12,4.614335646,102,2.24756e+12,1.19753e+12,53570577516,51176064325,736242078.1,2773661154,3.53024e+11,2.26157e+11,143,432,1563
