feature,Sample_Type,prediction,CI_low,CI_high
MicrobesPerGram,NF,1.33055E+12,5.64993E+11,3.1334E+12
MicrobesPerGram,OF,4.00326E+12,2.02641E+12,7.9086E+12
MicrobesPerGram,OR,4.13933E+12,2.51224E+12,6.82024E+12
MicrobesPerGram,OH,5.81988E+12,3.28092E+12,1.03236E+13
MicrobesPerGram,ZF,6.26829E+11,3.05261E+11,1.28714E+12
MicrobesPerGram,ZR,3.29108E+11,1.82212E+11,5.94429E+11
MicrobesPerGram,ZH,1.52479E+11,76970644880,3.0206E+11
mean_16s_count,NF,4.627857021,4.586880262,4.669199846
mean_16s_count,OF,4.566822955,4.518976539,4.615175963
mean_16s_count,OR,4.562805636,4.496219541,4.630377828
mean_16s_count,OH,4.627569854,4.56761491,4.688311772
mean_16s_count,ZF,4.589575442,4.551740671,4.627724702
mean_16s_count,ZR,4.526586482,4.454901176,4.599425299
mean_16s_count,ZH,4.53660695,4.467887787,4.606383061
DNAConcentration,NF,59.37250261,39.24213523,89.82931347
DNAConcentration,OF,38.28591916,27.60187497,53.10550851
DNAConcentration,OR,53.90257409,44.06604809,65.93483236
DNAConcentration,OH,46.64184125,34.80956987,62.49607114
DNAConcentration,ZF,9.229847829,7.349304396,11.59158559
DNAConcentration,ZR,5.381136413,4.212303076,6.874298591
DNAConcentration,ZH,4.786299113,3.716755981,6.163616692
Absolute Abundance: Firmicutes,NF,7.56964E+11,3.06721E+11,1.86813E+12
Absolute Abundance: Firmicutes,OF,1.79927E+12,8.76918E+11,3.69176E+12
Absolute Abundance: Firmicutes,OR,1.83506E+12,1.09794E+12,3.06704E+12
Absolute Abundance: Firmicutes,OH,2.73553E+12,1.4242E+12,5.25427E+12
Absolute Abundance: Firmicutes,ZF,3.25514E+11,1.51615E+11,6.98871E+11
Absolute Abundance: Firmicutes,ZR,1.49996E+11,78326087539,2.87247E+11
Absolute Abundance: Firmicutes,ZH,65416688739,30512712347,1.40248E+11
Absolute Abundance: Bacteroidetes,NF,2.99063E+11,1.3506E+11,6.62213E+11
Absolute Abundance: Bacteroidetes,OF,1.40251E+12,6.95989E+11,2.82624E+12
Absolute Abundance: Bacteroidetes,OR,1.46961E+12,8.55883E+11,2.52341E+12
Absolute Abundance: Bacteroidetes,OH,1.97526E+12,1.26919E+12,3.07413E+12
Absolute Abundance: Bacteroidetes,ZF,1.87323E+11,96548699006,3.63441E+11
Absolute Abundance: Bacteroidetes,ZR,1.14169E+11,67647794594,1.92682E+11
Absolute Abundance: Bacteroidetes,ZH,57788727365,31923930568,1.04609E+11
