Patient,Protocol_1,Protocol_2,Protocols,bcdist
D01,NF,NF,NF_NF,0.112081278
D01,NF,NF,NF_NF,0.324936144
D01,NF,OF,NF_OF,0.190858521
D01,NF,OF,NF_OF,0.245799067
D01,NF,OF,NF_OF,0.225335463
D01,NF,OR,NF_OR,0.385450427
D01,NF,OR,NF_OR,0.49550837
D01,NF,OR,NF_OR,0.486837641
D01,NF,ZF,NF_ZF,0.403700188
D01,NF,ZF,NF_ZF,0.522641233
D01,NF,ZF,NF_ZF,0.551524568
D01,NF,ZH,NF_ZH,0.49754959
D01,NF,ZH,NF_ZH,0.539152707
D01,NF,ZH,NF_ZH,0.487612887
D01,NF,ZR,NF_ZR,0.278081033
D01,NF,ZR,NF_ZR,0.515269052
D01,NF,ZR,NF_ZR,0.600598346
D01,NF,NF,NF_NF,0.112081278
D01,NF,NF,NF_NF,0.236894165
D01,NF,OF,NF_OF,0.262825422
D01,NF,OF,NF_OF,0.313147213
D01,NF,OF,NF_OF,0.290809839
D01,NF,OR,NF_OR,0.457671791
D01,NF,OR,NF_OR,0.568516041
D01,NF,OR,NF_OR,0.549481197
D01,NF,ZF,NF_ZF,0.475217226
D01,NF,ZF,NF_ZF,0.592018453
D01,NF,ZF,NF_ZF,0.621706254
D01,NF,ZH,NF_ZH,0.570634054
D01,NF,ZH,NF_ZH,0.600102911
D01,NF,ZH,NF_ZH,0.558062253
D01,NF,ZR,NF_ZR,0.347569038
D01,NF,ZR,NF_ZR,0.524241329
D01,NF,ZR,NF_ZR,0.663098452
D01,NF,NF,NF_NF,0.324936144
D01,NF,NF,NF_NF,0.236894165
D01,NF,OF,NF_OF,0.460781647
D01,NF,OF,NF_OF,0.521670142
D01,NF,OF,NF_OF,0.499800063
D01,NF,OR,NF_OR,0.602510314
D01,NF,OR,NF_OR,0.734404868
D01,NF,OR,NF_OR,0.699163195
D01,NF,ZF,NF_ZF,0.653069084
D01,NF,ZF,NF_ZF,0.735806051
D01,NF,ZF,NF_ZF,0.731733045
D01,NF,ZH,NF_ZH,0.734470641
D01,NF,ZH,NF_ZH,0.747874694
D01,NF,ZH,NF_ZH,0.743093602
D01,NF,ZR,NF_ZR,0.543446104
D01,NF,ZR,NF_ZR,0.728769789
D01,NF,ZR,NF_ZR,0.784434878
D01,OF,NF,OF_NF,0.190858521
D01,OF,NF,OF_NF,0.262825422
D01,OF,NF,OF_NF,0.460781647
D01,OF,OF,OF_OF,0.126212335
D01,OF,OF,OF_OF,0.086627964
D01,OF,OR,OF_OR,0.284580894
D01,OF,OR,OF_OR,0.407987176
D01,OF,OR,OF_OR,0.389297642
D01,OF,ZF,OF_ZF,0.295983753
D01,OF,ZF,OF_ZF,0.408350563
D01,OF,ZF,OF_ZF,0.440089118
D01,OF,ZH,OF_ZH,0.407841264
D01,OF,ZH,OF_ZH,0.434102379
D01,OF,ZH,OF_ZH,0.375623846
D01,OF,ZR,OF_ZR,0.164466144
D01,OF,ZR,OF_ZR,0.43196692
D01,OF,ZR,OF_ZR,0.496124797
D01,OF,NF,OF_NF,0.245799067
D01,OF,NF,OF_NF,0.313147213
D01,OF,NF,OF_NF,0.521670142
D01,OF,OF,OF_OF,0.126212335
D01,OF,OF,OF_OF,0.094174162
D01,OF,OR,OF_OR,0.264978872
D01,OF,OR,OF_OR,0.35622828
D01,OF,OR,OF_OR,0.434287218
D01,OF,ZF,OF_ZF,0.209852278
D01,OF,ZF,OF_ZF,0.336000006
D01,OF,ZF,OF_ZF,0.357947157
