Sample,Patient,Sample_Type,Replication,Relative.Abundance..Firmicutes,Relative.Abundance..Bacteroidetes,Relative.Abundance..Actinobacteria,Relative.Abundance..Other.Bacteria,Relative.Abundance..Viruses,Relative.Abundance..Fungi,Relative.Abundance..Unclassified...Root,Relative.Abundance..Unclassified,Ratio.of.Bacteroidetes.to.Firmicutes,Richness.0.01.,Richness.0.001.,Richness.0.0001.,Richness.0.00001.,Richness.Any.,Shannon.Entropy,Inv.Simpson,Firmicutes..Faecalibacterium,Firmicutes..unclassified.Clostridiales..miscellaneous.,Firmicutes..Firmicutes..environmental.samples,Firmicutes..unclassified.Ruminococcaceae,Firmicutes..Ruminococcus,Firmicutes..Clostridium,Firmicutes..Roseburia,Firmicutes..Oscillibacter,Firmicutes..Butyricicoccus,Firmicutes..Clostridiales..environmental.samples,Firmicutes..Coprococcus,Firmicutes..unclassified.Lachnospiraceae,Firmicutes..Megamonas,Firmicutes..Gemmiger,Firmicutes..Eubacterium,Firmicutes..unclassified.Oscillospiraceae,Firmicutes..unclassified.Firmicutes.sensu.stricto..miscellaneous.,Firmicutes..Subdoligranulum,Firmicutes..Flavonifractor,Firmicutes..Blautia,Firmicutes..Dialister,Firmicutes..Dorea,Firmicutes..Streptococcus,Firmicutes..Lachnoclostridium,Firmicutes..Megasphaera,Firmicutes..Neglecta,Firmicutes..Intestinimonas,Firmicutes..Lachnospiraceae..environmental.samples,Firmicutes..unclassified.Clostridiaceae,Firmicutes..Anaerotruncus,Firmicutes..Candidatus.Borkfalkia,Bacteroidetes..Bacteroides,Bacteroidetes..Alistipes,Bacteroidetes..Prevotella,Bacteroidetes..Parabacteroides,Bacteroidetes..Odoribacter,Bacteroidetes..Butyricimonas,Bacteroidetes..unclassified.Rikenellaceae,Bacteroidetes..Prevotellaceae..environmental.samples,Actinobacteria..Collinsella,Actinobacteria..Bifidobacterium,Actinobacteria..Enterorhabdus,Actinobacteria..Eggerthella,Proteobacteria..Azospirillum,Proteobacteria..Sutterella,Proteobacteria..Bilophila,Lentisphaerae..unclassified.Lentisphaeria,Basidiomycota..Malassezia,null..Tobamovirus,null..Viruses..environmental.samples,Verrucomicrobia..Akkermansia,RNAConcentration,RawReads,DeduplicatedReads,TrimmedReads,HostRemovedReads,OrphanReads,rRNARemovedReads
D01-NF-R1,D01,NF,R1,0.302984639,0.197563326,0.01168084,0.048035557,0.371053535,0.001484704,0.067070662,0.065983766,0.652057236,78,328,1184,2103,2358,2.333196608,4.20532653,0.10293538,0.029390578,0.014724231,0.025867815,0.012658876,0.012886867,0.007447829,0.014509928,0.007022851,0.009256911,0.004699574,0.003196733,1.06e-05,0.002961321,0.001568146,0.002445477,0.001026823,0.006904692,0.01469933,0.004357547,0.001606158,0.001158258,0.002374977,0.00108042,2.92e-05,0.000171591,0.001141437,0.000705328,0.0029351,0.001239312,0.000804934,0.028864757,0.149679708,7.24e-05,0.006318513,0.001062444,2.31e-06,0.00461217,4.38e-05,7.87e-05,0.002573696,0.002313712,0.004571272,2.02e-05,3.86e-05,0.011831019,1.28e-05,0.000103235,0.447972558,0.007514948,0.011295385,170.4,52418831,52418831,44453645,18244951,7546258,15230062
D01-NF-R2,D01,NF,R2,0.294937949,0.130998067,0.011696081,0.043090174,0.449363629,0.003009849,0.066776674,0.065523289,0.444154667,88,327,1242,2044,2044,2.162361914,3.218833315,0.097749104,0.023469303,0.012495849,0.025924649,0.01395405,0.010772028,0.007459906,0.009077022,0.008234798,0.006072746,0.007553201,0.003331808,1.54e-05,0.003205132,0.002580026,0.001497858,0.000863622,0.005865899,0.01105334,0.00409757,0.002534091,0.001105562,0.002071039,0.001022538,1.83e-05,0.000114693,0.000739229,0.000630242,0.001846218,0.000897574,0.001167188,0.032636197,0.0832233,0.000107561,0.005702133,0.001133808,3.71e-06,0.001877316,4.76e-05,0.00033495,0.002531524,0.001772609,0.003667899,1.97e-05,5.65e-05,0.012729515,7.99e-06,0.000570327,0.539012224,0.008241931,0.007529235,260,83431602,83431602,18299801,6238073,17486349,4348497
D01-NF-R3,D01,NF,R3,0.122935612,0.113208498,0.004298203,0.018589239,0.702494045,0.001620666,0.036798847,0.036023132,0.92087635,58,188,798,1764,2099,1.1975788,1.683048137,0.031546586,0.00893501,0.003628684,0.01022135,0.003317778,0.00407286,0.004034572,0.005485959,0.003573466,0.004630859,0.001197609,0.00088488,2.26e-06,0.000884967,0.000731554,0.001329316,0.000294931,0.004224189,0.004853989,0.001538034,0.000301529,0.000187967,0.000263415,0.000306739,1.02e-05,5.55e-05,0.000387395,0.000231552,0.000446955,0.00036925,0.000429069,0.008881876,0.087409912,3.27e-05,0.001073281,0.000450948,4.34e-07,0.002357798,1.36e-05,2.34e-05,0.001121033,0.000502433,0.001054441,7.9e-06,9.9e-06,0.004098212,7.47e-06,0.000329833,0.764756228,0.013962641,0.002626162,26.2,66609443,66609443,53346084,19811995,5150254,12942603
D01-OF-R1,D01,OF,R1,0.360709741,0.261591031,0.01170209,0.057209729,0.245215151,0.001296667,0.062102367,0.061003917,0.725211996,86,331,1155,2297,2566,2.767274666,6.986872337,0.078804023,0.028201268,0.019623976,0.03511433,0.033156092,0.021797031,0.016113043,0.006996979,0.014409283,0.006323181,0.008814469,0.005953109,8.39e-06,0.00517929,0.005152604,0.000918028,0.001535393,0.013756382,0.00682249,0.004949367,0.005395371,0.003812462,0.004616694,0.001424125,4.68e-05,0.000252949,0.000604188,0.000891209,0.002450294,0.000934732,0.00462235,0.074159312,0.164382488,0.000139551,0.019139042,0.005075808,5.79e-06,0.004199638,6.72e-05,0.00011393,0.001867001,0.004018362,0.002288715,3.21e-05,4.45e-05,0.019236468,8.92e-06,9.63e-05,0.313537885,0.007817847,0.010635219,68.2,67945958,67945958,56856573,21901192,3182010,20051165
D01-OF-R2,D01,OF,R2,0.31916325,0.338914392,0.011028798,0.056030415,0.203091394,0.0023039,0.069337975,0.068181757,1.061884136,93,351,1298,2414,2689,2.706203189,6.936549367,0.086022809,0.02443183,0.015610633,0.024107425,0.022817248,0.017765396,0.012938103,0.009747879,0.01084849,0.007273327,0.007041545,0.005574684,6.92e-06,0.003058437,0.003102068,0.001529032,0.001501037,0.012608932,0.010630408,0.003699802,0.004872785,0.002916821,0.00534655,0.001533723,4.31e-05,0.000173855,0.000867042,0.000891613,0.002111578,0.001056533,0.003760559,0.095613213,0.246127068,0.000153231,0.015074177,0.00507471,6.78e-06,0.003881327,8.5e-05,0.000115482,0.001362921,0.003046152,0.002637387,2.26e-05,3.93e-05,0.018023833,9.23e-06,0.000131862,0.251133502,0.008893047,0.008775928,99.6,66886893,66886893,47202891,18874501,14175945,17581408
D01-OF-R3,D01,OF,R3,0.349515899,0.314020327,0.010503134,0.048569205,0.222197783,0.001216486,0.053862627,0.053060302,0.898443611,85,301,1122,2356,2649,2.704216153,7.234455171,0.09846167,0.024701743,0.014410698,0.030823483,0.033556577,0.020954894,0.018698943,0.006073283,0.012523145,0.005370029,0.008911597,0.006954443,6.54e-06,0.003515893,0.003485686,0.001078826,0.001861122,0.007287663,0.004885586,0.005660519,0.006892141,0.005139387,0.003956473,0.001292162,3.63e-05,0.000170103,0.000472675,0.000926156,0.002509374,0.000643407,0.003232011,0.090972125,0.194743285,0.000162614,0.027496132,0.005802302,7.05e-06,0.003964402,8.44e-05,0.00010113,0.001222624,0.003051084,0.002409251,5.7e-05,4.32e-05,0.015423824,1.04e-05,1.55e-05,0.27727548,0.005898083,0.005716401,102,58152613,58152613,53284467,21399794,4775499,20587517
D01-OR-R1,D01,OR,R1,0.484285919,0.211503714,0.032801341,0.067887556,0.115773287,0.010773047,0.07481009,0.072816004,0.436733148,174,668,1346,1986,1986,3.169028977,9.763541182,0.034300023,0.024722062,0.032938396,0.035831267,0.030917744,0.025976237,0.126939609,0.006081822,0.014873013,0.012102334,0.010526871,0.006072423,0.000123901,0.003262864,0.005729132,0.003495499,0.001162104,0.006230289,0.003082995,0.003500626,0.003532456,0.003356858,0.004226941,0.002122549,4.1e-05,0.000256774,0.000381956,0.000842739,0.00134112,0.000264037,0.001077724,0.03025402,0.222809802,0.000307402,0.011372815,0.001800835,3.2e-06,0.005000894,9.34e-05,0.000173675,0.002719623,0.004606975,0.0046309,0.000233916,0.000293303,0.017405717,4.1e-05,0.003991529,0.167014265,0.01626348,0.020182378,5.38,89641714,89641714,34259508,11646315,31223423,7793094
D01-OR-R2,D01,OR,R2,0.331774784,0.335236392,0.049926135,0.112602612,0.034065428,0.031807432,0.104332419,0.099986511,1.010433608,232,884,1742,1742,1742,3.294314384,6.611300398,0.052911801,0.025439076,0.025924534,0.034402116,0.015110421,0.027403072,0.025093978,0.005981692,0.013758525,0.01426509,0.009661678,0.005792785,1.9e-05,0.003361272,0.002902197,0.004222433,0.001093337,0.004707891,0.002056866,0.004590748,0.004909462,0.002534937,0.004933735,0.001184096,4.64e-05,0.000214235,0.000207903,0.000654314,0.000910762,0.000214235,0.001065898,0.027915969,0.372341324,0.000487569,0.01513786,0.002423071,1.27e-05,0.007069752,4.96e-05,0.000300773,0.002096969,0.008998921,0.006935723,0.000123475,0.000341932,0.024091401,6.33e-06,0.010351873,0.042554651,0.00825807,0.027984567,7.9,59167593,59167593,8765855,2502936,24738950,1581320
D01-OR-R3,D01,OR,R3,0.547095008,0.136457122,0.075481461,0.087382073,0.053964051,0.013523375,0.085890138,0.083275973,0.249421251,168,665,1633,1947,1947,3.610713018,19.46501559,0.047718603,0.021691058,0.064527808,0.063875553,0.036980825,0.05267229,0.030821473,0.004249712,0.026963114,0.00729893,0.032566757,0.010384928,2.18e-05,0.006016833,0.005156547,0.00186654,0.003017611,0.009595901,0.00198952,0.02203069,0.004831856,0.013165199,0.017875799,0.001982049,2.53e-05,0.000522953,0.000245386,0.001142451,0.00140795,0.000289636,0.000372389,0.018156815,0.143736229,0.000133324,0.009137886,0.001253938,1.09e-05,0.003160131,7.13e-05,0.000755696,0.007959805,0.019850378,0.022371471,0.000119532,0.00024596,0.024332258,1.49e-05,0.000755696,0.078463644,0.008665504,0.04083861,12.9,49314954,49314954,16529918,4448635,36245065,2972503
D01-ZF-R1,D01,ZF,R1,0.340408836,0.462105475,0.004619163,0.039375031,0.108785308,0.000847445,0.04376953,0.043229578,1.357501411,79,249,883,1940,2348,2.585794357,7.067916805,0.09370555,0.045459781,0.01485744,0.02668778,0.063101951,0.013441041,0.011136213,0.004355777,0.007557255,0.004826879,0.004666041,0.003838349,5.71e-06,0.002781152,0.002847499,0.000793841,0.001764575,0.028852854,0.00115488,0.002059557,0.007512669,0.002041858,0.000497118,0.000457368,2.14e-05,0.000107838,0.000215385,0.000477001,0.001824345,0.000154842,0.009477445,0.121574517,0.298976721,0.000191497,0.029766719,0.015694223,9.48e-06,0.004957058,0.000107548,4.94e-05,0.000578746,0.00070496,0.000666273,7.06e-06,2.43e-05,0.002385682,5.03e-06,4.28e-05,0.137489832,0.002071163,0.001045301,11.3,97929672,97929672,95492446,78878209,2248678,13599737
