feature,Sample_Type,estimate,CI_low,CI_high
MicrobesPerGram,NF,1.33055E+12,5.64993E+11,3.1334E+12
MicrobesPerGram,OF,1.40655E+12,7.11981E+11,2.7787E+12
MicrobesPerGram,OR,1.45436E+12,8.82679E+11,2.3963E+12
MicrobesPerGram,OH,2.04482E+12,1.15276E+12,3.62723E+12
MicrobesPerGram,ZF,47012189768,22894564658,96535838082
MicrobesPerGram,ZR,24683135356,13665934871,44582180199
MicrobesPerGram,ZH,11435893802,5772798366,22654466474
mean_16s_count,NF,4.627857021,4.586880262,4.669199846
mean_16s_count,OF,4.566822955,4.518976539,4.615175963
mean_16s_count,OR,4.562805636,4.496219541,4.630377828
mean_16s_count,OH,4.627569854,4.56761491,4.688311772
mean_16s_count,ZF,4.589575442,4.551740671,4.627724702
mean_16s_count,ZR,4.526586482,4.454901176,4.599425299
mean_16s_count,ZH,4.53660695,4.467887787,4.606383061
DNAConcentration,NF,59.37250261,39.24213523,89.82931347
DNAConcentration,OF,38.28591916,27.60187497,53.10550851
DNAConcentration,OR,53.90257409,44.06604809,65.93483236
DNAConcentration,OH,46.64184125,34.80956987,62.49607114
DNAConcentration,ZF,9.229847829,7.349304396,11.59158559
DNAConcentration,ZR,5.381136413,4.212303076,6.874298591
DNAConcentration,ZH,4.786299113,3.716755981,6.163616692
Relative Abundance: Firmicutes,NF,0.56891239,0.529099278,0.611721318
Relative Abundance: Firmicutes,OF,0.449451373,0.401384217,0.503274738
Relative Abundance: Firmicutes,OR,0.443321258,0.398995342,0.492571509
Relative Abundance: Firmicutes,OH,0.470031186,0.417318701,0.529401906
Relative Abundance: Firmicutes,ZF,0.519302811,0.485959053,0.55493443
Relative Abundance: Firmicutes,ZR,0.455765774,0.404780583,0.513172938
Relative Abundance: Firmicutes,ZH,0.430493101,0.378843871,0.489183869
Relative Abundance: Bacteroidetes,NF,0.224767207,0.173528125,0.291136076
Relative Abundance: Bacteroidetes,OF,0.350342134,0.280541085,0.437510288
Relative Abundance: Bacteroidetes,OR,0.35503475,0.275720594,0.457164521
Relative Abundance: Bacteroidetes,OH,0.339398528,0.271901806,0.42365059
Relative Abundance: Bacteroidetes,ZF,0.298841426,0.257253134,0.347153002
Relative Abundance: Bacteroidetes,ZR,0.346903577,0.287012925,0.419291542
Relative Abundance: Bacteroidetes,ZH,0.376995597,0.315228322,0.450865833
Relative Abundance: Actinobacteria,NF,0.044721066,0.030331012,0.065938245
Relative Abundance: Actinobacteria,OF,0.031536374,0.020748211,0.047933912
Relative Abundance: Actinobacteria,OR,0.026638574,0.017174311,0.041318318
Relative Abundance: Actinobacteria,OH,0.022889286,0.014325082,0.03657357
Relative Abundance: Actinobacteria,ZF,0.03268027,0.02031041,0.052583875
Relative Abundance: Actinobacteria,ZR,0.028686831,0.018594896,0.044255924
Relative Abundance: Actinobacteria,ZH,0.020794977,0.013099821,0.033010457
Relative Abundance: Other Bacteria,NF,0.010171801,0.005440433,0.019017886
Relative Abundance: Other Bacteria,OF,0.010485104,0.005688462,0.019326387
Relative Abundance: Other Bacteria,OR,0.01124142,0.005910491,0.021380546
Relative Abundance: Other Bacteria,OH,0.011033594,0.005998371,0.020295544
Relative Abundance: Other Bacteria,ZF,0.01025727,0.005543281,0.018980022
Relative Abundance: Other Bacteria,ZR,0.011327191,0.006069419,0.021139626
Relative Abundance: Other Bacteria,ZH,0.012848654,0.007039194,0.023452669
Relative Abundance: Viruses,NF,0.000743524,0.000304128,0.001817744
Relative Abundance: Viruses,OF,0.000501208,0.000200689,0.001251732
Relative Abundance: Viruses,OR,0.000637376,0.000242051,0.001678358
Relative Abundance: Viruses,OH,0.000779138,0.00031041,0.001955662
Relative Abundance: Viruses,ZF,0.000770499,0.000306395,0.001937591
Relative Abundance: Viruses,ZR,0.001098183,0.000410539,0.00293762
Relative Abundance: Viruses,ZH,0.001315907,0.000477331,0.003627693
Relative Abundance: Fungi,NF,0.000741672,0.000577778,0.000952055
Relative Abundance: Fungi,OF,0.000694268,0.000517883,0.000930728
Relative Abundance: Fungi,OR,0.000711554,0.000524529,0.000965263
Relative Abundance: Fungi,OH,0.000722414,0.000517591,0.001008291
Relative Abundance: Fungi,ZF,0.000687625,0.000534633,0.000884398
Relative Abundance: Fungi,ZR,0.00068761,0.000512764,0.000922076
Relative Abundance: Fungi,ZH,0.000751199,0.000556987,0.00101313
Relative Abundance: Unclassified + Root,NF,0.105053247,0.090262079,0.122268232
Relative Abundance: Unclassified + Root,OF,0.103295398,0.091051023,0.117186374
Relative Abundance: Unclassified + Root,OR,0.106151038,0.09498927,0.118624376
Relative Abundance: Unclassified + Root,OH,0.106958541,0.092746523,0.123348337
Relative Abundance: Unclassified + Root,ZF,0.100436163,0.088938588,0.113420092
Relative Abundance: Unclassified + Root,ZR,0.105868095,0.093696653,0.11962064
Relative Abundance: Unclassified + Root,ZH,0.111498493,0.098840505,0.125777524
