feature	group1	group2	percentchange	p	p.adj	p.format	p.signif	method
DNAConcentration	NF	OF	-35.5% [-59.6%, 2.9%]	0.07	0.07	0.07		NA
Relative Abundance: Firmicutes	NF	OF	-21.0% [-26.9%, -14.6%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Bacteroidetes	NF	OF	55.9% [40.1%, 73.4%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Actinobacteria	NF	OF	-29.5% [-38.1%, -19.7%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Other Bacteria	NF	OF	3.1% [-18.9%, 31.0%]	0.8	0.8	0.8		NA
Relative Abundance: Viruses	NF	OF	-32.6% [-45.4%, -16.8%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Fungi	NF	OF	-6.4% [-14.8%, 2.8%]	0.17	0.17	0.17		NA
Relative Abundance: Unclassified + Root	NF	OF	-1.7% [-8.2%, 5.3%]	0.63	0.63	0.63		NA
Relative Abundance: Unclassified	NF	OF	-12.3% [-20.4%, -3.5%] **	0.007	0.007	0.007	**	NA
Richness 0.01%	NF	OF	-6.3% [-9.5%, -2.9%] ***	< 0.001	0.001	0.001	***	NA
Richness 0.001%	NF	OF	-9.1% [-13.2%, -4.7%] ***	< 0.001	0.001	0.001	***	NA
Richness 0.0001%	NF	OF	-8.8% [-12.4%, -5.1%] ***	< 0.001	0.001	0.001	***	NA
Richness 0.00001%	NF	OF	-5.1% [-7.0%, -3.2%] ***	< 0.001	0.001	0.001	***	NA
Richness Any%	NF	OF	-0.4% [-2.2%, 1.4%]	0.65	0.65	0.65		NA
Shannon Entropy	NF	OF	-9.0% [-12.4%, -5.6%] ***	< 0.001	0.001	0.001	***	NA
Inv Simpson	NF	OF	-28.4% [-36.2%, -19.7%] ***	< 0.001	0.001	0.001	***	NA
DNAConcentration	NF	ZF	-84.5% [-90.1%, -75.5%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Firmicutes	NF	ZF	-8.7% [-12.6%, -4.7%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Bacteroidetes	NF	ZF	33.0% [15.6%, 52.9%] ***	< 0.001	0.001	0.001	***	NA
Relative Abundance: Actinobacteria	NF	ZF	-26.9% [-40.9%, -9.6%] **	0.004	0.004	0.004	**	NA
Relative Abundance: Other Bacteria	NF	ZF	0.8% [-20.6%, 28.1%]	0.95	0.95	0.95		NA
Relative Abundance: Viruses	NF	ZF	3.6% [-15.7%, 27.4%]	0.74	0.74	0.74		NA
Relative Abundance: Fungi	NF	ZF	-7.3% [-13.5%, -0.6%] *	0.03	0.03	0.03	*	NA
Relative Abundance: Unclassified + Root	NF	ZF	-4.4% [-9.7%, 1.3%]	0.13	0.13	0.13		NA
Relative Abundance: Unclassified	NF	ZF	-6.5% [-12.7%, 0.1%]	0.05	0.05	0.05	*	NA
Richness 0.01%	NF	ZF	-4.5% [-8.0%, -0.9%] *	0.02	0.02	0.02	*	NA
Richness 0.001%	NF	ZF	-6.7% [-10.7%, -2.6%] **	0.002	0.002	0.002	**	NA
Richness 0.0001%	NF	ZF	-6.8% [-10.1%, -3.5%] ***	< 0.001	0.001	0.001	***	NA
Richness 0.00001%	NF	ZF	-4.1% [-5.9%, -2.2%] ***	< 0.001	0.001	0.001	***	NA
Richness Any%	NF	ZF	-0.1% [-2.4%, 2.3%]	0.93	0.93	0.93		NA
Shannon Entropy	NF	ZF	-3.4% [-5.5%, -1.2%] **	0.002	0.002	0.002	**	NA
Inv Simpson	NF	ZF	-12.7% [-19.7%, -5.1%] ***	0.001	0.001	0.001	***	NA
DNAConcentration	OF	OR	40.8% [-0.7%, 99.7%]	0.06	0.06	0.06		NA
Relative Abundance: Firmicutes	OF	OR	-1.4% [-6.3%, 3.8%]	0.6	0.6	0.6		NA
Relative Abundance: Bacteroidetes	OF	OR	1.3% [-4.3%, 7.3%]	0.65	0.65	0.65		NA
Relative Abundance: Actinobacteria	OF	OR	-15.5% [-23.6%, -6.6%] ***	0.001	0.001	0.001	***	NA
Relative Abundance: Other Bacteria	OF	OR	7.2% [-0.6%, 15.7%]	0.07	0.07	0.07		NA
Relative Abundance: Viruses	OF	OR	27.2% [6.7%, 51.5%] **	0.007	0.007	0.007	**	NA
Relative Abundance: Fungi	OF	OR	2.5% [-1.6%, 6.8%]	0.24	0.24	0.24		NA
Relative Abundance: Unclassified + Root	OF	OR	2.8% [0.9%, 4.7%] **	0.004	0.004	0.004	**	NA
Relative Abundance: Unclassified	OF	OR	3.0% [-0.6%, 6.8%]	0.11	0.11	0.11		NA
Richness 0.01%	OF	OR	2.1% [0.6%, 3.7%] **	0.007	0.007	0.007	**	NA
Richness 0.001%	OF	OR	0.8% [-1.4%, 3.2%]	0.47	0.47	0.47		NA
Richness 0.0001%	OF	OR	1.6% [-0.1%, 3.4%]	0.06	0.06	0.06		NA
Richness 0.00001%	OF	OR	0.9% [-0.4%, 2.2%]	0.19	0.19	0.19		NA
Richness Any%	OF	OR	-1.3% [-4.1%, 1.5%]	0.36	0.36	0.36		NA
