Sample	Sample_Type	Patient	Relative Abundance: Firmicutes	Relative Abundance: Bacteroidetes
D01-NF-R3	NF	D01	0.61896021	0.219336712
D01-NF-R1	NF	D01	0.65332332	0.185075484
D01-NF-R2	NF	D01	0.58308544	0.254590523
D01-ZR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.669442884	0.222172911
D01-OR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.57533236	0.306543178
D01-ZR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.607577777	0.265922099
D01-ZF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.563918049	0.315322686
D01-ZR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.598054138	0.278628009
D01-OR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.520551473	0.346488492
D01-ZH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.510589692	0.368582158
D01-OR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.434735496	0.431163168
D01-NF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.61896021	0.219336712
D01-OF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.598004666	0.28559834
D01-NF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.65332332	0.185075484
D01-NF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.58308544	0.254590523
D01-OH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.573065357	0.309482491
D01-OF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.525559331	0.34198137
D01-OH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.518063057	0.366727695
D01-ZH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.557290381	0.317868734
D01-OH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.489634969	0.404591922
D01-ZH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.580478962	0.294259357
D01-OF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.565428272	0.310657176
D01-ZF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.680957571	0.204548693
D01-ZF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D01	0.474740667	0.407181262
D01-ZR-R3	NF_OF_OR_ZF_ZR	D01	0.669442884	0.222172911
D01-OR-R3	NF_OF_OR_ZF_ZR	D01	0.57533236	0.306543178
D01-ZR-R1	NF_OF_OR_ZF_ZR	D01	0.607577777	0.265922099
D01-ZF-R1	NF_OF_OR_ZF_ZR	D01	0.563918049	0.315322686
D01-ZR-R2	NF_OF_OR_ZF_ZR	D01	0.598054138	0.278628009
D01-OR-R2	NF_OF_OR_ZF_ZR	D01	0.520551473	0.346488492
D01-OR-R1	NF_OF_OR_ZF_ZR	D01	0.434735496	0.431163168
D01-NF-R3	NF_OF_OR_ZF_ZR	D01	0.61896021	0.219336712
D01-OF-R3	NF_OF_OR_ZF_ZR	D01	0.598004666	0.28559834
D01-NF-R1	NF_OF_OR_ZF_ZR	D01	0.65332332	0.185075484
D01-NF-R2	NF_OF_OR_ZF_ZR	D01	0.58308544	0.254590523
D01-OF-R2	NF_OF_OR_ZF_ZR	D01	0.525559331	0.34198137
D01-OF-R1	NF_OF_OR_ZF_ZR	D01	0.565428272	0.310657176
D01-ZF-R2	NF_OF_OR_ZF_ZR	D01	0.680957571	0.204548693
D01-ZF-R3	NF_OF_OR_ZF_ZR	D01	0.474740667	0.407181262
D01-ZF-R1	NF_OF_ZF	D01	0.563918049	0.315322686
D01-NF-R3	NF_OF_ZF	D01	0.61896021	0.219336712
D01-OF-R3	NF_OF_ZF	D01	0.598004666	0.28559834
D01-NF-R1	NF_OF_ZF	D01	0.65332332	0.185075484
D01-NF-R2	NF_OF_ZF	D01	0.58308544	0.254590523
D01-OF-R2	NF_OF_ZF	D01	0.525559331	0.34198137
D01-OF-R1	NF_OF_ZF	D01	0.565428272	0.310657176
D01-ZF-R2	NF_OF_ZF	D01	0.680957571	0.204548693
D01-ZF-R3	NF_OF_ZF	D01	0.474740667	0.407181262
D02-NF-R3	NF	D02	0.566221965	0.298218471
D02-NF-R1	NF	D02	0.457176247	0.405193832
D02-NF-R2	NF	D02	0.580316235	0.285661661
D02-OF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.345358998	0.528991906
D02-OF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.495371438	0.382600644
D02-NF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.566221965	0.298218471
D02-OH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.504207438	0.363537275
D02-OR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.38404329	0.489169716
D02-OF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.511606726	0.362028761
D02-ZR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.463190609	0.405705365
D02-NF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.457176247	0.405193832
D02-ZF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.565461916	0.311812947
D02-OR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.396399227	0.476738961
D02-ZH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.530796722	0.339580244
D02-NF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.580316235	0.285661661
D02-ZR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.541341341	0.331278672
D02-ZH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.466871339	0.403620725
D02-ZR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.456708148	0.415554599
D02-OH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.529898954	0.340832332
D02-ZF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.506540211	0.375419224
D02-ZH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.511578749	0.350986338
D02-ZF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.612202997	0.262290633
D02-OH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.434466403	0.435274061
D02-OR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D02	0.515263171	0.357904668
D02-OF-R1	NF_OF_OR_ZF_ZR	D02	0.345358998	0.528991906
D02-OF-R3	NF_OF_OR_ZF_ZR	D02	0.495371438	0.382600644
D02-NF-R3	NF_OF_OR_ZF_ZR	D02	0.566221965	0.298218471
D02-OR-R2	NF_OF_OR_ZF_ZR	D02	0.38404329	0.489169716
D02-OF-R2	NF_OF_OR_ZF_ZR	D02	0.511606726	0.362028761
D02-ZR-R2	NF_OF_OR_ZF_ZR	D02	0.463190609	0.405705365
D02-NF-R1	NF_OF_OR_ZF_ZR	D02	0.457176247	0.405193832
D02-ZF-R2	NF_OF_OR_ZF_ZR	D02	0.565461916	0.311812947
D02-OR-R1	NF_OF_OR_ZF_ZR	D02	0.396399227	0.476738961
D02-NF-R2	NF_OF_OR_ZF_ZR	D02	0.580316235	0.285661661
D02-ZR-R1	NF_OF_OR_ZF_ZR	D02	0.541341341	0.331278672
D02-ZR-R3	NF_OF_OR_ZF_ZR	D02	0.456708148	0.415554599
D02-ZF-R1	NF_OF_OR_ZF_ZR	D02	0.506540211	0.375419224
D02-ZF-R3	NF_OF_OR_ZF_ZR	D02	0.612202997	0.262290633
D02-OR-R3	NF_OF_OR_ZF_ZR	D02	0.515263171	0.357904668
D02-OF-R1	NF_OF_ZF	D02	0.345358998	0.528991906
D02-OF-R3	NF_OF_ZF	D02	0.495371438	0.382600644
D02-NF-R3	NF_OF_ZF	D02	0.566221965	0.298218471
D02-OF-R2	NF_OF_ZF	D02	0.511606726	0.362028761
D02-NF-R1	NF_OF_ZF	D02	0.457176247	0.405193832
D02-ZF-R2	NF_OF_ZF	D02	0.565461916	0.311812947
D02-NF-R2	NF_OF_ZF	D02	0.580316235	0.285661661
D02-ZF-R1	NF_OF_ZF	D02	0.506540211	0.375419224
D02-ZF-R3	NF_OF_ZF	D02	0.612202997	0.262290633
D03-NF-R3	NF	D03	0.594917956	0.26757075
D03-NF-R2	NF	D03	0.576039124	0.279370438
D03-NF-R1	NF	D03	0.717514676	0.138069157
D03-NF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.594917956	0.26757075
D03-ZH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.398738402	0.447333474
D03-OR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.405964012	0.451883645
D03-OH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.411908702	0.464427499
D03-NF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.576039124	0.279370438
D03-OF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.376308464	0.495826184
D03-ZR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.318760983	0.53852199
D03-OF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.436493453	0.419792517
D03-OH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.404371533	0.46750975
D03-NF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.717514676	0.138069157
D03-ZF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.537150324	0.321916935
D03-OR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.439895493	0.415857476
D03-ZR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.415165125	0.423702483
D03-ZF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.506744643	0.363328847
D03-ZF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.451388557	0.402683082
D03-OF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.428478556	0.44064905
D03-OR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.324567456	0.537458282
D03-OH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.434815503	0.434974619
D03-ZR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.412434605	0.44455484
D03-ZH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D03	0.410868443	0.458426036
D03-NF-R3	NF_OF_OR_ZF_ZR	D03	0.594917956	0.26757075
D03-OR-R2	NF_OF_OR_ZF_ZR	D03	0.405964012	0.451883645
D03-NF-R2	NF_OF_OR_ZF_ZR	D03	0.576039124	0.279370438
D03-OF-R2	NF_OF_OR_ZF_ZR	D03	0.376308464	0.495826184
D03-ZR-R3	NF_OF_OR_ZF_ZR	D03	0.318760983	0.53852199
D03-OF-R1	NF_OF_OR_ZF_ZR	D03	0.436493453	0.419792517
