sample	tax.level	method	value
D05-ZF-R2-A_S27_L002	kingdom	shannon	0.037
D07-NF-R3-B_S42_L004	kingdom	shannon	0.079
PCO-B2-R1-B_S50_L001	kingdom	shannon	0.09
D09-ZR-R3-B_S48_L004	kingdom	shannon	0.649
D06-ZH-R3-B_S37_L003	kingdom	shannon	0.04
D05-ZR-R1-B_S61_L001	kingdom	shannon	0.034
D02-OF-R3-B_S45_L004	kingdom	shannon	0.179
D07-NF-R3-A_S13_L004	kingdom	shannon	0.083
NCO-B1-R1-B_S122_L002	kingdom	shannon	0.372
D06-OR-R3-B_S30_L004	kingdom	shannon	0.166
D05-ZR-R2-B_S39_L001	kingdom	shannon	0.036
D10-ZF-R2-B_S43_L001	kingdom	shannon	0.016
D06-ZR-R1-B_S63_L001	kingdom	shannon	0.033
D09-ZR-R2-B_S36_L002	kingdom	shannon	0.608
D01-ZH-R3-A_S22_L003	kingdom	shannon	0.181
D10-ZH-R1-A_S19_L001	kingdom	shannon	0.047
D08-OF-R2-B_S33_L001	kingdom	shannon	0.387
D04-NF-R3-B_S62_L003	kingdom	shannon	0.583
D07-ZH-R3-A_S20_L004	kingdom	shannon	0.046
D07-ZH-R1-B_S44_L001	kingdom	shannon	0.047
D10-OF-R3-B_S64_L003	kingdom	shannon	0.018
D03-ZH-R1-B_S100_L002	kingdom	shannon	0.025
D02-ZF-R3-A_S11_L003	kingdom	shannon	0.147
D02-ZH-R1-B_S108_L002	kingdom	shannon	0.086
D03-ZR-R3-A_S6_L003	kingdom	shannon	0.022
D02-ZR-R3-B_S54_L004	kingdom	shannon	0.121
D01-ZF-R1-B_S34_L001	kingdom	shannon	0.371
D09-ZH-R2-A_S21_L002	kingdom	shannon	0.579
D06-ZH-R1-A_S72_L002	kingdom	shannon	0.02
D09-ZH-R1-B_S62_L001	kingdom	shannon	0.666
D06-ZR-R2-B_S60_L001	kingdom	shannon	0.036
D03-OF-R1-B_S48_L001	kingdom	shannon	0.02
D01-OR-R2-A_S11_L002	kingdom	shannon	0.299
D10-OF-R2-B_S48_L001	kingdom	shannon	0.02
D02-ZH-R1-A_S76_L002	kingdom	shannon	0.088
D01-OF-R1-A_S15_L001	kingdom	shannon	0.603
D03-NF-R3-B_S46_L003	kingdom	shannon	0.088
D08-OR-R3-A_S19_L003	kingdom	shannon	0.487
NCO-B2-R2-B_S41_L002	kingdom	shannon	0.4
D03-OF-R3-B_S34_L003	kingdom	shannon	0.033
NCO-B1-R3-B_S31_L004	kingdom	shannon	0.68
D07-ZR-R3-A_S9_L004	kingdom	shannon	0.019
D03-OF-R2-A_S4_L002	kingdom	shannon	0.034
D02-ZF-R3-B_S43_L003	kingdom	shannon	0.315
D09-ZH-R2-B_S52_L002	kingdom	shannon	0.62
D04-OF-R1-A_S91_L002	kingdom	shannon	0.794
D03-NF-R3-A_S14_L003	kingdom	shannon	0.042
D10-ZF-R1-B_S118_L002	kingdom	shannon	0.021
D10-OF-R1-A_S87_L002	kingdom	shannon	0.303
D05-NF-R3-A_S4_L003	kingdom	shannon	0.033
D03-ZR-R1-A_S93_L002	kingdom	shannon	0.021
D08-ZR-R2-A_S25_L002	kingdom	shannon	0.18
D09-OR-R3-A_S14_L004	kingdom	shannon	0.7
D10-ZR-R3-A_S28_L004	kingdom	shannon	0.008
D01-ZH-R3-B_S54_L003	kingdom	shannon	0.188
NCO-B3-R3-B_S34_L004	kingdom	shannon	0.762
D03-ZH-R3-B_S41_L003	kingdom	shannon	0.038
D02-ZF-R1-A_S23_L001	kingdom	shannon	0.089
D02-NF-R3-A_S25_L003	kingdom	shannon	0.12
D04-NF-R1-B_S49_L001	kingdom	shannon	0.472
D04-NF-R2-A_S8_L002	kingdom	shannon	0.41
D09-OR-R1-B_S64_L001	kingdom	shannon	0.689
D03-ZF-R2-A_S21_L001	kingdom	shannon	0.042
PCO-B3-R1-B_S97_L002	kingdom	shannon	0.092
PCO-B4-R1-A_S25_L001	kingdom	shannon	0.097
D05-ZF-R3-B_S53_L004	kingdom	shannon	0.027
D07-OF-R3-B_S61_L003	kingdom	shannon	0.039
D08-OF-R1-A_S75_L002	kingdom	shannon	0.64
D08-ZR-R1-B_S112_L002	kingdom	shannon	0.218
D06-ZF-R1-A_S21_L001	kingdom	shannon	0.019
D04-ZH-R3-B_S58_L003	kingdom	shannon	0.443
D06-ZH-R2-B_S43_L002	kingdom	shannon	0.064
PCO-B2-R1-A_S18_L001	kingdom	shannon	0.085
D07-OR-R3-B_S49_L003	kingdom	shannon	0.253
PCO-B1-R2-A_S31_L001	kingdom	shannon	0.065
D01-OF-R3-A_S18_L004	kingdom	shannon	0.554
D01-ZR-R2-B_S47_L001	kingdom	shannon	0.222
D02-NF-R3-B_S57_L003	kingdom	shannon	0.136
D07-NF-R2-B_S33_L002	kingdom	shannon	0.109
D04-OF-R3-A_S29_L004	kingdom	shannon	0.497
D03-NF-R2-A_S32_L001	kingdom	shannon	0.057
D08-ZH-R2-A_S1_L002	kingdom	shannon	0.292
D10-ZH-R2-A_S6_L002	kingdom	shannon	0.043
D10-ZF-R2-A_S11_L001	kingdom	shannon	0.019
D08-OR-R2-B_S40_L001	kingdom	shannon	0.433
D02-ZF-R2-B_S44_L002	kingdom	shannon	0.1
D01-ZR-R1-A_S8_L001	kingdom	shannon	0.505
D04-OR-R2-B_S55_L001	kingdom	shannon	0.79
D09-OR-R2-B_S54_L001	kingdom	shannon	0.841
D08-ZR-R2-B_S56_L002	kingdom	shannon	0.185
D04-ZF-R2-B_S57_L002	kingdom	shannon	0.706
D08-ZH-R1-B_S33_L001	kingdom	shannon	0.127
D02-ZR-R1-A_S96_L002	kingdom	shannon	0.18
D09-ZH-R3-B_S37_L004	kingdom	shannon	0.363
D04-ZR-R2-B_S62_L002	kingdom	shannon	0.613
D05-ZR-R1-A_S29_L001	kingdom	shannon	0.037
PCO-B3-R1-A_S65_L002	kingdom	shannon	0.052
D10-ZR-R1-A_S9_L001	kingdom	shannon	0.021
D06-ZF-R2-A_S24_L002	kingdom	shannon	0.029
D05-OF-R3-A_S22_L004	kingdom	shannon	0.043
D08-ZF-R1-B_S36_L001	kingdom	shannon	0.164
D02-OR-R2-A_S30_L001	kingdom	shannon	0.779
D10-ZF-R3-B_S39_L004	kingdom	shannon	0.007
D06-OR-R2-B_S36_L001	kingdom	shannon	0.242
D04-OF-R1-B_S123_L002	kingdom	shannon	0.795
D09-OF-R2-B_S45_L001	kingdom	shannon	0.691
D03-ZH-R2-B_S38_L002	kingdom	shannon	0.039
D02-OF-R3-A_S16_L004	kingdom	shannon	0.192
D10-ZH-R3-A_S17_L004	kingdom	shannon	0.018
D08-OR-R2-A_S8_L001	kingdom	shannon	0.389
D01-ZR-R3-A_S21_L003	kingdom	shannon	0.081
D05-ZR-R3-A_S6_L004	kingdom	shannon	0.036
D09-ZR-R3-A_S19_L004	kingdom	shannon	0.644
D04-OR-R3-A_S18_L003	kingdom	shannon	0.78
D04-ZH-R3-A_S26_L003	kingdom	shannon	0.458
D07-OF-R3-A_S29_L003	kingdom	shannon	0.08
NCO-B4-R1-A_S81_L002	kingdom	shannon	0.332
D05-ZF-R2-B_S58_L002	kingdom	shannon	0.039
D03-ZF-R2-B_S53_L001	kingdom	shannon	0.023
D07-ZF-R2-B_S61_L001	kingdom	shannon	0.017
D03-NF-R2-B_S64_L001	kingdom	shannon	0.053
D06-NF-R2-B_S50_L001	kingdom	shannon	0.107
D03-ZF-R3-B_S56_L003	kingdom	shannon	0.372
D10-NF-R2-B_S49_L002	kingdom	shannon	0.257
D08-OF-R1-B_S107_L002	kingdom	shannon	0.625
D09-OR-R1-A_S32_L001	kingdom	shannon	0.672
D02-ZF-R2-A_S13_L002	kingdom	shannon	0.096
D04-ZH-R2-A_S9_L001	kingdom	shannon	0.409
D02-NF-R2-A_S26_L001	kingdom	shannon	0.148
D03-OF-R3-A_S2_L003	kingdom	shannon	0.036
D01-ZF-R3-B_S39_L003	kingdom	shannon	0.228
D06-OR-R1-B_S111_L002	kingdom	shannon	0.082
D01-NF-R1-A_S89_L002	kingdom	shannon	0.684
