D01-NF-R1	D01-NF-R2	D01-NF-R3	D01-OF-R1	D01-OF-R2	D01-OF-R3	D01-OR-R1	D01-OR-R2	D01-OR-R3	D01-ZF-R1	D01-ZF-R2	D01-ZF-R3	D01-ZH-R1	D01-ZH-R2	D01-ZH-R3	D01-ZR-R1	D01-ZR-R2	D01-ZR-R3	D02-NF-R1	D02-NF-R2	D02-NF-R3	D02-OF-R1	D02-OF-R2	D02-OF-R3	D02-OR-R1	D02-OR-R2	D02-ZF-R1	D02-ZF-R2	D02-ZF-R3	D02-ZH-R1	D02-ZH-R2	D02-ZH-R3	D02-ZR-R1	D02-ZR-R2	D02-ZR-R3	D03-NF-R1	D03-NF-R2	D03-NF-R3	D03-OF-R1	D03-OF-R2	D03-OF-R3	D03-OR-R1	D03-OR-R2	D03-OR-R3	D03-ZF-R1	D03-ZF-R2	D03-ZF-R3	D03-ZH-R1	D03-ZH-R2	D03-ZH-R3	D03-ZR-R1	D03-ZR-R2	D03-ZR-R3	D04-NF-R1	D04-NF-R2	D04-NF-R3	D04-OF-R1	D04-OF-R2	D04-OF-R3	D04-OR-R2	D04-OR-R3	D04-ZF-R1	D04-ZF-R2	D04-ZF-R3	D04-ZH-R1	D04-ZH-R2	D04-ZH-R3	D04-ZR-R1	D04-ZR-R2	D04-ZR-R3	D05-NF-R1	D05-NF-R2	D05-NF-R3	D05-OF-R1	D05-OF-R2	D05-OF-R3	D05-ZF-R1	D05-ZF-R2	D05-ZF-R3	D05-ZH-R1	D05-ZH-R2	D05-ZH-R3	D05-ZR-R1	D05-ZR-R2	D05-ZR-R3	D06-NF-R1	D06-NF-R2	D06-NF-R3	D06-OF-R1	D06-OF-R2	D06-OF-R3	D06-OR-R1	D06-OR-R2	D06-OR-R3	D06-ZF-R1	D06-ZF-R2	D06-ZF-R3	D06-ZH-R1	D06-ZH-R2	D06-ZH-R3	D06-ZR-R1	D06-ZR-R2	D06-ZR-R3	D07-NF-R1	D07-NF-R2	D07-NF-R3	D07-OF-R1	D07-OF-R2	D07-OF-R3	D07-OR-R1	D07-OR-R2	D07-OR-R3	D07-ZF-R1	D07-ZF-R2	D07-ZF-R3	D07-ZH-R1	D07-ZH-R2	D07-ZH-R3	D07-ZR-R1	D07-ZR-R2	D07-ZR-R3	D08-NF-R1	D08-NF-R2	D08-NF-R3	D08-OF-R1	D08-OF-R2	D08-OF-R3	D08-OR-R1	D08-OR-R2	D08-OR-R3	D08-ZF-R1	D08-ZF-R2	D08-ZF-R3	D08-ZH-R1	D08-ZH-R2	D08-ZH-R3	D08-ZR-R1	D08-ZR-R2	D08-ZR-R3	D09-NF-R1	D09-NF-R2	D09-NF-R3	D09-OF-R1	D09-OF-R2	D09-OF-R3	D09-OR-R1	D09-OR-R2	D09-OR-R3	D09-ZF-R1	D09-ZF-R2	D09-ZF-R3	D09-ZH-R1	D09-ZH-R2	D09-ZH-R3	D09-ZR-R2	D09-ZR-R3	D10-NF-R1	D10-NF-R2	D10-NF-R3	D10-OF-R1	D10-OF-R2	D10-OF-R3	D10-ZF-R1	D10-ZF-R2	D10-ZF-R3	D10-ZH-R1	D10-ZH-R2	D10-ZH-R3	D10-ZR-R1	D10-ZR-R2	D10-ZR-R3
Monjiviricetes	11	6	2	2	2	2	0	0	0	6	11	14	1	0	2	24	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	45	42	92	255	69	99	0	0	85	63	132	3	6	14	202	64	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ellioviricetes	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chytridiomycetes	24	50	22	75	87	71	171	127	158	19	57	22	48	14	66	32	27	43	64	12	55	51	104	122	55	4	46	61	13	131	101	105	42	73	77	49	18	52	88	92	70	57	10	106	502	170	478	42	95	130	385	612	530	2084	1419	2747	24680	7007	12246	84	581	27673	15030	32238	6140	2389	8813	28743	19204	35311	67	68	9	47	27	126	35	66	71	137	92	130	68	18	126	54	19	195	56	74	75	155	10	222	83	125	80	34	67	134	98	19	43	113	113	184	16	38	56	50	135	106	54	14	50	83	96	128	15	69	81	35	10	146	164	25	138	51	12	66	50	24	54	14	103	112	79	72	82	52	119	74	109	23	111	60	9	151	121	21	126	71	83	211	47	112	37	138	81	51	18	96	46	32	59	43	60	131	56	17	15
Monoblepharidomycetes	6	3	3	5	3	12	3	2	7	2	12	24	1	0	2	14	0	9	6	2	9	2	5	8	2	0	5	7	0	9	6	11	22	4	15	2	0	8	6	1	4	4	0	5	2	0	1	0	7	7	1	1	6	8	12	29	38	8	34	4	6	21	21	42	2	2	8	28	45	35	4	5	0	1	0	0	1	2	1	6	3	6	1	2	4	1	1	6	4	3	2	5	0	12	1	4	2	3	1	5	2	1	4	9	10	8	1	4	3	2	4	13	2	4	2	3	3	3	6	6	9	2	0	5	14	0	4	2	0	0	2	1	5	1	3	6	6	2	4	4	7	7	2	0	0	2	0	11	6	3	6	2	2	8	1	4	2	6	2	4	3	3	10	3	4	0	3	5	3	0	0
Neocallimastigomycetes	55	8	9	52	70	80	39	41	39	8	21	20	22	7	26	17	6	9	8	5	15	31	25	47	91	2	37	33	8	57	25	49	52	50	54	3	5	7	33	21	17	3	5	17	26	4	20	19	44	89	45	5	27	57	49	56	144	37	99	3	4	265	191	353	68	31	56	275	175	306	9	23	2	7	5	27	14	24	42	28	32	44	16	5	36	7	8	39	9	37	17	6	1	38	27	60	68	14	25	32	19	6	23	30	32	38	4	26	23	7	52	14	7	7	59	27	23	40	27	28	98	22	4	44	91	5	40	6	3	1	6	9	19	2	29	28	28	99	46	586	703	612	696	130	478	15	6	56	284	51	169	21	32	29	203	211	1	46	7	4	3	9	28	17	42	7	8	48	8	1	28
Blastocladiomycetes	12	6	4	14	21	8	37	11	20	3	24	20	3	9	8	8	10	24	6	0	17	16	11	17	8	1	13	17	2	11	11	25	3	11	16	12	8	33	20	18	39	12	4	8	134	28	41	6	30	43	23	7	94	133	72	141	784	160	373	5	63	1324	882	1583	244	60	247	1212	1146	1347	15	41	32	287	70	491	313	479	898	93	14	60	589	354	632	11	0	15	7	25	40	14	0	60	49	49	16	23	12	13	32	18	58	72	33	75	4	22	7	3	11	19	13	8	31	12	14	8	4	20	24	1	1	19	41	3	20	16	3	5	18	12	14	2	18	20	24	23	13	11	9	3	3	0	6	18	1	24	3	0	16	7	7	28	3	5	2	22	11	6	3	7	8	19	3	6	13	21	7	2	4
Glomeromycetes	253	157	320	493	574	605	1670	844	727	307	515	371	327	179	428	502	173	254	227	105	279	519	486	1057	430	70	569	542	243	1297	507	909	876	952	846	113	83	186	612	529	339	210	139	366	502	142	425	359	704	1102	636	257	624	555	766	673	1474	353	965	106	490	2116	2500	3013	590	444	774	3201	2426	2914	277	436	55	186	128	493	326	709	710	541	439	685	325	261	620	92	138	560	290	618	378	629	52	787	226	620	704	206	509	682	244	148	342	545	801	773	116	426	301	148	909	527	337	228	929	571	510	622	241	453	1199	138	74	597	708	156	506	224	82	163	314	166	272	86	482	527	471	1502	548	204	744	576	1405	203	881	227	82	644	851	196	1192	195	359	544	974	1027	57	696	350	212	125	411	284	421	541	260	383	930	214	102	261
Endogonomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0	1	18	15	38	0	0	29	34	22	0	1	0	14	16	38	34	12	38	12	14	29	9	0	0	123	7	50	32	0	2	3	3	26	1	6	9	44	8	37	0	1	65	65	97	6	1	13	81	63	105	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	8	0	2	0	0	0	0	1	1	0	3	1	0	0	1	0	3	0	0	0	1	1	0	2	0	0	0	0	2	0	0	0	0	2	2	2	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mucoromycetes	563	670	889	785	2949	1058	5177	4774	4529	238	2079	350	823	410	1938	556	413	566	969	366	1540	747	2388	915	2591	172	738	1507	300	3944	4421	3903	1149	2497	1578	885	367	1186	2496	2811	639	1241	417	2358	1000	269	661	1235	2940	2234	1387	450	1043	1985	2385	2275	22198	3658	7643	360	2187	18813	16274	23114	4745	2361	7433	21560	15431	23711	1703	2981	212	1041	456	2588	605	2863	1184	3189	2544	4004	951	507	2571	545	600	4198	1420	3176	1017	1028	258	5118	370	3330	864	622	2841	2783	604	362	874	2153	5010	4624	594	2071	1550	984	5434	3254	771	270	1181	2266	4074	3202	305	2210	2514	884	237	2071	1757	545	1263	1606	311	956	648	295	621	572	4916	2109	716	2767	997	591	2253	957	952	359	1414	1339	204	4658	1486	474	2686	1153	3559	5021	1555	1561	639	5832	1923	1585	464	1785	1050	877	864	1030	2236	3204	1083	371	480
Mortierellomycetes	4	15	10	7	57	12	50	63	64	2	17	6	7	10	24	4	9	4	15	5	21	10	13	43	51	3	29	13	5	41	41	35	13	37	8	24	7	20	19	49	10	5	5	15	12	4	6	5	47	54	3	3	15	126	130	104	850	181	470	12	70	1977	1268	2925	139	120	220	1952	1613	2391	35	34	9	42	19	78	59	272	129	32	16	60	147	49	141	4	10	34	7	62	12	6	9	74	5	24	19	3	39	29	5	4	39	58	126	101	30	85	31	6	71	47	45	34	102	27	59	38	6	54	61	3	1	60	45	4	10	42	4	9	4	8	17	4	49	16	16	51	14	3	20	11	14	11	11	7	2	42	9	8	70	3	47	62	13	9	2	62	24	39	7	9	6	32	5	5	10	56	7	6	1
