Bromoviridae	Virgaviridae	Saccharomycetaceae	Malasseziaceae	Moraxellaceae	Pseudomonadaceae	Enterobacteriaceae	Rhodospirillaceae	Comamonadaceae	Sutterellaceae	Desulfovibrionaceae	Akkermansiaceae	Staphylococcaceae	Streptococcaceae	Lactobacillaceae	Leuconostocaceae	Clostridiaceae	Lachnospiraceae	Eubacteriaceae	Oscillospiraceae	Ruminococcaceae	Candidatus Borkfalkiaceae	Erysipelotrichaceae	Selenomonadaceae	Acidaminococcaceae	Veillonellaceae	Bifidobacteriaceae	Micrococcaceae	Corynebacteriaceae	Propionibacteriaceae	Coriobacteriaceae	Atopobiaceae	Eggerthellaceae	Bacteroidaceae	Rikenellaceae	Prevotellaceae	Odoribacteraceae	Barnesiellaceae	Tannerellaceae
D01-NF-R1	-7.7677	8.6701	-4.5543	-3.23	-2.364	-1.836	-0.7238	-3.9496	-2.1069	0.1842	3.7945	3.435	0.1679	1.234	-4.5178	-3.9604	4.7928	5.3064	1.1195	4.3459	7.4995	-0.4488	-0.1361	-3.2767	-3.437	0.6126	1.4645	-3.0509	-3.6942	-1.1558	-2.1494	-2.5139	2.937	4.878	7.6382	-2.638	0.045	-3.4823	2.8685
D01-NF-R2	-7.0524	8.4811	-4.8869	-1.0354	-0.9147	-1.7878	0.7153	-4.4299	-2.0097	-0.0123	3.3943	2.4085	0.4494	0.6379	-4.6537	-3.8187	4.2589	5.0833	1.3087	3.2498	7.0396	-0.3689	-0.6164	-3.8766	-3.5232	0.7851	0.9951	-2.9226	-3.0638	-0.3308	-0.646	-3.2059	2.1437	4.6491	6.3313	-2.3325	-0.2898	-2.7365	2.5834
D01-NF-R3	-5.6521	10.6427	-3.1974	-0.3421	-3.1785	-1.425	0.1351	-4.2745	-1.8155	-1.3335	3.5198	2.5193	2.136	-0.633	-4.9493	-4.5579	4.5372	5.3455	1.0505	4.2786	7.1647	-0.1588	-1.1996	-3.6377	-3.4835	-0.551	1.4378	-2.3252	-2.3324	-0.1013	-2.5904	-2.827	2.0286	4.3635	7.9933	-2.7816	-0.0436	-5.2955	1.534
D01-OF-R1	-11.0148	7.8751	-4.3544	-3.6301	-5.1346	-2.2523	-1.5452	-3.2811	-2.9119	0.9786	3.9847	3.0836	1.0369	1.8987	-4.2465	-4.1887	5.3513	5.9857	2.2604	2.9907	7.3934	1.7915	0.2059	-3.0995	-4.1126	2.0659	0.764	-3.4093	-3.8132	-0.9911	-1.9483	-2.613	2.5184	6.0431	7.5092	-2.0893	2.1078	-5.52	4.3112
D01-OF-R2	-8.8601	7.4699	-4.4076	-3.0497	-4.3752	-1.4934	-0.1058	-4.1153	-2.5478	0.6414	3.8053	2.7265	0.5077	2.0516	-4.7167	-5.9238	4.924	5.4548	1.5193	3.4462	7.1416	1.409	0.1407	-3.2535	-4.209	1.834	0.2651	-3.5224	-3.8329	-1.521	-1.9103	-2.6952	2.3067	6.2536	7.813	-1.9157	1.9667	-3.1739	3.9523
D01-OF-R3	-11.9605	8.0476	-4.666	-5.7157	-4.7376	-2.3044	-1.2231	-3.3579	-2.9702	1.2631	3.9689	2.541	0.6545	2.0168	-4.2189	-6.2314	5.583	6.2493	2.1542	3.1598	7.737	1.6241	0.5137	-2.9539	-4.1155	2.7592	0.5149	-3.4928	-4.3467	-2.6869	-1.4482	-2.3971	2.6888	6.6997	7.9825	-1.4521	2.6622	-3.7299	5.1885
D01-OR-R1	-5.9159	5.6744	-3.3576	0.3565	-2.2063	-0.3399	0.9686	-3.3824	0.3008	-0.5547	2.7677	2.6851	2.4753	0.5406	-4.3497	-0.0743	4.7037	6.5819	1.3616	2.083	6.0182	-1.634	-1.748	-3.7136	-4.8508	0.1745	-0.1735	-1.3308	-0.6941	2.6156	-2.1487	-2.9824	1.854	3.354	6.5375	-2.3856	-0.7772	-10.8019	2.3686
D01-OR-R2	-8.2997	3.7013	-1.2216	1.7964	-1.3258	1.1512	1.2802	-3.794	1.0425	0.3551	2.9929	3.0889	0.8632	0.7923	-4.4979	-2.2752	4.3789	5.358	0.4382	2.0163	5.6742	-1.7226	-2.0279	-4.3441	-4.8385	0.541	-0.5348	-1.5668	-0.2125	2.6623	-1.2562	-2.4757	2.5592	3.1954	7.2068	-2.1513	-0.4057	-10.6935	2.5498
D01-OR-R3	-7.1235	5.0461	-2.2461	-1.3516	-2.4298	0.7777	0.9917	-3.5637	-0.089	0.0239	3.4632	4.2099	-0.2247	3.0273	-4.5676	-5.3702	5.8263	6.8656	1.8502	1.9104	7.0047	-2.7173	-0.4373	-4.0223	-4.55	1.0346	2.0935	-2.7375	-2.3123	-0.0224	0.4469	-1.41	4.567	3.1112	6.4457	-3.1751	-0.8192	-12.2559	2.7295
D01-ZF-R1	-10.3089	7.1221	-1.8384	-4.4137	-4.68	-2.9114	-1.9046	-5.1015	-3.6332	0.4824	1.4614	0.1757	2.6727	-0.8153	-4.0754	-4.2611	5.0036	5.5338	1.9592	2.6942	7.9835	3.2634	1.0442	-2.0537	-4.2337	2.9506	-0.4782	-3.9258	-4.4542	-1.5903	-2.2727	-2.3283	0.8947	7.2461	8.6394	-0.9914	4.1465	-3.096	6.0944
