Tymovirales	Saccharomycetales	Polyporales	Malasseziales	Pseudomonadales	Enterobacterales	Rhizobiales	Rhodospirillales	Burkholderiales	Desulfovibrionales	Verrucomicrobiales	Victivallales	Bacillales	Lactobacillales	Clostridiales	Candidatus Borkfalkiales	Erysipelotrichales	Selenomonadales	Acidaminococcales	Veillonellales	Bifidobacteriales	Micrococcales	Corynebacteriales	Propionibacteriales	Coriobacteriales	Eggerthellales	Bacteroidales
D01-NF-R1	-7.0777	-2.7413	-4.0809	-2.7743	-0.6151	-0.1144	-0.811	-2.3315	1.2557	4.251	3.8927	-6.87	0.9453	1.8719	8.7644	0.0035	0.3217	-2.2113	-2.9855	1.0696	1.9187	-0.8705	-1.2192	-0.486	-0.8656	3.4123	8.3477
D01-NF-R2	-7.2405	-2.6651	-4.9404	-0.3991	0.3476	1.4044	-0.7442	-2.9879	1.3055	4.0246	3.0409	-9.0048	1.2641	1.5777	8.4329	0.2582	0.0104	-2.5459	-2.8788	1.4153	1.6267	-1.009	-1.1836	0.3824	0.2112	2.8454	7.452
D01-NF-R3	-3.5704	-1.6633	-4.0136	-0.0357	-0.736	0.5257	-0.6578	-2.9336	0.3551	3.83	2.8307	-7.9499	2.527	0.0553	8.3823	0.153	-0.8969	-2.7271	-3.1722	-0.2506	1.7421	-0.7415	-0.7822	0.3012	-1.399	2.3912	8.4359
D01-OF-R1	-8.294	-3.0606	-4.5364	-3.1404	-1.5868	-0.7685	-1.0852	-2.1693	1.8026	4.4686	3.5685	-7.5288	1.6956	2.4842	8.8177	2.2746	0.6884	-1.7793	-3.6326	2.5479	1.2477	-1.0711	-1.5087	-0.3403	-0.7594	3.0888	8.577
D01-OF-R2	-8.4411	-2.5817	-4.4854	-2.5376	-0.7915	0.5162	-0.9434	-2.7079	1.5809	4.3222	3.2455	-7.7885	1.2876	2.6592	8.5537	1.9243	0.6575	-1.7571	-3.696	2.3489	0.7808	-1.0511	-1.3032	-0.8231	-0.732	2.9175	8.8454
D01-OF-R3	-10.2558	-2.7705	-4.6134	-5.0877	-1.4133	-0.3659	-0.9215	-2.1354	2.1685	4.6061	3.1805	-7.3417	1.5735	2.7517	9.2519	2.2626	1.1506	-1.562	-3.4722	3.3951	1.1522	-0.9015	-1.5721	-1.5891	-0.208	3.4321	9.2854
D01-OR-R1	-13.1512	-0.9573	-4.3419	0.9356	0.5873	1.7269	-0.2917	-2.2825	1.9925	3.3468	3.2653	-9.2816	3.0999	1.9743	8.327	-1.0598	-1.1688	-3	-4.2697	0.7519	0.4064	0.2357	0.866	3.2145	-0.929	2.6546	7.3491
D01-OR-R2	-11.4254	-0.042	-4.5618	1.9238	1.5205	1.5292	1.769	-2.4296	2.4814	3.1232	3.2201	-8.9585	1.1107	1.2335	7.234	-1.6008	-1.9096	-3.86	-4.7022	0.6682	-0.4005	0.1065	1.3155	2.8282	-0.6108	2.9496	7.4878
D01-OR-R3	-12.0198	-0.7456	-4.6867	-1.2296	1.0448	1.1833	0.2058	-2.7601	1.6122	3.5863	4.3324	-6.8184	0.272	3.2199	8.4918	-2.5931	-0.3171	-3.6261	-4.4229	1.1539	2.2145	-0.3223	-0.6313	0.2405	0.9232	4.8803	6.8121
D01-ZF-R1	-8.1278	-0.8179	-5.4257	-3.5502	-1.6725	-0.7565	-1.1996	-3.2241	1.6351	2.3218	1.0546	-7.9241	3.5918	0.6909	9.5277	4.1211	1.9019	-0.9407	-3.3846	3.8091	0.3785	-1.2383	-1.8249	-0.5888	-0.4436	1.9085	10.1784
D01-ZF-R2	-8.0499	-1.3525	-5.2345	-3.0145	-0.9428	-0.1126	-0.7458	-2.9725	1.6753	1.8284	0.5364	-7.5884	2.2333	0.3815	9.405	3.8798	1.5449	-0.8523	-3.2188	3.7851	0.1695	-1.0169	-1.5039	-0.981	-0.39	1.6794	10.8578
