uncultured human fecal virus	Pepper mild mottle virus	Tobacco mild green mosaic virus	Paprika mild mottle virus	Tomato brown rugose fruit virus	Malassezia restricta	Acinetobacter baumannii	Pseudomonas aeruginosa	Escherichia coli	Azospirillum sp. 51_20	Sutterella wadsworthensis	Sutterella sp. AM18-8-1	Sutterella sp. AF15-45LB	Proteobacteria bacterium CAG:139	Bilophila wadsworthia	Bilophila sp. 4_1_30	Akkermansia muciniphila	Lentisphaeria bacterium	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:83	Firmicutes bacterium CAG:103	Firmicutes bacterium CAG:114	Firmicutes bacterium CAG:137	Firmicutes bacterium CAG:240	Staphylococcus aureus	Lactobacillus fermentum	Weissella jogaejeotgali	Clostridium phoceensis	Clostridium sp. CAG:138	Clostridium sp. CAG:169	Clostridium sp. CAG:217	Clostridium sp. L2-50	Clostridium sp. 44_14	Clostridium sp. OM05-6BH	Clostridium sp. OM08-29	Clostridium sp. BIOML-A1	Clostridiaceae bacterium	Butyricicoccus sp. N15.MGS-46	Butyricicoccus sp. AM42-5AC	Butyricicoccus sp. BIOML-A1	uncultured Clostridiales bacterium	Roseburia intestinalis	Roseburia hominis	Roseburia faecis	Roseburia inulinivorans	uncultured Roseburia sp.	Roseburia sp. CAG:45	Roseburia intestinalis CAG:13	Roseburia sp.	Roseburia sp. AM16-25	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	uncultured Coprococcus sp.	Coprococcus sp.	Coprococcus sp. AF16-5	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	uncultured Lachnospiraceae bacterium	[Ruminococcus] gnavus	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Eubacterium sp. CAG:202	Eubacterium sp. CAG:251	uncultured Oscillibacter sp.	Oscillibacter sp. 57_20	Oscillibacter sp. CAG:241_62_21	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Oscillospiraceae bacterium UBA6409	Ruminococcus bromii	Ruminococcus callidus	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp.	Ruminococcus sp. Marseille-P328	Ruminococcus sp. AM28-13	Ruminococcus sp. TF12-19AC	Gemmiger formicilis	Faecalibacterium prausnitzii	uncultured Faecalibacterium sp.	Faecalibacterium sp. AF27-11BH	Faecalibacterium sp. BIOML-A1	Anaerotruncus colihominis	Subdoligranulum sp. CAG:314	Subdoligranulum sp. 60_17	[Eubacterium] siraeum	Ruminococcaceae bacterium	Ruminococcaceae bacterium UBA6855	Flavonifractor plautii	Ruthenibacterium lactatiformans	Anaeromassilibacillus sp. Marseille-P3371	Neglecta timonensis	Clostridiales bacterium	Clostridiales bacterium UBA5901	Clostridiales bacterium UBA5909	Clostridiales bacterium UBA738	Clostridiales bacterium UBA7739	Clostridiales bacterium CCNA10	Intestinimonas butyriciproducens	Intestinimonas massiliensis	Clostridia bacterium	Candidatus Borkfalkia ceftriaxoniphila	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Phascolarctobacterium sp. CAG:207	Megasphaera massiliensis	Firmicutes bacterium CAG:110_56_8	Firmicutes bacterium CAG:129_59_24	Bifidobacterium adolescentis	Bifidobacterium bifidum	Bifidobacterium pseudocatenulatum	Bifidobacterium longum	Cutibacterium acnes	Coriobacteriaceae bacterium	Collinsella aerofaciens	Collinsella stercoris	Collinsella bouchesdurhonensis	Collinsella sp. UBA6357	Collinsella sp. AM10-26	Parolsenella catena	Eggerthella lenta	Enterorhabdus caecimuris	Coriobacteriia bacterium	Bacteroides fragilis	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides massiliensis	Bacteroides cellulosilyticus	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides dorei	Bacteroides xylanisolvens	Bacteroides faecis	Bacteroides mediterraneensis	Bacteroides cellulosilyticus CAG:158	Bacteroides coprocola CAG:162	Bacteroides finegoldii CAG:203	Bacteroides sp.	Bacteroides sp. UNK.MGS-14	Bacteroides sp. HMSC068A09	Bacteroides sp. AF14-46	Bacteroides sp. AF15-23LB	Bacteroides sp. AF16-29	Bacteroides sp. AF36-11BH	Bacteroides sp. AF37-16AC	Bacteroides sp. AF39-10AT	Bacteroides sp. AM16-15	Bacteroides sp. AM44-19	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes finegoldii	Alistipes onderdonkii	Alistipes shahii	Alistipes senegalensis	Alistipes sp. CAG:157	Alistipes finegoldii CAG:68	Alistipes putredinis CAG:67	Alistipes sp.	Alistipes sp. 56_11	Alistipes sp. 56_sp_Nov_56_25	Alistipes sp. AF14-19	Alistipes sp. 3BBH6	Alistipes sp. 5CBH24	Rikenellaceae bacterium	Prevotella copri	Prevotella sp. CAG:520	Prevotella sp.	Prevotella sp. AM23-5	uncultured Prevotellaceae bacterium	Paraprevotella clara	Odoribacter splanchnicus	Butyricimonas virosa	Barnesiella intestinihominis	Parabacteroides distasonis	Parabacteroides merdae	Parabacteroides massiliensis
D01-NF-R1	6.125	-0.2645	0.2134	-1.4605	11.9113	-0.1149	0.6377	-0.4653	1.4286	-5.0468	-5.7912	-10.6136	-10.3276	5.4109	6.5749	2.7089	6.6698	-3.6106	1.7634	4.0695	3.716	6.1733	4.6214	-7.3671	3.1673	-10.369	-0.894	5.6793	-3.876	2.098	3.5504	-5.4873	-5.0638	-0.4549	-2.188	-4.7811	5.5888	-1.8107	-1.9478	5.7052	6.8105	4.0368	3.1599	4.1463	3.1319	-1.101	-3.5286	2.2363	3.5865	-2.618	-2.2467	2.2163	4.0551	4.3192	-8.1443	-8.7798	-3.0931	1.2905	4.7221	2.9228	3.4605	-1.8921	2.7118	6.0199	4.4765	-10.3362	-8.8303	5.5179	6.5301	-1.3406	3.8292	-2.112	-1.5147	3.5022	-4.3318	5.2775	5.2214	2.3109	1.8933	-0.0686	4.4673	5.4877	9.6067	5.2417	5.1189	4.9068	3.0448	5.1295	3.3246	-2.9716	8.057	-3.8702	7.0281	1.9996	2.5546	0.5959	7.5648	3.8417	-1.1655	0.2087	5.3397	2.2654	1.4526	2.7685	3.6888	2.7899	-7.5271	-10.5359	-10.3036	-8.1101	-5.2988	-1.2996	-0.7697	-6.3326	-2.4008	-5.4465	4.6565	1.8704	-1.788	-3.258	-4.4067	-3.2121	-3.7069	-10.3742	-5.1522	5.2733	4.3183	2.7041	-0.5441	4.1296	1.8582	0.8069	-1.6503	4.1091	-1.1362	5.9636	-4.0801	5.6736	-4.6865	4.3235	1.2992	5.4552	-0.9954	-5.4916	1.9234	-3.1406	-4.1429	0.0498	-8.409	-10.5405	-10.3016	-10.3847	-10.5541	-0.1787	-10.4781	-9.4718	-8.4991	-10.6501	1.5016	8.8662	1.5008	9.5849	0.0895	2.0755	2.7872	0.633	4.4812	6.8753	3.173	-2.1386	-1.7773	8.4727	0.0428	6.2866	-3.0175	-10.3867	-4.195	-10.5082	-0.9239	-4.6929	3.0586	-8.0444	-0.2402	5.6407	3.7569	-3.8606
D01-NF-R2	5.9303	-0.5201	-0.2284	-1.3677	11.8614	2.2985	2.4297	0.6469	3.1554	-3.9888	-3.7128	-9.062	-8.9079	5.364	6.3461	2.7195	5.7736	-4.3503	1.2273	3.6305	2.832	5.6208	4.2695	-6.7723	3.7122	-6.4805	-0.5182	5.0626	-5.4208	1.4174	3.437	-8.9518	-6.4293	-0.8514	-3.0255	-7.0522	4.9575	-1.7913	-1.5895	5.6867	6.0142	3.808	2.052	3.5498	3.5856	-0.6335	-2.6852	2.5485	2.9514	-3.1911	-5.766	2.6267	4.415	4.7717	-8.765	-8.943	-8.0228	0.9936	4.6975	2.5126	3.2649	-1.4499	2.1674	6.1379	3.8626	-8.8303	-9.0151	4.5772	5.5012	-2.0337	2.8754	-2.7818	-3.1854	3.2374	-7.9819	5.2704	4.9867	2.256	1.3041	-0.6264	4.5392	5.4876	9.2543	4.8062	4.6647	4.4173	2.2481	4.3681	3.1959	-4.0267	7.9266	-4.3728	6.3609	1.6808	2.0551	-0.2933	7.0173	3.384	-1.7597	-0.2651	4.3512	1.7816	0.3417	1.8863	2.977	3.0124	-7.9406	-8.9652	-5.9921	-6.6065	-6.626	-2.0412	-1.7929	-6.0356	-1.8106	-4.0567	4.3323	2.9674	0.7271	0.9367	-0.2503	-3.3165	-4.6338	-9.1886	-5.4143	4.6224	3.6192	2.6708	-0.1265	3.6164	2.2736	3.5783	-1.7512	4.3432	-0.704	5.8641	-1.905	5.3562	-2.9815	3.9697	1.992	5.4614	-0.2481	-5.827	1.7522	-1.1407	-6.9573	0.2809	-8.8555	-8.1296	-8.9921	-9.2097	-8.7893	-6.1685	-9.1907	-9.0789	-2.6961	-8.8882	1.6942	8.0561	0.7097	8.2099	-0.4278	0.7574	2.0269	-0.5188	3.7177	5.5181	2.4889	-2.0991	-2.0063	7.1851	-0.6577	5.0551	-1.2735	-8.8775	-2.7807	-7.44	-0.8266	-2.0379	2.8047	-6.408	0.639	5.6353	3.0814	-2.7322
D01-NF-R3	8.5546	4.0517	2.1575	0.8728	14.2359	3.208	-0.0297	0.675	2.6123	-6.3179	-7.7277	-8.9082	-8.8025	4.4686	6.5918	2.8165	6.1101	-2.7125	1.3817	4.237	3.6836	5.4034	4.5331	-6.5037	5.6611	-8.6368	-1.1041	6.0345	-5.251	1.7094	2.8186	-9.0159	-8.7176	-2.9351	-5.8943	-5.8464	5.02	-1.8111	-1.4823	6.3582	7.5557	4.6999	2.8658	3.9825	5.0703	2.1844	-6.5404	3.4543	3.9004	-4.4685	-5.9895	2.8891	3.568	3.7476	-7.9241	-7.9222	-8.7321	0.8767	4.748	1.9092	4.1966	-2.0895	2.2963	6.9096	4.9846	-8.7565	-6.7976	5.9383	6.652	-1.2819	4.094	-1.4118	-2.029	2.3178	-8.8391	5.4982	4.9913	1.2507	1.2329	-2.4917	3.9112	5.4025	9.4971	5.1927	4.9068	4.6679	2.7625	6.3657	3.5658	-4.9175	8.3451	-3.21	7.0229	1.9659	2.4571	0.5454	7.2888	4.7789	-0.3579	0.7013	5.1169	2.4476	1.3835	2.8975	3.8701	3.4362	-8.3669	-7.8079	-7.3782	-8.7726	-2.736	-1.741	0.0023	-4.633	-3.4831	-5.9516	4.9845	3.245	-1.8891	-3.7278	-4.8076	-3.2985	-4.9599	-9.0141	-5.4235	4.6522	3.6728	2.329	-0.4661	4.171	1.8322	0.3762	-3.0692	4.3241	-1.857	6.2032	-8.807	4.9883	-7.2291	3.893	2.2889	4.8574	-0.7646	-5.882	1.5201	-8.9181	-7.8346	-0.1908	-8.7428	-8.8673	-8.7948	-8.9352	-8.9963	-6.2552	-8.911	-8.6351	-8.8323	-8.8139	2.2573	9.8361	2.0139	10.2188	0.1231	3.0354	3.6767	1.3863	5.4709	7.5994	3.8703	-1.3594	-1.8325	9.0832	0.5941	6.5657	-2.5048	-9.011	-2.4518	-7.2927	-0.9279	-4.551	3.1758	-7.8667	-1.7869	3.6042	4.4231	-3.9791
D01-OF-R1	5.6634	-2.8199	-1.6065	-5.0223	10.8885	-0.7761	-2.5772	-1.1276	-0.3139	-7.0683	-5.1744	-11.1954	-11.2686	5.7336	6.7707	2.8589	6.0899	-4.7786	2.5271	2.6241	3.5657	6.3736	3.747	-5.4496	2.7557	-6.1947	-1.3679	4.6885	-5.3496	0.9372	5.6634	-11.3707	-4.4017	1.6813	-2.7408	-4.4952	5.1292	-2.3879	-1.7667	6.3723	5.9671	3.8451	3.9285	5.4645	3.9932	-0.4431	-2.6072	3.3805	3.8574	-0.3389	-1.1943	2.5853	4.1505	5.0139	-2.7494	-3.2901	-3.737	1.4759	5.7025	4.322	3.5872	-1.4575	4.192	4.9987	5.0208	-11.2443	-6.4297	3.8943	4.6837	-2.4976	2.6406	-3.3713	-3.2754	4.4122	-5.8115	5.3387	5.5319	2.9156	2.444	0.6496	6.8705	5.4845	8.7811	4.0553	4.3158	3.9062	2.1273	6.054	2.3686	-1.9603	8.1123	-4.6834	5.4439	1.059	2.3914	0.6529	7.0057	2.9377	-2.7794	-0.6797	5.1684	1.6303	0.5214	0.989	2.6413	4.8056	-8.2659	-10.1388	-8.0671	-11.1527	-2.0577	-2.3132	-2.6352	-5.8207	-3.4775	-5.403	3.6929	1.7123	-2.4572	-4.5303	-4.3547	-2.0588	-4.6809	-11.2659	-4.9522	3.79	4.6097	3.8966	0.3642	4.273	1.8516	0.4286	-0.2335	5.451	0.2369	6.0271	-4.2181	6.8325	-4.4742	5.8044	0.9146	6.8396	-1.3925	-4.8605	3.0285	-5.2568	-3.8156	0.9699	-8.696	-11.5043	-11.1511	-9.682	-11.0365	2.553	-11.213	-11.2134	-5.1492	-11.236	2.4741	8.8358	1.1529	8.9701	-0.1191	1.6679	3.3135	-0.011	4.1664	6.1972	3.8197	-2.8195	-2.337	8.1501	-0.7405	6.1423	-5.0938	-7.7682	-3.3113	-7.4242	-0.6162	-3.7372	4.9547	-4.7386	-2.5682	6.9765	4.3819	-2.0146
D01-OF-R2	5.8296	-1.8335	-1.7494	-3.7146	10.5623	-0.0395	-1.5793	0.8383	1.4277	-6.3188	-5.3371	-11.1465	-11.0249	5.7089	6.6628	2.8775	5.8098	-4.3421	2.0314	2.6747	2.8142	6.0519	3.2362	-5.8014	2.2488	-11.0685	-3.7039	4.743	-4.8443	1.2743	4.8022	-11.1618	-5.2371	1.6247	-2.5812	-4.7543	4.7951	-2.5532	-1.9848	5.9181	6.1092	3.7518	3.3098	4.9677	3.7081	-0.8157	-2.8654	2.7254	3.2025	-0.8325	-1.5985	1.4425	4.0931	4.5757	-9.0757	-10.1131	-3.4838	1.3317	5.4252	3.748	3.3453	-1.5553	3.4601	4.7429	4.4165	-9.574	-5.9748	4.5704	5.2489	-1.9511	3.2094	-2.9833	-2.6378	4.062	-4.9765	4.8851	5.2361	3.0228	2.1256	0.7435	5.8964	4.8888	8.8802	4.2112	4.5694	4.2093	2.3001	5.9213	2.3496	-1.9742	7.4644	-4.6447	6.1045	0.9492	1.9786	0.1034	6.7848	3.4174	-2.1011	-0.1998	4.4473	1.2607	0.8531	1.7565	3.3862	4.5019	-10.139	-10.9481	-9.1718	-11.2959	-2.3464	-1.9717	-1.9734	-5.5165	-5.1566	-8.1161	3.2473	1.436	-2.2298	-3.8874	-4.7252	-2.2223	-4.4344	-11.1233	-4.7642	3.9889	4.2061	3.8804	0.9578	4.2571	2.5799	0.7764	0.5201	5.2595	1.2514	6.0056	-3.9153	7.4282	-3.5315	6.0576	2.1368	6.9067	-0.8467	-3.8963	3.7362	-4.3559	-3.6877	1.691	-9.4351	-11.2841	-11.2224	-11.0569	-11.2357	3.065	-8.7954	-11.0789	-4.6146	-8.5441	2.1159	9.7674	1.7789	8.9992	0.5123	1.6676	4.3138	0.4185	5.5202	6.6336	4.778	-2.3901	-1.1514	7.9406	-0.1196	5.7301	-2.3576	-7.5021	-3.2366	-7.3189	-0.3255	-3.9455	4.909	-4.7336	-0.0904	6.6112	4.455	-2.3365
D01-OF-R3	5.3987	-2.7364	-2.7855	-5.5095	10.8868	-3.0657	-2.1044	-0.9987	-0.0016	-1.9052	-5.7803	-10.9522	-11.0568	5.9676	6.6266	2.7351	5.373	-4.0316	2.4979	2.676	3.1835	6.0302	2.9006	-5.5487	2.5837	-9.2692	-6.8739	4.564	-5.8575	0.9824	5.5059	-11.1262	-4.4535	2.313	-2.0617	-3.9556	5.1606	-2.1682	-1.7809	6.293	5.7907	4.562	4.0645	5.5948	3.9642	-0.3367	-2.0492	3.2255	4.026	-0.0249	-1.5842	1.6587	4.4535	5.1997	-2.734	-2.9818	-8.0651	1.9948	5.8668	4.7683	3.4019	-1.0905	4.2007	5.0185	4.9987	-11.2073	-5.8501	3.8039	4.6431	-2.3675	2.8169	-3.4022	-2.6128	4.9534	-5.0963	5.5029	5.851	3.8662	2.9446	1.7721	6.3708	5.2141	9.2459	4.5463	4.9556	4.6045	1.6588	4.8706	2.725	-1.5525	8.0033	-4.5884	5.1181	1.0288	2.3857	0.2543	7.1195	2.6743	-2.4368	-0.8172	4.758	1.7143	0.345	0.4719	2.6458	4.4657	-11.1319	-10.9404	-11.3698	-11.2176	-6.6651	-2.0767	-2.4266	-7.2253	-5.7128	-9.5697	3.2247	-0.1086	-2.0828	-4.275	-4.2102	-2.273	-5.238	-11.0738	-4.1895	4.0269	4.3894	4.2969	0.9295	4.6592	2.4652	0.8745	0.5459	5.8923	0.7259	6.2859	-3.5777	7.388	-3.319	6.0592	1.4134	7.4158	-0.8425	-4.0878	3.5801	-4.5247	-3.8444	1.9166	-8.5199	-11.2918	-11.076	-10.2634	-11.1871	3.1641	-11.1409	-11.3342	-4.3588	-10.209	2.732	9.4411	1.4791	9.1305	0.498	1.7433	4.2562	0.4423	5.1019	6.6522	4.6997	-2.4448	-1.8791	7.8617	-0.4503	6.2464	-3.4626	-8.1329	-3.2239	-9.2531	-0.0826	-3.7037	5.3709	-4.3875	-0.9984	7.6039	5.3825	-1.4896
D01-OR-R1	6.3011	4.5596	3.09	0.8942	9.5458	4.2054	0.9983	3.1439	4.4786	0.0546	-3.8196	-10.0555	-9.8621	5.2035	6.1987	2.5939	6.6148	-2.7493	3.2229	2.6213	3.4814	6.8717	1.9456	-8.9937	6.3145	-6.9681	3.8177	4.811	-4.5833	-1.8257	7.1061	-9.9592	-9.9882	1.2509	-1.0349	-3.9452	5.6637	-2.337	0.3347	6.1096	7.1574	5.6222	4.1305	6.3837	8.7992	7.1396	-8.3396	3.4951	5.7766	-7.0287	0.1981	3.5327	4.4691	4.6333	-9.9369	-7.9822	0.3923	2.824	6.9374	3.9751	5.5604	-2.9249	4.872	5.782	5.0708	-4.2881	-8.4657	4.0316	4.1916	-2.4871	2.5215	-5.231	-5.8504	2.491	-3.2968	4.5301	7.6351	1.8806	1.2642	-0.0012	3.0138	4.885	7.3851	2.1477	2.3678	1.7104	-0.6394	3.5497	3.4627	-4.349	8.5092	-3.687	4.0685	2.3012	0.3962	0.3069	6.7607	2.4585	-1.1293	-0.7326	4.5199	1.8696	-0.5829	-0.0423	1.8008	2.296	-7.4176	-9.9931	-1.0592	-10.2408	-8.8541	-3.7853	-1.3334	-1.8072	1.5051	-1.3791	3.1559	5.7842	-1.2684	-3.3713	-2.6523	-2.2776	-2.5239	-10.0347	-5.4625	4.5637	4.3994	5.054	-1.1585	2.5282	-0.7076	-0.4706	1.4367	3.6164	0.3459	3.7307	-9.9136	5.3482	-10.0445	3.7253	-1.7231	4.7793	-2.636	-5.2371	2.4077	-7.1476	-4.4631	-0.4739	-9.8006	-9.8423	-9.82	-9.9146	-10.0732	-8.9892	-9.7971	0.0406	-8.4345	-9.9477	-0.0032	9.0195	1.0968	8.9483	-0.4697	1.9457	3.5043	0.7353	4.7621	6.2717	3.9733	-8.9057	-6.97	7.5729	-0.4439	5.7916	-0.7062	-10.0483	-1.9925	-6.0589	-0.6512	-2.754	2.7238	-8.4272	-7.5686	6.2354	1.0171	-4.3874
D01-OR-R2	5.4074	4.2505	1.0132	0.0331	7.6204	5.8207	0.7929	4.8617	3.6972	-2.871	-3.1543	-7.4869	-7.7323	6.1522	6.7482	2.888	7.1518	-5.3705	2.3529	2.9337	4.1844	6.6085	1.653	-7.7847	4.537	-7.4218	1.7164	4.3848	-3.5032	-2.4675	7.2357	-7.7248	-4.5758	1.9699	-5.5894	-0.6927	4.3103	-0.6111	-4.496	5.8834	7.1483	3.6607	3.6742	5.3002	5.9537	5.4129	-7.6206	2.1784	4.7859	-5.6336	-6.4994	2.2988	4.6648	4.2678	-4.4891	-7.4929	-7.6332	2.6091	6.4982	3.2518	4.3297	-0.5717	4.5606	5.9745	4.8289	-7.5709	-7.6033	3.7622	4.1899	-2.5603	2.6798	-3.692	-2.6449	2.0057	-6.5878	4.2142	5.384	2.0089	1.4768	1.0918	2.0479	5.0432	8.0718	2.8303	2.5311	2.396	-0.624	2.0129	3.7226	-3.2642	8.2983	-6.6448	3.4384	1.3081	0.1273	0.1132	6.6703	1.9468	-5.04	-5.1027	5.0907	2.5517	-1.4145	-1.4351	0.8878	2.3537	-7.9094	-7.3543	-6.0736	-7.6664	-7.5435	-4.4591	-2.2927	-6.6644	-0.2273	-4.5935	3.3158	6.3465	-0.4232	-4.7978	-2.4898	-1.5223	-3.0373	-7.607	-4.1679	4.9133	5.4385	6.1382	-1.7456	3.0282	0.6089	0.7507	-0.2794	4.0505	0.2025	4.0865	-1.243	4.9565	-7.5622	3.2381	-5.9602	5.0837	-4.8378	-5.94	2.1773	-4.6669	-6.514	-1.0996	-7.5083	-7.6537	-7.5349	-7.6662	-7.4166	-7.7693	-7.3904	-7.7756	-2.7479	-7.5047	0.3486	9.8372	1.8238	9.7508	0.4107	2.442	5.1868	1.0676	5.4038	7.0448	5.1746	-2.1838	-7.5677	8.3128	-0.1261	6.4261	-1.4022	-4.8361	-0.5595	-5.0915	-1.1005	-5.3537	3.4673	-7.376	-7.7063	6.0926	2.4048	-4.8346
D01-OR-R3	5.6183	3.7461	1.5286	-0.1247	8.6391	2.2101	0.755	4.2557	2.8093	-1.7103	-2.8589	-8.1117	-8.3813	5.6465	6.8832	2.9549	7.858	-3.7108	3.249	3.5448	3.499	8.2324	1.2911	-8.2849	3.3814	-8.3287	-2.1461	4.3568	-4.0684	-2.38	8.4077	-8.1663	-8.3228	2.6998	-1.5201	-5.435	4.7075	-0.8582	-0.9129	7.1244	6.3088	4.3802	3.2015	5.9715	6.0086	3.2596	-0.5721	1.8942	3.6324	-2.6828	-0.0635	4.3444	6.313	6.6128	-6.1535	-8.5061	-6.8732	2.2084	7.3434	6.1812	4.7021	0.2298	7.6376	7.7311	5.3928	-8.3237	-5.2452	3.7197	3.7121	-2.3412	2.2516	-3.7909	-4.5214	3.5738	-8.2372	4.3799	6.9931	3.0073	2.5152	0.2144	3.9749	5.9072	8.0552	2.7652	2.7507	2.2478	-0.3544	0.0862	5.1116	-0.8751	9.3738	-4.1225	3.4659	2.9664	0.2122	1.5155	6.7624	0.9323	-5.6008	-1.6261	4.4151	2.6035	-0.4601	-1.3952	2.0009	0.9337	-8.2709	-8.3396	-8.4653	-8.2973	-5.5681	-2.9829	-2.1923	-3.316	-1.3465	-3.634	5.7038	3.5116	0.1565	-2.2888	-1.5616	0.425	-2.1464	-8.3381	-2.3378	6.8312	6.6924	7.722	-1.263	2.6794	-0.6136	-0.1578	-0.6935	3.4438	-2.6027	3.4221	-5.5718	4.4702	-8.3472	2.7548	-0.1941	4.7112	-2.1114	-5.8156	1.178	-6.749	-8.1893	-1.3438	-8.4539	-8.4601	-8.2335	-8.2955	-8.1956	-8.2977	-8.5221	-8.4588	-8.5638	-8.4101	-0.6904	8.3467	-0.0918	8.7979	-2.7161	0.9277	4.3114	-0.2987	3.953	5.8586	4.689	-3.2384	-8.2328	7.2298	-1.3539	5.2474	-5.1975	-8.1576	-3.2905	-8.4504	-0.9074	-4.4136	2.8035	-4.3014	-8.31	6.1273	3.6656	-5.5136
D01-ZF-R1	4.0835	-1.5444	-2.4824	-5.3506	10.0518	-1.6711	-1.9627	-1.7176	-0.3347	-9.2134	-5.994	-10.3335	-10.2546	5.5334	4.1224	0.0287	3.1039	-5.4703	2.3245	4.2745	5.5624	4.9739	4.1384	-4.0544	1.2832	-8.3664	-2.4602	4.09	-5.447	-2.6986	5.7538	-10.2058	-4.7152	0.7603	-2.5742	-5.971	4.3375	-2.5142	-2.0202	5.6608	5.6671	4.5806	2.5315	4.388	4.5148	1.1012	-2.9669	4.3186	2.8222	-1.8801	-1.0403	2.5688	3.8896	4.128	-7.3736	-1.8122	-8.4045	2.8028	5.2406	3.1928	3.2432	-1.9054	2.7863	2.2764	4.0369	-10.4398	-5.7355	3.1593	4.4202	-2.5892	2.5555	-3.4951	-2.5315	4.8817	-4.7481	7.4044	5.9418	5.3705	1.3699	4.2726	6.9955	4.9651	9.4189	4.0065	4.6096	4.2086	-0.5266	7.6838	2.3049	-2.2718	7.9861	-4.8385	3.0511	1.1369	2.249	-0.237	8.0378	1.9642	-3.2479	-0.7716	6.9369	1.4022	-0.6481	-0.4751	0.9732	6.1939	-10.352	-10.2312	-9.3071	-10.337	-8.4543	-2.1573	-2.8699	-5.838	-4.9938	-8.0497	2.3656	1.1068	-2.7208	-5.1681	-5.0261	-3.3116	-5.7654	-10.3971	-4.644	2.31	2.4544	3.8376	1.7143	4.9821	3.0581	1.2798	0.8394	6.4454	0.9163	7.0566	-3.5391	7.3177	-3.5558	7.6825	3.5518	8.3022	-0.6998	-2.6675	3.0433	-4.2791	-2.7174	1.5996	-7.8494	-10.1511	-10.2765	-10.2913	-10.4095	4.9639	-8.4701	-10.293	-4.5125	-10.2133	3.8964	10.4507	2.184	9.7222	0.9254	2.3287	2.2101	1.1635	6.1008	7.2817	3.2631	-0.7652	-1.1339	8.535	0.3411	6.687	-3.4779	-7.1179	-2.6691	-7.6334	0.5679	-2.483	6.8851	-7.7949	-0.2727	8.9008	4.6478	-0.3994
