D01-NF-R1	D01-NF-R2	D01-NF-R3	D01-OF-R1	D01-OF-R2	D01-OF-R3	D01-OR-R1	D01-OR-R2	D01-OR-R3	D01-ZF-R1	D01-ZF-R2	D01-ZF-R3	D01-ZH-R1	D01-ZH-R2	D01-ZH-R3	D01-ZR-R1	D01-ZR-R2	D01-ZR-R3	D02-NF-R1	D02-NF-R2	D02-NF-R3	D02-OF-R1	D02-OF-R2	D02-OF-R3	D02-OR-R1	D02-OR-R2	D02-ZF-R1	D02-ZF-R2	D02-ZF-R3	D02-ZH-R1	D02-ZH-R2	D02-ZH-R3	D02-ZR-R1	D02-ZR-R2	D02-ZR-R3	D03-NF-R1	D03-NF-R2	D03-NF-R3	D03-OF-R1	D03-OF-R2	D03-OF-R3	D03-OR-R1	D03-OR-R2	D03-OR-R3	D03-ZF-R1	D03-ZF-R2	D03-ZF-R3	D03-ZH-R1	D03-ZH-R2	D03-ZH-R3	D03-ZR-R1	D03-ZR-R2	D03-ZR-R3	D04-NF-R1	D04-NF-R2	D04-NF-R3	D04-OF-R1	D04-OF-R2	D04-OF-R3	D04-OR-R2	D04-OR-R3	D04-ZF-R1	D04-ZF-R2	D04-ZF-R3	D04-ZH-R1	D04-ZH-R2	D04-ZH-R3	D04-ZR-R1	D04-ZR-R2	D04-ZR-R3	D05-NF-R1	D05-NF-R2	D05-NF-R3	D05-OF-R1	D05-OF-R2	D05-OF-R3	D05-ZF-R1	D05-ZF-R2	D05-ZF-R3	D05-ZH-R1	D05-ZH-R2	D05-ZH-R3	D05-ZR-R1	D05-ZR-R2	D05-ZR-R3	D06-NF-R1	D06-NF-R2	D06-NF-R3	D06-OF-R1	D06-OF-R2	D06-OF-R3	D06-OR-R1	D06-OR-R2	D06-OR-R3	D06-ZF-R1	D06-ZF-R2	D06-ZF-R3	D06-ZH-R1	D06-ZH-R2	D06-ZH-R3	D06-ZR-R1	D06-ZR-R2	D06-ZR-R3	D07-NF-R1	D07-NF-R2	D07-NF-R3	D07-OF-R1	D07-OF-R2	D07-OF-R3	D07-OR-R1	D07-OR-R2	D07-OR-R3	D07-ZF-R1	D07-ZF-R2	D07-ZF-R3	D07-ZH-R1	D07-ZH-R2	D07-ZH-R3	D07-ZR-R1	D07-ZR-R2	D07-ZR-R3	D08-NF-R1	D08-NF-R2	D08-NF-R3	D08-OF-R1	D08-OF-R2	D08-OF-R3	D08-OR-R1	D08-OR-R2	D08-OR-R3	D08-ZF-R1	D08-ZF-R2	D08-ZF-R3	D08-ZH-R1	D08-ZH-R2	D08-ZH-R3	D08-ZR-R1	D08-ZR-R2	D08-ZR-R3	D09-NF-R1	D09-NF-R2	D09-NF-R3	D09-OF-R1	D09-OF-R2	D09-OF-R3	D09-OR-R1	D09-OR-R2	D09-OR-R3	D09-ZF-R1	D09-ZF-R2	D09-ZF-R3	D09-ZH-R1	D09-ZH-R2	D09-ZH-R3	D09-ZR-R2	D09-ZR-R3	D10-NF-R1	D10-NF-R2	D10-NF-R3	D10-OF-R1	D10-OF-R2	D10-OF-R3	D10-ZF-R1	D10-ZF-R2	D10-ZF-R3	D10-ZH-R1	D10-ZH-R2	D10-ZH-R3	D10-ZR-R1	D10-ZR-R2	D10-ZR-R3
classified at a higher level	5820477	1984256	9127089	5262168	3874421	4904857	1059007	110402	242429	1844891	2484212	3021380	892593	312300	503256	6313675	329098	1378077	752240	124109	507521	980617	630384	4204780	3365779	135687	1658284	663658	714576	1477723	208082	536773	2188600	1979223	1118210	71514	33556	79196	180860	127904	264298	71451	17809	60846	636560	118649	329805	451897	297000	489552	757909	244168	626998	1893047	1871330	3117588	8127984	1088976	2002458	135560	974742	1306420	783369	1624582	476055	171615	649004	2184516	894342	2313298	73154	60308	57870	259668	56150	223750	288846	304944	495131	518861	119634	233897	309089	173571	333931	371748	33321	131872	51229	483298	642437	503166	40725	855563	413671	362969	506746	671879	422544	801609	546011	241687	905319	551432	280123	512591	115167	228027	169811	87942	70390	102642	403983	159666	430047	355683	159161	378235	224806	248825	322778	2281929	223851	6108537	12194882	1146442	6169058	347031	34587	112195	954022	426709	2083402	98691	132770	1369053	1751080	1321380	5018541	3902859	4123927	14453477	13156302	2715774	9621831	1572926	102947	2081281	10377152	2281272	7620450	1602099	92471	231801	5732659	7156279	25648	69290	26308	16066	224404	463086	344371	429644	491013	272839	307671	851427	274083	146320	205325
unclassified	986087	280937	462018	1203361	1174381	1075656	555408	153434	241243	582451	1129810	1086013	427982	171923	407083	1423619	452972	799168	1089593	260173	1001910	3245457	1207721	3925834	249896	19152	2955105	2932862	1402403	715601	120303	377268	1914827	1875716	3155707	535452	209038	570723	771831	662653	1720936	179839	42999	180580	3781962	439408	1460967	788302	449992	739695	2253287	1075514	2353911	3542174	3522510	3597371	7120366	2271466	4815105	141430	917608	9434066	6689717	12345930	2593949	1147158	3167368	11278328	8324582	11293806	345061	694713	640065	1949159	561272	3125304	4415526	5895488	7824639	942807	278919	350287	5731876	4131822	5294292	524179	118489	498340	106983	441051	1215536	487150	35664	666885	2023600	2061163	1718571	330225	237788	578342	1807374	1011876	2441377	1885970	869676	1355924	450342	976379	546860	89283	161927	188917	1981621	892884	1767888	721355	315996	537007	1239906	1062502	1684045	227882	153548	568703	2256877	620814	1366009	230245	36771	105817	2241832	1540568	1667293	98017	140921	1099453	2730781	1698439	1606508	823016	1079979	733339	1225216	296811	1043566	99230	17111	149805	1245451	308665	995807	183890	54615	204285	1163391	797109	64827	83059	105966	47825	118522	319602	349329	538424	653588	102597	122979	284556	247913	138989	297426
Negarnaviricota	11	6	2	2	2	2	0	0	0	6	11	14	2	1	2	24	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	45	42	92	255	69	99	0	0	85	63	133	3	6	14	202	65	204	0	0	0	0	0	0	0	0	0	0	0	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chytridiomycota	55	35	34	63	115	92	169	133	163	29	71	60	47	21	77	56	33	47	68	19	70	67	106	153	115	6	71	87	21	145	109	128	88	101	119	51	20	56	91	90	76	52	15	92	515	173	482	44	109	187	407	613	548	2128	1459	2812	24809	7040	12347	89	584	27853	15158	32512	6178	2411	8848	28943	19353	35542	74	74	11	55	30	129	44	85	102	140	92	143	80	25	147	62	28	199	54	89	82	160	11	232	99	142	110	41	76	145	99	26	64	140	132	194	21	57	69	51	147	111	63	25	89	89	99	138	38	87	131	42	14	112	147	30	99	51	15	46	35	34	59	17	113	102	91	121	86	437	525	281	435	93	321	62	15	168	167	44	183	66	96	217	119	136	40	142	77	48	24	83	69	47	68	36	51	142	55	18	30
Microsporidia	209	158	140	527	480	657	210	94	89	495	1311	1091	224	62	483	2073	701	1770	43	11	57	96	87	267	22	1	157	122	71	59	84	75	74	101	191	120	106	265	425	239	570	32	13	54	1820	327	1482	105	125	82	385	826	1933	40	68	59	193	47	101	12	61	203	226	249	45	39	66	185	248	245	12	73	5	18	15	60	32	92	60	49	39	83	30	29	61	21	14	69	19	61	16	11	5	70	21	71	60	11	54	56	20	11	27	148	184	185	27	210	91	13	99	57	430	352	606	71	79	94	104	381	422	29	31	195	139	48	113	17	9	31	854	495	320	6	101	94	687	217	341	150	172	236	64	12	76	33	2	68	130	57	149	14	84	70	182	104	4	106	32	16	19	40	35	44	67	16	36	94	26	13	34
Blastocladiomycota	12	6	4	14	21	8	37	11	20	3	24	20	3	9	8	8	10	24	6	0	17	16	11	17	8	1	13	17	2	11	11	25	3	11	16	12	8	33	20	18	39	12	4	8	133	28	41	6	30	43	23	7	93	132	72	140	779	160	371	5	63	1314	875	1573	241	60	244	1204	1138	1338	15	41	32	285	70	486	311	476	892	93	14	60	586	351	626	11	0	15	7	25	40	14	0	60	49	49	16	23	12	13	32	18	58	72	33	75	4	22	7	3	11	19	13	8	31	12	14	8	4	20	24	1	1	19	41	3	20	16	3	5	18	12	14	2	18	20	24	23	13	11	9	3	3	0	6	18	1	24	3	0	16	7	7	28	3	5	2	22	11	6	3	7	8	19	3	6	13	21	7	2	4
Cryptomycota	2	0	0	2	1	0	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	2	0	0	5	5	5	48	23	21	0	0	92	77	93	74	19	49	34	115	104	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	3	4	1	1	1	5	1	0	0	1	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Mucoromycota	586	504	773	947	2221	1108	4810	3608	3148	439	1598	599	789	430	1581	871	423	611	646	319	1241	831	1764	1574	1971	197	984	1249	409	2977	2701	2605	1300	2091	1538	673	315	997	2034	1975	756	964	416	1840	1117	315	730	1121	2344	2454	1201	454	1217	1640	2135	1897	10910	2043	4629	319	2100	11922	10846	16241	2323	1603	3301	14179	10958	15355	1184	2063	207	784	439	1815	731	2374	1422	2320	1919	2697	1008	568	2047	429	476	2531	1199	2257	922	1333	218	3457	461	2268	1201	579	2151	2583	629	365	928	1988	3508	3264	454	1531	1182	815	3965	2740	879	433	1640	2005	2645	2314	439	1711	2596	669	225	1693	1721	450	1157	1370	274	876	706	376	675	445	3031	1689	915	2879	1120	581	1931	1082	1804	409	1530	1037	215	2980	1422	396	2269	921	2154	3304	1527	1412	402	3826	1660	1214	408	1531	855	964	960	844	1644	2809	883	288	475
Zoopagomycota	82	38	108	99	155	93	195	147	92	62	121	87	54	30	79	72	29	53	54	23	77	99	87	257	69	12	117	129	60	142	103	141	121	185	202	40	33	87	154	129	241	55	28	74	224	39	111	59	183	283	133	50	196	788	695	1003	12753	2206	4246	52	304	10807	7817	14631	2486	1017	3999	13632	10051	15253	36	86	34	72	24	112	106	196	147	93	83	132	111	72	173	59	31	124	43	112	100	21	15	150	347	343	1305	27	92	123	151	77	93	137	175	175	26	101	64	24	151	81	72	31	165	82	125	114	41	109	196	41	15	167	254	43	186	41	13	41	104	56	108	9	115	132	133	260	173	94	204	339	355	72	300	66	12	110	263	58	280	73	103	122	200	206	10	157	60	31	27	87	60	67	91	47	73	171	35	35	49
Ascomycota	14267	7408	10724	16711	25907	15898	42098	25541	25323	8365	21457	14189	10564	5566	15005	26582	8583	10254	10655	4517	16236	17885	18945	30882	13818	2159	15911	18357	7694	17601	19586	18493	12382	17732	20747	11631	5325	14112	21506	20348	26243	15710	4666	16610	32100	4967	11627	11351	17831	17590	13578	7490	22589	38519	41456	47041	256643	49034	119001	4813	27075	351570	246275	486633	61624	31056	95350	438789	308162	490156	11658	22107	7670	25007	8438	47392	30747	38004	42310	23003	15617	23654	48288	19149	55139	8352	5883	24780	11793	16200	12186	16885	2407	32673	14921	27260	16457	6590	16506	24707	16940	9390	21242	37403	31855	39225	7122	20199	15082	9686	25586	22792	24147	10964	26355	23424	22880	22823	20489	23943	37659	8705	3247	18721	28261	7713	19195	14442	2824	8603	15836	11024	12785	5390	21211	16460	20010	23262	15522	8902	17949	17477	20051	4895	16836	10657	2008	23532	16653	4905	18822	10643	16395	28207	13285	12748	3287	25203	13861	8682	4455	12877	8419	11984	11116	20795	12222	20531	9328	3747	4898
