Saccharomycetes	Sordariomycetes	Agaricomycetes	Malasseziomycetes	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Verrucomicrobiae	Chlamydiia	Lentisphaeria	Bacilli	Clostridia	Negativicutes	Actinobacteria (1760)	Coriobacteriia	Bacteroidia
D01-NF-R1	-4.273	-1.4919	-2.6444	-4.2012	-0.3894	-0.7928	-0.2465	3.0268	2.57	-4.0223	-6.4094	0.7545	7.4951	0.0282	1.3598	2.2439	6.9925
D01-NF-R2	-4.2281	-1.0016	-3.2823	-2.0944	0.2878	-1.0756	-0.251	2.7267	1.6393	-1.9086	-7.4676	0.3308	7.0894	0.234	1.1535	1.807	6.0407
D01-NF-R3	-2.977	-0.4671	-1.58	-1.152	0.0458	-0.5262	-0.591	2.9333	1.8485	-8.6162	-6.0785	-0.2431	7.4355	-0.785	1.7327	1.5966	7.4237
D01-OF-R1	-4.2499	-1.4514	-2.9102	-4.2359	-0.502	-0.6701	0.4718	3.5647	2.5628	-8.6359	-6.6705	1.7595	7.8821	1.7086	1.2549	2.553	7.5683
D01-OF-R2	-4.1712	-0.8819	-3.0709	-3.9682	-0.0634	-0.815	0.1709	3.276	2.0899	-6.9447	-7.0182	1.7122	7.4737	1.3773	0.8644	2.2578	7.7111
D01-OF-R3	-4.1322	-1.3398	-2.5722	-6.5796	-0.4517	-0.7609	0.6033	3.4818	1.9503	-7.5498	-6.5649	1.7528	8.0905	2.3025	0.9219	2.7751	8.073
D01-OR-R1	-3.576	-0.3938	-2.7556	-0.5936	0.527	-0.4373	0.6386	1.9446	1.7505	-7.4251	-6.9543	0.8768	6.8855	-0.5401	2.3682	1.848	5.8368
D01-OR-R2	-2.7278	0.3885	-2.9926	-0.1352	0.6039	0.9192	0.6558	1.332	1.3058	-4.1298	-8.4562	-0.2623	5.3767	-1.0665	1.7834	1.8296	5.5756
D01-OR-R3	-3.3294	0.067	-3.6787	-3.3924	0.2116	-0.8461	-0.2651	1.7811	2.3622	-2.5995	-7.3244	1.4009	6.6109	-0.6097	1.0495	3.7318	4.8304
D01-ZF-R1	-1.6989	-1.4493	-3.6405	-4.393	-0.2702	-0.6967	0.4733	1.6678	0.238	-9.595	-6.84	1.7492	8.7992	3.1338	0.9612	2.1795	9.3816
D01-ZF-R2	-2.5005	-0.832	-3.27	-4.0407	-0.1232	-0.4683	0.4485	1.0671	-0.4162	-8.1365	-6.557	0.6535	8.5231	2.9709	0.8323	1.9283	9.9207
