Bromoviridae	Virgaviridae	Malasseziaceae	Enterobacteriaceae	Rhodospirillaceae	Comamonadaceae	Sutterellaceae	Desulfovibrionaceae	Akkermansiaceae	Chlamydiaceae	Staphylococcaceae	Streptococcaceae	Lactobacillaceae	Leuconostocaceae	Clostridiaceae	Lachnospiraceae	Eubacteriaceae	Oscillospiraceae	Ruminococcaceae	Candidatus Borkfalkiaceae	Erysipelotrichaceae	Selenomonadaceae	Acidaminococcaceae	Veillonellaceae	Bifidobacteriaceae	Micrococcaceae	Corynebacteriaceae	Propionibacteriaceae	Coriobacteriaceae	Atopobiaceae	Eggerthellaceae	Bacteroidaceae	Rikenellaceae	Prevotellaceae	Odoribacteraceae	Tannerellaceae
D01-NF-R1	-7.7276	8.7229	-3.3634	-1.66	-4.1374	-2.0708	-0.7959	3.8453	3.4168	-3.1748	-3.0619	1.2427	-4.4836	-3.9303	4.598	4.9892	0.7958	4.3081	7.4051	-0.3954	-0.1497	-3.348	-3.6421	0.6541	1.2856	-3.0396	-3.6597	-2.6993	-2.1918	-2.8863	2.887	4.8245	7.5122	-2.6592	0.0109	2.5784
D01-NF-R2	-6.9501	8.5602	-1.3251	-0.152	-4.7559	-1.9382	-1.0291	3.4723	2.4023	-1.1416	-3.2135	0.661	-4.5588	-3.7708	4.0683	4.7523	1.096	3.2165	6.9262	-0.2892	-0.6365	-3.8955	-3.795	0.8545	0.8302	-2.9193	-2.9865	-1.67	-0.5977	-3.4612	2.1275	4.5798	6.2078	-2.3465	-0.3262	2.0039
D01-NF-R3	-5.4884	10.8188	-0.3647	-0.5139	-4.419	-1.6558	-2.2647	3.6958	2.6377	-7.8566	-1.8923	-0.5212	-4.7633	-4.4166	4.4556	5.087	0.967	4.3135	7.1317	0.0213	-1.1206	-3.5378	-3.4999	-0.3885	1.4099	-2.176	-2.1737	-1.38	-2.5288	-3.0226	2.1142	4.4834	8.047	-2.6399	0.0946	1.3469
D01-OF-R1	-11.1086	7.9101	-3.761	-2.5061	-3.4209	-2.8883	-0.0569	4.0181	3.0322	-8.2444	-1.163	1.8991	-4.2272	-4.2023	5.0404	5.6981	2.0869	2.8982	7.1734	1.8261	0.0887	-3.2131	-4.1747	2.0899	0.5245	-3.4407	-3.7977	-2.4022	-1.9868	-3.0112	2.4839	5.8784	7.3079	-2.1954	1.9653	3.8793
D01-OF-R2	-8.7517	7.5729	-3.3172	-1.0542	-4.3469	-2.4612	-0.3256	3.9064	2.739	-6.3039	-1.7529	2.112	-4.6359	-5.8512	4.704	5.2252	1.3879	3.4164	7.0402	1.5117	0.1014	-3.3325	-4.248	1.9244	0.0644	-3.4886	-3.7413	-3.0686	-1.8944	-2.9849	2.3279	6.2091	7.769	-1.9171	1.9476	3.5167
D01-OF-R3	-11.937	8.1391	-6.0056	-2.3872	-3.5049	-2.8865	0.3432	4.058	2.5431	-7.0537	-1.784	2.0719	-4.1355	-6.1561	5.3614	6.0152	1.9735	3.136	7.6218	1.716	0.4732	-3.0715	-4.1305	2.8399	0.3258	-3.4487	-4.2733	-4.6718	-1.4276	-2.7536	2.7089	6.5649	7.8777	-1.5129	2.5646	4.8061
D01-OR-R1	-5.8547	5.6838	0.2985	-0.1659	-3.3848	0.3163	-1.4818	2.811	2.6376	-6.5247	-0.9923	0.5282	-4.4404	-0.0459	4.1049	6.4794	1.0232	1.8784	5.2974	-1.5897	-1.8211	-3.701	-5.007	0.209	-0.2442	-1.345	-0.6705	1.3928	-2.1467	-3.2562	1.8101	3.2464	6.4118	-2.4154	-0.8513	1.8099
D01-OR-R2	-8.2384	3.6339	1.595	0.2176	-3.8548	1.0648	-0.6004	3.0364	3.0319	-2.3967	-1.1847	0.7391	-4.4741	-2.2545	3.8313	5.1281	0.1117	1.8942	5.2003	-1.6817	-2.498	-4.399	-5.1817	0.5671	-0.7004	-1.6158	-0.2109	1.2877	-1.254	-2.9813	2.5608	3.0568	7.0836	-2.1658	-0.4927	2.1448
D01-OR-R3	-7.2269	4.937	-1.7596	-0.3114	-3.7954	-0.1873	-0.9206	3.3883	3.9981	-0.967	-3.1254	2.8961	-4.7247	-5.4722	5.1201	6.2459	1.2258	1.6431	6.2294	-2.7876	-0.6555	-4.2293	-4.8859	0.942	1.643	-2.8269	-2.423	-1.4232	0.2844	-1.7193	4.424	2.8543	6.1399	-3.352	-1.0137	1.8357
D01-ZF-R1	-10.0932	7.3439	-4.3052	-2.6304	-5.4361	-3.419	-0.3847	1.6791	0.3099	-9.7597	1.2387	-0.6506	-3.8779	-4.0524	4.926	5.5905	2.0187	2.8363	8.0794	3.4853	1.1004	-1.9653	-4.0648	3.1639	-0.5341	-3.809	-4.2544	-3.2111	-2.0951	-2.6819	1.0492	7.265	8.6832	-0.9001	4.2167	5.1391
