Tymovirales	Saccharomycetales	Polyporales	Malasseziales	Pseudomonadales	Enterobacterales	Oceanospirillales	Rhizobiales	Rhodospirillales	Burkholderiales	Desulfovibrionales	Verrucomicrobiales	Chlamydiales	Bacillales	Lactobacillales	Clostridiales	Candidatus Borkfalkiales	Selenomonadales	Acidaminococcales	Veillonellales	Bifidobacteriales	Micrococcales	Corynebacteriales	Propionibacteriales	Coriobacteriales	Eggerthellales	Bacteroidales
D01-NF-R1	-6.8959	-2.8105	-3.8826	-2.743	-1.1679	-0.6244	-2.6276	-0.6272	-2.2424	1.0768	4.4604	4.0335	-2.559	-0.6402	1.9985	8.9489	0.2145	-2.0723	-3.0235	1.2699	1.9003	-0.6662	-1.0408	-1.5071	-0.7503	3.5225	8.4555
D01-NF-R2	-7.1617	-2.8067	-4.8262	-0.681	-1.464	0.6792	-1.7969	-0.7427	-3.12	1.0173	4.1123	3.0451	-0.5035	-1.0796	1.5127	8.4868	0.3508	-2.51	-3.1658	1.4946	1.47	-0.9422	-1.1134	-0.8044	0.2598	2.8422	7.4473
D01-NF-R3	-3.2036	-1.6752	-3.6684	0.1429	-0.7587	0.2126	-3.3011	-0.3084	-2.6828	0.4989	4.2019	3.1468	-7.3978	-0.2748	0.303	8.7213	0.5223	-2.3865	-2.9965	0.1172	1.9139	-0.3728	-0.4269	-0.6127	-1.114	2.6791	8.7204
D01-OF-R1	-7.8995	-2.9399	-4.191	-2.9183	-1.3908	-1.0484	-3.4085	-0.7291	-1.8721	1.672	4.8573	3.874	-7.3646	0.3928	2.8198	9.1732	2.664	-1.4587	-3.3394	2.9272	1.3646	-0.7022	-1.1761	-1.1431	-0.4536	3.4126	8.878
D01-OF-R2	-8.0815	-2.7628	-4.2207	-2.5659	-1.1066	-0.0053	-3.0538	-0.6216	-2.528	1.4504	4.6655	3.4998	-5.5347	0.0368	2.9346	8.8618	2.2697	-1.4855	-3.49	2.6817	0.8213	-0.7321	-1.088	-1.7922	-0.4584	3.185	9.1205
D01-OF-R3	-9.9007	-2.6134	-4.2425	-5.0639	-1.3912	-0.8787	-3.3185	-0.5541	-1.9018	2.0267	4.9908	3.4776	-6.0838	0.322	3.0786	9.6035	2.6475	-1.2814	-3.2033	3.7715	1.2562	-0.5463	-1.2819	-2.3748	0.1118	3.7498	9.6004
D01-OR-R1	-13.0939	-1.8847	-4.0729	1.101	-0.1339	1.0712	-2.739	-0.0574	-2.0786	2.148	3.6151	3.4449	-5.7255	0.3943	2.1925	8.5749	-0.786	-2.7547	-4.2015	1.0119	0.5576	0.4547	1.0598	2.2465	-0.7186	2.8453	7.5289
D01-OR-R2	-11.5548	-0.8611	-4.5413	1.7262	0.4377	0.6535	-1.9182	1.7716	-2.4425	2.4371	3.1656	3.1664	-2.2711	-0.466	1.1789	7.2324	-1.5536	-3.8912	-5.0595	0.6946	-0.5716	0.0988	1.2938	1.5112	-0.63	2.958	7.4351
D01-OR-R3	-11.6068	-1.382	-4.5582	-1.4559	-0.5093	0.1914	-1.2948	0.2401	-2.7402	1.5834	3.6985	4.3088	-0.6587	-1.1194	3.2772	8.5553	-2.471	-3.639	-4.5872	1.2517	1.9501	-0.2643	-0.6921	-0.7758	0.9904	4.9317	6.7762
D01-ZF-R1	-7.5867	-0.4682	-4.9136	-3.1642	-1.4942	-0.8758	-3.5187	-0.7238	-2.9658	1.5802	2.8182	1.4638	-8.6647	2.5648	0.9615	9.9926	4.6209	-0.5354	-2.9396	4.2998	0.6004	-0.744	-1.5023	-1.6229	-0.1389	2.3466	10.61
D01-ZF-R2	-7.6671	-1.2063	-4.8078	-2.7486	-1.0266	-0.4884	-3.1918	-0.3465	-2.8166	1.609	2.246	0.8791	-6.884	1.2789	0.4975	9.7864	4.3014	-0.5296	-2.9041	4.1994	0.3016	-0.6086	-1.2362	-1.7581	-0.1352	2.0401	11.2162
D01-ZF-R3	-6.3576	-0.573	-5.0098	-1.9914	-1.3076	-0.8851	-3.3646	-0.5766	-2.8898	1.368	2.3194	1.4806	-8.5031	2.4207	0.7473	9.9475	4.6941	-0.3184	-3.2784	4.167	-0.6368	-0.7161	-1.4795	-2.0429	-0.5786	1.7776	11.5871
D01-ZH-R1	-9.6028	0.4804	-5.4348	-2.244	-1.3454	-0.3117	-3.7456	-0.9782	-3.2579	2.3832	4.4388	3.1352	-6.273	2.1299	1.0862	10.0246	4.0901	-1.2645	-3.4782	2.5989	-0.2277	-1.1029	-1.6718	-1.1318	-0.8364	1.6095	10.93
D01-ZH-R2	-10.3139	0.1396	-6.2137	0.6908	-0.7061	0.7871	-2.348	-0.8005	-2.751	2.3778	4.3986	1.8412	-2.1766	0.9219	0.962	9.3469	2.5059	-2.0629	-5.1378	1.128	-1.3268	-0.844	-0.2757	0.4587	-1.6309	0.243	10.7866
D01-ZH-R3	-9.1219	-0.8044	-5.5867	1.0254	-0.6071	0.0028	-1.9301	-0.6012	-3.3988	1.2429	3.3223	1.2862	-1.8843	0.7519	0.5955	8.9821	1.8925	-1.7425	-3.8689	2.6653	-1.7589	-0.8814	-0.0277	0.0972	-0.7418	1.307	9.7846
D01-ZR-R1	-7.6362	0.2534	-5.0885	-2.8908	-1.488	-0.5991	-3.6044	-0.8705	-2.99	1.9582	4.056	1.6575	-8.885	1.528	1.0353	10.0876	4.625	-0.9389	-3.2293	3.6411	0.2727	-0.9774	-1.5624	-1.3664	-0.0881	3.2051	9.8952
D01-ZR-R2	-9.9872	-1.9588	-4.7294	-0.7901	-0.9519	-0.4071	-2.9957	-0.338	-2.3094	1.5318	2.3172	0.4456	-6.0018	0.29	0.9281	10.0803	2.7089	-0.7994	-2.6378	3.5962	1.0675	-0.0704	-0.6781	-0.7505	0.7491	3.9273	7.7634
D01-ZR-R3	-7.7162	-2.0451	-5.5362	-1.2882	-1.0881	-0.5797	-3.1685	-0.6116	-2.8562	5.0714	3.2974	0.9024	-8.9903	0.6045	0.487	9.9709	3.35	-1.4569	-3.1472	4.0168	-0.1152	-0.6973	-1.2319	-1.5261	-0.0877	2.6268	11.8152
D02-NF-R1	-12.1411	-2.9418	-5.0533	-2.0532	-0.3449	-0.4443	-2.5685	0.9522	-1.3031	2.2177	3.5714	-2.5361	-3.569	0.366	4.5321	11.2224	-6.4547	-1.3938	1.9882	-0.4794	2.4506	-0.4134	-1.0087	-1.0836	2.5393	4.4344	9.5147
D02-NF-R2	-10.4414	-2.5822	-5.6092	0.4732	-0.5656	-0.0047	-1.3405	0.7077	-2.0707	2.1867	3.2998	-4.5448	-0.6954	0.2429	4.1231	10.3942	-8.6072	-1.9711	2.2026	-1.08	2.0698	-0.7193	0.1232	0.4706	2.1695	3.7029	8.0658
D02-NF-R3	-12.1822	-2.734	-5.1245	1.5314	0.0682	0.301	-2.8398	1.085	-1.65	1.9841	3.9405	-3.7466	-7.2217	0.5852	4.0277	10.8233	-7.1125	-1.6839	2.0337	-0.9262	2.0173	-0.0556	0.5775	0.5857	2.5045	4.2821	8.9298
D02-OF-R1	-12.9816	-3.1671	-5.5364	-3.067	0.563	-0.6851	-2.2387	0.5909	-1.6471	3.8963	3.1811	-2.9958	-7.6604	0.9428	5.0151	11.0699	-4.6367	0.3965	4.7264	-0.1663	1.619	-0.2253	-1.1274	-1.803	2.1028	3.9094	9.9247
D02-OF-R2	-12.1959	-2.2798	-5.6842	-1.7174	0.1978	-0.2471	-2.4061	0.5009	-1.9746	3.0897	3.0676	-3.4123	-4.878	0.6261	4.4524	10.4183	-5.1672	-0.4254	4.6244	-0.489	1.0345	-0.4225	-0.9055	-1.26	1.6682	4.3732	9.4118
D02-OF-R3	-11.6699	-1.6226	-5.322	-4.7879	0.7723	-0.4138	-2.4904	0.3318	-1.3504	3.3429	3.3973	-3.0327	-6.8922	0.9971	5.2653	11.1355	-5.2773	-0.5572	4.9686	0.2245	1.2949	-0.5814	-1.3509	-2.6824	1.9214	3.8678	10.5117
D02-OR-R1	-11.4334	-1.7097	-5.2315	1.3802	0.2631	1.3959	-1.5372	0.8794	-2.2461	2.1419	1.3203	-0.6313	-1.7184	0.4637	2.6413	8.7243	-3.7902	-2.5486	-1.4188	-0.9044	0.928	0.4686	0.9409	2.1999	0.1009	1.9051	7.416
D02-OR-R2	-8.0915	-1.0693	-5.761	3.5158	1.0432	1.8956	1.0785	2.6847	-0.304	2.9078	-0.218	-5.2127	0.124	1.1693	1.7865	7.0618	-8.0263	-2.9924	-1.3718	-1.989	0.5192	1.304	2.7904	3.368	-1.8867	-0.4892	6.1629
D02-ZF-R1	-12.6012	-2.816	-5.5795	-1.7963	0.9107	-0.3363	-2.6764	0.7245	-1.6669	2.7634	2.3563	-3.0609	-7.0091	1.2161	3.9879	10.9603	-4.0144	-0.0642	1.7037	0.0976	1.0227	-0.2667	-0.7895	-0.7236	2.5895	4.541	10.5272
D02-ZF-R2	-11.293	-2.495	-5.5622	-1.7395	0.369	-0.1719	-2.4364	0.9078	-1.4925	2.3261	2.2066	-3.5092	-6.0892	1.4557	4.1638	10.8381	-3.8326	1.0703	1.168	-0.7559	0.944	-0.2161	-0.6703	-1.407	2.6118	4.4708	9.139
D02-ZF-R3	-11.3333	-2.8178	-5.9775	-1.6054	0.5571	-0.1471	-2.789	0.7343	-1.7451	2.7936	2.2775	-2.9261	-7.644	1.6124	4.275	10.7937	-3.2636	-0.0794	1.7624	-0.0308	1.3412	-0.351	-0.8788	-1.9122	2.0541	4.956	10.3438
D02-ZH-R1	-8.7506	-1.7049	-5.5824	0.3802	2.7007	0.8061	-3.3832	-0.1691	-2.1466	4.1269	3.6147	-1.2249	-5.0859	0.2181	2.444	9.656	-4.3241	-2.8953	-0.3799	-0.0142	-0.156	-0.4906	-0.0612	0.724	-1.2154	1.0563	11.8575
D02-ZH-R2	-8.7031	0.0589	-3.8527	1.9315	2.3924	1.6881	-0.1831	1.0854	-1.5808	3.6625	2.4997	-3.8177	-1	0.603	1.5933	8.6245	-6.8669	-3.4857	-1.2692	-1.8442	-1.254	0.4883	1.6684	1.8143	-3.5666	-1.2886	10.6023
D02-ZH-R3	-10.6997	-0.5668	-4.9562	-1.2955	2.268	1.2595	-2.353	0.7041	-2.2394	3.5922	3.1842	-3.8553	0.0645	0.0469	2.5525	9.6521	-4.7273	-2.51	-0.1633	-1.0091	-0.8668	-0.3383	-0.3446	-1.0861	-0.5326	2.7093	11.5104
D02-ZR-R1	-12.3723	-2.3422	-5.8818	-3.6786	0.2812	-0.5823	-2.2081	0.201	-1.738	2.9334	3.3263	-2.5126	-1.7429	1.154	3.6801	10.6949	-2.5518	-0.8975	1.3231	-0.2976	0.5353	-0.856	-1.3774	-2.6853	1.5608	4.7534	11.2805
D02-ZR-R2	-12.3022	-1.9274	-5.2252	-1.6725	0.3109	0.3299	-2.4656	0.4967	-1.9407	2.6838	3.1644	-2.575	-4.3503	1.4274	2.4398	10.1462	-1.9916	-0.9801	1.3747	-0.2671	-0.2519	-0.8063	-0.7677	-1.7691	1.1067	5.1252	10.687
D02-ZR-R3	-12.7084	-2.1839	-5.4984	-2.6011	0.2942	0.0095	-2.6966	0.7912	-1.4796	4.0169	2.8883	-2.9928	-6.4637	1.9251	3.3227	10.833	-3.1732	0.0346	1.6738	-0.3525	0.4562	-0.4395	-0.8401	-2.3512	2.3935	5.3735	9.7684
D03-NF-R1	-10.3839	-3.3186	-6.0903	-0.5519	-0.62	0.0263	-2.1522	-0.5264	-2.3079	2.5499	0.6893	-0.3856	-3.8697	-0.2842	1.4943	8.8887	-7.1127	3.0908	0.9137	1.8068	4.1537	-0.4109	-0.0131	0.8104	5.1972	1.3425	7.0639
D03-NF-R2	-11.3133	-2.7178	-5.4971	0.4266	-0.5061	0.2379	-1.6972	-0.0684	-2.3834	2.0648	0.7788	0.1641	-2.7414	-0.1896	1.572	8.5183	-7.7446	3.8599	-0.1071	1.7818	3.4621	-0.6743	-0.1977	0.1857	4.5811	0.7958	7.409
D03-NF-R3	-9.8774	-3.3062	-5.4136	0.9881	-0.3214	0.1712	-2.1029	-0.3939	-2.5165	2.0299	0.7028	0.3494	-5.4769	-0.2069	1.9661	8.7118	-8.07	2.9914	0.4506	1.6374	3.8139	-0.4142	0.2672	0.1606	5.1521	1.5155	7.1919
D03-OF-R1	-12.3622	-2.7866	-6.245	-2.2387	-0.741	-0.7073	-1.7717	-1.1845	-3.0708	2.3629	0.9534	-0.6483	-4.2688	-0.1576	3.0541	8.5054	-7.4523	7.7448	1.3407	3.9474	4.4337	-1.1947	-1.2277	-1.0558	5.9494	0.8706	7.9504
D03-OF-R2	-9.5961	-2.6748	-5.8851	-1.7555	-0.873	-0.5176	-1.3619	-0.6646	-2.8816	2.1496	0.5562	-1.3777	-2.9022	-0.108	2.5105	8.0406	-7.3038	6.9097	0.9702	2.523	4.1791	-1.2857	-1.2354	-1.5083	5.5862	0.9784	7.5277
D03-OF-R3	-10.7752	-3.3653	-5.7589	-1.5593	-0.6803	-0.3811	-1.354	-0.8535	-2.6444	2.3073	1.4209	-0.1734	-6.8223	0.3595	3.4829	8.5216	-7.4093	7.2372	1.9674	1.9303	4.463	-1.0841	-1.3063	-1.8299	5.6002	1.0165	7.6905
D03-OR-R1	-8.1539	-2.3625	-5.4524	0.8153	0.0449	1.0284	-2.1966	-0.289	-2.3303	3.1396	0.0194	-0.018	-4.9737	0.3509	2.2463	7.4992	-7.0735	0.601	-3.886	0.4632	4.0509	0.2286	0.8726	1.9885	5.9069	-0.2822	7.7623
D03-OR-R2	-8.7778	-1.4029	-6.4221	2.2846	0.1275	0.8965	-0.6313	1.0561	-2.5656	2.743	-0.2481	-1.2461	-0.6446	0.0316	2.0473	7.1487	-9.7517	0.4594	-3.599	0.6363	2.8931	0.0763	1.3776	1.9251	4.8436	-0.1784	6.921
D03-OR-R3	-8.7082	-1.6361	-5.5584	2.4696	0.6938	1.1054	-1.9079	0.3945	-2.1209	2.7376	0.5321	0.1553	-6.2065	0.4648	2.0216	7.3937	-10.28	0.7835	-3.1179	0.2868	4.0072	0.2229	1.2434	1.3654	6.096	-0.0933	7.6558
D03-ZF-R1	-8.966	-3.2066	-5.5236	-3.9966	-0.4031	-0.4521	-1.9435	-0.4863	-2.1549	3.4195	0.3911	-0.8659	-4.055	0.4955	2.168	9.4714	-5.9745	3.9269	0.5665	3.8635	2.5879	-0.7137	-1.1505	-2.0792	4.7408	1.3527	8.9877
D03-ZF-R2	-8.9036	-3.0246	-6.3388	-1.4898	-0.4666	-0.0432	-1.1039	-1.0542	-2.9304	3.8579	-1.067	-2.4211	-0.4512	-0.186	1.6813	8.9027	-6.723	5.3676	-0.6335	3.8632	2.9842	-1.6871	-1.1314	-1.3711	5.0737	0.323	8.9728
D03-ZF-R3	-8.6063	-2.8586	-5.9855	-3.1582	-0.1733	-0.1644	-2.0262	-0.8718	-2.2457	4.1559	-0.4911	-1.9618	-4.4969	0.497	1.8299	9.3515	-6.1498	5.2148	0.3086	4.7413	3.2021	-1.2007	-1.2317	-2.727	5.0633	0.6682	9.3168
D03-ZH-R1	-12.4185	-2.5778	-5.886	0.5335	0.5516	1.1321	-3.1178	-0.4064	-3.0327	4.0264	1.0595	1.9555	-4.9584	0.156	1.7081	8.4247	-4.1821	2.6543	-0.2624	1.0113	0.544	-0.3349	-0.004	1.1798	2.0485	-0.6507	10.8464
