Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Chlamydiae	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D01-NF-R1	-1.9312	-3.1594	2.4882	1.3471	-5.2441	-7.3227	6.3787	1.6816	5.7618
D01-NF-R2	-1.36	-2.3973	2.4091	0.4933	-3.069	-8.4125	6.0548	1.3984	4.8832
D01-NF-R3	-0.6256	-1.1067	2.5426	0.8937	-9.59	-6.8825	6.5752	1.7372	6.4561
D01-OF-R1	-1.554	-2.993	3.4626	1.719	-9.4865	-7.2713	7.1777	2.2314	6.7141
D01-OF-R2	-1.0555	-2.9146	3.1301	1.1538	-7.8968	-7.671	6.6742	1.819	6.7608
D01-OF-R3	-1.6043	-3.1624	3.3424	0.9379	-8.519	-7.3712	7.1959	2.1393	7.0415
D01-OR-R1	-0.2197	-0.7935	2.3925	0.9603	-8.2316	-7.7376	6.2364	2.3522	5.041
D01-OR-R2	0.4118	-0.4577	2.3311	0.4878	-4.9569	-9.2843	4.7287	1.9958	4.7438
D01-OR-R3	-0.3228	-2.728	1.6822	1.1903	-3.7886	-8.1114	5.6463	2.7893	3.6428
D01-ZF-R1	-0.8672	-3.1989	3.0134	-0.4016	-10.1169	-7.3549	8.2296	2.0259	8.6706
D01-ZF-R2	-0.7584	-2.9436	2.5324	-1.1814	-8.9525	-7.1776	7.7932	1.6465	9.0415
D01-ZF-R3	-0.9968	-2.8384	2.604	-0.4375	-10.2481	-7.2868	8.1317	1.4671	9.6048
D01-ZH-R1	-0.8083	-3.2756	3.506	0.6334	-8.7169	-8.3173	7.6389	0.9273	8.4126
D01-ZH-R2	-0.9033	-1.564	2.9744	-1.0613	-5.0948	-9.1542	6.6857	0.2473	7.87
D01-ZH-R3	-0.7687	-1.1596	2.2855	-1.1906	-4.4347	-9.7587	6.6345	1.155	7.2372
D01-ZR-R1	-0.7234	-3.304	3.4337	-0.3559	-10.0981	-7.3687	8.1581	2.4345	7.8238
D01-ZR-R2	-0.7256	-2.205	2.4128	-1.4852	-8.1167	-6.5351	8.0696	2.9768	5.6086
D01-ZR-R3	-1.6008	-2.8583	5.5666	-1.2848	-11.1366	-7.7452	7.7622	1.823	9.4739
D02-NF-R1	-1.0976	-2.8746	2.7215	-4.0296	-5.9133	-7.7646	8.9585	2.8662	7.1335
D02-NF-R2	-0.9285	-1.5491	2.5636	-5.2562	-3.1441	-7.8295	8.1064	2.4026	5.6349
D02-NF-R3	-0.4005	-0.213	3.1222	-4.4621	-9.1525	-7.9106	8.9084	3.2112	6.8968
D02-OF-R1	-0.8933	-2.8738	4.1097	-3.6185	-9.4104	-7.2021	9.276	2.7167	7.8957
D02-OF-R2	-0.173	-2.3565	3.3321	-4.2557	-7.0675	-7.8185	8.4596	2.6914	7.188
D02-OF-R3	-0.5905	-2.9112	3.6615	-3.9237	-8.8936	-7.3998	9.2276	2.4622	8.3675
D02-OR-R1	0.1978	-0.264	2.2837	-2.654	-3.8388	-10.1258	6.8013	2.2954	5.3043
D02-OR-R2	0.6273	1.3325	2.7613	-6.4603	-2.2306	-7.7491	4.9243	2.966	3.8286
D02-ZF-R1	-0.8157	-2.5355	3.0019	-3.8749	-9.1202	-6.7498	8.8747	2.9381	8.2814
D02-ZF-R2	-0.4648	-2.4315	2.7206	-3.8403	-8.1061	-6.4314	8.7588	2.8934	6.9013
D02-ZF-R3	-0.7606	-2.4694	3.0533	-3.7239	-9.7407	-6.505	8.787	3.2043	8.155
D02-ZH-R1	-0.1714	-1.1867	4.2657	-3.458	-7.3839	-10.4248	7.8344	0.9871	9.5376
D02-ZH-R2	1.4647	-0.3152	2.8397	-5.8684	-4.0916	-8.5537	6.0941	0.9137	7.5167
D02-ZH-R3	0.5253	-1.8462	3.1738	-5.714	-2.8609	-9.5864	7.1169	0.6082	8.5834
D02-ZR-R1	-1.4505	-3.562	2.7368	-4.5335	-4.5199	-7.6231	8.1004	2.3434	8.5085
D02-ZR-R2	-0.7281	-2.6014	2.8117	-4.1507	-6.871	-7.2716	7.8369	2.8374	8.1367
