D01-NF-R1	D01-NF-R2	D01-NF-R3	D01-OF-R1	D01-OF-R2	D01-OF-R3	D01-OR-R1	D01-OR-R2	D01-OR-R3	D01-ZF-R1	D01-ZF-R2	D01-ZF-R3	D01-ZH-R1	D01-ZH-R2	D01-ZH-R3	D01-ZR-R1	D01-ZR-R2	D01-ZR-R3	D02-NF-R1	D02-NF-R2	D02-NF-R3	D02-OF-R1	D02-OF-R2	D02-OF-R3	D02-OR-R1	D02-OR-R2	D02-ZF-R1	D02-ZF-R2	D02-ZF-R3	D02-ZH-R1	D02-ZH-R2	D02-ZH-R3	D02-ZR-R1	D02-ZR-R2	D02-ZR-R3	D03-NF-R1	D03-NF-R2	D03-NF-R3	D03-OF-R1	D03-OF-R2	D03-OF-R3	D03-OR-R1	D03-OR-R2	D03-OR-R3	D03-ZF-R1	D03-ZF-R2	D03-ZF-R3	D03-ZH-R1	D03-ZH-R2	D03-ZH-R3	D03-ZR-R1	D03-ZR-R2	D03-ZR-R3	D04-NF-R1	D04-NF-R2	D04-NF-R3	D04-OF-R1	D04-OF-R2	D04-OF-R3	D04-OR-R2	D04-OR-R3	D04-ZF-R1	D04-ZF-R2	D04-ZF-R3	D04-ZH-R1	D04-ZH-R2	D04-ZH-R3	D04-ZR-R1	D04-ZR-R2	D04-ZR-R3	D05-NF-R1	D05-NF-R2	D05-NF-R3	D05-OF-R1	D05-OF-R2	D05-OF-R3	D05-ZF-R1	D05-ZF-R2	D05-ZF-R3	D05-ZH-R1	D05-ZH-R2	D05-ZH-R3	D05-ZR-R1	D05-ZR-R2	D05-ZR-R3	D06-NF-R1	D06-NF-R2	D06-NF-R3	D06-OF-R1	D06-OF-R2	D06-OF-R3	D06-OR-R1	D06-OR-R2	D06-OR-R3	D06-ZF-R1	D06-ZF-R2	D06-ZF-R3	D06-ZH-R1	D06-ZH-R2	D06-ZH-R3	D06-ZR-R1	D06-ZR-R2	D06-ZR-R3	D07-NF-R1	D07-NF-R2	D07-NF-R3	D07-OF-R1	D07-OF-R2	D07-OF-R3	D07-OR-R1	D07-OR-R2	D07-OR-R3	D07-ZF-R1	D07-ZF-R2	D07-ZF-R3	D07-ZH-R1	D07-ZH-R2	D07-ZH-R3	D07-ZR-R1	D07-ZR-R2	D07-ZR-R3	D08-NF-R1	D08-NF-R2	D08-NF-R3	D08-OF-R1	D08-OF-R2	D08-OF-R3	D08-OR-R1	D08-OR-R2	D08-OR-R3	D08-ZF-R1	D08-ZF-R2	D08-ZF-R3	D08-ZH-R1	D08-ZH-R2	D08-ZH-R3	D08-ZR-R1	D08-ZR-R2	D08-ZR-R3	D09-NF-R1	D09-NF-R2	D09-NF-R3	D09-OF-R1	D09-OF-R2	D09-OF-R3	D09-OR-R1	D09-OR-R2	D09-OR-R3	D09-ZF-R1	D09-ZF-R2	D09-ZF-R3	D09-ZH-R1	D09-ZH-R2	D09-ZH-R3	D09-ZR-R2	D09-ZR-R3	D10-NF-R1	D10-NF-R2	D10-NF-R3	D10-OF-R1	D10-OF-R2	D10-OF-R3	D10-ZF-R1	D10-ZF-R2	D10-ZF-R3	D10-ZH-R1	D10-ZH-R2	D10-ZH-R3	D10-ZR-R1	D10-ZR-R2	D10-ZR-R3
Monjiviricetes	11	6	2	2	2	2	0	0	0	6	11	14	1	0	2	24	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	45	42	92	255	69	99	0	0	85	63	132	3	6	14	202	64	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ellioviricetes	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chytridiomycetes	24	24	22	33	68	40	138	104	132	19	46	22	33	14	57	32	27	29	54	12	50	51	85	115	49	4	46	61	13	102	87	88	42	65	73	46	15	41	64	76	59	45	10	75	496	169	469	31	73	119	382	607	527	2080	1412	2743	24666	7003	12238	82	574	27646	15007	32210	6136	2388	8807	28717	19181	35283	61	54	9	47	25	112	33	65	70	115	68	110	66	18	120	54	19	170	41	64	69	149	10	196	83	101	80	28	58	115	84	19	43	109	101	162	16	36	50	42	109	87	54	14	50	67	81	109	15	62	61	25	10	83	94	25	78	43	12	45	27	24	41	14	91	78	67	59	56	52	101	74	109	23	111	49	9	122	68	21	94	50	74	190	47	68	37	107	68	40	18	71	41	32	41	29	39	105	44	17	15
Monoblepharidomycetes	6	3	3	5	3	12	3	2	7	2	12	24	1	0	2	14	0	9	6	2	9	2	5	8	2	0	5	7	0	9	6	11	22	4	15	2	0	8	6	1	4	4	0	5	2	0	1	0	7	7	1	1	6	8	12	29	38	8	34	4	6	21	21	42	2	2	8	28	45	35	4	5	0	1	0	0	1	2	1	6	3	6	1	2	4	1	1	6	4	3	2	5	0	12	1	4	2	3	1	5	2	1	4	9	10	8	1	4	3	2	4	13	2	4	2	3	3	3	6	6	9	2	0	5	14	0	4	2	0	0	2	1	5	1	3	6	6	2	4	4	7	7	2	0	0	2	0	11	6	3	6	2	2	8	1	4	2	6	2	4	3	3	10	3	4	0	3	5	3	0	0
Neocallimastigomycetes	25	8	9	25	44	40	28	27	24	8	12	13	13	7	18	10	6	9	8	5	11	14	16	30	64	2	20	19	8	33	15	29	24	32	31	3	5	7	21	13	13	3	5	12	17	4	12	13	29	61	24	5	14	39	35	40	105	29	75	3	4	186	129	260	40	21	33	198	127	224	9	14	2	7	5	17	10	18	31	19	21	27	13	5	23	7	8	23	9	22	11	6	1	24	15	37	28	10	17	25	12	6	17	22	21	24	4	17	15	7	34	10	7	7	37	19	14	26	17	19	61	15	4	24	38	5	17	6	3	1	6	9	13	2	19	17	18	60	26	381	417	200	324	70	210	11	6	34	93	20	83	14	19	19	71	64	1	29	7	4	3	9	18	12	23	7	8	31	8	1	15
Blastocladiomycetes	12	6	4	14	21	8	37	11	20	3	24	20	3	9	8	8	10	24	6	0	17	16	11	17	8	1	13	17	2	11	11	25	3	11	16	12	8	33	20	18	39	12	4	8	133	28	41	6	30	43	23	7	93	132	72	140	779	160	371	5	63	1314	875	1573	241	60	244	1204	1138	1338	15	41	32	285	70	486	311	476	892	93	14	60	586	351	626	11	0	15	7	25	40	14	0	60	49	49	16	23	12	13	32	18	58	72	33	75	4	22	7	3	11	19	13	8	31	12	14	8	4	20	24	1	1	19	41	3	20	16	3	5	18	12	14	2	18	20	24	23	13	11	9	3	3	0	6	18	1	24	3	0	16	7	7	28	3	5	2	22	11	6	3	7	8	19	3	6	13	21	7	2	4
Glomeromycetes	243	152	277	475	560	574	1447	825	706	292	500	358	311	174	418	487	167	250	204	101	272	458	466	979	416	69	526	513	216	1143	479	852	711	871	783	111	81	184	593	508	322	206	134	360	487	137	407	335	679	1074	603	244	603	541	745	658	1449	348	945	103	477	2069	2446	2951	551	418	736	3140	2382	2845	261	424	55	183	126	476	318	692	692	510	427	664	320	255	602	90	134	529	272	584	340	560	52	760	220	601	671	194	490	638	235	143	330	532	779	739	112	414	292	147	886	518	329	225	898	561	497	606	235	442	1164	135	72	580	677	149	489	221	81	162	307	162	267	85	465	513	459	1457	531	199	716	541	1183	186	844	219	79	625	786	185	1123	189	347	529	902	923	57	676	344	207	122	401	270	410	518	251	372	906	209	97	253
Endogonomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0	1	18	15	38	0	0	29	34	22	0	1	0	14	16	38	34	12	38	12	14	29	9	0	0	123	7	50	32	0	2	3	3	26	1	6	9	44	8	37	0	1	65	65	97	6	1	13	81	63	105	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	8	0	2	0	0	0	0	1	1	0	3	1	0	0	1	0	3	0	0	0	1	1	0	2	0	0	0	0	2	0	0	0	0	2	2	2	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mucoromycetes	329	317	467	449	1592	487	3230	2642	2309	134	1036	218	459	232	1100	363	231	345	396	210	931	326	1224	498	1462	124	377	653	154	1729	2153	1651	526	1135	664	492	208	737	1336	1370	381	712	261	1415	476	161	253	726	1588	1289	555	190	553	936	1198	1093	8486	1484	3118	193	1507	7725	6922	10187	1580	1030	2282	8927	6786	9926	865	1565	139	543	287	1239	347	1368	578	1718	1429	1910	539	254	1271	326	318	1933	900	1556	539	748	153	2559	222	1591	469	375	1590	1869	374	206	558	1349	2561	2384	308	1019	836	652	2910	2132	492	166	641	1385	2060	1616	186	1186	1331	521	147	1038	958	284	634	1069	187	687	372	193	376	349	2463	1116	415	1320	539	360	1143	497	576	204	636	785	125	2261	590	190	1051	710	1734	2670	557	447	328	3038	1274	928	263	1081	552	501	405	560	1215	1790	642	173	209
Mortierellomycetes	4	15	10	7	30	12	28	40	41	2	17	6	7	10	16	4	9	4	15	5	16	10	13	24	33	3	16	13	5	16	29	24	13	22	8	20	7	20	19	31	10	5	5	15	12	4	6	5	27	29	3	3	15	119	114	98	835	175	460	12	61	1944	1242	2881	136	116	214	1918	1584	2345	26	18	9	38	14	51	41	233	115	22	16	39	129	42	115	4	10	19	7	42	12	6	9	48	5	24	19	3	26	20	5	4	24	46	82	70	23	62	20	6	44	29	34	29	60	16	38	23	6	39	32	3	1	20	44	4	10	42	4	9	4	8	17	4	34	16	16	20	14	3	20	11	14	11	11	7	2	29	9	8	28	3	35	43	13	9	2	37	16	39	7	9	6	16	5	5	10	30	7	6	1
