Box,Batch,Location,Sample,RNA Plate,RIN
1,4,13,D01_NF_R1,1,2.4
1,1,3,D01_OF_R1,1,3.6
1,3,16,D01_OH_R1,1,2.5
1,2,3,D01_OR_R1,1,1.1
1,4,16,D01_ZF_R1,1,2.5
1,1,9,D01_ZH_R1,1,2.2
1,3,7,D01_ZR_R1,1,
1,2,10,D03_NF_R1,1,2.3
1,3,1,D03_OF_R1,1,3.1
1,1,5,D03_OH_R1,1,
1,4,17,D03_OR_R1,2,2.3
1,2,2,D03_ZF_R1,2,2.9
1,3,3,D03_ZH_R1,2,2.2
1,1,11,D03_ZR_R1,2,2.3
1,2,5,D07_NF_R1,2,
1,3,2,D07_OF_R1,2,2.8
1,1,6,D07_OH_R1,2,
1,4,8,D07_OR_R1,2,2.5
1,2,4,D07_ZF_R1,2,4.5
1,3,18,D07_ZH_R1,2,2.5
1,1,17,D07_ZR_R1,2,7.9
