taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
Bacilli	30	10	-0.05666	-0.7179	-0.01853	0.5922	1.072	0.5048	0.3073	0.06953	0.6953	0.06716	0.3227	0.5048
Erysipelotrichia	30	10	-0.9923	-0.4419	-1.031	-0.5112	1.84	-0.2687	0.3422	0.3094	0.7709	0.1483	0.3708	0.2687
Coriobacteriia	30	10	0.2022	0.4156	-0.006729	-0.4734	1.729	-0.2593	0.3859	0.2794	0.7709	0.3307	0.5512	0.2593
Bacteroidia	30	10	4.668	4.472	4.901	0.4579	1.59	0.2697	0.3094	0.3026	0.7709	0.09722	0.3241	0.2697
Gammaproteobacteria	30	10	-2.339	-2.805	-2.278	0.4922	1.203	0.3359	0.2886	0.4064	0.7715	0.05435	0.3227	0.3359
Actinobacteria (1760)	30	10	0.658	0.739	0.4107	-0.4336	2.534	-0.1729	0.3931	0.4629	0.7715	0.3154	0.5512	0.1729
Betaproteobacteria	30	10	-2.783	-2.796	-2.783	0.1903	2.982	0.0661	0.4587	0.9115	0.9668	0.8432	0.9349	0.0661
Verrucomicrobiae	30	10	-5.513	-5.657	-5.305	0.4412	3.892	0.08872	0.4633	0.8176	0.9668	0.8175	0.9349	0.08872
Clostridia	30	10	5.641	5.701	5.641	0.03595	1.002	0.03185	0.4859	0.9668	0.9668	0.9407	0.9407	0.03185
Negativicutes	30	10	-0.0006305	0.07862	-0.1036	-0.1807	2.575	-0.06303	0.4594	0.7541	0.9668	0.6556	0.9343	0.06303
