taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
Pseudomonas	30	10	-5.015	-5.157	-4.954	0.2648	1.241	0.1066	0.3682	0.9104	0.9772	0.2318	0.9689	0.1066
Sutterella	30	10	-4.901	-5.166	-4.528	0.452	6.495	0.06355	0.4469	0.7425	0.9772	0.6534	0.9689	0.06355
Akkermansia	30	10	-3.883	-4.099	-3.765	0.4634	4.507	0.0834	0.4446	0.8392	0.9772	0.6693	0.9689	0.0834
Firmicutes: environmental samples	30	10	0.9654	1.093	0.7342	-0.2375	1.375	-0.1634	0.4016	0.4708	0.9772	0.3078	0.9689	0.1634
Streptococcus	30	10	0.1124	0.202	0.03214	-0.0884	1.921	-0.03341	0.475	0.941	0.9772	0.8918	0.9694	0.03341
Clostridium	30	10	2.928	2.927	2.934	-0.07254	0.6532	-0.1087	0.4571	0.5387	0.9772	0.7596	0.9689	0.1087
unclassified Clostridiaceae	30	10	0.8505	0.4906	0.8744	0.2573	0.9341	0.3072	0.3635	0.294	0.9772	0.2004	0.9689	0.3072
Butyricicoccus	30	10	-0.02468	-0.04728	-0.02468	-0.05895	1.176	-0.04627	0.4509	0.6755	0.9772	0.6497	0.9689	0.04627
Butyrivibrio	30	10	-4.059	-4.146	-4.034	0.1563	1.462	0.05488	0.4266	0.9054	0.9772	0.6311	0.9689	0.05488
Roseburia	30	10	2.515	2.515	2.502	0.04366	1.406	0.02505	0.4852	0.9668	0.9772	0.9403	0.9793	0.02505
Coprococcus	30	10	1.106	1.106	1.205	-0.02001	2.337	-0.006105	0.4945	0.9046	0.9772	0.9545	0.9798	0.006105
unclassified Lachnospiraceae	30	10	3.462	3.392	3.548	0.1287	1.286	0.09868	0.4384	0.7236	0.9772	0.5537	0.9689	0.09868
Dorea	30	10	1.528	1.566	1.508	-0.06463	1.029	-0.06306	0.4406	0.6196	0.9772	0.5855	0.9689	0.06306
Anaerostipes	30	10	1.313	1.292	1.313	-0.2683	1.221	-0.2219	0.3813	0.4174	0.9772	0.2725	0.9689	0.2219
Blautia	30	10	4.219	4.329	4.16	-0.08162	1.123	-0.07073	0.4563	0.7321	0.9772	0.714	0.9689	0.07073
Fusicatenibacter	30	10	0.7381	0.7543	0.6425	-0.08458	2.549	-0.02963	0.4797	0.8692	0.9772	0.8472	0.9689	0.02963
Lachnoclostridium	30	10	0.2505	0.2056	0.2822	0.1388	1.704	0.07652	0.4306	0.7187	0.9772	0.5035	0.9689	0.07652
Eubacterium	30	10	2.798	2.717	2.798	0.03702	0.841	0.06159	0.475	0.763	0.9772	0.8301	0.9689	0.06159
Oscillibacter	30	10	0.7214	0.5158	0.7356	0.05423	1.284	0.03519	0.4805	0.6801	0.9772	0.8692	0.9689	0.03519
unclassified Oscillospiraceae	30	10	-1.782	-1.687	-1.782	0.05262	2.77	0.02124	0.4945	0.9313	0.9772	0.9941	0.9946	0.02124
Ruminococcus	30	10	4.597	4.769	4.565	0.06483	2.222	0.03003	0.4641	0.8903	0.9772	0.6265	0.9689	0.03003
Gemmiger	30	10	0.1396	0.3332	0.1393	-0.3037	1.911	-0.1286	0.4406	0.5961	0.9772	0.5462	0.9689	0.1286
Faecalibacterium	30	10	4.561	4.483	4.587	0.05348	1.216	0.01342	0.4758	0.9366	0.9772	0.8436	0.9689	0.01342
Subdoligranulum	30	10	0.3316	0.6503	0.1708	-0.3068	1.505	-0.2023	0.3853	0.4101	0.9772	0.3043	0.9689	0.2023
unclassified Ruminococcaceae	30	10	2.395	2.33	2.411	-0.1342	1.456	-0.1105	0.4672	0.6851	0.9772	0.7939	0.9689	0.1105
