XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
XT_D04-NFlex-R1-A	0	0.22669703202012	0.354137414181493	0.189892550844408	0.40812073386009	0.358681329007163	0.35413031778293	0.359826524587077	0.353332009755423	0.433352367250327	0.186730571980015	0.228443843904562	0.306040478926622	0.196930936228695	0.00113225535472714	0.403030224809185	0.223286552501428	0.309251724825383	0.405393980131043	0.227713748992224	0.433414311483436	0.22687991134594	0.00734822919496233	0.355802879904991	0.224350137803272	0.435359972031721	0.199478106381497	0.188355530215625	0.308975308608572	0.200088179590282	0.348460538008436	0.146692198027096	0.32581363804344	0.311194204853303	0.398456910483791	0.221549341189338	0.18420187698098	0.154062766559422	0.154478153956513	0.0326826786784836
XT_D06-NFlex-R1-A	0.22669703202012	0	0.131800282883431	0.0968278716147896	0.195257733683764	0.161901024725061	0.159831950087127	0.162405422477609	0.131074961472923	0.210715030231291	0.0986899099930494	0.065661266501172	0.131974904075737	0.104051695528859	0.226775036417401	0.190317240134434	0.00477030172014245	0.140252242630533	0.192620767217893	0.0651211962920448	0.210747070176135	0.0635500152212876	0.225694427349893	0.134185811809817	0.00355689184885287	0.212712758428973	0.101174293522853	0.0981249062453123	0.137457168190896	0.100284186710036	0.138516788026998	0.124785262675241	0.104168249216541	0.115596163507937	0.17702011144422	0.206388410991538	0.103421073102881	0.138559287947595	0.0867342049983958	0.236299439330543
XT_D08-NFlex-R1-C	0.354137414181493	0.131800282883431	0	0.182925674062666	0.0762676267626763	0.101258627818232	0.104002160156001	0.101167184473353	0.000845379420379126	0.0871961131070505	0.185708570857086	0.168608054360598	0.16033603360336	0.188130448257403	0.354406319790227	0.0737773777377738	0.135090290371545	0.16517238410776	0.0752310843577232	0.169078115468542	0.0878079003195943	0.169401085005888	0.353863929101452	0.00348573535834644	0.134026801185984	0.0887434243519361	0.185452916016089	0.184362848005387	0.16267331350643	0.184582811603559	0.0957683999340718	0.231605674093627	0.0365636563656366	0.108613916986153	0.0527703692970784	0.300816952519751	0.227540407882711	0.231888488284761	0.216634200048301	0.363998648772082
XT_D07-NFlex-R1-C	0.189892550844408	0.0968278716147896	0.182925674062666	0	0.255862784766416	0.245576606724511	0.243067240769151	0.245931087918665	0.182950419057877	0.259240369614785	0.00320190665412397	0.0997105358726035	0.153073161030252	0.0324260046521756	0.190191447349039	0.253202519339897	0.0932495820514474	0.156294402828197	0.254736431694224	0.0993804929670257	0.259812268640838	0.099666469756762	0.18955902504954	0.185191151783044	0.0947136728364995	0.260747822378217	0.032865539928634	0.00275702042632438	0.15603798791162	0.0324254871222973	0.199462291679854	0.0535994693380559	0.158523176210577	0.198670204595208	0.225474903543442	0.197194833026749	0.121876048270986	0.0750946599851433	0.0963996175032368	0.200073740598789
XT_D10-NFlex-R1-C	0.40812073386009	0.195257733683764	0.0762676267626763	0.255862784766416	0	0.0879724139732457	0.0899249924992499	0.0880013729032988	0.0764328176509458	0.0728945569463943	0.258255825582558	0.21822188549678	0.187428742874287	0.258007073772876	0.408389342464882	0.00666066606660668	0.198197043882322	0.193615776290806	0.00430461275403596	0.218541927102188	0.073466425768907	0.218995290535974	0.406556101699388	0.0738122357604844	0.197133336259689	0.0743419650042731	0.255839722668911	0.257269987211732	0.190745839928181	0.254749591853213	0.0939532540726946	0.303732860709939	0.104560456045605	0.125083535220507	0.0685966158347625	0.311628017624341	0.273154552551336	0.300335061709555	0.264049358401652	0.413237717998241
XT_D05-NFlex-R1-C	0.358681329007163	0.161901024725061	0.101258627818232	0.245576606724511	0.0879724139732457	0	0.00645277916296348	0.00162572209268013	0.101838276137378	0.117902395962208	0.247917854289805	0.176055882453613	0.206677637066646	0.246986724836038	0.358969909401501	0.0899826123924895	0.164098902640399	0.212064247914871	0.089403014064831	0.176145894155134	0.118531339534279	0.175999417938695	0.356986575406042	0.102629159006458	0.162804711637667	0.117660982378779	0.244199379943077	0.246813504142805	0.209344852953579	0.243189258728532	0.1408069625133	0.276624281844067	0.0998038477742771	0.0576999847420646	0.113469520766282	0.342198064577936	0.218017253250269	0.28225528896089	0.223928594314859	0.363067826066521
XT_D05-NFlex-R1-A	0.35413031778293	0.159831950087127	0.104002160156001	0.243067240769151	0.0899249924992499	0.00645277916296348	0	0.00772862692958244	0.10457180937565	0.120686007635354	0.245459282612432	0.173485843782347	0.20531760602917	0.245937382212276	0.354418903579689	0.0919251925192519	0.162029827102347	0.210724222378901	0.0913355916909682	0.173575855483869	0.12133443093552	0.173439377566518	0.352425561381344	0.105372690944035	0.160745633898749	0.120444593151668	0.243140038019866	0.244345213509738	0.20799482521722	0.24212991680532	0.137886851727133	0.274455086754257	0.0976946846972769	0.0537290055004199	0.116203039798744	0.340778073363802	0.215167076130312	0.280534521456903	0.218657053678467	0.358486762718757
XT_D05-NFlex-R1-B	0.359826524587077	0.162405422477609	0.101167184473353	0.245931087918665	0.0880013729032988	0.00162572209268013	0.00772862692958244	0	0.10172683539389	0.117890382061901	0.248272319280179	0.176650713797619	0.206622478247344	0.246691198163989	0.360115105981834	0.0900015693221485	0.16460329949283	0.212039094396431	0.0894019725952622	0.17674072549914	0.118589473754952	0.176594252983926	0.358121767585028	0.102527717562395	0.163319106289231	0.117609514420802	0.243893854271655	0.247167984036842	0.209299695334408	0.242935044501645	0.141361778152264	0.277068714415508	0.100228267440559	0.0582551083198013	0.113358073020831	0.341992837536151	0.218722140113162	0.282659801470281	0.225143978275415	0.364153018748497
XT_D08-NFlex-R1-B	0.353332009755423	0.131074961472923	0.000845379420379126	0.182950419057877	0.0764328176509458	0.101838276137378	0.10457180937565	0.10172683539389	0	0.0871915718521349	0.185363262746181	0.167832590621743	0.160210603464411	0.188125118238188	0.353600915364157	0.0736026312429321	0.13436495305867	0.165036953168777	0.0750563374628095	0.168302651729687	0.0878133393617214	0.168625621267033	0.353058524875424	0.00343114999603081	0.133311470874391	0.0887388680951042	0.185437584196589	0.184387590500348	0.162547880266829	0.18456747978406	0.0955081502845262	0.230960430899672	0.0358282141308571	0.108403539009092	0.0527758053385873	0.300711513678754	0.226774945243977	0.2318731557651	0.215878822327265	0.363193244346012
XT_D02-NFlex-R1-B	0.433352367250327	0.210715030231291	0.0871961131070505	0.259240369614785	0.0728945569463943	0.117902395962208	0.120686007635354	0.117890382061901	0.0871915718521349	0	0.261583396429166	0.250393590108272	0.241231817889577	0.26426585072044	0.433581250153249	0.0762345693347686	0.213915079124967	0.246088144589869	0.0754289140693467	0.250863651216216	0.000789418727721114	0.251196619453369	0.433078858661448	0.0842704112500891	0.212791623144959	0.00214765888792382	0.262078334875604	0.260637570960111	0.243559095692694	0.26100820806045	0.164817289954352	0.30658001359808	0.12076923040918	0.162524435040258	0.0358862397780672	0.382522591378512	0.309355922427198	0.314494633631807	0.296869189625922	0.443973722058922
XT_D07-NFlex-R1-B	0.186730571980015	0.0986899099930494	0.185708570857086	0.00320190665412397	0.258255825582558	0.247917854289805	0.245459282612432	0.248272319280179	0.185363262746181	0.261583396429166	0	0.101612343718095	0.155845584558456	0.0329248610900275	0.187029468484645	0.255565556555656	0.0951216011272301	0.15907683935847	0.257099475811192	0.101282300812517	0.262165285454059	0.101568277602253	0.186397041384474	0.187604016374675	0.096595689311608	0.263090833890622	0.0333643923659478	0.00217185726773098	0.158810416240496	0.0329243395596111	0.20180532209495	0.0504075799865292	0.160896089608961	0.200641706197547	0.227817908054694	0.19759399530784	0.120983546413928	0.0730627189214101	0.0958784413409488	0.196911758133892
