XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
XT_D04-NFlex-R1-A	0	0.388187745511127	0.477261652127841	0.409492917764436	0.496444126544578	0.443110264578211	0.439450988988387	0.444321466826899	0.477298554181996	0.53927570155707	0.403574446935529	0.340654001478612	0.322148064391678	0.414067394591277	0.00235043014827205	0.492815867393156	0.382952826757419	0.323322047847037	0.494760972516172	0.340333543118204	0.539889974624568	0.339163575239872	0.0120289656265871	0.473866914777752	0.386072715137075	0.540853663734078	0.422639283236047	0.409256147286121	0.323148239490591	0.424180842305486	0.438373094713875	0.349177709902609	0.478402556014228	0.403860522749467	0.507841835350616	0.26925068457433	0.334683188972906	0.400069118500599	0.335877708624082	0.0661945139780331
XT_D06-NFlex-R1-A	0.388187745511127	0	0.144934773310901	0.178600136666516	0.244943050264168	0.183901615491897	0.187599564046105	0.185326800038918	0.144500833265543	0.281214292824747	0.178846504007726	0.127196987988086	0.371533974254942	0.234822618695771	0.388583145018893	0.242573478300678	0.0083005410647422	0.378204046623874	0.243805722220319	0.126656594400172	0.281787978620955	0.124914647711068	0.383878677891472	0.147701872816188	0.00494769666419294	0.282524442718642	0.239775466512416	0.177890762850261	0.375959510281424	0.241362374842031	0.221738966030854	0.19115605862132	0.125343299844371	0.190054896404385	0.253368836405468	0.368986612902837	0.149484192699063	0.268855415870036	0.0941589702872688	0.373909195296065
XT_D08-NFlex-R1-C	0.477261652127841	0.144934773310901	0	0.223266289398209	0.191645619912446	0.191497627662387	0.193357958312642	0.191802815076241	0.00145847272092852	0.169532770635319	0.223814781728221	0.183026188516614	0.402383883117937	0.268497696674768	0.477326909679675	0.189246181792312	0.14978983776478	0.410793863191711	0.190748622144745	0.182876086144776	0.169666002596377	0.18272595764185	0.473250443153114	0.00890331475961043	0.148729393285556	0.170922911988302	0.271719406984426	0.223125679734274	0.407719050696002	0.272110519540564	0.202320284070605	0.258123345960432	0.0556927154203061	0.212949434019402	0.139099459868472	0.41933342973795	0.233959781961924	0.308182336927287	0.231499691119133	0.461825776857394
XT_D07-NFlex-R1-C	0.409492917764436	0.178600136666516	0.223266289398209	0	0.348697835896307	0.295034200384397	0.292531698926541	0.295342981277389	0.222839055822421	0.3661345378999	0.00753095136712313	0.192918739116363	0.361840963438819	0.112451266861125	0.410138690361321	0.345260348911011	0.176487129752898	0.369374154994844	0.347145471720067	0.192158192420023	0.366788546134074	0.191877105367289	0.405965555312247	0.226261517113123	0.176401828408322	0.367124861384761	0.115803399581093	0.00391892430645415	0.366759134627643	0.116808677025365	0.330857411356608	0.0847186377924822	0.188628161617628	0.274813423716713	0.335845854624322	0.366133632399752	0.16683072740872	0.139790968983314	0.155152911977104	0.393403471712533
XT_D10-NFlex-R1-C	0.496444126544578	0.244943050264168	0.191645619912446	0.348697835896307	0	0.269086832706803	0.278802361628582	0.270124598542203	0.192054234002513	0.17957151112847	0.350297144099322	0.25309405725387	0.399138600461294	0.402089325856749	0.496456554036529	0.00712839946571852	0.247691503716473	0.401669962992347	0.00482242031519235	0.253414294229232	0.180434252585177	0.252761096879061	0.495321730419321	0.186064001312832	0.24694083282445	0.180195217551285	0.406036334676934	0.348557062872487	0.399517940393897	0.407312798022884	0.098958855257715	0.379605541594736	0.236282474923562	0.258813835297962	0.146823694919238	0.420702528947463	0.313212019080778	0.439662551611734	0.323587986151076	0.492269900641085
XT_D05-NFlex-R1-C	0.443110264578211	0.183901615491897	0.191497627662387	0.295034200384397	0.269086832706803	0	0.0115324268020729	0.00320688348006912	0.191633796093289	0.244868633417613	0.296450270619123	0.199339478054301	0.419412493604814	0.316521597967705	0.443152200070057	0.267465635882588	0.182855646646144	0.422306732114122	0.268140219115552	0.199241094761181	0.245372843785665	0.199311173651728	0.442173181711468	0.191535093401134	0.182486486402737	0.245596933895669	0.317816599275627	0.29504570935847	0.420666068487986	0.318283171231318	0.26364061997496	0.313795229219865	0.186980711397347	0.0589287213868007	0.218344272527583	0.459519322790165	0.235968574087774	0.355763545139956	0.235223349803274	0.438757697610728
XT_D05-NFlex-R1-A	0.439450988988387	0.187599564046105	0.193357958312642	0.292531698926541	0.278802361628582	0.0115324268020729	0	0.0116092996122976	0.193223047891223	0.250805023917525	0.293017935843612	0.19889082855728	0.418285921251847	0.314195668664984	0.439101700661943	0.276622916444705	0.187496762450348	0.421877127042883	0.277775131141986	0.198600591352591	0.250670892321914	0.19762942410567	0.438113616235809	0.194228612130939	0.187117580989509	0.251983830518143	0.315781117019081	0.292463043391884	0.420116551741389	0.31578985015184	0.271919810521619	0.310414905127829	0.186079729056034	0.0593894874324995	0.223800773182627	0.457888501719703	0.234028163082006	0.353169715516848	0.230146682433036	0.434438265403991
XT_D05-NFlex-R1-B	0.444321466826899	0.185326800038918	0.191802815076241	0.295342981277389	0.270124598542203	0.00320688348006912	0.0116092996122976	0	0.192065597188931	0.245506343181979	0.296719057959944	0.200191277113679	0.419400584612131	0.317401762078721	0.444312830035485	0.269299056985217	0.184033270900539	0.422505925409141	0.26963568275123	0.200080838070725	0.246020689184884	0.200160918855691	0.443404386038834	0.192701236318912	0.18351438968452	0.246244755853527	0.318696783620951	0.29534448855129	0.420723586847151	0.31914380722847	0.265303803447092	0.314133992922602	0.187151814545048	0.0595302683346534	0.218902570419111	0.46041911839382	0.236978461914477	0.35646354345857	0.236614112849202	0.439988898526282
XT_D08-NFlex-R1-B	0.477298554181996	0.144500833265543	0.00145847272092852	0.222839055822421	0.192054234002513	0.191633796093289	0.193223047891223	0.192065597188931	0	0.170009328258286	0.223377540647375	0.1830022518815	0.402919848008498	0.268138234766834	0.477422645378063	0.189744872436218	0.149365896615825	0.411160084019197	0.191287452612661	0.182862153010737	0.169852563888132	0.182722030110185	0.473226802507379	0.00914118516757977	0.148295472058461	0.171399473814576	0.271349983820295	0.222708476886087	0.408225193602164	0.271451053896956	0.202407359973444	0.257297244850351	0.0549423340793036	0.212851587484662	0.139204854561339	0.419449812973417	0.233263195060685	0.307624051681617	0.230645322661331	0.461512135785701
XT_D02-NFlex-R1-B	0.53927570155707	0.281214292824747	0.169532770635319	0.3661345378999	0.17957151112847	0.244868633417613	0.250805023917525	0.245506343181979	0.170009328258286	0	0.368242043441065	0.306562156976751	0.495354301947469	0.405695277771389	0.539425945411294	0.1799776844596	0.285299064775801	0.497163089989668	0.180553871637246	0.306812353328776	0.00137202982979887	0.306961980763103	0.538106476022843	0.166627171756872	0.284677298029894	0.00259883578565641	0.408082904856533	0.366515776423324	0.495891420227947	0.408801738169176	0.245726407260922	0.406335762035539	0.213290935255998	0.260675344125465	0.046741162072928	0.536399699392911	0.362547926626528	0.442927749945609	0.36926927341998	0.533930328555933
XT_D07-NFlex-R1-B	0.403574446935529	0.178846504007726	0.223814781728221	0.00753095136712313	0.350297144099322	0.296450270619123	0.293017935843612	0.296719057959944	0.223377540647375	0.368242043441065	0	0.193644614953111	0.360200485699251	0.110767324160538	0.403919847694237	0.346579478404855	0.176704425787661	0.365120315993695	0.348684764023125	0.192844229784071	0.368335552487294	0.191712899123035	0.399767017461023	0.226790001440346	0.177288471663488	0.36959225519153	0.117438041291476	0.00774739577853735	0.363663651644921	0.118162936777503	0.326222211916588	0.0776996659977603	0.190304700635558	0.275479819770167	0.337443004128626	0.360327294673672	0.165623152439729	0.138624587491515	0.150076747530893	0.387053052570416
XT_D09-NFlex-R1-B	0.340654001478612	0.127196987988086	0.183026188516614	0.192918739116363	0.25309405725387	0.199339478054301	0.19889082855728	0.200191277113679	0.1830022518815	0.306562156976751	0.193644614953111	0	0.326910402746132	0.245279939308451	0.341001117227621	0.250562859437444	0.126753267927046	0.333371474920457	0.251624400673821	0.0017913255809299	0.307136445877245	0.00421311770710329	0.335998163322762	0.180450270433993	0.127191666679421	0.307761064279855	0.249645619896828	0.192339941733666	0.330707070546701	0.250391866587601	0.240297926515465	0.206768627674869	0.178508702467684	0.158318034856264	0.274797594117693	0.322141228069878	0.078518125628071	0.279355503880396	0.144260452785086	0.320599880977445
XT_D03-NFlex-R1-C	0.322148064391678	0.371533974254942	0.402383883117937	0.361840963438819	0.399138600461294	0.419412493604814	0.418285921251847	0.419400584612131	0.402919848008498	0.495354301947469	0.360200485699251	0.326910402746132	0	0.344793655778459	0.322626350935497	0.397443227552518	0.366034983449349	0.0142474881993206	0.397648158883963	0.326950432368052	0.496078806451379	0.326360002053781	0.319283939022838	0.399880766526901	0.368840653104698	0.496662897625504	0.35233777213404	0.360741451080645	0.00914926820129773	0.353901483046144	0.380018735885927	0.358309959197452	0.400259347186358	0.378763876372259	0.46055810691473	0.153947658835643	0.331846058674011	0.346916815060842	0.358106876166402	0.32463962665893
XT_D01-NFlex-R1-A	0.414067394591277	0.234822618695771	0.268497696674768	0.112451266861125	0.402089325856749	0.316521597967705	0.314195668664984	0.317401762078721	0.268138234766834	0.405695277771389	0.110767324160538	0.245279939308451	0.344793655778459	0	0.414382760304306	0.398491592463432	0.232719840808689	0.351996573522156	0.40064674573698	0.244319236392616	0.405639074817935	0.24291821764847	0.410109971663081	0.271181416154254	0.233486877787596	0.406824099995436	0.0143192242911824	0.11296556685186	0.348911395824601	0.0154152330547649	0.383279335852916	0.134248047600214	0.231977903354395	0.28933584797176	0.376662130325301	0.357295308467012	0.222295602808481	0.0591219842093926	0.207857141906154	0.398516732967969
XT_D04-NFlex-R1-C	0.00235043014827205	0.388583145018893	0.477326909679675	0.410138690361321	0.496456554036529	0.443152200070057	0.439101700661943	0.444312830035485	0.477422645378063	0.539425945411294	0.403919847694237	0.341001117227621	0.322626350935497	0.414382760304306	0	0.492838315816634	0.383588676721087	0.32358610182288	0.494783399802721	0.340680877848126	0.539791274994426	0.339150292952085	0.0117826581160649	0.473992048224548	0.386698563904303	0.541075337433355	0.422983503310726	0.409901919883006	0.323262081799741	0.424496206516543	0.438294255391984	0.349553595792174	0.478477817362841	0.403372443230337	0.507753157652978	0.26964888823103	0.334619645420867	0.400334561221676	0.336253276284796	0.0656133035509738
XT_D10-NFlex-R1-A	0.492815867393156	0.242573478300678	0.189246181792312	0.345260348911011	0.00712839946571852	0.267465635882588	0.276622916444705	0.269299056985217	0.189744872436218	0.1799776844596	0.346579478404855	0.250562859437444	0.397443227552518	0.398491592463432	0.492838315816634	0	0.244884100462358	0.400444408006194	0.00318676231393405	0.250923250989624	0.180840426617087	0.250051635909422	0.491703757896507	0.183794584982582	0.244273173373977	0.180952047914248	0.403617019988997	0.345059383412956	0.398432124290753	0.404973493621417	0.0950213045353927	0.375907874393448	0.234083010124979	0.255224401817437	0.147140076688199	0.417562653469563	0.309402417656012	0.436004785301542	0.319959979989995	0.487431863957735
XT_D06-NFlex-R1-B	0.382952826757419	0.0083005410647422	0.14978983776478	0.176487129752898	0.247691503716473	0.182855646646144	0.187496762450348	0.184033270900539	0.149365896615825	0.285299064775801	0.176704425787661	0.126753267927046	0.366034983449349	0.232719840808689	0.383588676721087	0.244884100462358	0	0.372644954725099	0.245948248995902	0.12612337782518	0.286123120510429	0.125312207245278	0.378814724348504	0.152596954777825	0.00450761019718388	0.286218876799783	0.242579518155632	0.175188624210435	0.37045050015642	0.244226712792062	0.221066848339526	0.189174045725149	0.130238100696017	0.190041693214991	0.258507439832248	0.363527855536109	0.149320679389715	0.266582343008423	0.0910752104252637	0.368528806744813
XT_D03-NFlex-R1-B	0.323322047847037	0.378204046623874	0.410793863191711	0.369374154994844	0.401669962992347	0.422306732114122	0.421877127042883	0.422505925409141	0.411160084019197	0.497163089989668	0.365120315993695	0.333371474920457	0.0142474881993206	0.351996573522156	0.32358610182288	0.400444408006194	0.372644954725099	0	0.400669352746466	0.333520444530623	0.497887594192855	0.333090126094981	0.321913691867404	0.407723998379195	0.375490882635896	0.498461701490779	0.3606110467292	0.368294614802941	0.00628964486859351	0.362134809520938	0.379108162726521	0.363239781880034	0.408609389342813	0.38111870954068	0.462224371111938	0.148094132209848	0.338932315287117	0.353155593959627	0.362103486582452	0.327765436069299
XT_D10-NFlex-R1-B	0.494760972516172	0.243805722220319	0.190748622144745	0.347145471720067	0.00482242031519235	0.268140219115552	0.277775131141986	0.26963568275123	0.191287452612661	0.180553871637246	0.348684764023125	0.251624400673821	0.397648158883963	0.40064674573698	0.494783399802721	0.00318676231393405	0.245948248995902	0.400669352746466	0	0.252124783463213	0.181406678167751	0.251684440100546	0.493638566983475	0.185317148347303	0.245307558361696	0.181177646634691	0.405129642513515	0.347024683876737	0.398647220993245	0.406476107338407	0.0955259610229533	0.378033146192107	0.235245238046086	0.257197884731593	0.147926712976446	0.418480528618624	0.311395732850377	0.43812991555936	0.321814737545559	0.489947013382248
XT_D09-NFlex-R1-C	0.340333543118204	0.126656594400172	0.182876086144776	0.192158192420023	0.253414294229232	0.199241094761181	0.198600591352591	0.200080838070725	0.182862153010737	0.306812353328776	0.192844229784071	0.0017913255809299	0.326950432368052	0.244319236392616	0.340680877848126	0.250923250989624	0.12612337782518	0.333520444530623	0.252124783463213	0	0.307386643030222	0.00344254748513901	0.335727963374801	0.18074048779609	0.126762113269193	0.308021262329879	0.248684931100608	0.191589407948822	0.330767116781923	0.249431168980289	0.240668208628037	0.206178192653999	0.17826854376241	0.158257967873122	0.275057787561499	0.322051155812148	0.0783578815621322	0.278364780651646	0.142861271117515	0.320261188110016
XT_D02-NFlex-R1-A	0.539889974624568	0.281787978620955	0.169666002596377	0.366788546134074	0.180434252585177	0.245372843785665	0.250670892321914	0.246020689184884	0.169852563888132	0.00137202982979887	0.368335552487294	0.307136445877245	0.496078806451379	0.405639074817935	0.539791274994426	0.180840426617087	0.286123120510429	0.497887594192855	0.181406678167751	0.307386643030222	0	0.307026368922955	0.538411693692844	0.166350577107021	0.28545134727245	0.00281540404645095	0.408367110861711	0.367179814884815	0.496635929530449	0.408325407202041	0.245728643421474	0.40620922870583	0.213094422074698	0.26048968554946	0.0468640740934466	0.536163435522271	0.362351735128097	0.442641556476995	0.369182754893922	0.53378438843252
XT_D09-NFlex-R1-A	0.339163575239872	0.124914647711068	0.18272595764185	0.191877105367289	0.252761096879061	0.199311173651728	0.19762942410567	0.200160918855691	0.182722030110185	0.306961980763103	0.191712899123035	0.00421311770710329	0.326360002053781	0.24291821764847	0.339150292952085	0.250051635909422	0.125312207245278	0.333090126094981	0.251684440100546	0.00344254748513901	0.307026368922955	0	0.334087793787416	0.179999937187391	0.125821411747528	0.308601266665421	0.247593704737597	0.191238129624224	0.330315219102206	0.248040134711645	0.239187099100639	0.205297447751538	0.178038355411503	0.157547449600792	0.274697519962745	0.320910309584418	0.0789684516644386	0.277033784907771	0.14107809543945	0.318850150451196
XT_D04-NFlex-R1-B	0.0120289656265871	0.383878677891472	0.473250443153114	0.405965555312247	0.495321730419321	0.442173181711468	0.438113616235809	0.443404386038834	0.473226802507379	0.538106476022843	0.399767017461023	0.335998163322762	0.319283939022838	0.410109971663081	0.0117826581160649	0.491703757896507	0.378814724348504	0.321913691867404	0.493638566983475	0.335727963374801	0.538411693692844	0.334087793787416	0	0.469970024650385	0.381939221718417	0.539765892477823	0.418870594102917	0.405719163144578	0.321699750522835	0.420263501944987	0.436815455830537	0.346399814428974	0.473914249348793	0.402308007871874	0.506293844438866	0.26391965723484	0.329808497887202	0.395841137726198	0.331109069365849	0.0562773088602227
XT_D08-NFlex-R1-A	0.473866914777752	0.147701872816188	0.00890331475961043	0.226261517113123	0.186064001312832	0.191535093401134	0.194228612130939	0.192701236318912	0.00914118516757977	0.166627171756872	0.226790001440346	0.180450270433993	0.399880766526901	0.271181416154254	0.473992048224548	0.183794584982582	0.152596954777825	0.407723998379195	0.185317148347303	0.18074048779609	0.166350577107021	0.179999937187391	0.469970024650385	0	0.151516502194962	0.168017333231445	0.274453158282643	0.226080894746159	0.404667320438681	0.274344567523439	0.198190516879255	0.26075920333901	0.0627837881555545	0.209088288187786	0.134757314932105	0.415393326989982	0.235714888333127	0.311847293345124	0.233376230895983	0.45820513578946
XT_D06-NFlex-R1-C	0.386072715137075	0.00494769666419294	0.148729393285556	0.176401828408322	0.24694083282445	0.182486486402737	0.187117580989509	0.18351438968452	0.148295472058461	0.284677298029894	0.177288471663488	0.127191666679421	0.368840653104698	0.233486877787596	0.386698563904303	0.244273173373977	0.00450761019718388	0.375490882635896	0.245307558361696	0.126762113269193	0.28545134727245	0.125821411747528	0.381939221718417	0.151516502194962	0	0.285597141890766	0.240287165548462	0.17578261783038	0.373276195034591	0.241934355980689	0.223344972136904	0.189708145669027	0.12917849517275	0.189592911434496	0.257397599906771	0.367193035071786	0.149432595325967	0.267360057385775	0.0912438582001474	0.371880529835945
XT_D02-NFlex-R1-C	0.540853663734078	0.282524442718642	0.170922911988302	0.367124861384761	0.180195217551285	0.245596933895669	0.251983830518143	0.246244755853527	0.171399473814576	0.00259883578565641	0.36959225519153	0.307761064279855	0.496662897625504	0.406824099995436	0.541075337433355	0.180952047914248	0.286218876799783	0.498461701490779	0.181177646634691	0.308021262329879	0.00281540404645095	0.308601266665421	0.539765892477823	0.168017333231445	0.285597141890766	0	0.409231721767241	0.367586288374912	0.497200036130823	0.409910492016403	0.24689041925693	0.407635934757162	0.214691001508504	0.26226296439828	0.0482835858711637	0.538099140964071	0.364227212813848	0.444116592973261	0.370529449861567	0.535979157340881
XT_D01-NFlex-R1-C	0.422639283236047	0.239775466512416	0.271719406984426	0.115803399581093	0.406036334676934	0.317816599275627	0.315781117019081	0.318696783620951	0.271349983820295	0.408082904856533	0.117438041291476	0.249645619896828	0.35233777213404	0.0143192242911824	0.422983503310726	0.403617019988997	0.242579518155632	0.3606110467292	0.405129642513515	0.248684931100608	0.408367110861711	0.247593704737597	0.418870594102917	0.274453158282643	0.240287165548462	0.409231721767241	0	0.117519272021007	0.357715812504909	0.00228295905454443	0.395906234226647	0.145965457058777	0.235186246992029	0.291128179971537	0.379260025549747	0.366797614985156	0.226780532818771	0.059836146920087	0.219955524946255	0.406768532265493
XT_D07-NFlex-R1-A	0.409256147286121	0.177890762850261	0.223125679734274	0.00391892430645415	0.348557062872487	0.29504570935847	0.292463043391884	0.29534448855129	0.222708476886087	0.366515776423324	0.00774739577853735	0.192339941733666	0.360741451080645	0.11296556685186	0.409901919883006	0.345059383412956	0.175188624210435	0.368294614802941	0.347024683876737	0.191589407948822	0.367179814884815	0.191238129624224	0.405719163144578	0.226080894746159	0.17578261783038	0.367586288374912	0.117519272021007	0	0.365659626473654	0.118514584606208	0.329484857883205	0.0848407393227781	0.189830166483883	0.274714569172966	0.336237127189669	0.364973529072214	0.167635119411139	0.138669026846681	0.153650882848405	0.393156839472055
XT_D03-NFlex-R1-A	0.323148239490591	0.375959510281424	0.407719050696002	0.366759134627643	0.399517940393897	0.420666068487986	0.420116551741389	0.420723586847151	0.408225193602164	0.495891420227947	0.363663651644921	0.330707070546701	0.00914926820129773	0.348911395824601	0.323262081799741	0.398432124290753	0.37045050015642	0.00628964486859351	0.398647220993245	0.330767116781923	0.496635929530449	0.330315219102206	0.321699750522835	0.404667320438681	0.373276195034591	0.497200036130823	0.357715812504909	0.365659626473654	0	0.359129335237015	0.378984352834738	0.361773119937009	0.405574587346884	0.379268003245431	0.460972725269948	0.152010043361763	0.336046995107237	0.351338922809231	0.36106739994507	0.327499821325724
XT_D01-NFlex-R1-B	0.424180842305486	0.241362374842031	0.272110519540564	0.116808677025365	0.407312798022884	0.318283171231318	0.31578985015184	0.31914380722847	0.271451053896956	0.408801738169176	0.118162936777503	0.250391866587601	0.353901483046144	0.0154152330547649	0.424496206516543	0.404973493621417	0.244226712792062	0.362134809520938	0.406476107338407	0.249431168980289	0.408325407202041	0.248040134711645	0.420263501944987	0.274344567523439	0.241934355980689	0.409910492016403	0.00228295905454443	0.118514584606208	0.359129335237015	0	0.396791172687323	0.146741149227945	0.235114784650673	0.290761944632757	0.379268445924097	0.367888802057965	0.226776544215297	0.060095457532371	0.220841861596044	0.407719640750645
Flex_D10-NF-R1	0.438373094713875	0.221738966030854	0.202320284070605	0.330857411356608	0.098958855257715	0.26364061997496	0.271919810521619	0.265303803447092	0.202407359973444	0.245726407260922	0.326222211916588	0.240297926515465	0.380018735885927	0.383279335852916	0.438294255391984	0.0950213045353927	0.221066848339526	0.379108162726521	0.0955259610229533	0.240668208628037	0.245728643421474	0.239187099100639	0.436815455830537	0.198190516879255	0.223344972136904	0.24689041925693	0.395906234226647	0.329484857883205	0.378984352834738	0.396791172687323	0	0.3323678644046	0.227334882437173	0.247893152679677	0.208521771281718	0.363172367386716	0.293805873854575	0.413940837479051	0.277094258813898	0.431919111174029
Flex_D07-NF-R1	0.349177709902609	0.19115605862132	0.258123345960432	0.0847186377924822	0.379605541594736	0.313795229219865	0.310414905127829	0.314133992922602	0.257297244850351	0.406335762035539	0.0776996659977603	0.206768627674869	0.358309959197452	0.134248047600214	0.349553595792174	0.375907874393448	0.189174045725149	0.363239781880034	0.378033146192107	0.206178192653999	0.40620922870583	0.205297447751538	0.346399814428974	0.26075920333901	0.189708145669027	0.407635934757162	0.145965457058777	0.0848407393227781	0.361773119937009	0.146741149227945	0.3323678644046	0	0.23031172638467	0.290464163658481	0.37246478087491	0.322875664959069	0.174554050198529	0.157876666058362	0.146431579389675	0.324805509975541
Flex_D08-NF-R1	0.478402556014228	0.125343299844371	0.0556927154203061	0.188628161617628	0.236282474923562	0.186980711397347	0.186079729056034	0.187151814545048	0.0549423340793036	0.213290935255998	0.190304700635558	0.178508702467684	0.400259347186358	0.231977903354395	0.478477817362841	0.234083010124979	0.130238100696017	0.408609389342813	0.235245238046086	0.17826854376241	0.213094422074698	0.178038355411503	0.473914249348793	0.0627837881555545	0.12917849517275	0.214691001508504	0.235186246992029	0.189830166483883	0.405574587346884	0.235114784650673	0.227334882437173	0.23031172638467	0	0.203788163656195	0.183123688397718	0.416579876402512	0.201849538345697	0.268860935360466	0.204252048975176	0.458202491641095
Flex_D05-NF-R1	0.403860522749467	0.190054896404385	0.212949434019402	0.274813423716713	0.258813835297962	0.0589287213868007	0.0593894874324995	0.0595302683346534	0.212851587484662	0.260675344125465	0.275479819770167	0.158318034856264	0.378763876372259	0.28933584797176	0.403372443230337	0.255224401817437	0.190041693214991	0.38111870954068	0.257197884731593	0.158257967873122	0.26048968554946	0.157547449600792	0.402308007871874	0.209088288187786	0.189592911434496	0.26226296439828	0.291128179971537	0.274714569172966	0.379268003245431	0.290761944632757	0.247893152679677	0.290464163658481	0.203788163656195	0	0.223009830556042	0.414770433088411	0.186023051342859	0.328863362291137	0.211259780274209	0.391240150836934
