XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
XT_D04-NFlex-R1-A	0	0.000590021500214995	0.000810013600136014	0.000750013600136018	0.00134002150021501	0.000819992099920982	0.000650006500064971	0.00076999209992096	0.000800013600136036	0.00539999209992099	0.000700013600135992	0.000630021400213996	0.00063997600006399	0.000720021500215021	6.00136001360312e-05	0.00126002150021503	0.00033001360013601	0.00079000790007894	0.00126002150021503	0.000590021400214042	0.00540999209992097	0.00070002140021402	1.99911999119705e-05	0.000840013600136059	0.000740021500214998	0.00573992680057393	0.000770021500214998	0.000730013600135994	0.00069999119991195	0.000770021500214998	0.00123002150021503	0.000650006500065011	0.000660013600136057	0.00147997939979397	0.00501999209992094	0.00227999119991201	0.000790021400214022	0.000810008100081032	0.00106002150021505	0.000810008100080981
XT_D06-NFlex-R1-A	0.000590021500214995	0	0.000799999999999981	0.000510000000000024	0.000750000000000014	0.00121999999999998	0.00118002740027397	0.00128999999999995	0.000839999999999958	0.00576999999999998	0.000550000000000002	0.000210000000000001	0.00103998480015198	0.000440000000000026	0.000549999999999963	0.000670000000000036	0.000499999999999984	0.00119001670016693	0.000670000000000036	0.000169999999999953	0.00577999999999996	0.000250000000000026	0.000609999999999964	0.000929999999999935	0.000150000000000003	0.00610993410065892	0.000410000000000003	0.00049	0.00109999999999994	0.000410000000000003	0.000640000000000036	0.000520010100100983	0.000839999999999937	0.00206999999999997	0.00539999999999994	0.00268	0.000230000000000027	0.000289992199922038	0.000500000000000056	0.00124002800027998
XT_D08-NFlex-R1-C	0.000810013600136014	0.000799999999999981	0	0.000300000000000005	0.000979999999999995	0.000979999999999995	0.000950027400273985	0.00105999999999997	4.99999999999772e-05	0.00515	0.000249999999999979	0.000669999999999981	0.000609988500115003	0.000510000000000007	0.000749999999999982	0.000900000000000017	0.000480000000000003	0.000530010700106952	0.000900000000000017	0.000680000000000028	0.00510999999999998	0.000700000000000006	0.000819999999999984	0.000129999999999955	0.000829999999999983	0.00548992730072694	0.000589999999999984	0.000309999999999981	0.000629999999999963	0.000589999999999984	0.000920000000000017	0.000279990399903997	0.000189999999999956	0.00183999999999999	0.00512999999999995	0.00242000000000002	0.000810000000000008	0.000749995099951019	0.000770000000000037	0.00162002170021699
XT_D07-NFlex-R1-C	0.000750013600136018	0.000510000000000024	0.000300000000000005	0	0.00073999999999999	0.00122	0.00119002740027399	0.00129999999999998	0.000339999999999982	0.00539000000000001	0.000100000000000026	0.000369999999999977	0.000719977400226006	0.000210000000000002	0.000689999999999987	0.000660000000000013	0.000420000000000008	0.000740022800227958	0.000660000000000013	0.000399999999999977	0.00534999999999998	0.000400000000000002	0.000759999999999988	0.000429999999999959	0.000529999999999979	0.00572992730072695	0.00028999999999998	2.00000000000239e-05	0.000759999999999967	0.00028999999999998	0.000630000000000012	0.000120016700167008	0.000429999999999961	0.00207999999999999	0.00536999999999996	0.00266000000000003	0.000510000000000003	0.000449995099951014	0.000470000000000032	0.001560021700217
XT_D10-NFlex-R1-C	0.00134002150021501	0.000750000000000014	0.000979999999999995	0.00073999999999999	0	0.00195999999999999	0.00193002740027398	0.00203999999999997	0.00102999999999997	0.00613	0.000840000000000016	0.000720000000000014	0.001459977400226	0.000619999999999988	0.00129999999999998	7.99999999999778e-05	0.00116	0.00148002280022795	7.99999999999778e-05	0.000759999999999967	0.00608999999999997	0.000649999999999989	0.00135999999999998	0.00107999999999995	0.000600000000000011	0.00646992730072694	0.000570000000000011	0.000750000000000014	0.00149999999999996	0.000570000000000011	0.000149999999999978	0.000860016700166998	0.00116999999999995	0.00281999999999998	0.00610999999999995	0.00340000000000002	0.000559999999999987	0.000530013400133977	0.000279999999999958	0.00199002800027999
XT_D05-NFlex-R1-C	0.000819992099920982	0.00121999999999998	0.000979999999999995	0.00122	0.00195999999999999	0	0.000169985599856011	0.000129999999999978	0.000930000000000018	0.00458000000000001	0.00111999999999997	0.00124999999999998	0.000820018599813993	0.00134	0.000800000000000013	0.00188000000000001	0.000799999999999991	0.000859981799818042	0.00188000000000001	0.00121000000000002	0.00458999999999998	0.00132	0.000810000000000011	0.00088000000000004	0.00135999999999998	0.00491993470065295	0.00138999999999998	0.00120999999999998	0.000820000000000032	0.00138999999999998	0.00185000000000001	0.00109998339983399	0.000790000000000039	0.000859999999999993	0.00419999999999996	0.00146000000000003	0.00141	0.00142998669986701	0.00168000000000003	0.001010021700217
XT_D05-NFlex-R1-A	0.000650006500064971	0.00118002740027397	0.000950027400273985	0.00119002740027399	0.00193002740027398	0.000169985599856011	0	0.000119985599855989	0.000900027400274008	0.00474998559985602	0.00109002740027396	0.00122002730027297	0.000790045100078983	0.00131002740027399	0.000630027400274003	0.001850027400274	0.000770027400273982	0.000830008300083032	0.001850027400274	0.00118002730027301	0.004759985599856	0.00129002730027299	0.000640014500145	0.00085002740027403	0.00133002740027397	0.00508992030050896	0.00136002740027397	0.00118002740027397	0.000790026500265023	0.00136002740027397	0.001820027400274	0.00107001070010698	0.000760027400274029	0.000889973499735003	0.00436998559985597	0.00162998469984704	0.00138002730027299	0.00140001400014	0.00165002740027402	0.000870008700087011
XT_D05-NFlex-R1-B	0.00076999209992096	0.00128999999999995	0.00105999999999997	0.00129999999999998	0.00203999999999997	0.000129999999999978	0.000119985599855989	0	0.00101	0.00463000000000003	0.00119999999999995	0.00132999999999995	0.00090001859981397	0.00141999999999998	0.00074999999999999	0.00195999999999999	0.000879999999999969	0.000939981799818019	0.00195999999999999	0.00129	0.00464000000000001	0.00139999999999998	0.000759999999999989	0.000960000000000018	0.00143999999999996	0.00496993470065297	0.00146999999999996	0.00128999999999995	0.00090000000000001	0.00146999999999996	0.00192999999999999	0.00117998339983397	0.000870000000000016	0.000780000000000015	0.00424999999999998	0.00151000000000005	0.00148999999999998	0.00150998669986699	0.00176000000000001	0.00092999369993698
XT_D08-NFlex-R1-B	0.000800013600136036	0.000839999999999958	4.99999999999772e-05	0.000339999999999982	0.00102999999999997	0.000930000000000018	0.000900027400274008	0.00101	0	0.00510000000000003	0.000289999999999956	0.000709999999999959	0.000599988500115026	0.000549999999999984	0.000740000000000005	0.000949999999999994	0.000470000000000026	0.000520010700106975	0.000949999999999994	0.000720000000000005	0.00506	0.000739999999999984	0.000810000000000006	8.99999999999772e-05	0.000869999999999961	0.00543992730072696	0.000629999999999961	0.000349999999999958	0.000619999999999985	0.000629999999999961	0.000959999999999994	0.000319990399903975	0.000139999999999979	0.00179000000000001	0.00507999999999998	0.00237000000000004	0.000849999999999985	0.000789995099950996	0.000810000000000014	0.00161002170021702
XT_D02-NFlex-R1-B	0.00539999209992099	0.00576999999999998	0.00515	0.00539000000000001	0.00613	0.00458000000000001	0.00474998559985602	0.00463000000000003	0.00510000000000003	0	0.00528999999999998	0.00561999999999998	0.005080011199888	0.00551000000000001	0.00538000000000002	0.00605000000000002	0.00527	0.00505998179981805	0.00605000000000002	0.00563000000000003	5.00000000000245e-05	0.00565000000000001	0.00539000000000002	0.00505000000000005	0.00579999999999999	0.00033993470065294	0.00555999999999999	0.00537999999999998	0.00506000000000004	0.00555999999999999	0.00602000000000002	0.005269983399834	0.00496000000000005	0.00434000000000002	0.000380000000000048	0.00402999999999998	0.00576000000000001	0.00569999509995102	0.00585000000000004	0.00555999369993701
