XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
XT_D04-NFlex-R1-A	0	0.228374534303183	0.359664371967134	0.192132979894616	0.419575423202969	0.372162992009056	0.368751423703885	0.37328304604888	0.359212540652275	0.440944747538529	0.189865626229579	0.229598485910361	0.30828608982611	0.204314363684277	0.00127857433552557	0.414998981683948	0.224760013020393	0.311496858915552	0.416887257425592	0.228949426376377	0.441723836364236	0.229152083749814	0.00723072209906181	0.361794976036189	0.225426555089721	0.442717274064762	0.206907587161747	0.190623688331456	0.311233319904009	0.208041007312203	0.36143963355285	0.154145609606019	0.333844577548087	0.327822116691367	0.410635207483771	0.226771708558191	0.188209421181408	0.169170408892844	0.159191446004814	0.0307507540452013
XT_D06-NFlex-R1-A	0.228374534303183	0	0.13614656856444	0.0977856457033125	0.208095827038668	0.16457284048345	0.16261510545126	0.165140108828841	0.135825204631439	0.217597138806862	0.0998529644622719	0.0674507637148085	0.136913244526958	0.108607377180349	0.22821575101476	0.203098078641684	0.00499417787664569	0.145245155965805	0.205457271923322	0.0668535820098983	0.218126004759589	0.0654008289311246	0.227430047871285	0.139057441669539	0.00372724228857416	0.219799934733576	0.105895357740135	0.0991148355407182	0.142489500860646	0.10549220567156	0.151339349074155	0.129797254222875	0.111510457274752	0.12080270702106	0.187708302861232	0.210464829584641	0.10392040733459	0.150767931649786	0.0868088277013242	0.23747087803949
XT_D08-NFlex-R1-C	0.359664371967134	0.13614656856444	0	0.184414315007883	0.0848612003588521	0.106218045062258	0.108698667970045	0.106152293531433	0.000891943342461996	0.0913119549187135	0.186441695088165	0.172553010267572	0.163079664189261	0.19465583763178	0.359585455858028	0.0800136023123931	0.14021045977048	0.167880765442039	0.0823228762211574	0.172884331769416	0.09147099714999	0.172189665249204	0.358815143132156	0.00361137194693303	0.139593730934259	0.0936144166913753	0.192274395388964	0.185733379409115	0.165429165266557	0.191711384582045	0.097781338217729	0.23385985809728	0.0367006420218136	0.114155787282814	0.0574218277685563	0.304735749742516	0.2290647033249	0.245820128406914	0.22069498319085	0.368275473521178
XT_D07-NFlex-R1-C	0.192132979894616	0.0977856457033125	0.184414315007883	0	0.261924001058813	0.24908381779482	0.247385489091035	0.249461389327249	0.184073088830754	0.262734032244119	0.00365762711746127	0.100326955947897	0.154976474321851	0.0348355736917907	0.192103106244898	0.257246594879203	0.0948331713470627	0.158247220292416	0.259336003537032	0.099859091357649	0.263283134283102	0.0999804609790651	0.191492881358016	0.186505021280476	0.0962494165894905	0.264576790956634	0.0350477012509239	0.00284990481311784	0.15797349900449	0.0352282610729273	0.203497096688272	0.0543963983396667	0.159536956141935	0.203462471356577	0.230794597006386	0.202605893981838	0.122090675470497	0.0776077730039663	0.0973578810756587	0.20156418207367
XT_D10-NFlex-R1-C	0.419575423202969	0.208095827038668	0.0848612003588521	0.261924001058813	0	0.11241292128167	0.115721904848808	0.111817809194548	0.0850027967924922	0.0773954790958191	0.265181630086957	0.231477028596349	0.1956790486897	0.273816123842467	0.419956932562983	0.00684616684896448	0.211449326531906	0.201490385897378	0.00442499611589074	0.231877512232098	0.0781745127005437	0.232494080162996	0.418206232282872	0.082500326639314	0.210162624925693	0.0791281237763116	0.271504300860172	0.263372851893431	0.198169633926785	0.271011338466295	0.0941049273678139	0.313350291158663	0.11395945652417	0.157824235302174	0.0771846275069584	0.323843523668574	0.291210388671451	0.325329573211905	0.282712152240214	0.42577369638093
XT_D05-NFlex-R1-C	0.372162992009056	0.16457284048345	0.106218045062258	0.24908381779482	0.11241292128167	0	0.00659681202557619	0.00179237901525923	0.106835984812148	0.124151439261891	0.251431042511883	0.188973974912233	0.223910513574492	0.253779877753278	0.372384461763296	0.11293457039415	0.166423744578761	0.229181741363817	0.112344746764788	0.188943084425402	0.124761994851035	0.188640261968826	0.370853846015421	0.107348940618317	0.165587634065667	0.123890481051754	0.250967863023858	0.250323468267672	0.226530079163749	0.250584319570699	0.159356359838317	0.281625477101279	0.106779562350714	0.057967264523285	0.120566482118298	0.358494700026913	0.226943022466674	0.295998815307799	0.228084211578473	0.377730759948152
XT_D05-NFlex-R1-A	0.368751423703885	0.16261510545126	0.108698667970045	0.247385489091035	0.115721904848808	0.00659681202557619	0	0.00782928560565362	0.10930586191624	0.127380728224205	0.24894371904553	0.18749524337553	0.222621791011813	0.251301556336538	0.368642719571695	0.115422133243507	0.16565752898764	0.22792302990676	0.115622359111903	0.187354452452238	0.127602249338157	0.186092072091353	0.36694203489558	0.109909620741603	0.164821418474546	0.127580045818566	0.248628191155645	0.248575014228583	0.225281800499611	0.248086110729703	0.156538146300101	0.279358410836517	0.104512503493268	0.0541350378609351	0.123446436221679	0.356046086720096	0.224104507648201	0.293390554970029	0.222831129423405	0.373229030621201
XT_D05-NFlex-R1-B	0.37328304604888	0.165140108828841	0.106152293531433	0.249461389327249	0.111817809194548	0.00179237901525923	0.00782928560565362	0	0.106750238285956	0.124195595729356	0.251808597535511	0.189592157935293	0.223858518441945	0.254398162564142	0.373524522805451	0.113109586676534	0.166992250103533	0.229159750330447	0.112499765449916	0.189561266347609	0.12480617853464	0.1892584436908	0.371963899056156	0.107263191090324	0.16602616340275	0.123934656131315	0.251545675835514	0.250701043701233	0.226518521223428	0.251192623498885	0.159954455890574	0.282062945840802	0.107237038292054	0.0585475692788488	0.120541151339005	0.359153218630408	0.227661357700462	0.296436989054978	0.229304992122644	0.378820841818288
XT_D08-NFlex-R1-B	0.359212540652275	0.135825204631439	0.000891943342461996	0.184073088830754	0.0850027967924922	0.106835984812148	0.10930586191624	0.106750238285956	0	0.0916146544871555	0.186120066549325	0.172100809204882	0.163027496324155	0.194673993093303	0.359133624543169	0.0801652187530412	0.13989909083542	0.167848605179191	0.0824744920616133	0.172432131307056	0.0915038419869557	0.171717781126889	0.358363313017776	0.00371332683608792	0.139262370803162	0.0939271038540353	0.192272531043812	0.185382151731697	0.165387011707232	0.191439645697572	0.097570093428473	0.233538539077283	0.0359882773037799	0.114353405922543	0.0578541348746956	0.304393588391354	0.228312511877732	0.245538381819296	0.219953302547978	0.367543767467366
XT_D02-NFlex-R1-B	0.440944747538529	0.217597138806862	0.0913119549187135	0.262734032244119	0.0773954790958191	0.124151439261891	0.127380728224205	0.124195595729356	0.0916146544871555	0	0.265481738116724	0.25668375638038	0.245469982100684	0.272515624904466	0.44083582022527	0.0800402778814467	0.22140092698182	0.250331095355773	0.0798997695223398	0.256995055571517	0.000930496955345173	0.256730582010093	0.440205568124429	0.0891107575918345	0.220804148927762	0.00240276990342453	0.26996399279856	0.264092823665396	0.247829565913183	0.269691134638174	0.167039529091267	0.313080227744005	0.1265626790301	0.172152803395912	0.0388024352492356	0.387705981074982	0.31434574731144	0.323669840951355	0.303705827881185	0.450246133990876
