XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
XT_D04-NFlex-R1-A	0	0.224786351043133	0.342655064922393	0.182119956442066	0.356510988995073	0.326222195551288	0.321377085883574	0.326226580598235	0.342639587619936	0.41252847717998	0.179439795632417	0.213704490057063	0.189576323090965	0.187746084657168	0.00109817640833024	0.353506233480981	0.220179006356566	0.184877084708772	0.353804561245526	0.212884705417253	0.413113742057361	0.212854702416953	0.00671533562070936	0.345468860904616	0.221399370615036	0.414159050843112	0.190772375965393	0.180529861036341	0.187690207643856	0.192072505978394	0.268473156521109	0.131119238056217	0.312720463912803	0.275556334127777	0.380446682876058	0.0512825802753478	0.166694551758732	0.147430632976124	0.153826807664856	0.0249903262748209
XT_D06-NFlex-R1-A	0.224786351043133	0	0.122639515912671	0.091019343132326	0.133724715051313	0.124855054964265	0.122899615524969	0.124140079541823	0.122614048411314	0.192573002186257	0.0928394478382933	0.0517034734241833	0.0549405219706287	0.102594334175598	0.224687378864133	0.130929929633301	0.00464732548280255	0.0614908242836962	0.131108420221252	0.0517335493412532	0.19309827286446	0.0509434700333014	0.223884103304887	0.125493350999887	0.00344697962764107	0.194193593551549	0.0998083607226643	0.0923094197368662	0.0584673830142289	0.0989182717137635	0.0634089655897482	0.119098336883582	0.0926649691112685	0.0744477063887541	0.160701249087436	0.175623829260184	0.102914941264866	0.138859781491448	0.0844134364427512	0.232940539088059
XT_D08-NFlex-R1-C	0.342655064922393	0.122639515912671	0	0.166985384791371	0.0487275521845576	0.0794857252664201	0.0832652239202949	0.078566637292388	0.000150274529747445	0.071483574178709	0.169055687218427	0.164355718861083	0.154578768121541	0.177830352534508	0.342556147160261	0.0474023701185059	0.12714677898533	0.15938796939847	0.0475427917769062	0.164734197806	0.0719487715490241	0.16440416380255	0.341582675141038	0.00286384498839307	0.125856461336548	0.0732140342278583	0.17504438128197	0.168275461895982	0.156584862365106	0.174144291272969	0.0785226764338457	0.214736119082714	0.0335351924760382	0.089912562757536	0.0394316694623246	0.294943172764175	0.219354180866096	0.225868166964439	0.20648291355283	0.350939433116855
XT_D07-NFlex-R1-C	0.182119956442066	0.091019343132326	0.166985384791371	0	0.214472868372102	0.20439374186103	0.202448302221432	0.203688769839438	0.167010020601236	0.236929045684238	0.00270016200972058	0.0695107804060931	0.0386190480813599	0.0174416899528733	0.182021038679933	0.213127685806056	0.087264433977831	0.031988621952449	0.213268111865132	0.0690893344789806	0.237374242454547	0.0694493696824529	0.181037567460985	0.169469141266325	0.0886830291984092	0.238659509233831	0.0182924184772018	0.0016300978058683	0.0351621097265836	0.0186124504804022	0.153238202412794	0.0512206635711375	0.141681669685372	0.154046398385687	0.204827140968052	0.134628077684661	0.0936181254882013	0.0602026734571501	0.0852171787959889	0.190404324636527
XT_D10-NFlex-R1-C	0.356510988995073	0.133724715051313	0.0487275521845576	0.214472868372102	0	0.0531623862146084	0.0588873253083288	0.052948269461904	0.0486929215752945	0.0591083048362071	0.216272976378583	0.179761071801506	0.178334054111572	0.22599786621648	0.356412014315298	0.00302476151469235	0.138231976623695	0.184874351124001	0.00273642264862061	0.180119556448314	0.0596235774146449	0.179809525445214	0.355618748058852	0.0467535138675246	0.136961665575765	0.0607189023022799	0.223201894963983	0.215712942776567	0.181870912254735	0.222301804954982	0.089027829868848	0.242511867524228	0.0740313243988906	0.106357996705934	0.0423824641423321	0.30725843550613	0.234939567411728	0.26225331783316	0.217568115491842	0.364755181239345
XT_D05-NFlex-R1-C	0.326222195551288	0.124855054964265	0.0794857252664201	0.20439374186103	0.0531623862146084	0	0.00576495449753531	0.00103912538311217	0.0793654446359116	0.108010513343718	0.206523864667598	0.153834717968449	0.174315118197134	0.21049765754344	0.326113293494264	0.0508942879933242	0.128519867802357	0.181215671441277	0.0512220829831478	0.153814820392265	0.108505703813184	0.153074746384864	0.325069763757668	0.0801149553638158	0.127041332293621	0.109740954190365	0.207161329431071	0.20589382686533	0.177702128362299	0.20610122342047	0.0631301464270766	0.235462806508314	0.0680235986201152	0.0533056408982231	0.0903559312522016	0.292178993973756	0.18992444663616	0.246282598667066	0.191040379245702	0.333686503345291
XT_D05-NFlex-R1-A	0.321377085883574	0.122899615524969	0.0832652239202949	0.202448302221432	0.0588873253083288	0.00576495449753531	0	0.00594907275157912	0.0831449432897864	0.113715456738482	0.204568429429064	0.151149409087131	0.172349676757458	0.208422244015056	0.321308196229434	0.0559225650935995	0.126564428363061	0.179260237703089	0.0562309221622015	0.151129512111085	0.114220647107907	0.15038944160456	0.320224636483974	0.0838944540176906	0.125085892854326	0.115455897085072	0.205085915902687	0.203938391626796	0.175736686922624	0.204025809892086	0.0602807161413439	0.233507370869764	0.0718030974740519	0.0502418515818798	0.0941154278059053	0.290213552834173	0.187249138754924	0.24418718283845	0.186265280179258	0.328781393278881
XT_D05-NFlex-R1-B	0.326226580598235	0.124140079541823	0.078566637292388	0.203688769839438	0.052948269461904	0.00103912538311217	0.00594907275157912	0	0.0784463566618794	0.107776401292185	0.20580889704707	0.153189517969903	0.173580139874279	0.20986265180882	0.326157695545553	0.0499835092471746	0.127804892379915	0.180500703520518	0.0502918663157766	0.153169622794271	0.10828159166161	0.15243954978697	0.325074130298336	0.0791958673897837	0.126326356871179	0.109516841238647	0.20652632369645	0.205178859244802	0.176967150039444	0.205466217685849	0.0631945515784486	0.234747838087642	0.067104510446017	0.0534597483496463	0.0894068372770052	0.291444015350802	0.189279243536686	0.245617591932692	0.191124785997202	0.33367087538849
XT_D08-NFlex-R1-B	0.342639587619936	0.122614048411314	0.000150274529747445	0.167010020601236	0.0486929215752945	0.0793654446359116	0.0831449432897864	0.0784463566618794	0	0.0715291240890625	0.168980138808328	0.164280170250962	0.154543298720013	0.177874979043266	0.342540669857804	0.0473577415094928	0.127111309383661	0.159352501997162	0.04749816086764	0.164658648395791	0.0719943196591796	0.164328614592363	0.341567198038604	0.00290930748908376	0.125830995535386	0.0732595823380137	0.175079007990804	0.168290097405844	0.156549392963578	0.174178917981804	0.0784972084323939	0.21465057017259	0.0334496437659368	0.0898570066465305	0.0394772175724801	0.29492769566174	0.219278632155964	0.225812610053346	0.20643744585152	0.350923955814398
XT_D02-NFlex-R1-B	0.41252847717998	0.192573002186257	0.071483574178709	0.236929045684238	0.0591083048362071	0.108010513343718	0.113715456738482	0.107776401292185	0.0715291240890625	0	0.239169180192314	0.234629202931438	0.223312170588928	0.246524224063031	0.412489575821493	0.0618430921546078	0.197100243054838	0.228111405570278	0.0616745876647375	0.234987684977808	0.000585268877820755	0.234687656475033	0.411536089596783	0.0687900005249083	0.195829949810156	0.00174046614984635	0.244358629572643	0.238239124488976	0.225218282835457	0.243408528562242	0.148006117903303	0.284669597155315	0.104688752554258	0.16118612643572	0.0325320031265132	0.363766595734231	0.289817693540889	0.295981595227338	0.276466396525683	0.420502827275641
