XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
XT_D04-NFlex-R1-A	0	0.597549835590101	0.635292544244005	0.540159810769181	0.756958735430581	0.649658064715154	0.64755730425705	0.650144334705179	0.63576213225668	0.691276894627247	0.538530551520117	0.521255637703737	0.515910449252689	0.590843183448461	0.00651291341095426	0.754686528629357	0.595409032412509	0.5183070848484	0.756489484680417	0.520296888264822	0.691681572286549	0.520182341494641	0.0162114640980545	0.634362451615177	0.59588244764833	0.692028637445678	0.593541809710098	0.539578630393849	0.517418101178847	0.595003058184363	0.754548177819345	0.521284725643858	0.635211218876087	0.648233671817713	0.687070835633761	0.503028551571153	0.521258090301985	0.598745132155062	0.579520392586781	0.0858150916238019
XT_D06-NFlex-R1-A	0.597549835590101	0	0.42702409179608	0.454772360426874	0.576184447855844	0.454326546084792	0.453530335117726	0.454778668175826	0.426395705919361	0.615368421322904	0.452779665583717	0.439779657550437	0.557992832517136	0.511934929125296	0.597512030963437	0.575352478801206	0.0125335354992844	0.561724472303168	0.576495435747372	0.438382360590577	0.616020515100392	0.439262852244787	0.596356131373085	0.428124440047588	0.0103970455453926	0.615170425958462	0.509783018576737	0.453518271818773	0.560882949761472	0.510447337669052	0.587103368282559	0.455021037550834	0.43672322555454	0.459360333451941	0.619625386879956	0.547584376477034	0.460261598471703	0.508938384200776	0.119371612970636	0.588240271361259
XT_D08-NFlex-R1-C	0.635292544244005	0.42702409179608	0	0.508398328727684	0.634503641988841	0.567558828061118	0.567067715519312	0.567802325036385	0.0075560154597125	0.532539304442209	0.507544635978017	0.480825733268802	0.591931200472305	0.474801097457031	0.635349075750692	0.632992289188063	0.426223929565724	0.59612332684863	0.634444251217263	0.479820842147368	0.53340557185193	0.479366491039729	0.633964765089354	0.0138726419447176	0.427200064264772	0.533158409320566	0.479151805105343	0.508558221257041	0.595047105830854	0.480163804685617	0.646374376866456	0.514906927650353	0.0755225061078676	0.576129315591356	0.524422900832443	0.6055349771161	0.501011694891767	0.502441120475799	0.438066945794178	0.626946449363595
XT_D07-NFlex-R1-C	0.540159810769181	0.454772360426874	0.508398328727684	0	0.618469790450965	0.527278849599901	0.526603500723111	0.527239468179628	0.508692559338716	0.596058147149627	0.0121955178116604	0.467106233648843	0.519024693614111	0.488435381891396	0.54061662093095	0.616101213982649	0.453813968817153	0.523077374645005	0.618362605593116	0.467034378476971	0.596332904313742	0.467968277144474	0.540089653848343	0.511456412636792	0.454611217628627	0.5963569054759	0.490119264122554	0.00788591614506788	0.521825979729556	0.491427959626061	0.636003156522686	0.139844583904933	0.512551117926325	0.536365677962618	0.595143804312502	0.529398444350446	0.487854272245928	0.498620685674953	0.471080349658017	0.539521151787858
XT_D10-NFlex-R1-C	0.756958735430581	0.576184447855844	0.634503641988841	0.618469790450965	0	0.587779124523973	0.593087032487651	0.588516914678024	0.634666904380984	0.599652244787301	0.61645604553752	0.600937879145225	0.684662201166719	0.640256125569276	0.757174429136243	0.0119633536034038	0.576173600452159	0.685269275609765	0.00871910043198063	0.600148773349014	0.600937963622807	0.600665671929062	0.759433702843502	0.63261307813012	0.576488274441712	0.598661484815272	0.646810497368438	0.617886571337907	0.684303771713497	0.648366318556727	0.111281564145279	0.6270657908997	0.647953455401691	0.600495015051251	0.597293185001868	0.688364852913554	0.626604078667602	0.659367822835304	0.631048005688384	0.758007649552123
XT_D05-NFlex-R1-C	0.649658064715154	0.454326546084792	0.567558828061118	0.527278849599901	0.587779124523973	0	0.0168508801431215	0.00816447669827517	0.567633145081729	0.543866986146541	0.526366097343404	0.515867609174714	0.612497251781618	0.566453222731514	0.649731446417788	0.587477028457689	0.454771592178707	0.614633647043162	0.588036658048227	0.51515904609101	0.544118900078888	0.516050392711972	0.649700167798137	0.568066917413717	0.45442695719025	0.543245921914124	0.566704775528676	0.526704682656076	0.61377506092428	0.566360891113028	0.601710553028727	0.5181706728864	0.57101858277113	0.0725214379521971	0.550799484725484	0.61266393308474	0.532114086879732	0.574539818777071	0.474873325552502	0.643416873076182
XT_D05-NFlex-R1-A	0.64755730425705	0.453530335117726	0.567067715519312	0.526603500723111	0.593087032487651	0.0168508801431215	0	0.0158491404188997	0.566671322271232	0.546640851468833	0.525038192550964	0.516059507163435	0.611928541457764	0.565423542535332	0.647206183471847	0.591802670045327	0.454934081115023	0.614143341069191	0.593198827718258	0.515080684480591	0.546203601882058	0.514994890648151	0.647046169568364	0.567362059488117	0.454615470716804	0.546548500160336	0.565699390874208	0.525801518796029	0.613267849323068	0.565356792016445	0.604965725584246	0.516756486438501	0.569436972834635	0.0706465514339494	0.553086328227618	0.61123896158467	0.530881229330853	0.573284640943649	0.470700591330704	0.640589029415856
XT_D05-NFlex-R1-B	0.650144334705179	0.454778668175826	0.567802325036385	0.527239468179628	0.588516914678024	0.00816447669827517	0.0158491404188997	0	0.567809351797478	0.544618742798664	0.526407276348551	0.516647410812625	0.612442326698785	0.567041191978554	0.650197613888157	0.588541729173407	0.454985062501681	0.614583372560889	0.589237476273818	0.515974237582382	0.544696413926686	0.516796108178407	0.650236908131121	0.56858637080895	0.454438782808315	0.544104606072221	0.567271910856136	0.526655257832124	0.613646327828695	0.56696901592581	0.60278243343483	0.51823995744281	0.571157096538953	0.0723097732887982	0.551517891750514	0.613293481773894	0.533087097097996	0.575227677946629	0.475876501093831	0.643891502168111
XT_D08-NFlex-R1-B	0.63576213225668	0.426395705919361	0.0075560154597125	0.508692559338716	0.634666904380984	0.567633145081729	0.566671322271232	0.567809351797478	0	0.532883410190411	0.507929689302341	0.47943994001439	0.592095088613866	0.474302997242164	0.635883395362405	0.633437339535529	0.426400120865764	0.596264226413468	0.634949653818224	0.478344979754495	0.53340818037582	0.477919072629468	0.634357819614918	0.0136187613243725	0.427073740862227	0.533492433888014	0.478381942022137	0.508510319257288	0.595028681933261	0.479176981805802	0.64638689607827	0.514609188097326	0.0737445894436911	0.575674553572452	0.524275062348729	0.605207432118709	0.499385710882132	0.501156266082424	0.436383674877718	0.626949390787612
XT_D02-NFlex-R1-B	0.691276894627247	0.615368421322904	0.532539304442209	0.596058147149627	0.599652244787301	0.543866986146541	0.546640851468833	0.544618742798664	0.532883410190411	0	0.595768657305211	0.587050337337535	0.687822480537005	0.602062461856846	0.691120839716443	0.599542805333853	0.615621481052016	0.689955559781259	0.601348668201873	0.586330276578799	0.00490453372236583	0.586935841692095	0.691626383113955	0.533079071310763	0.615464408609695	0.00684063504489908	0.603371458783958	0.595859626054922	0.688979178300972	0.604503040884169	0.629836734584229	0.6084986402184	0.54530355444999	0.555843737854453	0.0606928384801298	0.709971807768389	0.618901982300634	0.61608806157146	0.627377269895554	0.686464107030875
