sample	tax.level	method	value
XT_D04-NFlex-R1-A	kingdom	shannon	0.017
XT_D06-NFlex-R1-A	kingdom	shannon	0.013
XT_D08-NFlex-R1-C	kingdom	shannon	0.014
XT_D07-NFlex-R1-C	kingdom	shannon	0.013
XT_D10-NFlex-R1-C	kingdom	shannon	0.007
XT_D05-NFlex-R1-C	kingdom	shannon	0.021
XT_D05-NFlex-R1-A	kingdom	shannon	0.021
XT_D05-NFlex-R1-B	kingdom	shannon	0.022
XT_D08-NFlex-R1-B	kingdom	shannon	0.015
XT_D02-NFlex-R1-B	kingdom	shannon	0.044
XT_D07-NFlex-R1-B	kingdom	shannon	0.014
XT_D09-NFlex-R1-B	kingdom	shannon	0.013
XT_D03-NFlex-R1-C	kingdom	shannon	0.018
XT_D01-NFlex-R1-A	kingdom	shannon	0.012
XT_D04-NFlex-R1-C	kingdom	shannon	0.017
XT_D10-NFlex-R1-A	kingdom	shannon	0.008
XT_D06-NFlex-R1-B	kingdom	shannon	0.016
XT_D03-NFlex-R1-B	kingdom	shannon	0.019
XT_D10-NFlex-R1-B	kingdom	shannon	0.008
XT_D09-NFlex-R1-C	kingdom	shannon	0.013
XT_D02-NFlex-R1-A	kingdom	shannon	0.044
XT_D09-NFlex-R1-A	kingdom	shannon	0.012
XT_D04-NFlex-R1-B	kingdom	shannon	0.017
XT_D08-NFlex-R1-A	kingdom	shannon	0.015
XT_D06-NFlex-R1-C	kingdom	shannon	0.012
XT_D02-NFlex-R1-C	kingdom	shannon	0.046
XT_D01-NFlex-R1-C	kingdom	shannon	0.012
XT_D07-NFlex-R1-A	kingdom	shannon	0.013
XT_D03-NFlex-R1-A	kingdom	shannon	0.019
XT_D01-NFlex-R1-B	kingdom	shannon	0.012
Flex_D10-NF-R1	kingdom	shannon	0.008
Flex_D07-NF-R1	kingdom	shannon	0.014
Flex_D08-NF-R1	kingdom	shannon	0.016
Flex_D05-NF-R1	kingdom	shannon	0.027
Flex_D02-NF-R1	kingdom	shannon	0.045
Flex_D03-NF-R1	kingdom	shannon	0.032
Flex_D09-NF-R1	kingdom	shannon	0.012
Flex_D01-NF-R1	kingdom	shannon	0.011
Flex_D06-NF-R1	kingdom	shannon	0.009
Flex_D04-NF-R1	kingdom	shannon	0.021
XT_D04-NFlex-R1-A	kingdom	simpson	0.004
XT_D06-NFlex-R1-A	kingdom	simpson	0.003
XT_D08-NFlex-R1-C	kingdom	simpson	0.004
XT_D07-NFlex-R1-C	kingdom	simpson	0.003
XT_D10-NFlex-R1-C	kingdom	simpson	0.002
XT_D05-NFlex-R1-C	kingdom	simpson	0.006
XT_D05-NFlex-R1-A	kingdom	simpson	0.005
XT_D05-NFlex-R1-B	kingdom	simpson	0.006
XT_D08-NFlex-R1-B	kingdom	simpson	0.004
XT_D02-NFlex-R1-B	kingdom	simpson	0.014
XT_D07-NFlex-R1-B	kingdom	simpson	0.003
XT_D09-NFlex-R1-B	kingdom	simpson	0.003
XT_D03-NFlex-R1-C	kingdom	simpson	0.005
XT_D01-NFlex-R1-A	kingdom	simpson	0.003
XT_D04-NFlex-R1-C	kingdom	simpson	0.004
XT_D10-NFlex-R1-A	kingdom	simpson	0.002
XT_D06-NFlex-R1-B	kingdom	simpson	0.004
XT_D03-NFlex-R1-B	kingdom	simpson	0.005
XT_D10-NFlex-R1-B	kingdom	simpson	0.002
XT_D09-NFlex-R1-C	kingdom	simpson	0.003
XT_D02-NFlex-R1-A	kingdom	simpson	0.014
XT_D09-NFlex-R1-A	kingdom	simpson	0.003
XT_D04-NFlex-R1-B	kingdom	simpson	0.004
XT_D08-NFlex-R1-A	kingdom	simpson	0.004
XT_D06-NFlex-R1-C	kingdom	simpson	0.003
XT_D02-NFlex-R1-C	kingdom	simpson	0.014
XT_D01-NFlex-R1-C	kingdom	simpson	0.003
XT_D07-NFlex-R1-A	kingdom	simpson	0.003
XT_D03-NFlex-R1-A	kingdom	simpson	0.005
XT_D01-NFlex-R1-B	kingdom	simpson	0.003
Flex_D10-NF-R1	kingdom	simpson	0.002
Flex_D07-NF-R1	kingdom	simpson	0.003
Flex_D08-NF-R1	kingdom	simpson	0.004
Flex_D05-NF-R1	kingdom	simpson	0.007
Flex_D02-NF-R1	kingdom	simpson	0.014
Flex_D03-NF-R1	kingdom	simpson	0.008
Flex_D09-NF-R1	kingdom	simpson	0.003
Flex_D01-NF-R1	kingdom	simpson	0.003
Flex_D06-NF-R1	kingdom	simpson	0.002
Flex_D04-NF-R1	kingdom	simpson	0.006
XT_D04-NFlex-R1-A	phylum	shannon	0.72
XT_D06-NFlex-R1-A	phylum	shannon	0.861
XT_D08-NFlex-R1-C	phylum	shannon	0.824
XT_D07-NFlex-R1-C	phylum	shannon	0.758
XT_D10-NFlex-R1-C	phylum	shannon	0.89
XT_D05-NFlex-R1-C	phylum	shannon	1.048
XT_D05-NFlex-R1-A	phylum	shannon	1.055
XT_D05-NFlex-R1-B	phylum	shannon	1.046
XT_D08-NFlex-R1-B	phylum	shannon	0.824
XT_D02-NFlex-R1-B	phylum	shannon	0.788
XT_D07-NFlex-R1-B	phylum	shannon	0.757
XT_D09-NFlex-R1-B	phylum	shannon	0.969
XT_D03-NFlex-R1-C	phylum	shannon	0.829
XT_D01-NFlex-R1-A	phylum	shannon	0.827
XT_D04-NFlex-R1-C	phylum	shannon	0.721
XT_D10-NFlex-R1-A	phylum	shannon	0.895
XT_D06-NFlex-R1-B	phylum	shannon	0.86
XT_D03-NFlex-R1-B	phylum	shannon	0.818
XT_D10-NFlex-R1-B	phylum	shannon	0.894
XT_D09-NFlex-R1-C	phylum	shannon	0.969
XT_D02-NFlex-R1-A	phylum	shannon	0.788
XT_D09-NFlex-R1-A	phylum	shannon	0.969
XT_D04-NFlex-R1-B	phylum	shannon	0.735
XT_D08-NFlex-R1-A	phylum	shannon	0.822
XT_D06-NFlex-R1-C	phylum	shannon	0.861
XT_D02-NFlex-R1-C	phylum	shannon	0.788
XT_D01-NFlex-R1-C	phylum	shannon	0.834
XT_D07-NFlex-R1-A	phylum	shannon	0.756
XT_D03-NFlex-R1-A	phylum	shannon	0.825
XT_D01-NFlex-R1-B	phylum	shannon	0.836
Flex_D10-NF-R1	phylum	shannon	0.923
Flex_D07-NF-R1	phylum	shannon	0.762
Flex_D08-NF-R1	phylum	shannon	0.856
Flex_D05-NF-R1	phylum	shannon	1.044
Flex_D02-NF-R1	phylum	shannon	0.803
Flex_D03-NF-R1	phylum	shannon	0.721
Flex_D09-NF-R1	phylum	shannon	0.978
Flex_D01-NF-R1	phylum	shannon	0.855
Flex_D06-NF-R1	phylum	shannon	0.882
Flex_D04-NF-R1	phylum	shannon	0.771
XT_D04-NFlex-R1-A	phylum	simpson	0.353
XT_D06-NFlex-R1-A	phylum	simpson	0.517
XT_D08-NFlex-R1-C	phylum	simpson	0.523
XT_D07-NFlex-R1-C	phylum	simpson	0.448
XT_D10-NFlex-R1-C	phylum	simpson	0.55
XT_D05-NFlex-R1-C	phylum	simpson	0.592
XT_D05-NFlex-R1-A	phylum	simpson	0.594
XT_D05-NFlex-R1-B	phylum	simpson	0.591
XT_D08-NFlex-R1-B	phylum	simpson	0.523
XT_D02-NFlex-R1-B	phylum	simpson	0.515
XT_D07-NFlex-R1-B	phylum	simpson	0.446
XT_D09-NFlex-R1-B	phylum	simpson	0.533
XT_D03-NFlex-R1-C	phylum	simpson	0.481
XT_D01-NFlex-R1-A	phylum	simpson	0.461
XT_D04-NFlex-R1-C	phylum	simpson	0.354
XT_D10-NFlex-R1-A	phylum	simpson	0.552
XT_D06-NFlex-R1-B	phylum	simpson	0.516
XT_D03-NFlex-R1-B	phylum	simpson	0.475
XT_D10-NFlex-R1-B	phylum	simpson	0.552
XT_D09-NFlex-R1-C	phylum	simpson	0.532
XT_D02-NFlex-R1-A	phylum	simpson	0.515
XT_D09-NFlex-R1-A	phylum	simpson	0.533
XT_D04-NFlex-R1-B	phylum	simpson	0.362
XT_D08-NFlex-R1-A	phylum	simpson	0.523
XT_D06-NFlex-R1-C	phylum	simpson	0.517
XT_D02-NFlex-R1-C	phylum	simpson	0.515
XT_D01-NFlex-R1-C	phylum	simpson	0.464
XT_D07-NFlex-R1-A	phylum	simpson	0.446
XT_D03-NFlex-R1-A	phylum	simpson	0.478
XT_D01-NFlex-R1-B	phylum	simpson	0.465
Flex_D10-NF-R1	phylum	simpson	0.556
Flex_D07-NF-R1	phylum	simpson	0.427
Flex_D08-NF-R1	phylum	simpson	0.528
Flex_D05-NF-R1	phylum	simpson	0.581
Flex_D02-NF-R1	phylum	simpson	0.519
Flex_D03-NF-R1	phylum	simpson	0.373
Flex_D09-NF-R1	phylum	simpson	0.521
Flex_D01-NF-R1	phylum	simpson	0.446
Flex_D06-NF-R1	phylum	simpson	0.508
Flex_D04-NF-R1	phylum	simpson	0.377
XT_D04-NFlex-R1-A	class	shannon	0.983
XT_D06-NFlex-R1-A	class	shannon	0.993
XT_D08-NFlex-R1-C	class	shannon	0.942
XT_D07-NFlex-R1-C	class	shannon	0.908
XT_D10-NFlex-R1-C	class	shannon	1.084
XT_D05-NFlex-R1-C	class	shannon	1.284
XT_D05-NFlex-R1-A	class	shannon	1.291
XT_D05-NFlex-R1-B	class	shannon	1.286
XT_D08-NFlex-R1-B	class	shannon	0.941
XT_D02-NFlex-R1-B	class	shannon	0.86
XT_D07-NFlex-R1-B	class	shannon	0.907
XT_D09-NFlex-R1-B	class	shannon	1.237
XT_D03-NFlex-R1-C	class	shannon	1.255
XT_D01-NFlex-R1-A	class	shannon	0.97
XT_D04-NFlex-R1-C	class	shannon	0.984
XT_D10-NFlex-R1-A	class	shannon	1.077
XT_D06-NFlex-R1-B	class	shannon	0.999
XT_D03-NFlex-R1-B	class	shannon	1.263
XT_D10-NFlex-R1-B	class	shannon	1.082
XT_D09-NFlex-R1-C	class	shannon	1.236
XT_D02-NFlex-R1-A	class	shannon	0.857
XT_D09-NFlex-R1-A	class	shannon	1.23
XT_D04-NFlex-R1-B	class	shannon	0.996
XT_D08-NFlex-R1-A	class	shannon	0.94
XT_D06-NFlex-R1-C	class	shannon	1
XT_D02-NFlex-R1-C	class	shannon	0.861
XT_D01-NFlex-R1-C	class	shannon	0.975
XT_D07-NFlex-R1-A	class	shannon	0.902
XT_D03-NFlex-R1-A	class	shannon	1.263
XT_D01-NFlex-R1-B	class	shannon	0.974
Flex_D10-NF-R1	class	shannon	1.135
Flex_D07-NF-R1	class	shannon	0.968
Flex_D08-NF-R1	class	shannon	0.983
Flex_D05-NF-R1	class	shannon	1.307
Flex_D02-NF-R1	class	shannon	0.893
Flex_D03-NF-R1	class	shannon	1.268
Flex_D09-NF-R1	class	shannon	1.266
Flex_D01-NF-R1	class	shannon	1.009
Flex_D06-NF-R1	class	shannon	1.057
Flex_D04-NF-R1	class	shannon	1.055
XT_D04-NFlex-R1-A	class	simpson	0.426
XT_D06-NFlex-R1-A	class	simpson	0.541
XT_D08-NFlex-R1-C	class	simpson	0.543
XT_D07-NFlex-R1-C	class	simpson	0.484
XT_D10-NFlex-R1-C	class	simpson	0.589
