XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Clostridia	74.576678035266	58.9409470473524	50.3190319031903	65.9536381455258	43.7063706370637	42.8098462646409	43.0147536884221	42.7574066294585	50.3735410895198	43.6477459098364	66.1566156615661	57.3354536089692	52.9412941294129	65.7595487413364	74.5174131343642	44.1684168416842	59.1707336586927	52.6302104168333	43.9570769953897	57.4004620600678	43.6554924393951	57.4708965075809	74.0418083616723	50.1495134562111	59.0413137182346	43.4589113020172	65.4688562627515	66.2073103655183	52.6457910370141	65.4048485818298	49.4604514406297	67.5120760868478	52.5532553255326	47.4303318862904	46.6131274440188	60.3402408288995	60.0986108471932	68.4902188262592	62.539628566571	72.4265551698959
Bacteroidia	10.560795335207	33.1166558327916	45.0945094509451	28.2941317652706	46.6036603660366	42.5947968032647	42.110527631908	42.6503830842785	45.0869595655522	53.533141325653	28.0568056805681	28.5697140628282	29.4979497949795	27.1765329492834	10.5689024024324	46.3036303630363	32.6596127690215	29.0313225058005	46.3332433270329	28.5317091221859	53.593287462997	28.5794295315438	10.6511302260452	45.3540818673681	32.7829504655419	53.6978328049524	27.4082889946794	28.1554077703885	29.2742201642181	27.5043005160619	37.8534068066126	23.491114200278	41.7751775177518	37.2876948006482	50.0115012651392	15.494859383126	23.0725379791777	22.1926631195743	24.7562280605254	9.76763726206076
Actinobacteria (1760)	7.77932248482242	4.46722336116806	0.561056105610561	1.6120644825793	0.276027602760276	6.08339918181182	6.32158039509878	6.01432315109324	0.560061606776746	0.295011800472019	1.66116611661166	4.10653384940042	0.944094409440944	1.09514236850791	7.87241703506631	0.297029702970297	4.54236338907113	0.895071605728458	0.281019671376996	4.13353735985678	0.295023601888151	4.17450094011281	8.24664932986597	0.541048694382494	4.56641097698793	0.28802592233301	1.12413489618754	1.6220811040552	0.913100441048515	1.12613513621635	0.368033122981068	3.41530737766399	0.83008300830083	5.99055754496169	0.445048955385092	1.49917990158819	5.47060176619428	1.84022082649918	7.79670170315328	9.57558540806018
Negativicutes	1.61127391656582	0.726036301815091	0.313031303130313	0.0390015600624025	2.51625162516252	1.8984366404273	1.90047511877969	1.89541699173818	0.313034433787717	0.375015000600024	0.039003900390039	2.32130176923	9.75097509750975	0.548071249262404	1.60628913204377	2.39423942394239	0.747059764781183	10.6128490279222	2.52517676237337	2.32530228929761	0.375030002400192	2.30427651318158	1.66333266653331	0.311027992519327	0.744066966026942	0.373033573021572	0.542065047805737	0.0380019000950048	10.2381261938813	0.54406528783454	3.03727335460191	0.048004320388835	0.417041704170417	2.36161401964511	0.478052585784436	13.7476497179662	2.12823410575163	0.747089650758091	1.07409666870018	1.79148370059916
Coriobacteriia	1.34622885890601	1.41007050352518	1.24312431243124	0.167006680267211	4.79147914791479	1.85142582794043	1.92948237059265	1.84240532917242	1.25313784516297	0.280011200448018	0.169016901690169	1.44218748437297	3.16431643164316	0.554072029363817	1.34624232361825	4.93449344934494	1.42011360908873	3.01124089927194	4.93334533417339	1.45318891455889	0.277022161772942	1.46117534104092	1.42728545709142	1.18710683961557	1.41612745147063	0.277024932243902	0.584070088410609	0.166008300415021	3.05633619698167	0.574068888266592	7.44967047034233	0.401036093248392	1.79517951795179	2.01252325604657	0.354038944283871	4.84358122974757	2.03522387462621	1.1591390966916	2.58123231090798	1.73846938673442
Bacilli	0.648110178730384	0.629031451572579	1.03810381038104	1.04504180167207	1.003100310031	1.23128319513488	1.07926981745436	1.3052871631759	0.970106711738291	0.836033441337653	1.001100110011	0.775100763099203	2.03420342034203	1.42318501405183	0.615110719929587	0.762076207620762	0.764061124889991	2.12917033362669	0.84605922414569	0.766099592947083	0.778062244979598	0.685082209865184	0.576115223044609	0.966086947825304	0.750067506075547	0.882079387144843	1.36816417970156	1.05405270263513	2.14923641600576	1.30015601872225	0.457041133702033	0.816073446610195	0.741074107410741	0.87222677896253	0.882097030673374	2.0282433892067	0.384042244646911	1.16814017682122	0.4110369933294	0.391105598511598
Erysipelotrichia	2.19437304341738	0.358017900895045	0.479047904790479	1.43905756230249	0.69006900690069	0.363083509207118	0.368092023005751	0.36908119786353	0.48805368590545	0.287011480459218	1.5001500150015	0.877114024823227	0.813081308130813	0.540070209127187	2.19139445100118	0.705070507050705	0.35202816225298	0.869069525562045	0.698048863420439	0.856111294468281	0.282022561804944	0.837100452054246	2.07241448289658	0.525047254252883	0.351031592843356	0.289026012341111	0.517062047445694	1.33006650332517	0.854093950334537	0.527063247589711	1.03209288835995	3.17928613575222	0.593059305930593	0.566147198271551	0.456050165518207	1.28815457854943	1.48116292792207	0.533063967676121	0.57605184466602	2.65671731367469
Betaproteobacteria	0.0660112219077243	0.0290014500725036	0.344034403440344	0.290011600464019	0.013001300130013	1.57236164317793	1.62240560140035	1.57434635619836	0.341037514126554	0.133005320212809	0.285028502850285	1.81423585066059	0.112011201120112	0.14101833238321	0.0650117021063791	0.017001700170017	0.0280022401792143	0.105008400672054	0.0140009800686048	1.81023533059298	0.132010560844868	1.7932151858223	0.0690138027605521	0.328029522657039	0.0290026102349211	0.131011791061196	0.146017522102652	0.286014300715036	0.107011771294842	0.147017642117054	0.0130011701053095	0.244021961976578	0.582058205820582	1.64342729109568	0.171018812069328	0.0690082809937193	1.4291572072928	0.144017282073849	0.0280025202268204	0.0870234963440129
Gammaproteobacteria	0.220037406359081	0.135006750337517	0.125012501250125	0.116004640185607	0.268026802680268	0.316072696720246	0.311077769442361	0.301066234571606	0.131014411585274	0.30501220048802	0.114011401140114	2.0952723854101	0.385038503850385	0.259033674377669	0.224040327258907	0.28002800280028	0.139011120889671	0.376030082406593	0.272019041332893	2.06026783481853	0.31202496199696	2.03824458935072	0.2250450090018	0.161014491304217	0.145013051174606	0.298026822414017	0.24302916349962	0.116005800290015	0.412045324985748	0.254030483658039	0.188016921522937	0.0760068406156554	0.109010901090109	0.378098305559445	0.247027172989029	0.223026763211585	3.2343557791357	0.21402568308197	0.100009000810073	0.185049963490142
Deltaproteobacteria	0.146024824220117	0.0110005500275014	0.282028202820282	0.540021600864035	0.008000800080008	0.503115716614821	0.537134283570893	0.513112884834664	0.282031023412575	0.130005200208008	0.532053205320532	0.367047716203106	0.081008100810081	0.75109764269355	0.145026104698846	0.009000900090009	0.0110008800704056	0.0770061604928394	0.00800056003920275	0.365047456169302	0.132010560844868	0.367044045285434	0.152030406081216	0.272024482203398	0.011000990089108	0.130011701053095	0.803096371564588	0.533026651332567	0.0780085809439038	0.805096611593391	0.0070006300567051	0.46604194377494	0.398039803980398	0.556144597595375	0.137015071657882	0.0780093611233348	0.44304873536089	0.840100812097452	0.0130011701053095	0.189051043781821
