XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Bacteroidaceae	2.8038038038038	31.3966402193162	38.3302486118753	19.6370148775876	43.7042891874856	30.1478759724072	29.6345248823471	30.0811949981478	38.3191595797899	49.4996998198919	19.5559513327463	24.5801893401117	7.53574752093819	13.6493706601565	2.81575944425537	43.4217108554277	30.9790384711591	7.42308269548252	43.4632970155376	24.5401597181915	49.5492340480884	24.5531693453155	2.83408915718133	38.6795661917721	31.0776064750433	49.6142569818986	13.3301313801419	19.6722459555991	7.51620907708317	13.3349344060521	36.4591357938231	16.4460453249287	33.7746157540826	27.608136122823	45.7784182453191	4.6105039830271	19.4512268342473	9.98649121929254	22.9124562281141	2.88400877219335
Ruminococcaceae	20.3433433433433	28.5031066465227	24.9702366064729	34.9418203283675	11.4598445207056	17.1524113695297	17.6859917893261	17.1881100888039	25.0085042521261	16.5379227536522	34.6203874169535	24.4841182475032	20.484905490459	34.0443839673424	20.3069007627475	11.6368184092046	28.2875581569863	19.9169543248787	11.5816750207602	24.5261493505194	16.5507649513213	24.4691071392831	20.6815428817411	24.4367296302225	28.5214050603784	16.4793820106667	34.5390688319875	35.0984962932578	20.0712398943408	34.5921767584281	13.699438736206	32.7980389214068	27.2824607748959	17.2947692061171	16.2418565552854	23.4378127376806	27.4256494416203	36.0544353829989	30.288144072036	21.6681186849721
Lachnospiraceae	40.0630630630631	21.9526348964951	17.5548997048672	22.3824150316661	21.9712053147105	17.6429951642455	17.3365374987484	17.5515352962967	17.5287643821911	14.1404842905743	22.9138317457776	21.5029121549947	22.583227433283	22.6862505753107	40.1213188925147	22.096048024012	22.4483465906248	22.8475661613888	22.0317955798341	21.5259291875988	14.1413433926016	21.7080639673358	39.3428837432802	17.7965423403234	22.1434074014787	14.0658614927404	21.8773451805601	22.5015757405981	22.7297286480429	21.8066104289874	25.0247616379698	26.2094151783481	17.2700528338136	19.3338073729857	16.4510092367428	26.8514070693727	21.2324380578794	23.6813929053885	24.0990495247624	35.245991928781
Clostridiaceae	5.49249249249249	3.40980719781484	4.05082287029163	2.79742668761068	5.52781918778577	3.62231054955397	3.5776509462301	3.6152298188881	4.0360180090045	4.79487692615569	2.80657168014088	5.56511818745872	5.8696979096831	4.15824545254437	5.51340313507237	5.64682341170585	3.40087047876332	5.80419230576817	5.59173995257676	5.54610411704661	4.78882540699012	5.5250885655385	5.49599062978647	4.04694253241556	3.3845907576561	4.75799753844922	4.18155074595503	2.78030674416976	5.82626270711599	4.17079443226962	5.41254389563095	3.27380059032468	4.23571085494717	5.99493244934953	5.33289301189869	5.6312797726272	6.07713245006605	4.3047981187772	3.2616308154077	6.48701695356546
Bifidobacteriaceae	7.996996996997	4.48737831050457	0.505227352308539	1.56479804700397	0.197100521265846	5.98211872127832	6.22208871532993	5.91892514241663	0.506253126563282	0.267160296177707	1.614904346434	4.09903328463063	0.886558531875081	0.993536509715246	8.09393205341235	0.222111055527764	4.56150882985642	0.839461703937166	0.206100989484848	4.12905550107079	0.268158213345874	4.17108660408702	8.48825219489243	0.487233872258684	4.58715596330275	0.262165164053354	1.0146189175397	1.57373965763909	0.856479628592012	1.01868251728658	0.300141066301161	3.42088148481665	0.780499519692603	5.90079218034872	0.428312668247821	1.44309675353268	5.51174798863227	1.73112523140041	7.88094047023512	9.97085949469763
Eubacteriaceae	5.55455455455455	3.29974886689946	2.22500125056275	3.06756445787352	2.1741087954857	2.17558895085151	2.1387804145389	2.17254187399257	2.23411705852926	1.78206924154493	3.08872968862563	4.0940295818906	2.31946126059417	2.71946851299702	5.47936978238674	2.19209604802401	3.24578518185002	2.38631247185952	2.16906284079199	4.08302143586254	1.78805495242193	4.08502291695855	5.28175711525563	2.37213862654074	3.24052304583154	1.80213534526752	2.57356987762535	3.10545956599602	2.36832626270712	2.55371098636086	2.96039138395046	2.86357496623143	1.8852065321806	2.52976935634095	2.32669848989763	2.8641767743485	3.60244966577273	2.19442637714514	2.98449224612306	5.29936611890528
Rikenellaceae	0.429429429429429	1.818964050947	3.7827022159972	5.10560385796756	1.25864190737276	2.37382485157337	2.45919695604286	2.37878317631629	3.79289644822411	1.66599959975986	4.98979428479949	1.29495826911915	2.43053123467785	8.42154763572329	0.429420832415767	1.26363181590795	1.74796137875832	2.30626844764621	1.26261868315475	1.29295678802314	1.65797820714221	1.30696715569521	0.453494308796588	3.65975668320794	1.79684451692295	1.66004582887219	8.93845245599816	4.97533840905225	2.34331225486272	9.00403270191028	0.797374766140086	4.09925459002451	5.11727505603586	2.26136944046629	1.81532518738679	1.20991953884953	1.34991794420206	8.24035623155051	1.9239619809905	0.605842120547561
Tannerellaceae	0.577577577577577	0.307162796282029	2.5711570206593	2.69337362054648	1.75789652722889	9.84071044543006	9.81576048863523	9.96565982199173	2.56628314157079	3.91835101060636	2.63347474585768	1.95044332806277	0.63640093258753	5.25984031376943	0.590578767191848	1.77288644322161	0.301165641102606	0.616338986442543	1.7518584106212	1.96345295518684	3.93232006884062	1.98747072833897	0.583636163418126	2.58223947494798	0.29713965563815	3.93848124318321	5.34125816748216	2.65824937720729	0.635355799247579	5.36359360771717	1.03848808940202	1.93006153384361	2.61067082933077	7.17469028852991	3.73072342810252	0.382290540811016	1.68514589921146	4.18872266973533	0.266133066533267	0.60784490441714
Prevotellaceae	6.57257257257257	0.0380201506798603	0.042018908508829	0.0280142872865161	0.256130626619576	0.0680810164095273	0.0650846099929909	0.0650761390827268	0.0420210105052526	0.119071442865719	0.0270151284719443	0.206152552889138	18.28652050792	0.0350189102115142	6.55942823967488	0.254127063531766	0.0390214618039922	18.0719395667617	0.256125501495733	0.204151071793127	0.118069661100049	0.202149590697116	6.61921494428928	0.0430206499119577	0.0380178683981471	0.118074386863724	0.0350213630314492	0.0280131661881084	18.1741775394221	0.0360241361712347	0.200094044200774	0.0250137575666617	0.0360230547550432	0.0570850567345345	0.102074514395509	8.71862615587847	0.120081655525758	0.0270175614149197	0.0290145072536268	5.46359439621073
Coriobacteriaceae	1.02402402402402	1.1015838394349	1.03646640988445	0.0130066333830253	4.81945792354101	1.57988005726815	1.64413737859217	1.56983670894947	1.04252126063032	0.112067240344207	0.0130072840790843	1.29295678802314	3.10495612235709	0.020010805835151	1.02800744729835	4.96648324162081	1.10760918505178	2.95362449347141	4.96243159147982	1.30196345295519	0.111065528661911	1.31097011788724	1.08318066692695	0.987473987514007	1.10852100487229	0.111069974083673	0.0220134281911966	0.0130061128730503	2.99867926038582	0.0210140794332203	7.48651866377197	0.0210115563559958	1.47994716618636	1.72056363982334	0.135098621994056	4.77763099955966	1.80923027658808	0.0370240656426677	1.92196098049025	1.29780394748701
