XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Poxviridae	1	0	0	0	0	2	0	5	0	3	4	2	4	0	2	2	1	2	1	8	1	3	1	1	1	1	1	4	5	1	1	18	1	6	4	4	2	2	2	2
Baculoviridae	0	2	0	0	0	1	0	1	0	10	1	3	0	4	1	0	1	1	1	0	12	3	1	0	0	10	3	0	1	4	2	2	1	1	14	1	1	5	0	2
Polydnaviridae	0	0	0	0	0	0	0	1	0	0	0	3	0	2	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	4	0	1
Iridoviridae	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	3	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3
Phycodnaviridae	18	0	2	1	2	0	0	0	6	15	4	19	0	0	10	1	1	0	0	30	9	30	14	4	0	11	0	4	2	2	0	14	7	0	24	6	6	1	0	45
Adenoviridae	0	2	0	0	0	0	0	0	0	0	2	0	0	4	0	0	2	1	0	1	2	0	1	1	0	1	1	1	1	2	0	2	3	0	2	0	0	1	1	1
Corticoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Geminiviridae	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
Microviridae	32	16	137	42	194	448	527	536	175	316	58	121	398	129	38	197	5	334	264	145	298	132	30	145	4	267	125	50	386	95	332	156	80	749	556	1255	75	82	9	97
Inoviridae	88	0	0	2	0	0	0	0	0	8	1	428	0	1	99	1	0	0	0	528	3	401	89	0	0	2	2	1	0	2	3	3	0	0	21	1	291	0	0	265
Myoviridae	46	2225	330	9	18	128	191	184	370	216	15	636	117	567	51	8	16802	102	18	803	265	711	47	352	1620	201	534	9	122	501	37	69	727	374	268	444	778	492	4174	101
Siphoviridae	179	144	1895	3263	15	146	137	155	2118	98	4031	303	1423	1258	160	20	127	1162	20	352	118	257	163	1892	100	116	1252	3653	1324	970	41	18758	2613	257	184	4142	416	923	255	412
Podoviridae	50	3916	17120	5171	1380	23580	24248	26823	20602	196678	6749	8812	14488	11290	41	1222	3625	13990	1510	10182	194455	8338	31	18567	2776	189968	8476	5630	14108	6885	2415	36947	32827	59160	242906	91963	7795	5215	5486	111
Ackermannviridae	6	1	0	1	0	2	0	0	0	33	0	1	0	0	7	0	1	0	0	0	14	0	3	0	1	21	1	0	0	0	0	0	0	0	14	0	0	0	0	5
Herelleviridae	5	2	4	0	2	0	1	0	4	3	2	2	0	7	2	2	2	0	0	2	1	0	0	5	2	4	0	2	0	4	5	11	4	1	5	2	0	4	6	11
Circoviridae	4	0	0	1	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	3	0	0	0	0	0	2	0	0
Ascoviridae	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Asfarviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Papillomaviridae	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Polyomaviridae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nimaviridae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
