XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Bacteroides	2.64493480441324	30.712912142943	37.1752238626575	18.833321647853	41.8642149645965	28.4098776828987	27.8464116897323	28.3257410045955	37.1595700992618	44.5797978381303	18.7593902121437	21.336072967826	7.16274969445613	12.9888995752184	2.65673108746452	41.5550859763853	30.331088664422	7.06086224857761	41.6020749464239	21.3094378959185	44.6100526874612	21.3435169593457	2.67001003009027	37.5296721787642	30.411834224706	44.6951940220766	12.6639216982739	18.8711939102564	7.15330514757449	12.6706805181274	34.6845583817344	15.7185643737917	32.5371220167124	25.8068401979582	41.3533985251683	4.37179281590763	17.0235363666423	9.46001462940511	22.3171623476144	2.67988878963375
Faecalibacterium	10.6700100300903	16.4166099114619	10.2616238306056	10.4488226043931	0.0961451792206231	9.46828685818641	9.83611493030118	9.47201541209287	10.3428588599417	6.2602057683253	10.3457601314129	15.3843840833918	10.2362204724409	13.0880820710107	10.6128834909587	0.148217880284018	16.1044973544974	9.77041429601731	0.100142201926736	15.4287948039452	6.24336398421379	15.3325715660332	10.9789368104313	9.90174377259843	16.3972517677223	6.20329747380652	13.7488854827237	10.497796474359	9.88438495601819	13.7936907063644	0.109152813939515	9.81659003716281	11.3209626675751	9.21328688878404	5.14487816607887	11.0898412443874	17.3762311754156	13.6053467469614	18.0989492031374	11.333821802451
Ruminococcus	4.81644934804413	9.810304074356	10.9537450670086	15.2064824367231	7.69962643591824	2.70020770828525	2.64745140150337	2.6900925126929	10.9017698849124	5.24839462638122	14.9742582984435	4.4341986569109	3.73364588968364	12.1623787769496	4.82804962440702	7.7343695231991	9.93867243867244	3.81240484013142	7.7560135392257	4.40722476144656	5.27575775787808	4.43228289631946	4.73921765295888	10.9323824881562	9.86218776916451	5.28978103652062	11.7863332632064	15.3255208333333	3.81108862484221	11.7770809749452	9.26396955738033	11.3151225571215	10.9312065406889	2.73346918698616	6.05362295607566	4.53916773572803	4.21129625361963	12.0251705928917	9.25182061324866	4.8629442643354
Blautia	4.8234704112337	7.66095108369056	7.14757907810653	6.35022386041527	7.4492483650312	5.95530759891229	5.86192707967444	5.92904015572636	7.14464577260935	3.80280702457399	6.49752599210721	6.32554876215295	7.82693193885115	8.40947343111325	4.81100001002918	7.51805153575756	7.9114558281225	7.85118999919865	7.46660257565743	6.35674765455858	3.80832181421159	6.3767941624569	4.72116349047141	7.18742801053675	7.77697654387757	3.78227858244686	8.0455624680672	6.39122596153846	7.82355180635983	8.03538333617175	8.83236531143601	8.40320141038355	7.42139751117167	6.32321792465142	4.53871433151651	10.3271327774214	6.22626574351472	9.21351917353881	9.0053992326879	4.74350352801839
unclassified Lachnospiraceae	8.7753259779338	6.84968550939466	3.65592259460326	8.02992818437685	1.39210207413194	1.96570304739161	1.91784671276457	1.95862013605988	3.66096737682422	3.7657406758097	8.21430717762776	5.54475293174301	6.40139448217828	3.67576340466458	8.78255724157298	1.39104483590879	6.97651114317781	6.55000400673131	1.37695527649262	5.52782455296287	3.7582386762025	5.55188036244086	8.60080240722166	3.72993058963752	6.89361616890011	3.73419876995813	3.57446979032048	8.07291666666667	6.47003426373054	3.54534616964366	1.51211696374925	8.16379681662009	3.23928421137006	2.13216619653272	4.07482366142994	6.67194515715202	4.7162910934541	3.36977324422088	6.60529505454327	7.79375897060152
Clostridium	3.73219658976931	2.27054204559112	2.78851739818506	1.89705425735434	2.93342947851255	2.30887325780913	2.24902903365013	2.30378679938191	2.76951430832257	3.29990683323148	1.91209759810894	3.64939360529217	4.50802428322414	2.78612647270979	3.74690348915344	3.01242826955625	2.26571268237935	4.47551887170446	2.95920206693505	3.6183946756475	3.29747380651882	3.58531793761527	3.72517552657974	2.80646227501728	2.24846263245398	3.28445219063646	2.7930554303289	1.8760016025641	4.48233714709359	2.77997615732161	2.77087923092329	2.3740120804159	2.77738813297798	4.51529357438991	3.77224270599551	4.3527501603592	3.96982054647656	2.95894748444373	2.10760400284486	4.60900723670343
unclassified Ruminococcaceae	3.00501504513541	0.817274948920316	1.24601855005108	5.41371608289346	1.96997466173923	1.90248748231469	1.96401152113044	1.91547430314463	1.23801796928994	1.30333296600916	5.43580600572928	1.69389596070963	4.98086594137565	5.24465015628757	3.02079050035604	2.01195757763913	0.831729998396665	4.87118358842856	1.99282981834205	1.70295084596263	1.29715327443556	1.7129740999118	3.04714142427282	1.20291263108342	0.822266290086733	1.29014163511429	5.30760676825053	5.3916266025641	4.89209930470675	5.33054166958856	2.41337873022231	6.69631677535034	1.61613530248682	2.06490859993776	1.30250080153895	5.96235567671584	2.00494975100949	6.04715478111003	1.07583968586283	3.13356284690508
Bifidobacterium	7.57673019057172	4.38784503825969	0.489793465413971	1.49941405663118	0.187282797023506	5.6412366168635	5.85088766897825	5.57684975216231	0.489798371345293	0.234419611103876	1.54850858390593	3.9480805853463	0.862535312856885	0.949747535465256	7.66831479605652	0.211310626621133	4.46428571428571	0.817373186954083	0.196278715776403	3.9772271670275	0.235390748642747	4.01631785742924	8.0320962888666	0.47275167516351	4.48791138353064	0.230382434841837	0.967751630451117	1.50941506410256	0.833550403750977	0.972741206760101	0.284398157420389	3.27753904097925	0.751457828186682	5.5201421444131	0.380731003526771	1.40314304041052	5.28140436660221	1.64630908125332	7.67412274990233	9.30935150706106
Eubacterium	5.22567703109328	3.19398261287609	2.12444159538452	2.91869910555995	1.94693987921762	1.91452854232934	1.87268548718927	1.90945395436576	2.13347756843655	1.58183147834624	2.93876079248382	3.88894457251679	2.18689266895073	2.52664903422297	5.15500105306442	1.96188396943507	3.14454064454064	2.25478804391378	1.94075587334014	3.87699462753588	1.58663381212813	3.8779969529308	4.96288866599799	2.26860708526557	3.13683071930773	1.5996554280105	2.38431561125637	2.95472756410256	2.23716111968261	2.36623556165536	2.63869417184058	2.70056395308071	1.78045408091698	2.21648915345774	2.07398204552741	2.70405708787684	3.38767371722293	2.00002004028096	2.8648989772511	4.91112204032881
Parabacteroides	0.547642928786359	0.300468731220704	2.49404034535948	2.46797343723395	1.68153912407736	9.28165042795934	9.2309545075921	9.39174409504124	2.48905716317598	3.53432644433536	2.40990404455217	1.87631552570913	0.619102001562782	5.03125751382544	0.559628518990262	1.69348942946131	0.294612794612795	0.599006330635468	1.67437761621503	1.88838104402213	3.54688783380411	1.91043220271029	0.551654964894684	2.50598451537945	0.29044728882479	3.55389947312539	5.09922960558611	2.43289262820513	0.617147895084858	5.12216868194067	0.984378129381134	1.71890494936443	2.5148788649981	6.712709678067	3.37548092337288	0.371832905708788	1.61217598669379	3.98400785579014	0.259443648639173	0.567092571589164
