XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Clostridiales	75.0007503076261	58.9344295087214	50.2465419121251	65.9145463274124	43.3096619323865	42.5671552198489	42.7748151557294	42.509428865835	50.301569360953	43.2666533306661	66.1082384005281	57.3119010942845	52.8061454134451	65.6094975196031	74.9479791916767	43.7684406349079	59.1306435158329	52.4890724866719	43.5515327299095	57.3766392253754	43.2687883819087	57.4485110979965	74.4867947178872	50.0685102765415	59.0340357860836	43.0613347203329	65.3300660132026	66.162601138148	52.50350070014	65.2677062183059	49.0302963622361	67.4421628541994	52.4800704161957	47.1601652776805	46.2224800696188	60.1292348934212	60.0898206587515	68.3811981714331	62.5332559860775	73.0599911954216
Bacteroidales	10.6183535249452	33.1112978076492	45.0636608223398	28.2755240838534	46.8833766753351	42.5481466659997	42.0744579735665	42.6054682419792	45.0573631935345	53.0706141228246	28.0347659102047	28.5474223298057	29.4247676965702	27.1633461353817	10.6272509003601	46.5819189262175	32.6358744574023	28.9566600318073	46.6139920988148	28.5102679777135	53.1235622412034	28.5597111220029	10.7122849139656	45.3157973696054	32.7765720172429	53.2107705849404	27.4024804960992	28.1346575054757	29.1978395679136	27.498774742696	38.1370087718421	23.4649276348033	41.7506026386069	37.2355006853221	49.5983915657227	15.4411691156612	23.0653050201546	22.2008822735048	24.7514552619472	9.85112258374355
Bifidobacteriales	7.73116977960964	4.42370779324692	0.497084504365742	1.52524403904625	0.192038407681536	5.8886498924516	6.12212228236401	5.82538840924779	0.498114566350261	0.251050210042008	1.57426762549633	4.0170444315522	0.869199915980676	0.961153784605537	7.82613045218087	0.216036726243461	4.49780960572903	0.823189333546716	0.201030154523178	4.04717368036731	0.25204536816627	4.08810378802277	8.19927971188475	0.48007201080162	4.52376904073692	0.247059294230615	0.980196039207842	1.53419944592797	0.839167833566713	0.984206683403515	0.292061332879905	3.33470028706028	0.764175760424898	5.80072634138045	0.403108839386634	1.41538215318136	5.39424067535533	1.66751693024838	7.75239543117761	9.56697482690999
Coriobacteriales	1.19649056113006	1.20719315090414	1.02617444965644	0.0180028804608737	4.70794158831766	1.64073833224951	1.70687050395702	1.62966816394722	1.03223741460536	0.112022404480896	0.0170028904913835	1.29333626742953	3.08771017333987	0.0360057609217475	1.19647859143657	4.84782413010212	1.21421855934068	2.93767566540304	4.84472670900635	1.30237768952996	0.111019983597047	1.31135406559771	1.26950780312125	0.978146722008301	1.21320624506166	0.110026406337521	0.0390078015603121	0.0170022102873374	2.98159631926385	0.038007981676152	7.30253353204173	0.0280058812350594	1.45733518709303	1.77883605294488	0.135036459844158	4.72127474418093	1.78741110455405	0.0590182956716582	2.13738472925127	1.5297954936567
Selenomonadales	0.867355615802479	0.00800128020483277	0.0160027204624786	0.0120019203072492	1.95539107821564	0.0150067530388675	0.0160081641637235	0.0150061525225342	0.0160036808465947	0.00700140028005601	0.012002040346859	1.24332326404865	8.87204056933095	0.0140022403584574	0.856342537014806	1.82631047278037	0.00800144025924666	9.72623703451794	1.96429464419663	1.23635854397775	0.00700126022684083	1.20032408750363	0.903361344537815	0.016002400360054	0.00800136023123931	0.00700168040329679	0.01500300060012	0.0120015602028264	9.35687137427486	0.0150031506616389	2.30848478180418	0.0150031506616389	0.0200046010582434	0.0180084639780697	0.00700189051043782	12.5863983275484	0.639147003810877	0.0160049615380768	0.0100018003240583	0.96950414215392
Erysipelotrichales	2.20790524114887	0.358057289166267	0.479081443845454	1.43823011681869	0.694138827765553	0.363163423540593	0.36818777576564	0.369151352054342	0.488112265821139	0.284056811362272	1.49925487332847	0.877228079300618	0.81118657291177	0.539086253800608	2.20488195278111	0.709120550493584	0.352063371406853	0.867199455874851	0.703105465819873	0.855248021926359	0.280050409073633	0.836225780960859	2.08583433373349	0.524078611791769	0.351059680145625	0.287068896535168	0.517103420684137	1.32917279246302	0.852170434086817	0.527110693245582	1.04021844587363	3.17666710009102	0.592136191324004	0.565265674867187	0.452122072959699	1.28434677362888	1.48134070836292	0.533165281237184	0.57610369866576	2.68139432504903
Lactobacillales	0.206084494642804	0.289046247399584	0.716121740695918	0.639102256361018	0.398079615923185	0.771347106197789	0.751383205434772	0.769315419321922	0.676155515768627	0.462092418483697	0.680115619655342	0.340088422989977	1.47733978815128	1.10017602816451	0.209083633453381	0.389066141244011	0.304054729851373	1.5283515208498	0.393058958843827	0.342099208770544	0.482086775619611	0.365098576615686	0.184073629451781	0.693103965594839	0.279047438064471	0.462110906617588	1.02120424084817	0.653084901037135	1.48929785957191	1.01821382490323	0.347072885305914	0.711149341361686	0.63614631365214	0.757355957299931	0.773208766366919	1.87650665679734	0.3040699360853	1.00631195670658	0.250045008101458	0.181094168967863
Veillonellales	0.703288348222771	0.714114258281325	0.00500085014452457	0.00700112017922868	0.00700140028005601	1.87384322945325	1.87495622767611	1.87076701447594	0.00500115026456085	0.0790158031606321	0.0070011902023344	0.907235881329146	0.607139642117687	0.530084813570171	0.709283713485394	0.0100017002890491	0.736132503850693	0.612140792382248	0.00700105015752363	0.917266007142071	0.0790142225600608	0.93225170796115	0.71828731492597	0.00500075011251688	0.733124631187302	0.0800192046091062	0.524104820964193	0.00700091011831538	0.607121424284857	0.524110063113254	0.00600126026465558	0.0080016803528741	0.00500115026456085	2.33209608516003	0.0910245766356916	0.883238474388085	1.27629354751593	0.728225749982495	1.06119101438259	0.787409452915516
Burkholderiales	0.0550225592492922	0.0230036805888942	0.328055769480812	0.282045127220355	0.00700140028005601	1.55570006502926	1.60381794715305	1.55663822167089	0.326074997249367	0.123024604920984	0.275046757948851	1.8034689019145	0.0920211648679196	0.130020803328533	0.0540216086434574	0.012002040346859	0.0220039607129283	0.0860197845504466	0.00900135020253038	1.79852157125566	0.122021963953512	1.78148099986996	0.0580232092837135	0.313046957043557	0.023003910664813	0.121029046971273	0.134026805361072	0.278036144698811	0.0870174034806961	0.13502835595475	0.0080016803528741	0.236049570409786	0.571131360212849	1.62276269846828	0.16104348174007	0.0470126934272253	1.41932644508237	0.132040932689134	0.0210037806805225	0.0750390202905511
Bacillales	0.434178012985324	0.339054248679789	0.322054749307382	0.405064810369659	0.610122024404881	0.458206192786754	0.327166855096099	0.535219439970388	0.294067635556178	0.366073214642929	0.320054409249572	0.43411286934603	0.552126989207518	0.323051688270123	0.40016006402561	0.377064100897152	0.459082634874277	0.595136881482741	0.457068560284043	0.42312270558462	0.289052029365286	0.3200864233343	0.38515406162465	0.273040956143421	0.471080083614214	0.412098903736897	0.347069413882777	0.400052006760879	0.655131026205241	0.282059232438812	0.113023734984347	0.104021844587363	0.104023925502866	0.114053605194441	0.101027277364889	0.145039160573355	0.0810186342858858	0.162050235573028	0.161028985217339	0.175091047344619
