XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Caudovirales	287	6291	19365	8450	1415	23860	24583	27166	23114	197036	10800	9796	16334	13177	264	1253	20558	15527	1549	11372	194857	9349	247	20835	4501	190316	10330	9297	15823	8409	2499	55797	36192	59796	243392	97437	9035	6679	9926	642
Herpesvirales	8	1	3	2	1	0	1	2	0	1	5	2	1	5	6	1	2	1	5	5	2	2	2	0	1	4	3	3	0	4	3	5	3	0	0	4	6	2	9	7
Ligamenvirales	0	0	0	0	0	9	18	13	0	0	0	41	0	0	0	0	0	0	0	41	0	25	0	0	0	0	0	0	1	0	1	0	0	9	0	0	26	0	0	0
Ortervirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	2
Nidovirales	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	0
Picornavirales	7	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2
Tymovirales	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Mononegavirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
Bunyavirales	1	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	1	0	0	2	0	1	0	2	1	1	1
Chytridiales	8	1	1	1	0	4	4	5	1	8	4	2	15	21	13	1	0	10	3	10	3	5	9	1	1	0	20	2	6	31	2	9	4	5	16	18	6	3	2	18
Spizellomycetales	15	25	5	7	8	56	66	86	7	10	4	6	11	6	23	5	15	7	5	11	15	11	23	6	16	12	10	5	6	4	3	20	10	190	9	11	6	5	25	40
Rhizophydiales	16	11	3	6	9	5	14	18	9	22	8	14	1	8	12	7	10	0	8	14	29	11	26	6	9	21	6	6	2	7	14	14	10	42	22	5	13	3	12	64
Rhizophlyctidales	14	3	5	1	2	9	5	9	6	27	1	7	0	5	11	1	4	2	2	8	34	4	15	6	4	24	4	2	3	5	1	4	18	13	20	2	7	6	30	28
Caulochytriales	32	9	7	12	2	7	13	7	1	8	14	6	13	36	29	3	7	10	1	2	8	1	23	4	4	6	24	13	13	20	8	43	9	12	8	48	4	25	9	55
Synchytriales	15	4	2	3	1	2	5	8	6	23	2	1	0	0	16	1	2	2	3	2	18	1	12	1	2	15	1	3	4	4	1	0	3	9	20	2	1	3	0	35
Monoblepharidales	11	2	1	16	1	0	1	1	0	4	9	0	3	6	10	2	3	1	0	5	1	3	7	1	1	4	3	15	1	3	0	53	3	1	3	2	3	3	1	19
Neocallimastigales	110	102	83	65	46	27	34	55	88	177	88	107	65	53	99	72	92	47	90	148	134	71	93	91	74	201	67	46	111	40	325	725	206	237	486	582	241	237	225	1063
Blastocladiales	31	11	8	19	9	68	89	78	9	16	12	11	12	23	29	5	13	7	8	23	19	8	36	6	8	12	17	24	17	15	2	64	17	170	20	22	7	32	9	56
Glomerales	540	343	182	234	172	124	195	228	229	559	315	394	413	372	386	227	325	291	293	491	475	320	467	153	202	506	433	248	462	320	727	2097	536	1294	1643	3320	766	626	887	4214
Diversisporales	733	405	219	327	215	227	331	415	304	859	455	756	473	438	548	274	364	235	380	876	740	632	651	236	233	796	578	354	473	440	828	2239	699	1891	2406	1854	1199	846	1009	4708
Endogonales	0	9	0	0	0	0	0	0	0	0	1	2	0	2	2	0	13	0	0	2	1	4	1	0	15	0	1	0	0	1	0	2	0	0	1	6	3	1	37	2
Mucorales	795	443	315	348	396	422	678	709	421	684	649	636	710	558	707	463	512	425	606	883	583	649	838	191	290	601	643	590	650	491	908	1733	466	2389	1396	1168	827	729	840	3596
Mortierellales	54	14	3	7	5	61	70	79	3	40	9	14	6	15	42	3	8	3	6	16	5	10	40	5	1	9	13	42	7	11	16	265	2	152	130	10	71	12	45	119
Zoopagales	61	14	13	19	0	26	38	43	15	26	12	19	37	82	84	3	15	25	4	79	16	56	86	6	15	33	98	19	36	80	2	48	14	103	30	119	21	29	19	287
Kickxellales	12	0	0	0	0	2	3	4	1	2	0	3	3	6	14	1	0	1	1	1	0	1	15	0	2	1	4	1	1	7	2	4	3	4	0	4	7	8	0	42
Dimargaritales	31	1	4	5	1	1	2	2	2	3	5	51	0	6	22	0	1	0	1	32	4	18	19	2	0	6	5	9	1	5	2	98	5	27	6	5	8	28	1	82
Harpellales	252	200	92	109	53	32	81	66	101	181	145	186	125	181	217	65	164	91	85	233	143	170	213	97	135	168	166	126	130	140	233	1459	239	422	612	1117	238	282	404	1588
