XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Firmicutes	79.2666826692271	60.9522666586661	52.7926396319816	68.8741324479469	48.4729083745025	48.5157625220035	48.7103065459819	48.5862596641429	52.7861671700302	47.0183509175459	69.0821449286957	61.9430525968376	65.7262581006481	68.3194655572446	79.1698754813222	48.5844292214611	61.3287461620778	66.4113205660283	48.5853726835415	61.980198019802	46.9698181890913	61.950195019502	78.6071492868716	52.5832066565325	61.1808944715577	46.8652805696399	67.955795579558	69.0211412684761	66.0549632977979	67.8337833783378	54.6773741899352	71.9700379026532	54.9799481953376	53.5464965095113	49.9824987749142	77.4526471588295	64.8151852148172	71.0068107491824	64.9511960956877	77.5960874913739
Bacteroidetes	10.4016642662826	32.845299170942	44.4622231111556	27.8736724203452	46.0527631657899	40.7975276044167	40.2250337550633	40.8189392196673	44.456667400044	51.3445672283614	27.6396583795028	28.1066538650024	29.1643331466517	26.8321465717257	10.4115617342601	45.7522876143807	32.3935632919621	28.7094354717736	45.7821203908352	28.0658065806581	51.3910834650079	28.1008100810081	10.4908883599048	44.7335786862949	32.5146011680934	51.5116058124069	27.0527052705271	27.7376642598556	28.9487369242155	27.1507150715072	37.2489799183935	23.0736151530607	41.1287015831425	35.4739663552897	48.0973668156771	15.3269196151769	22.6108088647092	21.8764064047045	24.4919593567485	9.57724504185544
Actinobacteria (201174)	8.97143542966875	5.8274079185543	1.78108905445272	1.75410524631478	5.00730043802628	7.60321651464234	7.88518277741661	7.52327895742276	1.79010740644439	0.552027601380069	1.80510830649839	5.44470781201556	4.06332506600528	1.63013041043283	9.06435965394809	5.16925846292315	5.91265039154307	3.86319315965798	5.15146363172686	5.48154815481548	0.549032941976519	5.52755275527553	9.51271228821188	1.70713657092567	5.93247459796784	0.543038012660886	1.68816881688169	1.76210572634358	3.92523551413085	1.68016801680168	7.69161532922634	3.74826237836649	2.58623276094849	7.6170663892945	0.770053903773264	6.27037622257335	7.34258740699256	2.95832541579574	10.2638211056885	11.0674387670397
Proteobacteria	0.569091054568731	0.208014561019271	0.774038701935097	1.30907854471268	0.313018781126868	2.40638502160346	2.47737160574086	2.39740755928508	0.778046682800968	0.698034901745087	1.27507650459028	4.233550361547	0.618049443955516	1.40411232898632	0.569085362804421	0.330016500825041	0.211023212553381	0.596029801490074	0.31602844255983	4.19241924192419	0.706042362541752	4.15441544154415	0.58810585905463	0.784062725018001	0.218017441395312	0.688048163371436	1.45614561456146	1.28607716462988	0.635038102286137	1.47214721472147	0.224017921433715	1.00207014491014	1.11310017901611	2.56135859020263	0.727050893562549	0.41602496149769	5.02840227218177	1.44115852743802	0.17601408112649	0.565073459549741
Verrucomicrobia	0.110017602816451	0.0140009800686048	0.0890044502225111	0.0100006000360022	0.0190011400684041	0.457073131701072	0.470070510576586	0.450076513007211	0.0870052203132188	0.0230011500575029	0.00900054003240194	0.0110014301859242	0.086006880550444	1.5561244899592	0.111016652497875	0.0180009000450022	0.0140015401694186	0.0820041002050102	0.0180016201458131	0.012001200120012	0.0210012600756045	0.012001200120012	0.116020883759077	0.0930074405952476	0.0140011200896072	0.0230016101127079	1.58815881588159	0.0100006000360022	0.0840050403024181	1.61016101610161	0.0150012000960077	0.00800056003920274	0.0720064805832525	0.520072810193427	0.0180012600882062	0.104006240374422	0.00600048003840307	2.42226644930942	0.0160012801024082	0.188024443177613
Candidatus Melainabacteria	0.0740118418947032	0.0110007700539038	0.0100005000250013	0.0620037202232134	0.0640038402304138	0.00400064010241639	0.0040006000900135	0.00400068011561966	0.0100006000360022	0.255012750637532	0.0670040202412145	0.0430055907267945	0.186014881190495	0.122009760780862	0.0680102015302295	0.0680034001700085	0.0100011001210133	0.189009450472524	0.0690062105589503	0.047004700470047	0.259015540932456	0.043004300430043	0.0650117021063791	0.0110008800704056	0.00900072005760461	0.26101827127899	0.115011501150115	0.065003900234014	0.193011580694842	0.113011301130113	0.0620049603968317	0.0810056703969278	0.00900081007290656	0.00700098013721921	0.26101827127899	0.179010740644439	0.0260020801664133	0.126013861524768	0.00900072005760461	0.105013651774731
Ascomycota	0.0860137622019523	0.0410028702009141	0.0360018000900045	0.0410024601476089	0.0270016200972058	0.0800128020483277	0.0910136520478072	0.0880149625436324	0.0360021601296078	0.0470023501175059	0.0430025801548093	0.0620080610479362	0.0510040803264261	0.045003600288023	0.0820123018452768	0.0300015000750038	0.0400044004840532	0.0420021001050052	0.0310027902511226	0.065006500650065	0.0450027001620097	0.06000600060006	0.0860154827869016	0.0340027202176174	0.0380030402432195	0.0470032902303161	0.047004700470047	0.0410024601476089	0.0490029401764106	0.047004700470047	0.0360028802304184	0.0470032902303161	0.0460041403726335	0.119016662332727	0.067004690328323	0.0690041402484149	0.0610048803904312	0.0540059406534719	0.0380030402432195	0.135017552281797
Lentisphaerae	0.400064010241639	0	0.00100005000250013	0.0240014400864052	0	0.00200032005120819	0.00200030004500675	0.00200034005780983	0.00100006000360022	0.00100005000250013	0.023001380082805	0.086011181453589	0.00100008000640051	0.00100008000640051	0.40606090913637	0	0	0.00100005000250013	0	0.084008400840084	0.00100006000360022	0.083008300830083	0.413074353383609	0.00100008000640051	0.00100008000640051	0.00100007000490034	0.001000100010001	0.023001380082805	0.00100006000360022	0.001000100010001	0	0.0130009100637045	0.00100009000810073	0.00200028003920549	0.00100007000490034	0.00100006000360022	0.0440035202816225	0.00100011001210133	0	0.573074499684959
Basidiomycota	0.0250040006401024	0.0600042002940206	0.008000400020001	0.00900054003240194	0.00800048002880173	0.0190030404864778	0.0200030004500675	0.0200034005780983	0.00900054003240194	0.0120006000300015	0.0100006000360022	0.0140018202366308	0.0110008800704056	0.0120009600768061	0.0250037505625844	0.00900045002250112	0.0510056106171679	0.0110005500275014	0.00900081007290656	0.014001400140014	0.0110006600396024	0.013001300130013	0.0260046808425517	0.0080006400512041	0.0520041603328266	0.0120008400588041	0.012001200120012	0.00900054003240194	0.0120007200432026	0.011001100110011	0.0080006400512041	0.00900063004410308	0.011000990089108	0.0250035004900686	0.0170011900833058	0.0160009600576035	0.0110008800704056	0.012001320145216	0.0100008000640051	0.0340044205746747
Euryarchaeota	0.00800128020483277	0.00300021001470103	0.00300015000750037	0.00400024001440086	0.00300018001080065	0.00800128020483277	0.00800120018002701	0.00800136023123931	0.00300018001080065	0.00500025001250063	0.00400024001440086	0.00600078010141318	0.041003280262421	0.00500040003200256	0.00800120018002701	0.00300015000750037	0.00300033003630399	0.0450022501125056	0.00300027002430219	0.006000600060006	0.00500030001800108	0.007000700070007	0.00800144025924666	0.00300024001920154	0.00300024001920154	0.00500035002450171	0.005000500050005	0.00400024001440086	0.0440026401584095	0.006000600060006	0.00300024001920154	0.00400028001960137	0.00400036003240292	0.00800112015682196	0.00600042002940206	0.0990059403564214	0.00600048003840307	0.00500055006050666	0.00300024001920154	0.00900117015211978
