XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Negarnaviricota	1	0	0	0	0	1	0	0	0	0	0	2	0	2	1	0	0	0	1	0	0	3	1	0	0	1	0	0	0	1	0	0	2	0	1	0	2	1	1	47
Chytridiomycota	241	160	111	117	73	123	166	209	123	285	134	145	115	160	237	93	140	106	113	206	264	108	224	120	117	289	151	96	155	129	357	899	266	582	589	769	282	288	305	1385
Microsporidia	256	151	97	106	54	44	63	81	117	235	122	252	146	286	255	54	159	104	90	275	195	200	224	85	114	204	315	115	148	253	198	896	177	511	626	861	298	408	345	1212
Blastocladiomycota	31	11	8	19	9	68	89	78	9	16	12	11	12	23	29	5	13	7	8	23	19	8	36	6	8	12	17	24	17	15	2	64	17	170	20	22	7	32	9	56
Cryptomycota	179	1	1	4	1	0	2	0	1	4	3	5	4	4	164	1	1	2	2	5	7	1	128	1	0	2	2	1	2	4	14	4	4	5	22	3	4	5	4	262
Mucoromycota	2123	1215	721	917	789	835	1275	1432	958	2144	1430	1802	1603	1385	1687	969	1222	955	1285	2269	1805	1616	1998	586	742	1913	1670	1236	1594	1264	2480	6337	1704	5728	5577	6359	2867	2214	2819	12641
Zoopagomycota	513	304	174	182	93	118	196	184	181	350	223	394	207	379	483	109	259	139	132	485	279	361	472	166	194	330	371	208	192	314	358	1860	359	761	894	1382	431	417	544	2622
Ascomycota	21386	11875	6344	8287	4404	13004	16992	16797	7263	15270	10422	14347	9476	15591	18127	4715	11038	6569	5787	17738	14300	14133	19004	5724	8502	13999	15487	9294	8415	12983	11116	46860	14477	40693	28586	33818	17166	15806	16813	73097
Basidiomycota	6316	17354	1384	1839	1303	3013	3736	3892	1762	3980	2360	3167	2011	4022	5523	1499	13991	1652	1732	3846	3491	3027	5699	1324	11523	3416	3808	2123	1992	3059	2376	9050	3348	8650	7068	7687	3085	3536	4577	18256
Proteobacteria	141319	60393	135685	267584	51636	388759	464628	456971	158075	226088	305761	987197	114052	486745	126055	52687	57496	92396	59310	1144823	225608	984425	129619	132329	48556	203805	479069	288793	109704	402800	68746	996159	349179	873838	309552	203946	1425194	418515	77962	305952
Fusobacteria	1045	642	293	322	456	319	372	372	305	715	406	459	420	743	868	443	648	407	520	547	743	444	846	292	518	742	735	339	421	637	926	1843	456	1040	1292	1797	557	832	1210	2482
Nitrospirae	435	265	171	211	138	360	418	427	224	262	229	196	170	434	346	119	232	144	137	258	278	221	351	175	222	253	383	215	153	304	186	964	404	620	378	454	311	389	379	885
Acidobacteria	2026	1260	857	1049	446	2439	2960	2896	1043	1252	1222	1114	1150	1979	1755	357	1196	899	464	1356	1224	1134	1900	825	955	1068	1984	1134	997	1625	538	4595	2106	4955	1538	3443	1287	1875	2023	4882
Dictyoglomi	0	0	1	1	14	0	0	2	1	1	0	0	0	4	1	17	1	0	16	3	2	0	2	2	0	2	2	0	0	1	56	10	0	0	21	1	3	6	0	6
Elusimicrobia (74152)	409	225	159	193	139	637	771	727	207	294	229	339	178	363	361	136	211	134	157	416	333	321	360	188	195	286	360	194	145	290	225	1062	354	1345	481	456	396	309	358	1026
Aquificae (200783)	55	21	24	13	43	50	40	59	22	69	20	86	19	46	55	26	27	17	33	90	69	93	44	17	27	62	59	13	17	54	41	15	18	97	105	26	92	48	22	111
Thermotogae (200918)	208	91	56	65	88	128	122	142	74	177	80	147	85	123	179	49	78	58	93	183	154	133	180	68	73	159	118	72	70	99	80	430	116	264	303	215	162	109	124	667
Deferribacteres (200930)	59	40	15	62	28	16	20	17	28	31	64	47	28	33	53	27	54	12	21	53	32	61	58	20	36	25	25	65	22	27	52	506	42	27	34	67	31	28	60	159
Chrysiogenetes (200938)	13	27	16	11	7	13	24	20	12	12	17	12	4	36	14	10	15	1	8	12	9	12	20	7	22	8	28	21	4	27	9	68	24	26	9	7	11	36	23	29
Thermodesulfobacteria (200940)	13	14	13	9	12	14	13	9	8	13	6	8	7	40	13	10	7	10	15	11	9	13	12	21	16	12	23	7	8	22	9	16	6	12	7	16	7	23	17	24
Spirochaetes	2166	1158	716	856	625	1225	1475	1450	820	1536	1017	1066	717	1300	1862	574	1022	597	638	1184	1489	1111	1872	696	911	1411	1444	1024	681	1093	998	4554	1540	2705	2528	1903	1158	1261	1922	5324
Synergistetes	377	199	385	167	69	390	436	460	482	296	183	377	160	356	333	81	183	141	101	450	250	399	322	338	168	243	334	182	148	286	123	761	1041	871	440	537	528	355	248	914
Calditrichaeota	14	11	18	8	4	18	31	26	14	63	18	11	6	21	15	1	9	6	4	18	52	5	18	13	6	44	17	12	9	11	6	76	20	33	67	13	8	9	11	33
Coprothermobacterota	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Candidatus Omnitrophica	184	109	85	106	107	142	136	150	80	199	96	121	127	206	165	85	126	77	92	158	193	122	205	91	86	209	226	97	101	176	112	423	137	173	158	315	86	256	125	438
Verrucomicrobia	27341	4187	15621	1979	3076	73838	88220	85770	17770	7420	2201	2639	15947	539360	24541	2809	3947	12720	3373	3212	6626	2868	25584	15771	3230	6671	522180	2229	14428	440749	4619	8024	22438	177279	7717	50803	1728	703479	7069	102053
