XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Faecalibacterium prausnitzii	7.50776491468678	12.513178901708	9.19990360284372	9.09629659391103	0.0793116949611975	6.10339054841768	6.3329196807813	6.08618481428816	9.2781331271526	5.70352893931028	9.00023103271624	11.9519265611789	7.469450920492	11.2280278590165	7.47461916139894	0.120479508443606	12.2486288848263	7.121900245167	0.0823144411652513	11.9843026765949	5.68849347806441	11.9212427309496	7.7327281896117	8.87364816692942	12.4733903683175	5.65653116966581	11.8072168057091	9.12625065295134	7.20969735956016	11.8477266558771	0.0903805019130539	8.44461861554075	10.1727273640739	5.84892710793516	4.67148884870404	7.8719723183391	13.5508899586931	11.7369003318918	13.5553904241645	8.06153286368368
Bacteroides vulgatus	0.235972732039853	10.5632035023245	2.08358436759449	6.26173950601163	14.0923830654472	11.569414469836	11.3582937336683	11.5239161346928	2.05946439867857	6.59605441493901	6.28810784205398	1.43737166324435	1.83897419406705	0.0924613822976653	0.238937785439918	14.0981104797092	10.3049601221448	1.80358506490897	14.0657310927744	1.43389011873616	6.60829224698003	1.43066985934765	0.241048915784165	2.08159699559179	10.3305619150902	6.64162917737789	0.0884511006131269	6.3155462691365	1.81825491753023	0.0894661184772666	11.6239367738178	5.47734603442559	1.60468644808633	10.9852843214437	5.84890496282901	1.27544861994045	0.879405823174102	0.0653726239565523	6.69585475578406	0.2456058783695
Bacteroides uniformis	0.280343673107176	5.72140052816018	3.31566052134795	6.01263597737979	5.59197646751734	3.60132314084592	3.57557230343937	3.60431226615839	3.32064786271576	1.09432257416796	5.94959468825651	4.20038652011112	1.31139963019535	0.500497482437362	0.279264837834841	5.63743699925704	5.66526709122687	1.29918411639404	5.60139733783051	4.17589052123164	1.11058672316668	4.21152182224279	0.278366111951589	3.33276431662767	5.6542956982769	1.0965616966581	0.47844004422555	6.04733394945152	1.31971736136937	0.478492948260437	4.6937607326846	4.66845526984797	2.96721295003065	3.18738771472981	1.04279686558168	0.711153134304337	3.63521241419512	0.305742733581414	4.2717705655527	0.270873972851959
[Eubacterium] rectale	5.73494413295147	3.99734915805645	1.84560388801864	6.48171399298894	0.103406387101308	0.330785211480667	0.326886406973577	0.328764912917637	1.84859773669783	0.230912102806084	6.61557160507468	4.06852679470145	4.44569499155881	1.39094079456488	5.73047414531853	0.114455533021425	4.09124696144806	4.56372332301756	0.104398803429099	4.05212316361441	0.230953839356543	4.06764995875002	5.59757942511346	1.88578830570255	4.04667228983412	0.232969151670951	1.35491004121017	6.49435448225981	4.50995567438261	1.34400225173152	0.101427007702427	6.32341562917634	1.5102340209604	0.339126748622298	0.251155314446454	4.66423915667498	3.38596367802692	1.15357537966409	3.82189910025707	4.79891650410859
Ruminococcaceae bacterium	2.22258077528135	0.531172495506622	1.08547214523838	4.56522394206334	1.92857931671469	1.18699449363642	1.22481511748741	1.19505037364233	1.07843235698722	0.98087445409367	4.57947023193676	1.55111325844506	4.76324463381301	4.65824464075738	2.23915958422809	1.96983996305295	0.546437109508408	4.66118725131627	1.95145455640547	1.55765747635339	0.981051743701487	1.5674990442079	2.25819465456379	1.05234618976372	0.538217455918384	0.976060411311054	4.74520052266559	4.54655040784345	4.68384074941452	4.7788980588868	2.37600297251428	5.80592650649625	1.38563720219853	1.24952057974525	0.932288527225236	5.77573026474612	1.89549643715012	5.3404405109122	0.669786311053985	2.42169417519886
Bacteroides ovatus	0.175466903311686	3.25732244881566	1.63473510864763	0.168747551653826	3.04597066471232	4.22759636136267	4.12744534237316	4.22856220817071	1.64978059825884	5.12022488830882	0.157704941086657	1.70008455127431	0.21404453734223	1.01908523532427	0.178447206847533	3.03407562097147	3.21634489824618	0.213013946384792	3.02756529944388	1.70658080096599	5.14625402914035	1.70332213212065	0.175491679273828	1.70202938134495	3.22327991324256	5.13636728791774	1.00010051261433	0.156708321613694	0.210069252495201	1.00121633711638	2.59291617710561	0.104502657783941	1.14448206911104	3.77379438422253	4.8442837050432	0.11064617365414	1.24021346948211	0.65070904153676	2.34073746786632	0.175865937597914
Parabacteroides distasonis	0.0857165906982373	0.233956883654145	1.69397919428044	0.340508452444328	1.17762807834791	6.72058734544868	6.64769918379289	6.77901148660233	1.6849250419223	2.78198885598113	0.33951764386809	1.5712445142328	0.0663236594581558	4.08337604647189	0.0877113389589571	1.18672315816951	0.228016955622074	0.0713395763835859	1.18352105041258	1.59388206882673	2.79052486770362	1.61377950379299	0.0877458396369138	1.6789339974093	0.221914286861871	2.80767994858612	4.14916071967032	0.332502913167517	0.0683478907639887	4.18178711084752	0.624629690999106	0.227092314030487	1.67401854884899	4.78410948949313	2.56982117741611	0.0422467208497626	1.35478748530136	3.24650507895001	0.198827120822622	0.0798471785645701
Bifidobacterium adolescentis	5.27005768222339	1.73610065166531	0.160661927139816	0.994405215102906	0.00301183651751383	2.35281066580609	2.43651442234934	2.31547312901502	0.163672694775527	0.00100396566437428	1.01654395146304	2.86870394975239	0.768751507355897	0.00301504507492387	5.32317091612981	0.014055942651754	1.74679068646162	0.732486636389213	0.00401533859342689	2.86878647615214	0.00100414712763714	2.92371772944041	5.6036308623298	0.152630363400845	1.76125637627023	0.00100417737789203	0.00301537842999296	0.992486036886728	0.744790986119347	0.00502618643130711	0.00200845559806787	2.24178297611511	0.260246581123582	2.47885504350108	0.00100462125778581	1.29254848314155	3.98496467301179	0.00704012873378256	3.17018798200514	6.69503431407231
Bacteroides stercoris	0.0141180267032391	0.0210862427327771	5.21347953568703	0.0150667456833774	0.0411617657393557	2.3659210552855	2.35378391194245	2.36589719541343	5.1933446464971	7.80884493750314	0.0150673510592348	0.0382493859966985	0.0130637511053943	0.0110551652747209	0.0131062920283499	0.0391558402441718	0.0200895996142797	0.013062175957558	0.0391495512859122	0.0402495471925941	7.82331027142097	0.0412499748475763	0.0141200201714574	5.16533282456546	0.0210868779371009	7.74722847043702	0.0110563875766409	0.0150681078474706	0.0160818566503503	0.0110576101488756	0.0321352895690859	0.0120579989750701	5.23608082716211	1.92474615959143	7.52159935704239	0.0100587430594673	0.0261309158886019	0.00905159408629186	0.0170710154241645	0.0131394091308786
Bacteroides eggerthii	0.0121011657456335	7.91537387916579	6.88838012611961	0.00602669827335094	0.0130512915758933	0.0131103894794167	0.013115812625483	0.0121017759356186	6.86722429183946	0.0230912102806084	0.00602694042369391	0.0271771953134437	0.00401961572473671	0.0150752253746194	0.0120981157184768	0.0130519467480573	7.92132912791048	0.00401913106386399	0.0130498504286374	0.0291809217146307	0.0230953839356543	0.0301829084250558	0.0131114473020676	6.88644100133552	7.93669920070691	0.0220919023136247	0.0150768921499648	0.00602724313898823	0.00301534812194068	0.0150785592939213	0.0110465057893733	0.00502416623961254	6.4368324273269	0.00807444639576899	0.0210970464135021	0.00201174861189346	0.0201007045296938	0.0130745247913105	6.72196336760925	0.0131394091308786
