Gammaproteobacteria	Betaproteobacteria	Verrucomicrobiae	Bacilli	Clostridia	Erysipelotrichia	Negativicutes	Actinobacteria (1760)	Coriobacteriia	Bacteroidia
XT_D04-NFlex-R1-A	-2.2727	-4.0154	-7.3014	-0.7143	6.1326	1.0458	0.5999	2.8717	0.3412	3.3125
XT_D06-NFlex-R1-A	-2.3446	-4.5532	-7.8724	-0.1269	6.424	-0.9387	0.0798	2.702	1.0378	5.5922
XT_D08-NFlex-R1-C	-2.9775	-1.5232	-3.5764	0.0732	5.6714	-1.0427	-1.6555	-0.8154	0.3329	5.5132
XT_D07-NFlex-R1-C	-2.4181	-1.0898	-6.2327	0.7578	6.7385	1.2197	-3.9922	1.384	-1.8848	5.5176
XT_D10-NFlex-R1-C	-1.7191	-6.1148	-5.6077	0.1825	5.628	-0.3563	1.5091	-1.6808	2.4385	5.7207
XT_D05-NFlex-R1-C	-2.8614	-0.5464	-2.2806	-0.8998	4.2198	-2.6615	-0.2756	1.4046	-0.3117	4.2125
XT_D05-NFlex-R1-A	-2.885	-0.5026	-2.2367	-1.0904	4.2264	-2.641	-0.2736	1.4597	-0.2524	4.1956
XT_D05-NFlex-R1-B	-2.9329	-0.5443	-2.3032	-0.8143	4.219	-2.635	-0.2765	1.3893	-0.3175	4.2154
XT_D08-NFlex-R1-B	-2.9131	-1.5287	-3.5951	-0.021	5.6766	-1.0124	-1.6572	-0.8137	0.3479	5.5167
XT_D02-NFlex-R1-B	-1.1131	-2.313	-4.9065	0.3438	6.0505	-1.1994	-0.8107	-1.1605	-1.236	6.345
XT_D07-NFlex-R1-B	-2.4258	-1.1096	-6.3065	0.7034	6.7493	1.287	-3.9829	1.4337	-1.8605	5.5119
XT_D09-NFlex-R1-B	0.1519	-0.0557	-7.5892	-1.284	4.926	-1.1046	0.2993	1.1228	-0.3875	3.921
XT_D03-NFlex-R1-C	-2.1799	-3.9586	-4.4426	0.2218	4.9237	-1.1011	2.4828	-0.8855	0.8594	4.08
XT_D01-NFlex-R1-A	-2.4179	-3.2948	0.1838	0.0371	5.567	-1.3618	-1.34	-0.3407	-1.3249	4.2921
XT_D04-NFlex-R1-C	-2.2523	-4.0448	-7.1706	-0.7971	6.1231	1.0355	0.5876	2.8805	0.3327	3.3053
XT_D10-NFlex-R1-A	-1.6729	-5.6767	-5.7119	-0.2286	5.6286	-0.3402	1.4237	-1.5855	2.4668	5.6968
XT_D06-NFlex-R1-B	-2.3326	-4.6398	-7.9358	0.1284	6.4033	-0.9884	0.0967	2.7	1.0224	5.5459
XT_D03-NFlex-R1-B	-2.2048	-4.0424	-4.5072	0.2974	4.925	-0.995	2.6149	-0.9523	0.7976	4.0668
XT_D10-NFlex-R1-B	-1.6908	-6.0212	-5.6453	-0.0537	5.6466	-0.3298	1.5249	-1.6444	2.4911	5.7225
XT_D09-NFlex-R1-C	0.1284	-0.0587	-7.5413	-1.3	4.9288	-1.1389	0.3032	1.1334	-0.375	3.9202
XT_D02-NFlex-R1-A	-1.0509	-2.2906	-5.0363	0.2673	6.0774	-1.1967	-0.7859	-1.133	-1.2245	6.3733
XT_D09-NFlex-R1-A	0.1277	-0.0575	-7.464	-1.4457	4.945	-1.1565	0.3047	1.1619	-0.3527	3.9372
XT_D04-NFlex-R1-B	-2.2663	-3.9721	-7.1556	-0.9058	6.0991	0.9404	0.6231	2.9328	0.4028	3.3017
XT_D08-NFlex-R1-A	-2.6403	-1.6171	-3.5227	-0.0598	5.6381	-0.9399	-1.6934	-0.8959	0.2379	5.4931
XT_D06-NFlex-R1-C	-2.2866	-4.599	-7.8902	0.0876	6.3859	-1.0093	0.0769	2.6934	1.0042	5.5371
XT_D02-NFlex-R1-C	-1.1392	-2.3211	-4.9413	0.4259	6.049	-1.1808	-0.8151	-1.187	-1.2444	6.3541
XT_D01-NFlex-R1-C	-2.5086	-3.2476	0.2162	-0.0172	5.564	-1.419	-1.3513	-0.3003	-1.244	4.3077
XT_D07-NFlex-R1-A	-2.3999	-1.1036	-6.1865	0.7815	6.7539	1.1161	-3.9963	1.4027	-1.8883	5.5202
XT_D03-NFlex-R1-A	-2.0914	-4.0342	-4.4967	0.2924	4.9067	-1.0387	2.5445	-0.9429	0.8002	4.0602
XT_D01-NFlex-R1-B	-2.4474	-3.2375	0.2329	-0.0944	5.5592	-1.3974	-1.3509	-0.3002	-1.2738	4.3094
Flex_D10-NF-R1	-2.2245	-6.0582	-5.8839	-0.9418	5.8171	0.2354	1.7915	-1.2533	3.0862	5.4314
Flex_D07-NF-R1	-3.2175	-1.5433	-6.7503	0.1975	6.5679	2.1593	-3.8952	2.2627	-0.826	5.0448
Flex_D08-NF-R1	-3.3228	-0.9072	-4.1204	-0.5579	5.5905	-0.8801	-1.3864	-0.3942	0.7191	5.2593
Flex_D05-NF-R1	-2.7054	-0.5867	-2.1887	-1.5003	4.2647	-2.1239	-0.0631	1.2798	-0.2937	3.9176
Flex_D02-NF-R1	-1.5885	-2.1172	-5.4401	0.2476	5.9719	-0.7032	-0.6373	-0.7376	-1.0691	6.0735
Flex_D03-NF-R1	-3.019	-4.7155	-4.2017	0.1686	5.0637	-0.4853	2.9297	-0.2676	1.4246	3.1024
Flex_D09-NF-R1	0.8317	-0.3462	-8.6416	-2.2426	5.0472	-0.2953	0.2275	1.5897	0.1634	3.6661
Flex_D01-NF-R1	-2.9072	-3.4822	0.6138	-0.4592	5.4147	-1.5921	-1.104	0.1965	-0.4693	3.7888
Flex_D06-NF-R1	-2.9138	-4.7646	-8.1079	-0.8785	6.3717	-0.3902	0.5077	3.3678	1.773	5.0347
Flex_D04-NF-R1	-2.5728	-3.6608	-7.2417	-1.4884	6.0432	1.2743	0.7063	3.1241	0.663	3.1529
