Pseudomonadales	Burkholderiales	Verrucomicrobiales	Lactobacillales	Clostridiales	Erysipelotrichales	Selenomonadales	Veillonellales	Bifidobacteriales	Coriobacteriales	Eggerthellales	Bacteroidales
XT_D04-NFlex-R1-A	-3.081	-3.4985	-6.5201	-1.5918	6.9143	1.8283	0.4798	0.1767	3.6363	0.9446	-3.3826	4.094
XT_D06-NFlex-R1-A	-3.9448	-3.8451	-6.8462	-0.2011	7.4689	0.1058	-5.3478	1.1031	3.733	1.859	-0.7219	6.6371
XT_D08-NFlex-R1-C	-4.1182	-0.1098	-2.0979	1.0155	7.1481	0.435	-4.4658	-6.1077	0.4892	1.5342	-0.7136	6.9912
XT_D07-NFlex-R1-C	-3.3593	0.2597	-4.8499	1.4395	8.127	2.609	-4.2847	-5.1139	2.6936	-3.751	-0.6759	6.906
XT_D10-NFlex-R1-C	-3.1744	-5.6048	-4.2766	0.17	6.9345	0.9716	2.4655	-5.6877	-0.8823	3.7332	-1.6977	7.0488
XT_D05-NFlex-R1-C	-4.4105	0.6418	-1.0784	-0.3694	5.416	-1.4567	-6.0606	0.9111	2.5622	0.7186	-2.2893	5.4153
XT_D05-NFlex-R1-A	-4.4588	0.6576	-1.0623	-0.435	5.3951	-1.4645	-5.9899	0.8834	2.5905	0.748	-2.2353	5.3713
XT_D05-NFlex-R1-B	-4.4218	0.6485	-1.0953	-0.3685	5.4199	-1.428	-6.0913	0.9144	2.5526	0.7146	-2.2683	5.4232
XT_D08-NFlex-R1-B	-4.1161	-0.1084	-2.1097	0.9448	7.1615	0.473	-4.4266	-6.1976	0.5019	1.5537	-0.6791	7.0026
XT_D02-NFlex-R1-B	-0.8723	-1.2338	-3.7294	0.6803	7.2295	-0.0196	-5.3373	-1.871	-0.1974	-1.3634	-0.8098	7.5242
XT_D07-NFlex-R1-B	-3.3473	0.2132	-4.9378	1.5187	8.1207	2.6584	-4.28	-5.114	2.7282	-3.7777	-0.6655	6.883
XT_D09-NFlex-R1-B	0.0969	0.5963	-6.9356	-1.809	5.5865	-0.4433	0.0609	-0.3955	1.7521	0.1168	-3.2072	4.5811
XT_D03-NFlex-R1-C	-2.7577	-3.537	-3.7342	0.4748	5.634	-0.3902	3.0607	-0.809	-0.2898	1.5376	-3.9794	4.7903
XT_D01-NFlex-R1-A	-4.6195	-2.0518	1.5503	1.033	6.9312	0.0054	-5.2683	-0.0186	0.8371	-3.8939	-0.1641	5.6589
XT_D04-NFlex-R1-C	-2.9654	-3.5407	-6.4193	-1.5959	6.8913	1.8044	0.4394	0.1674	3.6316	0.9218	-3.4078	4.0731
XT_D10-NFlex-R1-A	-3.2116	-4.9625	-4.4983	0.0109	6.8239	0.876	2.2411	-5.247	-0.8387	3.6492	-1.7568	6.9138
XT_D06-NFlex-R1-B	-3.9984	-3.9259	-6.8703	-0.1309	7.4709	0.0792	-5.2944	1.1427	3.7544	1.8648	-0.7056	6.6135
XT_D03-NFlex-R1-B	-2.8226	-3.6115	-3.7902	0.5434	5.6453	-0.2743	3.2134	-0.7772	-0.3489	1.4864	-4.0511	4.7873
XT_D10-NFlex-R1-B	-3.2815	-5.3957	-4.3522	0.1294	6.9206	0.9675	2.4502	-5.7246	-0.8417	3.7524	-1.6432	7.0187
XT_D09-NFlex-R1-C	0.0568	0.5899	-6.8932	-1.8031	5.5855	-0.4822	0.05	-0.3807	1.7599	0.124	-3.1834	4.5765
XT_D02-NFlex-R1-A	-0.8195	-1.232	-3.8811	0.745	7.2328	-0.0403	-5.2874	-1.8583	-0.1892	-1.3757	-0.8232	7.5288
XT_D09-NFlex-R1-A	0.0167	0.5708	-6.8407	-1.7173	5.5817	-0.52	8e-04	-0.3633	1.7692	0.1279	-3.1992	4.5734
XT_D04-NFlex-R1-B	-3.0522	-3.4628	-6.3846	-1.7898	6.8741	1.7158	0.5085	0.1782	3.6906	0.9988	-3.3531	4.0764
XT_D08-NFlex-R1-A	-4.1296	-0.1717	-2.0111	0.9758	7.1516	0.5743	-4.4347	-6.1217	0.4467	1.4731	-0.7604	7.0077
XT_D06-NFlex-R1-C	-3.9982	-3.8657	-6.8124	-0.2518	7.476	0.0813	-5.3297	1.1449	3.7698	1.8704	-0.7114	6.627
XT_D02-NFlex-R1-C	-0.8245	-1.2447	-3.7646	0.6821	7.2253	-0.0043	-5.3376	-1.8412	-0.2205	-1.3834	-0.8172	7.5306
XT_D01-NFlex-R1-C	-4.5353	-2.0329	1.5559	0.9006	6.9008	-0.0793	-5.2196	-0.0608	0.8413	-3.8033	-0.1146	5.6473
XT_D07-NFlex-R1-A	-3.2669	0.2446	-4.799	1.4784	8.1409	2.5035	-4.3103	-5.1565	2.7103	-3.7688	-0.6833	6.9072
XT_D03-NFlex-R1-A	-2.8292	-3.587	-3.7566	0.5045	5.6447	-0.3012	3.1564	-0.79	-0.3222	1.5062	-4.0236	4.7981
XT_D01-NFlex-R1-B	-4.5011	-2.0287	1.5678	0.888	6.8908	-0.0629	-5.1671	-0.0682	0.8395	-3.8549	-0.1468	5.6438
Flex_D10-NF-R1	-4.2281	-5.6033	-4.6596	-0.1263	7.0175	1.459	2.6086	-6.0881	-0.372	4.2703	-0.9331	6.655
Flex_D07-NF-R1	-4.1918	-0.2913	-5.4585	1.2968	7.864	3.4557	-4.2694	-5.2385	3.5259	-3.3847	0.3509	6.3409
Flex_D08-NF-R1	-4.7625	0.513	-2.6753	0.6675	7.0341	0.5645	-4.3523	-6.2345	0.9333	1.8635	-0.2554	6.7042
Flex_D05-NF-R1	-3.9881	0.5157	-1.0712	-0.5841	5.3767	-1.0056	-5.9924	1.0388	2.3533	0.6479	-2.3268	5.0357
Flex_D02-NF-R1	-1.6916	-1.0454	-4.2898	1.2239	7.1243	0.4499	-5.5029	-1.8577	0.2833	-1.2995	-0.6205	7.226
