Proteobacteria	Verrucomicrobia	Firmicutes	Actinobacteria (201174)	Bacteroidetes
XT_D04-NFlex-R1-A	-2.5849	-4.9555	4.5379	1.3946	1.6079
XT_D06-NFlex-R1-A	-3.2895	-7.14	4.9028	1.5159	4.0108
XT_D08-NFlex-R1-C	-2.0041	-5.1237	4.0885	-0.8014	3.8408
XT_D07-NFlex-R1-C	-0.6957	-7.771	5.0224	-0.273	3.7173
XT_D10-NFlex-R1-C	-2.8819	-6.9521	4.3944	1.1192	4.3205
XT_D05-NFlex-R1-C	-1.5358	-3.9325	2.7974	0.1234	2.5474
XT_D05-NFlex-R1-A	-1.5184	-3.915	2.7789	0.1518	2.5027
XT_D05-NFlex-R1-B	-1.5332	-3.9469	2.8075	0.1164	2.5562
XT_D08-NFlex-R1-B	-1.9939	-5.1476	4.0905	-0.7917	3.8427
XT_D02-NFlex-R1-B	-1.4017	-6.3314	4.6731	-1.7401	4.8001
XT_D07-NFlex-R1-B	-0.7162	-7.837	5.0443	-0.2137	3.7227
XT_D09-NFlex-R1-B	0.3159	-8.2284	4.1867	0.679	3.0468
XT_D03-NFlex-R1-C	-2.4343	-5.272	4.298	0.2825	3.1258
XT_D01-NFlex-R1-A	-2.0448	-1.8964	3.5596	-1.8297	2.2112
XT_D04-NFlex-R1-C	-2.5884	-4.9487	4.5302	1.4035	1.6034
XT_D10-NFlex-R1-A	-2.8122	-7.0432	4.3914	1.1592	4.3048
XT_D06-NFlex-R1-B	-3.279	-7.1474	4.9073	1.5326	3.9864
XT_D03-NFlex-R1-B	-2.4461	-5.306	4.3551	0.2516	3.1454
XT_D10-NFlex-R1-B	-2.8653	-7.0014	4.3966	1.1591	4.311
XT_D09-NFlex-R1-C	0.2926	-8.1868	4.1788	0.6796	3.0358
XT_D02-NFlex-R1-A	-1.3571	-6.4483	4.6979	-1.7203	4.8277
XT_D09-NFlex-R1-A	0.2714	-8.1534	4.1697	0.6831	3.0292
XT_D04-NFlex-R1-B	-2.5792	-4.9193	4.4836	1.4367	1.5782
XT_D08-NFlex-R1-A	-1.9907	-5.0606	4.0767	-0.8688	3.8434
XT_D06-NFlex-R1-C	-3.2422	-7.1523	4.891	1.5246	3.9789
XT_D02-NFlex-R1-C	-1.408	-6.3405	4.681	-1.7499	4.8174
XT_D01-NFlex-R1-C	-2.0192	-1.8949	3.5247	-1.8065	2.196
XT_D07-NFlex-R1-A	-0.7225	-7.743	5.0242	-0.2675	3.7088
XT_D03-NFlex-R1-A	-2.382	-5.3103	4.3184	0.2456	3.1283
XT_D01-NFlex-R1-B	-2.0107	-1.881	3.516	-1.8192	2.195
Flex_D10-NF-R1	-3.3014	-7.2	4.6283	1.7986	4.0745
Flex_D07-NF-R1	-1.1279	-8.0836	5.0385	0.7756	3.3973
Flex_D08-NF-R1	-1.618	-5.5772	4.0078	-0.4019	3.5892
Flex_D05-NF-R1	-1.4896	-3.7911	2.8961	0.0825	2.302
Flex_D02-NF-R1	-1.3817	-6.708	4.722	-1.2988	4.6666
Flex_D03-NF-R1	-2.9311	-4.9357	4.6103	0.9835	2.2731
Flex_D09-NF-R1	0.656	-9.0275	4.3443	1.2022	2.8249
Flex_D01-NF-R1	-2.2666	-1.5176	3.3559	-1.2291	1.6574
Flex_D06-NF-R1	-3.6113	-7.0741	4.9181	2.2562	3.511
Flex_D04-NF-R1	-2.7788	-4.3626	4.3232	1.5134	1.3048
