Pseudomonas aeruginosa	Sutterella wadsworthensis	Akkermansia muciniphila	Firmicutes bacterium CAG:94	uncultured Clostridium sp.	Clostridium sp. CAG:138	Clostridium sp. CAG:356	Clostridium sp. 28_12	Butyrivibrio crossotus	Roseburia intestinalis	Roseburia inulinivorans	Roseburia sp. CAG:50	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	Coprococcus sp. CAG:131	Coprococcus sp.	Coprococcus sp. AF16-22	Coprococcus sp. AF16-5	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	Anaerostipes hadrus	[Ruminococcus] gnavus	[Ruminococcus] torques	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Blautia sp. BIOML-A1	Fusicatenibacter saccharivorans	[Eubacterium] eligens	Eubacterium ramulus	Eubacterium sp.	Oscillibacter sp.	Ruminococcus callidus	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp. AM28-13	Gemmiger formicilis	Faecalibacterium prausnitzii	Faecalibacterium sp.	Faecalibacterium sp. AF27-11BH	Faecalibacterium sp. BIOML-A1	Subdoligranulum sp. 60_17	Ruminococcaceae bacterium	Clostridiales bacterium	Clostridiales bacterium UBA7739	Coprobacillus sp. AF21-8LB	Erysipelotrichaceae bacterium	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Megasphaera massiliensis	Dialister sp. Marseille-P5638	Firmicutes bacterium CAG:65_45_313	Firmicutes bacterium AF22-6AC	Bifidobacterium adolescentis	Bifidobacterium longum	Collinsella aerofaciens	Collinsella stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides massiliensis	Bacteroides cellulosilyticus	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides dorei	Bacteroides xylanisolvens	Bacteroides mediterraneensis	Bacteroides coprocola CAG:162	Bacteroides sp.	Bacteroides sp. NMBE5	Bacteroides sp. AF39-10AT	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes onderdonkii	Alistipes sp. 3BBH6	Prevotella copri	Prevotella sp.	Prevotella sp. AM23-5	Parabacteroides distasonis	Parabacteroides merdae
XT_D04-NFlex-R1-A	-4.2779	-3.096	-5.7395	-5.6651	3.2971	4.2822	-7.3857	-7.8305	4.1678	2.061	3.6772	-3.1438	4.9642	3.6263	2.44	4.6304	5.2883	4.5679	4.564	4.743	6.2484	4.7962	3.5113	3.3684	0.048	3.5593	2.156	2.4965	4.1795	-1.2092	1.5976	4.0755	0.3793	4.5322	4.1823	3.9385	-6.0986	3.5562	-7.3558	1.8117	6.6369	3.8893	2.0129	1.626	-0.4546	4.8807	3.8632	0.587	-3.6957	4.2762	-6.3052	-13.1032	-12.1931	-8.8795	-3.6861	0.752	0.9132	6.1261	3.4471	1.4284	-5.9553	0.8228	1.8955	1.6448	-2.688	1.2197	-2.429	1.3033	-4.8359	-3.7603	-10.1335	-2.2609	-2.021	3.5748	-6.1436	-7.4168	0.8988	-4.3616	-7.7315	-2.7314	-5.228	-0.9092	-1.6762	5.3921	3.8239	4.0159	0.1814	-1.5565
XT_D06-NFlex-R1-A	-2.246	-3.4861	-4.8763	0.3248	3.7819	-7.3185	-8.6523	-8.2575	-2.5813	0.344	2.8671	-5.1867	-2.1288	3.2018	0.175	-8.9627	-2.2305	-4.9815	-4.9015	-4.9497	6.8807	5.9129	4.8683	4.9405	3.135	5.4749	4.7074	4.9789	3.2349	0.3933	4.5729	3.0623	-1.2704	2.0065	2.0524	4.5824	4.2614	5.4204	4.1121	2.3693	8.527	3.1128	4.8075	4.697	0.4454	3.9688	3.9054	-0.1033	-5.0718	-3.8377	-12.2374	-11.2735	-11.6374	-7.1352	-6.9423	-0.5179	-1.2603	5.6776	5.8323	3.6877	-5.59	2.6785	7.3979	8.2827	7.8665	6.5852	-0.6775	3.4946	-4.4317	0.21	-7.7767	-0.3333	4.5542	0.7468	-6.541	-7.5534	0.0517	0.661	-3.7878	-2.9293	4.512	2.7855	4.0545	-4.5977	-5.1391	-8.2921	2.7876	0.7049
XT_D08-NFlex-R1-C	-3.2887	-8.973	-1.8989	-2.1403	3.3018	-5.6914	-12.5876	-12.7505	-2.5674	5.2818	-0.0139	-5.4864	-2.5527	2.6988	1.2907	-11.8526	-1.3436	-7.4904	-6.0669	-5.9854	5.4756	5.0533	3.6723	3.9742	2.0344	4.2238	5.1278	4.0767	5.1604	3.0261	3.5164	2.8517	-2.6195	3.8265	1.0752	3.3188	5.7819	5.4561	3.6661	3.1748	7.7931	2.1178	2.8768	1.8481	4.0853	4.7102	3.9923	-0.0457	-4.8052	-4.1667	-9.8395	-11.1733	-11.3147	-7.1947	-8.7387	3.2474	2.2273	1.9539	2.5338	3.1263	-5.3525	3.9556	6.3208	5.6503	7.3755	5.3003	6.9736	5.0151	-1.1802	3.4981	-8.2006	-0.4103	4.6241	2.5079	-3.6422	-6.998	-1.6201	-3.7684	8.1634	-2.14	4.286	4.9933	-1.0448	-3.4201	-5.2804	-11.2121	5.3517	3.2641
XT_D07-NFlex-R1-C	-4.0913	-9.316	-3.6406	-5.1612	3.7015	-5.7886	-6.9731	-10.2674	-3.6811	-1.8322	-1.9515	1.1909	2.5515	2.4184	2.8014	2.6626	2.5707	2.4092	1.8948	0.1832	6.8754	4.0244	2.9558	3.8965	0.7182	2.9141	2.0656	3.3804	4.7631	0.3823	3.8997	4.2073	1.3765	2.9832	3.0498	4.1473	2.6174	3.6659	7.3044	4.2128	7.3644	2.4539	1.3088	1.3994	2.222	6.3696	3.6769	-0.9373	3.4236	-4.5668	-7.6085	-11.8927	-13.5164	-7.9137	-7.8838	-4.1642	-3.9079	4.1718	3.0318	-3.5459	-8.1584	1.1374	6.7674	6.8255	-3.1774	1.6151	-1.8762	4.579	-3.3439	3.3774	-10.6941	3.4169	3.0493	2.1545	-4.4721	-7.5431	-0.4362	-1.4423	-2.007	-0.3963	4.0345	3.7087	4.2078	-4.5895	-4.3206	-8.8195	2.6239	5.1727
XT_D10-NFlex-R1-C	-3.9208	-8.1964	-2.6606	-3.2302	3.0298	-7.2353	-12.4568	-9.9374	-3.1086	6.3537	-0.6629	5.0365	-2.4915	4.7728	5.0182	-4.7513	-3.5881	-3.5287	-3.3779	-5.4706	1.5587	4.0625	0.9561	4.5905	4.7409	4.6411	3.9758	5.9263	5.6257	-0.6207	0.569	-0.3453	4.7738	-1.673	0.3175	-6.5262	-7.441	4.2989	-6.6432	0.5824	1.1783	-5.9576	-5.8221	-5.5749	-2.1951	5.781	4.1641	-6.9445	-8.3271	-3.5098	3.7293	2.7381	5.1071	-7.0296	-8.7731	-4.1745	-6.4659	-3.4657	2.3691	5.8595	4.1588	1.2849	7.3171	8.6505	-1.3814	6.4406	0.2155	5.4454	5.2409	6.2322	1.8595	5.2987	6.5567	3.3765	-1.8132	4.4328	3.4133	1.8083	1.8734	0.0885	3.7573	3.5222	-4.0762	-5.2989	-2.204	-9.8946	5.0692	2.9755
XT_D05-NFlex-R1-C	-1.7923	4.7701	2.7192	5.9164	2.8414	-4.7635	2.4668	2.5863	-3.3953	2.8607	0.3786	-5.0285	-2.6518	1.2729	0.5735	-8.19	-6.2871	-2.7916	-4.514	-6.6709	2.6238	3.66	2.8399	4.9203	0.6505	0.3572	1.6278	3.3621	4.2658	-2.3152	4.8366	1.6015	-2.059	1.3309	2.033	-4.2992	0.126	3.405	0.4373	3.2642	6.83	0.6739	4.0108	4.1277	1.1117	4.4673	2.2802	-4.5954	-5.0956	-4.1143	-7.3089	-10.6124	-12.0754	4.2752	-7.1914	-3.0258	-3.0701	5.455	5.5055	2.431	-1.6443	4.8587	6.0685	7.7523	-2.0576	6.2999	5.4626	0.5875	-4.6406	-1.788	-8.571	-2.3517	2.5125	2.5673	-4.9083	-6.6172	0.3546	5.0484	-1.7125	-1.1169	-2.0312	1.0671	-2.0575	-3.0511	-3.9777	-5.4557	6.9688	5.3849
XT_D05-NFlex-R1-A	-1.883	4.8522	2.8006	6.0526	2.8829	-4.5696	2.3834	2.5101	-3.3343	2.8843	0.3548	-5.0611	-2.4977	1.2857	0.5478	-7.3455	-6.3327	-2.7267	-4.5557	-6.5843	2.6501	3.67	2.8517	4.8773	0.6945	0.3429	1.6298	3.367	4.2901	-2.2396	4.8663	1.5599	-2.0098	1.2654	2.1567	-4.1391	0.1119	3.4702	0.5036	3.3558	6.9261	0.7716	4.1118	4.2214	1.2431	4.5562	2.3822	-4.513	-5.3221	-4.2491	-7.9988	-10.3711	-13.4278	4.3292	-7.2331	-2.9187	-2.9669	5.5481	5.6106	2.5173	-1.5948	4.8541	6.1012	7.7689	-2.0268	6.3083	5.4982	0.582	-4.4436	-1.6182	-10.0726	-2.5064	2.5019	2.5723	-5.0787	-6.7004	0.3722	5.0775	-1.8383	-1.1529	-2.0166	1.2082	-1.9934	-3.0017	-3.8181	-5.5549	6.9961	5.4207
XT_D05-NFlex-R1-B	-1.8422	4.8156	2.7384	5.9901	2.8777	-4.9211	2.4888	2.6073	-3.3506	2.8931	0.4049	-5.008	-2.5164	1.3134	0.5963	-8.0643	-6.5514	-2.7298	-4.7195	-7.5265	2.6635	3.6976	2.8833	4.9504	0.7061	0.339	1.6816	3.4137	4.3084	-2.2884	4.8581	1.612	-2.0173	1.3506	2.0975	-4.3007	0.1448	3.4645	0.5397	3.3195	6.8716	0.684	4.0648	4.1887	1.2082	4.5225	2.3271	-4.5055	-5.293	-4.1162	-7.8673	-9.4069	-13.2408	4.3156	-6.919	-2.8522	-3.0312	5.4777	5.5346	2.453	-1.6611	4.8842	6.1164	7.7927	-2.0877	6.3465	5.5081	0.6139	-4.5943	-1.8028	-8.8198	-2.3806	2.5556	2.6109	-5.2326	-6.9764	0.3752	5.1246	-1.8398	-1.146	-2.1588	1.1256	-1.8431	-3.0043	-3.7919	-5.5244	7.0273	5.4477
XT_D08-NFlex-R1-B	-3.2867	-8.7287	-1.959	-2.1772	3.2714	-5.7005	-11.8388	-11.4966	-2.5516	5.2376	-0.047	-5.0965	-2.6068	2.6426	1.2287	-11.1936	-1.4051	-8.1215	-5.9274	-6.148	5.43	5.0013	3.612	3.923	1.9503	4.1672	5.0774	4.0395	5.1116	2.9859	3.4784	2.8035	-2.7496	3.7882	1.0885	3.234	5.7367	5.4047	3.6108	3.1546	7.7576	2.0885	2.8163	1.8067	4.0461	4.653	3.9647	-0.0844	-4.8337	-4.0714	-11.1263	-10.3071	-11.149	-7.0619	-9.3241	3.1941	2.1925	1.9353	2.4954	3.0914	-5.3092	3.901	6.2751	5.5863	7.3232	5.266	6.9201	4.9766	-1.2628	3.4348	-7.731	-0.436	4.5552	2.4544	-3.7819	-7.4189	-1.8405	-3.4393	8.1246	-2.1976	4.2458	4.9368	-1.0754	-3.6062	-5.1677	-10.3051	5.2959	3.249
XT_D02-NFlex-R1-B	-3.706	-9.515	-3.1675	-5.7295	4.0958	-5.3172	-5.6087	-6.004	-2.9115	4.5596	1.1187	-0.5591	-1.6608	1.3526	0.1565	-7.0944	-2.807	-5.7082	-3.2083	-5.9817	2.1054	5.8331	2.067	2.4491	2.1296	2.5005	2.401	2.5911	3.1211	4.4119	2.4982	0.0389	-0.3486	0.8714	3.5327	4.1419	-4.9063	5.9153	-6.4267	4.342	6.7341	0.8249	-0.3969	0.1903	2.4463	4.1951	6.1702	3.2683	-1.1337	-3.5732	-9.8913	-13.0774	-9.7371	-10.457	-8.9445	4.6921	5.0331	-6.2255	-4.7881	-0.3607	-7.1018	4.1554	4.3527	6.9439	-1.215	6.5784	7.1874	5.1342	0.464	4.6739	4.224	3.9542	6.1811	3.0766	-0.2006	6.6524	4.9595	-0.9918	1.7413	1.246	-3.9042	1.6005	-3.1465	-4.3673	-2.0184	-5.9195	5.6984	3.4996
