taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
Sutterellaceae	30	10	-3.605	-3.462	-3.605	0.3703	4.513	0.07581	0.4344	0.777	0.9979	0.6792	0.9809	0.07581
Desulfovibrionaceae	30	10	-1.684	-1.68	-1.684	0.07387	3.989	0.01988	0.4711	0.9865	0.9979	0.8854	0.9809	0.01988
Akkermansiaceae	30	10	-5.834	-5.761	-5.834	-0.07774	4.221	-0.0237	0.4875	0.9423	0.9979	0.9794	0.9819	0.0237
Streptococcaceae	30	10	-0.6637	-0.6637	-0.6928	-0.004123	1.751	-0.001892	0.4969	0.9017	0.9979	0.9495	0.9809	0.001892
Clostridiaceae	30	10	2.312	2.385	2.254	-0.08855	0.8912	-0.08818	0.4493	0.5818	0.9979	0.628	0.9809	0.08818
Lachnospiraceae	30	10	4.587	4.506	4.587	-0.04892	1.113	-0.04693	0.4524	0.9104	0.9979	0.786	0.9809	0.04693
Eubacteriaceae	30	10	1.838	1.719	1.838	0.1726	1.36	0.1014	0.4774	0.8104	0.9979	0.9359	0.9809	0.1014
Oscillospiraceae	30	10	-0.0118	-0.105	0.0877	0.1212	1.695	0.06336	0.4743	0.7351	0.9979	0.7941	0.9809	0.06336
Ruminococcaceae	30	10	4.539	4.539	4.613	-0.08033	1.282	-0.05772	0.4602	0.9973	0.9979	0.8049	0.9809	0.05772
Erysipelotrichaceae	30	10	-0.7612	-0.13	-0.9016	-0.632	1.559	-0.367	0.3401	0.1627	0.9979	0.1482	0.9809	0.367
Selenomonadaceae	30	10	-5.87	-5.797	-5.912	-0.08038	6.728	-0.01718	0.4711	0.994	0.9979	0.8937	0.9809	0.01718
Veillonellaceae	30	10	-0.4834	-0.2631	-0.5754	-0.2847	5.823	-0.05179	0.4399	0.9005	0.9979	0.5879	0.9809	0.05179
Bifidobacteriaceae	30	10	1.165	1.377	0.798	-0.4838	2.463	-0.2048	0.3994	0.4134	0.9979	0.3302	0.9809	0.2048
Coriobacteriaceae	30	10	0.3995	0.5047	0.3338	-0.3243	4.852	-0.07931	0.4306	0.7134	0.9979	0.5018	0.9809	0.07931
Bacteroidaceae	30	10	4.581	4.461	4.751	0.3565	2.575	0.1251	0.4181	0.5774	0.9979	0.3992	0.9809	0.1251
Rikenellaceae	30	10	1.604	1.274	1.672	0.1159	2.107	0.04504	0.4711	0.7345	0.9979	0.6184	0.9809	0.04504
Prevotellaceae	30	10	-2.879	-3.368	-2.693	0.4379	4.798	0.09461	0.4368	0.6426	0.9979	0.5237	0.9809	0.09461
Odoribacteraceae	30	10	-0.7145	-0.9073	-0.6372	0.1909	3.172	0.05474	0.4602	0.8722	0.9979	0.6657	0.9809	0.05474
Tannerellaceae	30	10	0.454	0.3075	0.4769	0.2259	2.367	0.1026	0.4297	0.6677	0.9979	0.5215	0.9809	0.1026
