taxa	n.pos	n.neg	rab.all	rab.win.Flex	rab.win.XT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	abs.effect
Sutterella	30	10	-4.14	-4.663	-3.761	0.494	6.481	0.07445	0.4453	0.6964	0.9949	0.6251	0.9712	0.07445
Akkermansia	30	10	-4.717	-4.706	-4.726	0.0332	4.754	0.006917	0.4914	0.9827	0.9949	0.963	0.9823	0.006917
Firmicutes: environmental samples	30	10	1.304	1.496	1.163	-0.2643	1.448	-0.1606	0.3807	0.5718	0.9949	0.2639	0.9712	0.1606
Streptococcus	30	10	0.4738	0.5672	0.4249	-0.06566	1.781	-0.02888	0.4727	0.9879	0.9949	0.9193	0.9801	0.02888
Clostridium	30	10	2.886	2.94	2.841	-0.1159	0.5679	-0.2236	0.3822	0.3082	0.9949	0.3171	0.9712	0.2236
Butyricicoccus	30	10	0.2119	0.1141	0.2189	-0.005055	1.367	-0.002889	0.4984	0.7233	0.9949	0.9222	0.9803	0.002889
Butyrivibrio	30	10	-3.566	-3.773	-3.538	0.1939	1.438	0.08222	0.4259	0.7923	0.9949	0.5274	0.9712	0.08222
Roseburia	30	10	2.638	2.638	2.658	0.0579	1.51	0.03954	0.4836	0.8996	0.9949	0.7654	0.9774	0.03954
Coprococcus	30	10	1.505	1.4	1.505	0.0448	2.381	0.03729	0.4836	0.8245	0.9949	0.9176	0.9801	0.03729
unclassified Lachnospiraceae	30	10	3.447	3.293	3.454	0.1273	1.472	0.07292	0.4438	0.7767	0.9949	0.581	0.9712	0.07292
Dorea	30	10	1.886	1.843	1.886	-0.08386	1.177	-0.1016	0.4656	0.7988	0.9949	0.8408	0.9797	0.1016
Anaerostipes	30	10	0.3343	0.5128	0.3343	-0.444	1.256	-0.3132	0.3682	0.2373	0.9949	0.2723	0.9712	0.3132
Blautia	30	10	3.549	3.779	3.483	-0.2145	1.105	-0.1985	0.3963	0.4898	0.9949	0.3394	0.9712	0.1985
Lachnoclostridium	30	10	-0.3409	-0.3833	-0.2492	0.141	1.786	0.06973	0.4266	0.7752	0.9949	0.5084	0.9712	0.06973
Eubacterium	30	10	2.96	2.777	3.026	0.1419	1.045	0.149	0.4337	0.5763	0.9949	0.7206	0.9719	0.149
Oscillibacter	30	10	0.7482	0.4711	0.8023	0.09962	1.28	0.07166	0.4359	0.5846	0.9949	0.5402	0.9712	0.07166
unclassified Oscillospiraceae	30	10	-1.826	-1.719	-1.826	0.08479	2.868	0.03284	0.4883	0.9196	0.9949	0.9573	0.981	0.03284
Ruminococcus	30	10	4.329	4.372	4.183	0.08598	2.392	0.04906	0.4609	0.8408	0.9949	0.68	0.9712	0.04906
Gemmiger	30	10	0.2014	0.3783	0.2014	-0.2973	2.108	-0.1336	0.4531	0.6071	0.9949	0.5707	0.9712	0.1336
Faecalibacterium	30	10	5.039	4.885	5.058	0.1486	1.251	0.05663	0.429	0.8584	0.9949	0.5373	0.9712	0.05663
Subdoligranulum	30	10	0.1342	0.4448	0.1171	-0.3946	1.694	-0.2445	0.3859	0.3752	0.9949	0.2787	0.9712	0.2445
unclassified Ruminococcaceae	30	10	2.409	2.409	2.396	-0.1283	1.25	-0.1	0.4602	0.6621	0.9949	0.6556	0.9712	0.1
unclassified Clostridiales (miscellaneous)	30	10	2.168	2.323	2.119	-0.1116	1.53	-0.06991	0.4547	0.9117	0.9949	0.8333	0.9797	0.06991
unclassified Clostridia	30	10	-4.863	-4.887	-4.807	-0.02892	3.139	-0.008577	0.4797	0.9862	0.9949	0.9367	0.9813	0.008577
Coprobacillus	30	10	-1.853	-1.449	-2.251	-1.042	2.927	-0.3372	0.298	0.2477	0.9949	0.09655	0.9712	0.3372
unclassified Erysipelotrichaceae	30	10	-3.612	-3.471	-3.635	-0.2637	2.568	-0.1107	0.4056	0.595	0.9949	0.4558	0.9712	0.1107
Mitsuokella	30	10	-8.422	-8.454	-8.386	0.201	8	0.03791	0.4524	0.8299	0.9949	0.6341	0.9712	0.03791
Megamonas	30	10	-8.383	-8.325	-8.441	-0.01211	10.14	-0.001075	0.4977	0.9763	0.9949	0.9395	0.9811	0.001075
Megasphaera	30	10	-7.729	-7.815	-7.679	0.1072	1.871	0.03115	0.4493	0.8793	0.9949	0.502	0.9712	0.03115
Dialister	30	10	0.4283	0.5782	0.4283	-0.1432	8.755	-0.02247	0.4531	0.9917	0.9949	0.6749	0.9712	0.02247
unclassified Firmicutes sensu stricto (miscellaneous)	30	10	0.7709	0.8497	0.6362	-0.1077	2.11	-0.05119	0.4484	0.9072	0.9949	0.5666	0.9712	0.05119
Bifidobacterium	30	10	2.36	2.765	2.011	-0.5174	2.446	-0.1871	0.4109	0.4456	0.9949	0.4689	0.9712	0.1871
Collinsella	30	10	1.472	1.472	1.257	-0.5017	4.301	-0.09767	0.4368	0.7089	0.9949	0.6556	0.9712	0.09767
Bacteroides	30	10	6.007	5.662	6.041	0.4057	2.534	0.1787	0.3922	0.5212	0.9949	0.3949	0.9712	0.1787
unclassified Bacteroidaceae	30	10	-3.19	-3.425	-3.122	0.2545	3.24	0.07667	0.45	0.6767	0.9949	0.5161	0.9712	0.07667
Alistipes	30	10	2.398	2.263	2.398	0.09922	1.907	0.0445	0.4821	0.746	0.9949	0.724	0.9725	0.0445
Prevotella	30	10	-3.368	-3.54	-3.005	0.4629	5.472	0.09993	0.39	0.6771	0.9949	0.2868	0.9712	0.09993
Odoribacter	30	10	0.2041	-0.01301	0.2674	0.2034	4.753	0.04563	0.4368	0.8421	0.9949	0.6359	0.9712	0.04563
